State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,1,1,1,,,,,,,,,
,11. Jehanabad,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,12. Kaimur (bhabua),2000 - 2001,145,127,0.88,,,,,,,,,
,,2001 - 2002,157,113,0.72,,,,,,,,,
,,2005 - 2006,143,151,1.06,,,,,,,,,
,13. Katihar,2018 - 2019,77,87,1.13,,,,,,,,,
,14. Khagaria,2006 - 2007,4,4,1,,,,,,,,,
,15. Madhepura,2002 - 2003,5,5,1,,,,,,,,,
,,2014 - 2015,12,14,1.17,,,,,,,,,
,16. Madhubani,2000 - 2001,72,53,0.74,,,,,,,,,
,,2001 - 2002,23,15,0.65,,,,,,,,,
,17. Nawada,2005 - 2006,17,18,1.06,,,,,,,,,
,,2007 - 2008,20,22,1.1,,,,,,,,,
,,2008 - 2009,50,60,1.2,,,,,,,,,
,,2009 - 2010,31,35,1.13,,,,,,,,,
,,2013 - 2014,155,176,1.14,,,,,,,,,
,18. Pashchim champaran,2000 - 2001,135,88,0.65,,,,,,,,,
,,2001 - 2002,73,53,0.73,,,,,,,,,
,,2002 - 2003,43,44,1.02,,,,,,,,,
,,2003 - 2004,43,45,1.05,,,,,,,,,
,,2004 - 2005,49,53,1.08,,,,,,,,,
,,2005 - 2006,137,145,1.06,,,,,,,,,
,,2006 - 2007,51,55,1.08,,,,,,,,,
,,2007 - 2008,51,53,1.04,,,,,,,,,
,,2008 - 2009,48,52,1.08,,,,,,,,,
,,2009 - 2010,55,61,1.11,,,,,,,,,
,,2011 - 2012,57,64,1.12,,,,,,,,,
,,2012 - 2013,17,19,1.12,,,,,,,,,
,,2013 - 2014,32,36,1.13,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,19. Patna,2002 - 2003,310,319,1.03,,,,,,,,,
,,2003 - 2004,459,487,1.06,,,,,,,,,
,,2005 - 2006,353,364,1.03,,,,,,,,,
,,2006 - 2007,270,278,1.03,,,,,,,,,
,,2007 - 2008,223,248,1.11,,,,,,,,,
,,2017 - 2018,14,16,1.14,,,,,,,,,
,,2020 - 2021,223,253,1.13,,,,,,,,,
,,2021 - 2022,263,300,1.14,,,,,,,,,
,20. Purbi champaran,2002 - 2003,70,72,1.03,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,
,21. Rohtas,2000 - 2001,49,42,0.86,,,,,,,,,
,,2001 - 2002,7,5,0.71,,,,,,,,,
,,2002 - 2003,8,13,1.63,,,,,,,,,
,,2003 - 2004,30,31,1.03,,,,,,,,,
,,2004 - 2005,24,26,1.08,,,,,,,,,
,,2005 - 2006,24,25,1.04,,,,,,,,,
,,2009 - 2010,7,8,1.14,,,,,,,,,
,,2010 - 2011,7,8,1.14,,,,,,,,,
,22. Saharsa,2007 - 2008,5,4,0.8,,,,,,,,,
,23. Samastipur,2009 - 2010,4,4,1,,,,,,,,,
,24. Saran,2000 - 2001,28,14,0.5,,,,,,,,,
,,2001 - 2002,25,19,0.76,,,,,,,,,
,,2002 - 2003,25,19,0.76,,,,,,,,,
,,2003 - 2004,97,101,1.04,,,,,,,,,
,,2004 - 2005,5,5,1,,,,,,,,,
,,2005 - 2006,53,56,1.06,,,,,,,,,
,,2006 - 2007,35,38,1.09,,,,,,,,,
,,2007 - 2008,4,4,1,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,5,6,1.2,,,,,,,,,
,25. Sheohar,2001 - 2002,8,6,0.75,,,,,,,,,
,,2004 - 2005,8,9,1.13,,,,,,,,,
,26. Sitamarhi,2007 - 2008,345,358,1.04,,,,,,,,,
,,2008 - 2009,345,371,1.08,,,,,,,,,
,,2010 - 2011,42,47,1.12,,,,,,,,,
,27. Siwan,2000 - 2001,13,6,0.46,,,,,,,,,
,,2001 - 2002,19,14,0.74,,,,,,,,,
,,2002 - 2003,20,15,0.75,,,,,,,,,
,,2003 - 2004,21,22,1.05,,,,,,,,,
,,2004 - 2005,63,68,1.08,,,,,,,,,
,,2005 - 2006,26,28,1.08,,,,,,,,,
,,2006 - 2007,27,29,1.07,,,,,,,,,
,,2007 - 2008,15,17,1.13,,,,,,,,,
,,2008 - 2009,20,24,1.2,,,,,,,,,
,,2009 - 2010,20,22,1.1,,,,,,,,,
,,2010 - 2011,73,82,1.12,,,,,,,,,
,,2011 - 2012,108,122,1.13,,,,,,,,,
,,2012 - 2013,95,108,1.14,,,,,,,,,
,,2013 - 2014,96,109,1.14,,,,,,,,,
,,2014 - 2015,87,99,1.14,,,,,,,,,
,,2015 - 2016,83,94,1.13,,,,,,,,,
,,2016 - 2017,81,92,1.14,,,,,,,,,
,,2017 - 2018,81,92,1.14,,,,,,,,,
,,2018 - 2019,80,91,1.14,,,,,,,,,
,,2019 - 2020,80,90,1.13,,,,,,,,,
,,2020 - 2021,80,91,1.14,,,,,,,,,
,,2021 - 2022,80,91,1.14,,,,,,,,,
,,2022 - 2023,78,89,1.14,,,,,,,,,
,28. Vaishali,2005 - 2006,1,1,1,,,,,,,,,
,,2006 - 2007,5,5,1,,,,,,,,,
,,2007 - 2008,5,5,1,,,,,,,,,
,,2008 - 2009,5,5,1,,,,,,,,,
3. Chhattisgarh,1. Baloda bazar,2014 - 2015,7,5,0.71,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,2. Balrampur,2019 - 2020,48,24,0.5,,,,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,,,,
,,2021 - 2022,18,1,0.06,,,,,,,,,
,,2022 - 2023,33,12,0.36,,,,,,,,,
,3. Bastar,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,4. Bemetara,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,5. Bijapur,2017 - 2018,1,,0,,,,,,,,,
,6. Bilaspur,2009 - 2010,12,,0,,,,,,,,,
,,2010 - 2011,14,6,0.43,,,,,,,,,
,,2011 - 2012,14,6,0.43,,,,,,,,,
,,2012 - 2013,14,7,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,14,5,0.36,,,
,,2014 - 2015,15,6,0.4,,,,,,,,,
,,2015 - 2016,18,6,0.33,,,,,,,,,
,,2016 - 2017,15,6,0.4,,,,,,,,,
,,2017 - 2018,16,7,0.44,,,,,,,,,
,,2018 - 2019,12,5,0.42,,,,,,,,,
,7. Dantewada,2022 - 2023,10,14,1.4,,,,,,,,,
,8. Durg,2000 - 2001,17,6,0.35,,,,,,,,,
,,2001 - 2002,6,3,0.5,,,,,,,,,
,,2017 - 2018,15,5,0.33,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2021 - 2022,11,11,1,,,,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,,,,
,9. Gariyaband,2011 - 2012,6,5,0.83,,,,,,,,,
,,2012 - 2013,6,5,0.83,,,,,,,,,
,,2020 - 2021,2,2,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,10. Gaurella-pendra-marwahi,2019 - 2020,6,3,0.5,,,,,,,,,
,,2020 - 2021,7,5,0.71,,,,,,,,,
,,2021 - 2022,10,6,0.6,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,11. Jashpur,2000 - 2001,22,8,0.36,,,,,,,,,
,,2001 - 2002,28,11,0.39,,,,,,,,,
,,2002 - 2003,14,6,0.43,,,,,,,,,
,,2003 - 2004,28,10,0.36,,,,,,,,,
,,2004 - 2005,12,4,0.33,,,,,,,,,
,,2005 - 2006,17,6,0.35,,,,,,,,,
,,2006 - 2007,28,9,0.32,,,,,,,,,
,,2007 - 2008,23,10,0.43,,,,,,,,,
,,2008 - 2009,25,10,0.4,,,,,,,,,
,,2009 - 2010,24,9,0.38,,,,,,,,,
,,2010 - 2011,21,7,0.33,,,,,,,,,
,,2011 - 2012,12,5,0.42,,,,,,,,,
,,2012 - 2013,15,6,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,33,13,0.39,,,
,,2014 - 2015,22,9,0.41,,,,,,,,,
,,2015 - 2016,19,6,0.32,,,,,,,,,
,,2016 - 2017,44,18,0.41,,,,,,,,,
,,2017 - 2018,23,10,0.43,,,,,,,,,
,,2018 - 2019,13,5,0.38,,,,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,,,,
,,2020 - 2021,14,5,0.36,,,,,,,,,
,,2021 - 2022,7,3,0.43,,,,,,,,,
,,2022 - 2023,6,2,0.33,,,,,,,,,
,12. Kabirdham,2000 - 2001,9,7,0.78,,,,,,,,,
,,2001 - 2002,5,4,0.8,,,,,,,,,
,,2002 - 2003,5,4,0.8,,,,,,,,,
,,2006 - 2007,3,3,1,,,,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,,,,
,,2010 - 2011,6,5,0.83,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2013 - 2014,,,,,,,107,98,0.92,,,
,,2014 - 2015,83,63,0.76,,,,,,,,,
,,2016 - 2017,3,3,1,,,,,,,,,
,,2020 - 2021,10,13,1.3,,,,,,,,,
,13. Korba,2000 - 2001,7,3,0.43,,,,,,,,,
,,2001 - 2002,7,3,0.43,,,,,,,,,
,,2002 - 2003,7,2,0.29,,,,,,,,,
,,2003 - 2004,7,4,0.57,,,,,,,,,
,,2004 - 2005,7,2,0.29,,,,,,,,,
,,2005 - 2006,7,2,0.29,,,,,,,,,
,,2006 - 2007,7,2,0.29,,,,,,,,,
,,2007 - 2008,7,2,0.29,,,,,,,,,
,,2008 - 2009,72,29,0.4,,,,,,,,,
,,2009 - 2010,9,3,0.33,,,,,,,,,
,,2010 - 2011,8,4,0.5,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,8,4,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,8,3,0.38,,,
,,2014 - 2015,8,3,0.38,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,,,,
,,2019 - 2020,12,7,0.58,,,,,,,,,
,,2020 - 2021,43,17,0.4,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,14. Korea,2019 - 2020,13,5,0.38,,,,,,,,,
,15. Mahasamund,2002 - 2003,2,1,0.5,,,,,,,,,
,,2016 - 2017,19,18,0.95,,,,,,,,,
,,2017 - 2018,1,,0,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,16. Manendragarh chirimiri bharatpur,2022 - 2023,4,2,0.5,,,,,,,,,
,17. Mungeli,2019 - 2020,1,1,1,,,,,,,,,
,18. Raigarh,2000 - 2001,20,5,0.25,,,,,,,,,
,,2001 - 2002,30,12,0.4,,,,,,,,,
,,2002 - 2003,34,10,0.29,,,,,,,,,
,,2003 - 2004,10,3,0.3,,,,,,,,,
,,2004 - 2005,25,8,0.32,,,,,,,,,
,,2005 - 2006,50,17,0.34,,,,,,,,,
,,2006 - 2007,20,7,0.35,,,,,,,,,
,,2007 - 2008,23,9,0.39,,,,,,,,,
,,2008 - 2009,21,8,0.38,,,,,,,,,
,,2009 - 2010,24,8,0.33,,,,,,,,,
,,2010 - 2011,21,11,0.52,,,,,,,,,
,,2011 - 2012,29,12,0.41,,,,,,,,,
,,2012 - 2013,328,134,0.41,,,,,,,,,
,,2013 - 2014,,,,,,,14,6,0.43,,,
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,12,5,0.42,,,,,,,,,
,,2016 - 2017,8,4,0.5,,,,,,,,,
,,2017 - 2018,7,3,0.43,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,19. Raipur,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,11,11,1,,,,,,,,,
,,2007 - 2008,11,9,0.82,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,6,4,0.67,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,20. Rajnandgaon,2000 - 2001,3,2,0.67,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,4,3,0.75,,,,,,,,,
,,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2006 - 2007,2,2,1,,,,,,,,,
,,2018 - 2019,8,10,1.25,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,2,2,1,,,,,,,,,
,21. Surajpur,2020 - 2021,8,4,0.5,,,,,,,,,
,,2021 - 2022,10,5,0.5,,,,,,,,,
,22. Surguja,2001 - 2002,2,1,0.5,,,,,,,,,
,,2005 - 2006,3,3,1,,,,,,,,,
,,2007 - 2008,1,,0,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2021 - 2022,43,22,0.51,,,,,,,,,
,,2022 - 2023,41,21,0.51,,,,,,,,,
4. Daman and Diu,1. Diu,2013 - 2014,300,400,1.33,,,,,,,,,
,,2014 - 2015,300,500,1.67,,,,,,,,,
,,2015 - 2016,668.3,900,1.35,,,,,,,,,
,,2016 - 2017,508,677.2,1.33,,,,,,,,,
,,2017 - 2018,434,578.5,1.33,,,,,,,,,
,,2018 - 2019,496,648,1.31,,,,,,,,,
,,2019 - 2020,496,648,1.31,,,,,,,,,
5. Delhi,1. Delhi_total,2008 - 2009,"1,549.00","2,943.00",1.9,,,,,,,,,
,,2009 - 2010,"1,586.00","2,979.00",1.88,,,,,,,,,
,,2010 - 2011,"1,531.00","2,876.00",1.88,,,,,,,,,
,,2011 - 2012,"1,439.00","2,689.00",1.87,,,,,,,,,
,,2012 - 2013,"1,519.00","3,815.00",2.51,,,,,,,,,
,,2013 - 2014,"1,519.00","3,815.00",2.51,,,,,,,,,
,,2014 - 2015,"1,520.00","3,817.00",2.51,,,,,,,,,
,,2015 - 2016,"1,482.00","3,256.00",2.2,,,,,,,,,
,,2016 - 2017,"1,487.00","3,278.00",2.2,,,,,,,,,
,,2017 - 2018,"1,502.00","3,256.00",2.17,,,,,,,,,
,,2018 - 2019,"1,478.00","3,249.00",2.2,,,,,,,,,
,,2019 - 2020,"1,475.00","4,873.00",3.3,,,,,,,,,
6. Gujarat,1. Ahmadabad,2000 - 2001,"36,300.00","28,400.00",0.78,,,,,,,"9,100.00","20,600.00",2.26
,,2001 - 2002,"33,500.00","37,800.00",1.13,,,,,,,"7,900.00","16,600.00",2.1
,,2002 - 2003,"38,200.00","39,100.00",1.02,,,,,,,"2,700.00","4,400.00",1.63
,,2003 - 2004,"29,300.00","31,200.00",1.06,,,,,,,"2,000.00","4,900.00",2.45
,,2004 - 2005,"13,200.00","15,700.00",1.19,,,,,,,"1,500.00","3,800.00",2.53
,,2005 - 2006,"19,300.00","15,100.00",0.78,,,,,,,"2,900.00","7,700.00",2.66
,,2006 - 2007,"23,500.00","16,300.00",0.69,,,,,,,"1,100.00","2,800.00",2.55
,,2007 - 2008,"21,200.00","19,100.00",0.9,,,,,,,"1,200.00","3,000.00",2.5
,,2008 - 2009,"15,000.00","20,700.00",1.38,,,,,,,"1,400.00","3,700.00",2.64
,,2009 - 2010,"12,700.00","14,900.00",1.17,,,,,,,900,"2,300.00",2.56
,,2010 - 2011,"12,800.00","18,000.00",1.41,,,,,,,"1,800.00","5,000.00",2.78
,,2011 - 2012,"12,900.00","18,100.00",1.4,,,,,,,"3,500.00","9,000.00",2.57
,,2012 - 2013,"1,700.00","2,200.00",1.29,,,,,,,900,"2,300.00",2.56
,,2013 - 2014,"1,665.00","2,232.00",1.34,,,,,,,"1,340.00","3,262.00",2.43
,,2014 - 2015,"1,825.00","2,160.00",1.18,,,,,,,"1,073.00","2,966.00",2.76
,,2015 - 2016,755,882,1.17,,,,,,,585,"1,722.00",2.94
,,2016 - 2017,971,"1,983.00",2.04,,,,,,,675,"2,455.00",3.64
,,2017 - 2018,"1,243.00","2,506.00",2.02,,,,,,,717,"2,064.00",2.88
,,2018 - 2019,"1,154.00","1,528.00",1.32,,,,,,,"1,257.00","3,598.00",2.86
,,2019 - 2020,380,945,2.49,,,,,,,928,"3,108.00",3.35
,,2020 - 2021,478,733,1.53,,,,,,,732,"2,341.00",3.2
,,2021 - 2022,"1,174.00","1,924.00",1.64,,,,,,,985,"3,405.00",3.46
,,2022 - 2023,116,206,1.78,,,,,,,"1,290.00","4,164.00",3.23
,2. Amreli,2000 - 2001,"41,400.00","30,000.00",0.72,,,,,,,100,300,3
,,2001 - 2002,"40,900.00","77,700.00",1.9,,,,,,,200,300,1.5
,,2002 - 2003,"41,200.00","76,300.00",1.85,,,,,,,200,400,2
,,2003 - 2004,"31,500.00","62,600.00",1.99,,,,,,,200,500,2.5
,,2004 - 2005,"34,200.00","42,200.00",1.23,,,,,,,200,500,2.5
,,2005 - 2006,"31,600.00","55,100.00",1.74,,,,,,,600,"1,300.00",2.17
,,2006 - 2007,"22,300.00","35,300.00",1.58,,,,,,,"2,000.00","4,700.00",2.35
,,2007 - 2008,"15,600.00","25,500.00",1.63,,,,,,,"1,100.00","2,500.00",2.27
,,2008 - 2009,"13,400.00","23,200.00",1.73,,,,,,,"1,400.00","3,400.00",2.43
,,2009 - 2010,"9,100.00","6,800.00",0.75,,,,,,,400,800,2
,,2010 - 2011,"9,300.00","16,200.00",1.74,,,,,,,"1,300.00","3,100.00",2.38
,,2011 - 2012,"5,600.00","6,600.00",1.18,,,,,,,"2,300.00","5,900.00",2.57
,,2012 - 2013,"4,300.00","1,400.00",0.33,,,,,,,200,500,2.5
,,2013 - 2014,"4,072.00","7,739.00",1.9,,,,,,,820,"2,291.00",2.79
,,2014 - 2015,"4,026.00","7,756.00",1.93,,,,,,,325,853,2.62
,,2015 - 2016,"2,356.00","5,468.00",2.32,,,,,,,350,931,2.66
,,2016 - 2017,"2,909.00","6,107.00",2.1,,,,,,,672,"1,678.00",2.5
,,2017 - 2018,"2,727.00","4,830.00",1.77,,,,,,,"1,070.00","3,123.00",2.92
,,2018 - 2019,"3,337.00","4,140.00",1.24,,,,,,,559,"1,628.00",2.91
,,2019 - 2020,"2,238.00","5,020.00",2.24,,,,,,,"3,959.00","11,373.00",2.87
,,2020 - 2021,"2,196.00","2,806.00",1.28,,,,,,,"3,597.00","8,171.00",2.27
,,2021 - 2022,"2,143.00","3,251.00",1.52,,,,,,,"3,294.00","10,274.00",3.12
,,2022 - 2023,"1,160.00","2,546.00",2.19,,,,,,,"4,703.00","13,147.00",2.8
,3. Anand,2003 - 2004,"29,700.00","32,200.00",1.08,,,,,,,"28,500.00","67,100.00",2.35
,,2004 - 2005,"28,900.00","32,200.00",1.11,,,,,,,"25,100.00","55,600.00",2.22
,,2005 - 2006,"28,500.00","28,300.00",0.99,,,,,,,"23,000.00","53,000.00",2.3
,,2006 - 2007,"29,700.00","30,000.00",1.01,,,,,,,"20,500.00","51,000.00",2.49
,,2007 - 2008,"30,900.00","43,900.00",1.42,,,,,,,"21,800.00","60,000.00",2.75
,,2008 - 2009,"28,600.00","41,800.00",1.46,,,,,,,"19,600.00","51,300.00",2.62
,,2009 - 2010,"27,400.00","41,900.00",1.53,,,,,,,"26,400.00","69,200.00",2.62
,,2010 - 2011,"28,000.00","36,000.00",1.29,,,,,,,"42,700.00","1,19,300.00",2.79
,,2011 - 2012,"31,500.00","42,700.00",1.36,,,,,,,"48,100.00","1,33,200.00",2.77
,,2012 - 2013,"27,800.00","42,700.00",1.54,,,,,,,"34,000.00","93,700.00",2.76
,,2013 - 2014,"16,287.00","18,838.00",1.16,,,,,,,"46,223.00","1,44,359.00",3.12
,,2014 - 2015,"14,197.00","17,779.00",1.25,,,,,,,"30,979.00","92,175.00",2.98
,,2015 - 2016,"11,290.00","24,415.00",2.16,,,,,,,"36,060.00","1,13,026.00",3.13
,,2016 - 2017,"18,429.00","29,601.00",1.61,,,,,,,"26,054.00","81,098.00",3.11
,,2017 - 2018,"13,252.00","22,262.00",1.68,,,,,,,"26,351.00","82,022.00",3.11
,,2018 - 2019,"9,835.00","15,550.00",1.58,,,,,,,"25,007.00","82,367.00",3.29
,,2019 - 2020,"9,687.00","15,814.00",1.63,,,,,,,"25,330.00","80,205.00",3.17
,,2020 - 2021,"8,242.00","13,210.00",1.6,,,,,,,"27,874.00","78,591.00",2.82
,,2021 - 2022,"6,748.00","12,030.00",1.78,,,,,,,"30,983.00","1,07,548.00",3.47
,,2022 - 2023,"4,845.00","9,460.00",1.95,,,,,,,"35,861.00","1,17,530.00",3.28
,4. Aravalli,2014 - 2015,"3,556.00","4,975.00",1.4,,,,,,,"4,100.00","10,180.00",2.48
,,2015 - 2016,"1,180.00","1,235.00",1.05,,,,,,,"2,805.00","6,103.00",2.18
,,2016 - 2017,"1,080.00","1,214.00",1.12,,,,,,,"3,035.00","7,969.00",2.63
,,2017 - 2018,800,797,1,,,,,,,"2,735.00","8,375.00",3.06
,,2018 - 2019,"1,032.00","1,608.00",1.56,,,,,,,"1,820.00","3,590.00",1.97
,,2019 - 2020,841,"1,315.00",1.56,,,,,,,"4,258.00","12,554.00",2.95
,,2020 - 2021,795,"1,478.00",1.86,,,,,,,"3,838.00","13,500.00",3.52
,,2021 - 2022,"1,196.00","2,451.00",2.05,,,,,,,"4,371.00","14,197.00",3.25
,,2022 - 2023,945,"1,886.00",2,,,,,,,"5,307.00","15,906.00",3
,5. Banas kantha,2000 - 2001,"1,99,000.00","53,600.00",0.27,,,,,,,"59,400.00","1,11,600.00",1.88
,,2001 - 2002,"1,52,700.00","1,03,500.00",0.68,,,,,,,"64,600.00","1,05,500.00",1.63
,,2002 - 2003,"2,18,600.00","35,500.00",0.16,,,,,,,"76,800.00","1,09,600.00",1.43
,,2003 - 2004,"1,97,700.00","2,41,000.00",1.22,,,,,,,"81,100.00","1,65,800.00",2.04
,,2004 - 2005,"1,73,000.00","1,08,300.00",0.63,,,,,,,"64,900.00","1,31,400.00",2.02
,,2005 - 2006,"1,95,000.00","1,33,200.00",0.68,,,,,,,"79,700.00","1,80,700.00",2.27
,,2006 - 2007,"1,93,400.00","38,400.00",0.2,,,,,,,"81,200.00","1,78,100.00",2.19
,,2007 - 2008,"1,90,100.00","1,74,700.00",0.92,,,,,,,"79,000.00","1,70,500.00",2.16
,,2008 - 2009,"1,29,900.00","31,200.00",0.24,,,,,,,"74,900.00","1,74,400.00",2.33
,,2009 - 2010,"1,11,700.00","28,400.00",0.25,,,,,,,"68,400.00","1,40,400.00",2.05
,,2010 - 2011,"1,32,000.00","1,06,200.00",0.8,,,,,,,"1,62,000.00","3,82,100.00",2.36
,,2011 - 2012,"1,18,600.00","97,100.00",0.82,,,,,,,"1,62,000.00","3,93,700.00",2.43
,,2012 - 2013,"1,01,200.00","89,800.00",0.89,,,,,,,"1,35,000.00","3,39,100.00",2.51
,,2013 - 2014,"1,32,393.00","1,55,032.00",1.17,,,,,,,"1,33,838.00","3,70,531.00",2.77
,,2014 - 2015,"44,059.00","62,965.00",1.43,,,,,,,"1,42,497.00","3,65,419.00",2.56
,,2015 - 2016,"19,463.00","14,498.00",0.74,,,,,,,"1,39,626.00","3,58,574.00",2.57
,,2016 - 2017,"46,265.00","56,184.00",1.21,,,,,,,"1,53,393.00","3,63,526.00",2.37
,,2017 - 2018,"17,985.00","21,354.00",1.19,,,,,,,"1,44,982.00","4,16,717.00",2.87
,,2018 - 2019,"69,786.00","62,879.00",0.9,,,,,,,"1,40,474.00","3,90,027.00",2.78
,,2019 - 2020,"84,261.00","1,45,006.00",1.72,,,,,,,"1,70,308.00","4,73,177.00",2.78
,,2020 - 2021,"98,362.00","1,73,233.00",1.76,,,,,,,"1,66,082.00","4,68,519.00",2.82
,,2021 - 2022,"93,032.00","1,59,440.00",1.71,,,,,,,"1,61,461.00","4,52,138.00",2.8
,,2022 - 2023,"1,26,561.00","2,21,752.00",1.75,,,,,,,"1,72,384.00","5,05,627.00",2.93
,6. Bharuch,2000 - 2001,"3,600.00","2,300.00",0.64,,,,,,,300,600,2
,,2001 - 2002,"2,300.00","2,800.00",1.22,,,,,,,600,"1,100.00",1.83
,,2002 - 2003,"2,900.00","2,500.00",0.86,,,,,,,800,"1,300.00",1.63
,,2003 - 2004,"3,100.00","4,200.00",1.35,,,,,,,100,300,3
,,2004 - 2005,"3,100.00","3,200.00",1.03,,,,,,,200,500,2.5
,,2005 - 2006,"3,500.00","3,800.00",1.09,,,,,,,400,900,2.25
,,2006 - 2007,"2,200.00","1,600.00",0.73,,,,,,,300,700,2.33
,,2007 - 2008,,,,,,,,,,500,"1,100.00",2.2
,,2008 - 2009,100,100,1,,,,,,,600,"1,600.00",2.67
,,2009 - 2010,100,100,1,,,,,,,400,900,2.25
,,2010 - 2011,800,"1,000.00",1.25,,,,,,,"1,500.00","3,700.00",2.47
,,2011 - 2012,800,900,1.13,,,,,,,"2,100.00","5,300.00",2.52
,,2012 - 2013,300,300,1,,,,,,,500,"1,200.00",2.4
,,2013 - 2014,150,208,1.39,,,,,,,420,"1,173.00",2.79
,,2014 - 2015,120,196,1.63,,,,,,,315,578,1.83
,,2015 - 2016,,,,,,,,,,320,631,1.97
,,2016 - 2017,,,,,,,,,,230,217,0.94
,,2017 - 2018,40,66,1.65,,,,,,,320,601,1.88
,,2018 - 2019,,,,,,,,,,220,641,2.91
,,2019 - 2020,20,35,1.75,,,,,,,237,681,2.87
,,2020 - 2021,90,138,1.53,,,,,,,275,764,2.78
,,2021 - 2022,25,41,1.64,,,,,,,235,685,2.91
,,2022 - 2023,25,44,1.76,,,,,,,260,772,2.97
,7. Bhavnagar,2000 - 2001,"96,200.00","59,500.00",0.62,,,,,,,,,
,,2001 - 2002,"82,200.00","1,44,700.00",1.76,,,,,,,,,
,,2002 - 2003,"82,400.00","1,66,900.00",2.03,,,,,,,100,100,1
,,2003 - 2004,"70,000.00","1,42,200.00",2.03,,,,,,,,,
,,2004 - 2005,"65,200.00","1,07,500.00",1.65,,,,,,,100,100,1
,,2005 - 2006,"60,200.00","1,39,000.00",2.31,,,,,,,"1,200.00","2,900.00",2.42
,,2006 - 2007,"46,000.00","1,05,000.00",2.28,,,,,,,"4,900.00","11,500.00",2.35
,,2007 - 2008,"48,100.00","1,18,900.00",2.47,,,,,,,"3,100.00","7,300.00",2.35
,,2008 - 2009,"44,400.00","1,00,500.00",2.26,,,,,,,"3,500.00","8,600.00",2.46
,,2009 - 2010,"48,000.00","80,900.00",1.69,,,,,,,"2,100.00","4,800.00",2.29
,,2010 - 2011,"45,700.00","1,14,900.00",2.51,,,,,,,"5,000.00","12,300.00",2.46
,,2011 - 2012,"45,300.00","99,100.00",2.19,,,,,,,"7,000.00","17,700.00",2.53
,,2012 - 2013,"30,400.00","46,200.00",1.52,,,,,,,600,"1,700.00",2.83
,,2013 - 2014,"29,380.00","73,662.00",2.51,,,,,,,"4,905.00","13,705.00",2.79
,,2014 - 2015,"37,149.00","87,586.00",2.36,,,,,,,234,707,3.02
