State,District,Year,Moong(Green Gram),,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,2007 - 2008,,,,,,,,,,455,193,0.42,,,,,,
,,2008 - 2009,,,,,,,,,,338,76,0.22,,,,,,
,,2009 - 2010,,,,,,,,,,464,160,0.34,,,,,,
,,2010 - 2011,,,,360,157,0.44,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,420,240,0.57,,,,,,
,,2012 - 2013,,,,184,50,0.27,,,,,,,,,,,,
,,2013 - 2014,717,578,0.81,363,204,0.56,,,,,,,,,,,,
,,2014 - 2015,507,410,0.81,486,307,0.63,,,,,,,,,,,,
,,2015 - 2016,804,420,0.52,233,185,0.79,,,,,,,,,,,,
,,2016 - 2017,207,50,0.24,100,81,0.81,,,,,,,,,,,,
,,2017 - 2018,363,145,0.4,94,57,0.61,,,,,,,,,,,,
,,2018 - 2019,339,139,0.41,63,42,0.67,,,,,,,,,,,,
,,2019 - 2020,824,350,0.42,51,29,0.57,,,,,,,,,,,,
,,2020 - 2021,697,196,0.28,88,77,0.88,,,,,,,,,,,,
,,2021 - 2022,"1,049.00",341,0.33,37,30,0.81,,,,,,,,,,,,
,,2022 - 2023,"1,092.00",334,0.31,31,24,0.77,,,,,,,,,,,,
,32. Tirunelveli,2000 - 2001,,,,"4,588.00","2,143.00",0.47,,,,,,,,,,,,
,,2001 - 2002,,,,"4,186.00","1,610.00",0.38,,,,,,,,,,,,
,,2002 - 2003,,,,"5,425.00","2,449.00",0.45,,,,,,,,,,,,
,,2003 - 2004,,,,"7,075.00","2,710.00",0.38,,,,,,,,,,,,
,,2004 - 2005,,,,"11,495.00","5,769.00",0.5,,,,,,,,,,,,
,,2005 - 2006,,,,"8,548.00","3,768.00",0.44,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"9,537.00","6,634.00",0.7,,,,,,
,,2007 - 2008,,,,,,,,,,"6,787.00","4,033.00",0.59,,,,,,
,,2008 - 2009,,,,,,,,,,"5,412.00","1,581.00",0.29,,,,,,
,,2009 - 2010,,,,,,,,,,"5,553.00","3,636.00",0.65,,,,,,
,,2010 - 2011,,,,"4,914.00","1,938.00",0.39,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"4,318.00","3,322.00",0.77,,,,,,
,,2012 - 2013,,,,"4,098.00","1,335.00",0.33,,,,,,,,,,,,
,,2013 - 2014,"4,880.00","1,736.00",0.36,39,22,0.56,,,,,,,,,,,,
,,2014 - 2015,"7,055.00","12,285.00",1.74,55,35,0.64,,,,,,,,,,,,
,,2015 - 2016,"7,003.00","4,902.00",0.7,390,309,0.79,,,,,,,,,,,,
,,2016 - 2017,"6,553.00",45,0.01,192,155,0.81,,,,,,,,,,,,
,,2017 - 2018,"5,048.00","1,343.00",0.27,13,8,0.62,,,,,,,,,,,,
,,2018 - 2019,"3,455.00",451,0.13,40,27,0.68,,,,,,,,,,,,
,,2019 - 2020,"3,285.00",948,0.29,14,8,0.57,,,,,,,,,,,,
,,2020 - 2021,125,35,0.28,1,1,1,,,,,,,,,,,,
,,2021 - 2022,113,37,0.33,,,,,,,,,,,,,,,
,,2022 - 2023,93,28,0.3,,,,,,,,,,,,,,,
,33. Tirupathur,2020 - 2021,133,37,0.28,292,89,0.3,,,,,,,,,,,,
,,2021 - 2022,74,24,0.32,203,74,0.36,,,,,,,,,,,,
,,2022 - 2023,50,15,0.3,259,181,0.7,,,,,,,,,,,,
,34. Tiruppur,2008 - 2009,,,,,,,,,,"3,608.00",,0,,,,,,
,,2009 - 2010,,,,,,,,,,"3,538.00","1,264.00",0.36,,,,,,
,,2010 - 2011,,,,"4,104.00","2,538.00",0.62,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"4,367.00","2,363.00",0.54,,,,,,
,,2012 - 2013,,,,"2,697.00",478,0.18,,,,,,,,,,,,
,,2013 - 2014,"1,954.00",743,0.38,985,116,0.12,,,,,,,,,,,,
,,2014 - 2015,"2,486.00","1,306.00",0.53,432,166,0.38,,,,,,,,,,,,
,,2015 - 2016,"2,365.00",974,0.41,131,59,0.45,,,,,,,,,,,,
,,2016 - 2017,"2,183.00",523,0.24,105,85,0.81,,,,,,,,,,,,
,,2017 - 2018,"1,635.00","1,836.00",1.12,603,367,0.61,,,,,,,,,,,,
,,2018 - 2019,"2,004.00",860,0.43,73,50,0.68,,,,,,,,,,,,
,,2019 - 2020,"1,760.00",677,0.38,80,46,0.58,,,,,,,,,,,,
,,2020 - 2021,"1,610.00",596,0.37,135,119,0.88,,,,,,,,,,,,
,,2021 - 2022,"1,594.00",693,0.43,97,79,0.81,,,,,,,,,,,,
,,2022 - 2023,"1,169.00",470,0.4,61,48,0.79,,,,,,,,,,,,
,35. Tiruvannamalai,2000 - 2001,,,,"4,410.00","2,059.00",0.47,,,,,,,,,,,,
,,2001 - 2002,,,,"3,370.00","1,400.00",0.42,,,,,,,,,,,,
,,2002 - 2003,,,,"2,672.00","1,138.00",0.43,,,,,,,,,,,,
,,2003 - 2004,,,,"4,278.00","1,356.00",0.32,,,,,,,,,,,,
,,2004 - 2005,,,,"1,399.00",558,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,912,303,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,774,382,0.49,,,,,,
,,2007 - 2008,,,,,,,,,,674,529,0.78,,,,,,
,,2008 - 2009,,,,,,,,,,717,162,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,702,242,0.34,,,,,,
,,2010 - 2011,,,,545,283,0.52,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,718,450,0.63,,,,,,
,,2012 - 2013,,,,724,196,0.27,,,,,,,,,,,,
,,2013 - 2014,549,443,0.81,587,330,0.56,,,,,,,,,,,,
,,2014 - 2015,756,612,0.81,786,498,0.63,,,,,,,,,,,,
,,2015 - 2016,415,217,0.52,660,523,0.79,,,,,,,,,,,,
,,2016 - 2017,237,57,0.24,571,461,0.81,,,,,,,,,,,,
,,2017 - 2018,338,135,0.4,290,177,0.61,,,,,,,,,,,,
,,2018 - 2019,707,289,0.41,452,350,0.77,,,,,,,,,,,,
,,2019 - 2020,"1,176.00",499,0.42,786,451,0.57,,,,,,,,,,,,
,,2020 - 2021,"1,150.00",324,0.28,986,863,0.88,,,,,,,,,,,,
,,2021 - 2022,"1,227.00",398,0.32,835,679,0.81,,,,,,,,,,,,
,,2022 - 2023,755,231,0.31,608,482,0.79,,,,,,,,,,,,
,36. Vellore,2000 - 2001,,,,"4,087.00","1,909.00",0.47,,,,,,,,,,,,
,,2001 - 2002,,,,"4,003.00","1,660.00",0.41,,,,,,,,,,,,
,,2002 - 2003,,,,"3,468.00","1,025.00",0.3,,,,,,,,,,,,
,,2003 - 2004,,,,"4,271.00",703,0.16,,,,,,,,,,,,
,,2004 - 2005,,,,"2,210.00",729,0.33,,,,,,,,,,,,
,,2005 - 2006,,,,763,197,0.26,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,708,172,0.24,,,,,,
,,2007 - 2008,,,,,,,,,,710,361,0.51,,,,,,
,,2008 - 2009,,,,,,,,,,612,138,0.23,,,,,,
,,2009 - 2010,,,,,,,,,,731,353,0.48,,,,,,
,,2010 - 2011,,,,712,451,0.63,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"1,022.00",693,0.68,,,,,,
,,2012 - 2013,,,,"1,441.00",378,0.26,,,,,,,,,,,,
,,2013 - 2014,458,369,0.81,"1,306.00",735,0.56,,,,,,,,,,,,
,,2014 - 2015,"1,167.00",927,0.79,"1,166.00",905,0.78,,,,,,,,,,,,
,,2015 - 2016,"1,175.00",615,0.52,"1,453.00","1,123.00",0.77,,,,,,,,,,,,
,,2016 - 2017,"1,259.00",301,0.24,"1,483.00",796,0.54,,,,,,,,,,,,
,,2017 - 2018,605,241,0.4,"1,191.00",836,0.7,,,,,,,,,,,,
,,2018 - 2019,"1,101.00",451,0.41,"1,293.00",767,0.59,,,,,,,,,,,,
,,2019 - 2020,"1,251.00",531,0.42,"1,235.00",747,0.6,,,,,,,,,,,,
,,2020 - 2021,2,1,0.5,532,166,0.31,,,,,,,,,,,,
,,2021 - 2022,7,2,0.29,673,460,0.68,,,,,,,,,,,,
,,2022 - 2023,4,1,0.25,691,411,0.59,,,,,,,,,,,,
,37. Villupuram,2000 - 2001,,,,"8,854.00","4,135.00",0.47,,,,,,,,,,,,
,,2001 - 2002,,,,157,60,0.38,,,,,,,,,,,,
,,2002 - 2003,,,,122,52,0.43,,,,,,,,,,,,
,,2003 - 2004,,,,"1,579.00",670,0.42,,,,,,,,,,,,
,,2004 - 2005,,,,381,152,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,285,96,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,168,97,0.58,,,,,,
,,2007 - 2008,,,,,,,,,,581,169,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,143,32,0.22,,,,,,
,,2009 - 2010,,,,,,,,,,99,34,0.34,,,,,,
,,2010 - 2011,,,,147,61,0.41,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,289,145,0.5,,,,,,
,,2012 - 2013,,,,166,47,0.28,,,,,,,,,,,,
,,2013 - 2014,"1,022.00",824,0.81,"1,051.00",591,0.56,,,,,,,,,,,,
,,2014 - 2015,"1,263.00","1,023.00",0.81,"1,522.00",962,0.63,,,,,,,,,,,,
,,2015 - 2016,"1,008.00",527,0.52,700,555,0.79,,,,,,,,,,,,
,,2016 - 2017,"1,123.00",269,0.24,471,346,0.73,,,,,,,,,,,,
,,2017 - 2018,"1,418.00",566,0.4,327,199,0.61,,,,,,,,,,,,
,,2018 - 2019,779,319,0.41,111,75,0.68,,,,,,,,,,,,
,,2019 - 2020,"1,541.00",654,0.42,120,69,0.58,,,,,,,,,,,,
,,2020 - 2021,"1,261.00",355,0.28,82,72,0.88,,,,,,,,,,,,
,,2021 - 2022,962,313,0.33,30,23,0.77,,,,,,,,,,,,
,,2022 - 2023,879,269,0.31,7,6,0.86,,,,,,,,,,,,
,38. Virudhunagar,2000 - 2001,,,,"10,640.00","7,352.00",0.69,,,,,,,,,,,,
,,2001 - 2002,,,,"7,165.00","4,310.00",0.6,,,,,,,,,,,,
,,2002 - 2003,,,,"9,931.00","6,598.00",0.66,,,,,,,,,,,,
,,2003 - 2004,,,,"11,917.00","5,894.00",0.49,,,,,,,,,,,,
,,2004 - 2005,,,,"9,917.00","6,007.00",0.61,,,,,,,,,,,,
,,2005 - 2006,,,,"11,393.00","3,109.00",0.27,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"9,860.00","9,355.00",0.95,,,,,,
,,2007 - 2008,,,,,,,,,,"10,419.00","5,862.00",0.56,,,,,,
,,2008 - 2009,,,,,,,,,,"8,027.00","4,161.00",0.52,,,,,,
,,2009 - 2010,,,,,,,,,,"7,147.00","2,323.00",0.33,,,,,,
,,2010 - 2011,,,,"11,533.00","2,368.00",0.21,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"8,261.00","6,309.00",0.76,,,,,,
,,2012 - 2013,,,,"4,842.00",782,0.16,,,,,,,,,,,,
,,2013 - 2014,"3,926.00","2,434.00",0.62,775,428,0.55,,,,,,,,,,,,
,,2014 - 2015,"5,606.00","4,316.00",0.77,528,276,0.52,,,,,,,,,,,,
,,2015 - 2016,"7,367.00","3,315.00",0.45,478,379,0.79,,,,,,,,,,,,
,,2016 - 2017,"5,081.00","1,360.00",0.27,525,424,0.81,,,,,,,,,,,,
,,2017 - 2018,"2,842.00","1,097.00",0.39,"1,953.00","1,189.00",0.61,,,,,,,,,,,,
,,2018 - 2019,"3,188.00","2,006.00",0.63,370,249,0.67,,,,,,,,,,,,
,,2019 - 2020,"3,384.00","1,624.00",0.48,419,368,0.88,,,,,,,,,,,,
,,2020 - 2021,"2,613.00",908,0.35,647,459,0.71,,,,,,,,,,,,
,,2021 - 2022,"2,233.00","1,006.00",0.45,277,240,0.87,,,,,,,,,,,,
,,2022 - 2023,"1,403.00",648,0.46,356,95,0.27,,,,,,,,,,,,
25. Telangana,1. Adilabad,2000 - 2001,"2,847.00",954,0.34,"19,096.00","6,302.00",0.33,,,,,,,,,,,,
,,2001 - 2002,"3,591.00","1,095.00",0.3,"18,262.00","3,378.00",0.18,,,,,,,,,,,,
,,2002 - 2003,"2,589.00",660,0.25,"17,258.00","5,212.00",0.3,,,,,,,,,,,,
,,2003 - 2004,"4,414.00","1,492.00",0.34,"16,589.00","2,654.00",0.16,,,,,,,,,,,,
,,2004 - 2005,"6,760.00","2,204.00",0.33,"12,037.00","3,190.00",0.27,,,,,,,,,,,,
,,2005 - 2006,"3,022.00","1,100.00",0.36,"12,733.00","3,947.00",0.31,,,,,,,,,,,,
,,2006 - 2007,"3,749.00","1,964.00",0.52,"10,536.00","4,636.00",0.44,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","1,000.00",0.33,"11,000.00","5,000.00",0.45,,,,,,,,,,,,
,,2008 - 2009,"2,097.00","1,128.00",0.54,"9,091.00","4,791.00",0.53,,,,,,,,,,,,
,,2009 - 2010,"2,265.00",815,0.36,"10,111.00","1,496.00",0.15,,,,,,,,,,,,
,,2010 - 2011,"2,428.00","1,255.00",0.52,"10,628.00","4,294.00",0.4,,,,,,,,,,,,
,,2011 - 2012,"1,302.00",633,0.49,"7,042.00","3,451.00",0.49,,,,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,"7,000.00","4,000.00",0.57,,,,,,,,,,,,
,,2013 - 2014,"2,403.00","2,033.00",0.85,"6,413.00","3,117.00",0.49,,,,,,,,,,,,
,,2014 - 2015,"2,351.00","1,521.00",0.65,"5,973.00","3,440.00",0.58,,,,,,,,,,,,
,,2015 - 2016,"1,295.00",882,0.68,"5,548.00","3,290.00",0.59,,,,,,,,,,,,
,,2016 - 2017,14,13,0.93,"2,561.00","1,654.00",0.65,,,,,,,,,,,,
,,2017 - 2018,6,5,0.83,"1,502.00","1,057.00",0.7,,,,,,,,,,,,
,,2018 - 2019,3,3,1,"1,253.00","1,031.00",0.82,,,,,,,,,,,,
,,2019 - 2020,42,40,0.95,765,499,0.65,,,,,,,,,,,,
,,2020 - 2021,213,203,0.95,415,193,0.47,,,,,,,,,,,,
,,2021 - 2022,162,155,0.96,471,189,0.4,,,,,,,,,,,,
,,2022 - 2023,81,55,0.68,365,209,0.57,,,,,,,,,,,,
,2. Bhadradri,2016 - 2017,"1,088.00",982,0.9,489,215,0.44,,,,,,,,,,,,
,,2017 - 2018,587,500,0.85,163,104,0.64,,,,,,,,,,,,
,,2018 - 2019,493,402,0.82,128,81,0.63,,,,,,,,,,,,
,,2019 - 2020,393,283,0.72,77,61,0.79,,,,,,,,,,,,
,,2020 - 2021,325,309,0.95,210,87,0.41,,,,,,,,,,,,
,,2021 - 2022,"1,323.00","1,406.00",1.06,88,9,0.1,,,,,,,,,,,,
,,2022 - 2023,358,304,0.85,80,25,0.31,,,,,,,,,,,,
,3. Jagitial,2016 - 2017,"1,144.00","1,112.00",0.97,"1,634.00",993,0.61,,,,,,,,,,,,
,,2017 - 2018,"1,259.00","1,031.00",0.82,"1,635.00","1,591.00",0.97,,,,,,,,,,,,
,,2018 - 2019,"1,229.00","1,192.00",0.97,"1,066.00",583,0.55,,,,,,,,,,,,
,,2019 - 2020,403,441,1.09,922,573,0.62,,,,,,,,,,,,
,,2020 - 2021,809,815,1.01,688,594,0.86,,,,,,,,,,,,
,,2021 - 2022,"1,265.00","1,042.00",0.82,188,101,0.54,,,,,,,,,,,,
,,2022 - 2023,146,162,1.11,52,21,0.4,,,,,,,,,,,,
,4. Jangoan,2016 - 2017,111,100,0.9,"3,786.00","2,964.00",0.78,,,,,,,,,,,,
,,2017 - 2018,170,141,0.83,"1,017.00",573,0.56,,,,,,,,,,,,
,,2018 - 2019,108,102,0.94,641,333,0.52,,,,,,,,,,,,
,,2019 - 2020,44,42,0.95,728,653,0.9,,,,,,,,,,,,
,,2020 - 2021,135,129,0.96,"1,085.00",35,0.03,,,,,,,,,,,,
,,2021 - 2022,292,280,0.96,529,293,0.55,,,,,,,,,,,,
,,2022 - 2023,22,5,0.23,487,239,0.49,,,,,,,,,,,,
,5. Jayashankar,2016 - 2017,"1,541.00","1,392.00",0.9,546,428,0.78,,,,,,,,,,,,
,,2017 - 2018,"1,034.00",692,0.67,127,81,0.64,,,,,,,,,,,,
,,2018 - 2019,229,162,0.71,105,66,0.63,,,,,,,,,,,,
,,2019 - 2020,664,629,0.95,185,146,0.79,,,,,,,,,,,,
,,2020 - 2021,157,148,0.94,152,63,0.41,,,,,,,,,,,,
,,2021 - 2022,101,96,0.95,101,78,0.77,,,,,,,,,,,,
,,2022 - 2023,23,26,1.13,15,13,0.87,,,,,,,,,,,,
,6. Jogulamba,2016 - 2017,17,15,0.88,48,31,0.65,,,,,,,,,,,,
,,2017 - 2018,3,2,0.67,53,34,0.64,,,,,,,,,,,,
,,2018 - 2019,39,37,0.95,,,,,,,,,,,,,,,
,,2019 - 2020,140,133,0.95,,,,,,,,,,,,,,,
,,2020 - 2021,198,187,0.94,30,13,0.43,,,,,,,,,,,,
,,2021 - 2022,118,113,0.96,3,2,0.67,,,,,,,,,,,,
,,2022 - 2023,61,75,1.23,9,6,0.67,,,,,,,,,,,,
,7. Kamareddy,2016 - 2017,88,79,0.9,"6,987.00","5,988.00",0.86,,,,,,,,,,,,
,,2017 - 2018,41,34,0.83,"6,266.00","5,752.00",0.92,,,,,,,,,,,,
,,2018 - 2019,72,68,0.94,"4,697.00","5,185.00",1.1,,,,,,,,,,,,
,,2019 - 2020,18,17,0.94,"5,814.00","5,866.00",1.01,,,,,,,,,,,,
,,2020 - 2021,52,50,0.96,"6,299.00","5,603.00",0.89,,,,,,,,,,,,
,,2021 - 2022,229,219,0.96,"4,375.00","2,502.00",0.57,,,,,,,,,,,,
,,2022 - 2023,2,2,1,"2,560.00","2,025.00",0.79,,,,,,,,,,,,
,8. Karimnagar,2000 - 2001,149,50,0.34,"35,716.00","14,036.00",0.39,,,,,,,,,,,,
,,2001 - 2002,"1,157.00",353,0.31,"29,931.00","8,650.00",0.29,,,,,,,,,,,,
,,2002 - 2003,"1,234.00",315,0.26,"24,429.00","5,032.00",0.21,,,,,,,,,,,,
,,2003 - 2004,"1,949.00",659,0.34,"28,608.00","10,671.00",0.37,,,,,,,,,,,,
,,2004 - 2005,"1,370.00",447,0.33,"13,872.00","2,705.00",0.19,,,,,,,,,,,,
,,2005 - 2006,"1,197.00",640,0.53,"17,297.00","5,379.00",0.31,,,,,,,,,,,,
,,2006 - 2007,"2,344.00","2,021.00",0.86,"11,841.00","2,617.00",0.22,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","2,000.00",1,"12,000.00","5,000.00",0.42,,,,,,,,,,,,
,,2008 - 2009,"1,263.00","1,118.00",0.89,"10,316.00","4,230.00",0.41,,,,,,,,,,,,
,,2009 - 2010,"3,513.00","1,623.00",0.46,"6,629.00","1,352.00",0.2,,,,,,,,,,,,
,,2010 - 2011,"2,089.00","1,157.00",0.55,"8,213.00","3,162.00",0.38,,,,,,,,,,,,
,,2011 - 2012,"4,653.00","3,234.00",0.7,"6,549.00","2,744.00",0.42,,,,,,,,,,,,
,,2012 - 2013,"4,000.00","3,000.00",0.75,"5,000.00","3,000.00",0.6,,,,,,,,,,,,
,,2013 - 2014,"4,470.00","4,157.00",0.93,"4,667.00","2,488.00",0.53,,,,,,,,,,,,
,,2014 - 2015,"4,308.00","2,537.00",0.59,"3,044.00","1,129.00",0.37,,,,,,,,,,,,
,,2015 - 2016,"2,704.00","2,090.00",0.77,"3,258.00","2,271.00",0.7,,,,,,,,,,,,
,,2016 - 2017,202,182,0.9,647,393,0.61,,,,,,,,,,,,
,,2017 - 2018,111,92,0.83,450,287,0.64,,,,,,,,,,,,
,,2018 - 2019,255,242,0.95,425,267,0.63,,,,,,,,,,,,
,,2019 - 2020,141,134,0.95,391,308,0.79,,,,,,,,,,,,
,,2020 - 2021,143,136,0.95,460,190,0.41,,,,,,,,,,,,
,,2021 - 2022,221,49,0.22,114,48,0.42,,,,,,,,,,,,
,,2022 - 2023,16,11,0.69,50,25,0.5,,,,,,,,,,,,
,9. Khammam,2000 - 2001,"2,377.00",796,0.33,"29,743.00","18,500.00",0.62,,,,,,,,,,,,
,,2001 - 2002,"2,292.00",699,0.3,"23,222.00","10,868.00",0.47,,,,,,,,,,,,
,,2002 - 2003,"2,488.00",634,0.25,"25,799.00","10,474.00",0.41,,,,,,,,,,,,
,,2003 - 2004,"4,390.00","1,484.00",0.34,"42,930.00","20,478.00",0.48,,,,,,,,,,,,
,,2004 - 2005,"2,417.00",788,0.33,"32,159.00","17,044.00",0.53,,,,,,,,,,,,
,,2005 - 2006,"2,944.00","2,090.00",0.71,"23,408.00","13,436.00",0.57,,,,,,,,,,,,
,,2006 - 2007,"6,047.00","6,482.00",1.07,"19,453.00","8,190.00",0.42,,,,,,,,,,,,
,,2007 - 2008,"8,000.00","7,000.00",0.88,"18,000.00","9,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"5,193.00","5,328.00",1.03,"14,027.00","5,499.00",0.39,,,,,,,,,,,,
,,2009 - 2010,"7,895.00","3,876.00",0.49,"12,694.00","2,031.00",0.16,,,,,,,,,,,,
,,2010 - 2011,"7,154.00","4,049.00",0.57,"13,300.00","7,342.00",0.55,,,,,,,,,,,,
,,2011 - 2012,"6,252.00","4,614.00",0.74,"4,589.00","2,795.00",0.61,,,,,,,,,,,,
,,2012 - 2013,"5,000.00","4,000.00",0.8,"8,000.00","5,000.00",0.63,,,,,,,,,,,,
,,2013 - 2014,"2,714.00","2,635.00",0.97,"5,688.00","3,697.00",0.65,,,,,,,,,,,,
,,2014 - 2015,"6,403.00","3,631.00",0.57,"4,845.00","2,423.00",0.5,,,,,,,,,,,,
,,2015 - 2016,"3,868.00","3,110.00",0.8,"6,739.00","4,488.00",0.67,,,,,,,,,,,,
,,2016 - 2017,"1,317.00","1,110.00",0.84,"17,470.00","7,687.00",0.44,,,,,,,,,,,,
,,2017 - 2018,788,784,0.99,"10,089.00","4,712.00",0.47,,,,,,,,,,,,
,,2018 - 2019,"1,087.00","1,067.00",0.98,"7,976.00","2,808.00",0.35,,,,,,,,,,,,
,,2019 - 2020,"1,323.00","1,277.00",0.97,"7,091.00","5,176.00",0.73,,,,,,,,,,,,
,,2020 - 2021,"5,870.00","5,815.00",0.99,"9,906.00",661,0.07,,,,,,,,,,,,
,,2021 - 2022,"3,473.00","3,779.00",1.09,"7,226.00","2,500.00",0.35,,,,,,,,,,,,
,,2022 - 2023,"1,400.00","1,333.00",0.95,"4,186.00","2,700.00",0.65,,,,,,,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,"1,364.00","1,232.00",0.9,"3,146.00","2,032.00",0.65,,,,,,,,,,,,
,,2017 - 2018,362,496,1.37,"1,469.00","1,136.00",0.77,,,,,,,,,,,,
,,2018 - 2019,249,430,1.73,"1,155.00",817,0.71,,,,,,,,,,,,
,,2019 - 2020,311,295,0.95,"1,285.00","1,027.00",0.8,,,,,,,,,,,,
,,2020 - 2021,534,505,0.95,"1,061.00",255,0.24,,,,,,,,,,,,
,,2021 - 2022,929,421,0.45,718,362,0.5,,,,,,,,,,,,
,,2022 - 2023,867,750,0.87,646,344,0.53,,,,,,,,,,,,
,11. Mahabubabad,2016 - 2017,"1,848.00","1,669.00",0.9,"15,553.00","12,178.00",0.78,,,,,,,,,,,,
,,2017 - 2018,856,563,0.66,"14,369.00","9,541.00",0.66,,,,,,,,,,,,
,,2018 - 2019,601,599,1,"8,876.00","4,527.00",0.51,,,,,,,,,,,,
,,2019 - 2020,473,507,1.07,"4,034.00","3,663.00",0.91,,,,,,,,,,,,
,,2020 - 2021,"1,568.00","1,307.00",0.83,"3,243.00",256,0.08,,,,,,,,,,,,
,,2021 - 2022,"2,211.00","1,817.00",0.82,"1,434.00",640,0.45,,,,,,,,,,,,
,,2022 - 2023,"1,033.00","1,056.00",1.02,"1,185.00",571,0.48,,,,,,,,,,,,
,12. Mahbubnagar,2000 - 2001,13,4,0.31,"42,800.00","2,012.00",0.05,,,,,,,,,,,,
,,2001 - 2002,8,2,0.25,"57,890.00",753,0.01,,,,,,,,,,,,
,,2002 - 2003,,,,"55,879.00","1,062.00",0.02,,,,,,,,,,,,
,,2003 - 2004,11,4,0.36,"38,604.00","3,976.00",0.1,,,,,,,,,,,,
,,2004 - 2005,,,,"29,662.00","2,284.00",0.08,,,,,,,,,,,,
,,2005 - 2006,,,,"25,388.00","15,411.00",0.61,,,,,,,,,,,,
,,2006 - 2007,119,103,0.87,"33,565.00","4,229.00",0.13,,,,,,,,,,,,
,,2007 - 2008,,,,"33,000.00","6,000.00",0.18,,,,,,,,,,,,
,,2008 - 2009,,,,"20,930.00","5,630.00",0.27,,,,,,,,,,,,
,,2009 - 2010,,,,"30,701.00",706,0.02,,,,,,,,,,,,
,,2010 - 2011,,,,"21,118.00","4,435.00",0.21,,,,,,,,,,,,
,,2011 - 2012,,,,"16,862.00","5,666.00",0.34,,,,,,,,,,,,
,,2012 - 2013,,,,"14,000.00","6,000.00",0.43,,,,,,,,,,,,
,,2013 - 2014,25,23,0.92,"11,247.00","5,747.00",0.51,,,,,,,,,,,,
,,2014 - 2015,78,46,0.59,"4,759.00","1,780.00",0.37,,,,,,,,,,,,
,,2015 - 2016,736,569,0.77,"9,204.00",653,0.07,,,,,,,,,,,,
,,2016 - 2017,36,33,0.92,"4,530.00","2,904.00",0.64,,,,,,,,,,,,
,,2017 - 2018,,,,"5,120.00","2,913.00",0.57,,,,,,,,,,,,
,,2018 - 2019,,,,61,33,0.54,,,,,,,,,,,,
,,2019 - 2020,2,2,1,100,79,0.79,,,,,,,,,,,,
,,2020 - 2021,5,5,1,119,50,0.42,,,,,,,,,,,,
,,2021 - 2022,45,43,0.96,46,28,0.61,,,,,,,,,,,,
,,2022 - 2023,2,2,1,85,57,0.67,,,,,,,,,,,,
,13. Mancherial,2016 - 2017,474,428,0.9,"1,365.00",882,0.65,,,,,,,,,,,,
,,2017 - 2018,305,254,0.83,473,302,0.64,,,,,,,,,,,,
,,2018 - 2019,150,142,0.95,262,165,0.63,,,,,,,,,,,,
,,2019 - 2020,166,157,0.95,91,72,0.79,,,,,,,,,,,,
,,2020 - 2021,288,273,0.95,327,136,0.42,,,,,,,,,,,,
,,2021 - 2022,715,"1,380.00",1.93,75,31,0.41,,,,,,,,,,,,
,,2022 - 2023,141,160,1.13,22,10,0.45,,,,,,,,,,,,
,14. Medak,2000 - 2001,71,24,0.34,"51,831.00","18,607.00",0.36,,,,,,,,,,,,
,,2001 - 2002,102,31,0.3,"59,316.00","26,514.00",0.45,,,,,,,,,,,,
,,2002 - 2003,142,36,0.25,"70,759.00","22,218.00",0.31,,,,,,,,,,,,
,,2003 - 2004,52,18,0.35,"81,090.00","60,250.00",0.74,,,,,,,,,,,,
,,2004 - 2005,36,12,0.33,"47,531.00","7,415.00",0.16,,,,,,,,,,,,
,,2005 - 2006,31,17,0.55,"42,047.00","11,395.00",0.27,,,,,,,,,,,,
,,2006 - 2007,20,17,0.85,"48,484.00","17,794.00",0.37,,,,,,,,,,,,
,,2007 - 2008,,,,"53,000.00","46,000.00",0.87,,,,,,,,,,,,
,,2008 - 2009,33,29,0.88,"50,020.00","18,808.00",0.38,,,,,,,,,,,,
,,2009 - 2010,115,53,0.46,"55,365.00",886,0.02,,,,,,,,,,,,
,,2010 - 2011,34,19,0.56,"50,039.00","35,027.00",0.7,,,,,,,,,,,,
,,2011 - 2012,,,,"33,676.00","24,482.00",0.73,,,,,,,,,,,,
