State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2019 - 2020,192,"1,280.00",6.67,,,,,,
,,2020 - 2021,142,947,6.67,,,,,,
,,2021 - 2022,130,93,0.72,,,,,,
,,2022 - 2023,120,880,7.33,,,,,,
,14. Golaghat,2000 - 2001,6,22,3.67,,,,,,
,,2001 - 2002,7,24,3.43,,,,,,
,,2002 - 2003,6,25,4.17,,,,,,
,,2003 - 2004,6,22,3.67,,,,,,
,,2004 - 2005,6,24,4,,,,,,
,,2005 - 2006,6,24,4,,,,,,
,,2006 - 2007,5,18,3.6,,,,,,
,,2007 - 2008,5,18,3.6,,,,,,
,,2008 - 2009,5,18,3.6,,,,,,
,,2009 - 2010,1,4,4,,,,,,
,,2012 - 2013,1,5,5,,,,,,
,,2013 - 2014,1,6,6,,,,,,
,,2014 - 2015,1,6,6,,,,,,
,,2015 - 2016,2,10,5,,,,,,
,,2016 - 2017,2,11,5.5,,,,,,
,,2017 - 2018,2,11,5.5,,,,,,
,,2018 - 2019,2,10,5,,,,,,
,,2019 - 2020,1,5,5,,,,,,
,,2020 - 2021,2,10,5,,,,,,
,,2021 - 2022,2,10,5,,,,,,
,,2022 - 2023,75,408,5.44,,,,,,
,15. Hailakandi,2013 - 2014,5,25,5,,,,,,
,16. Hojai,2020 - 2021,1,13,13,,,,,,
,,2021 - 2022,1,8,8,,,,,,
,,2022 - 2023,1,8,8,,,,,,
,17. Jorhat,2002 - 2003,6,30,5,,,,,,
,,2003 - 2004,2,10,5,,,,,,
,,2006 - 2007,1,5,5,,,,,,
,,2007 - 2008,1,5,5,,,,,,
,,2008 - 2009,4,20,5,,,,,,
,,2009 - 2010,4,20,5,,,,,,
,,2010 - 2011,3,15,5,,,,,,
,,2011 - 2012,5,27,5.4,,,,,,
,,2012 - 2013,2,10,5,,,,,,
,,2013 - 2014,3,15,5,,,,,,
,,2014 - 2015,6,33,5.5,,,,,,
,,2015 - 2016,4,21,5.25,,,,,,
,,2016 - 2017,4,21,5.25,,,,,,
,,2017 - 2018,6,34,5.67,,,,,,
,,2018 - 2019,8,43,5.38,,,,,,
,,2019 - 2020,9,50,5.56,,,,,,
,,2020 - 2021,6,33,5.5,,,,,,
,,2021 - 2022,6,33,5.5,,,,,,
,,2022 - 2023,7,38,5.43,,,,,,
,18. Kamrup,2000 - 2001,227,"1,094.00",4.82,,,,,,
,,2001 - 2002,218,"1,050.00",4.82,,,,,,
,,2002 - 2003,212,"1,020.00",4.81,,,,,,
,,2003 - 2004,196,943,4.81,,,,,,
,,2004 - 2005,173,833,4.82,,,,,,
,,2005 - 2006,199,957,4.81,,,,,,
,,2006 - 2007,109,524,4.81,,,,,,
,,2007 - 2008,171,822,4.81,,,,,,
,,2008 - 2009,154,740,4.81,,,,,,
,,2009 - 2010,45,216,4.8,,,,,,
,,2010 - 2011,61,293,4.8,,,,,,
,,2011 - 2012,76,453,5.96,,,,,,
,,2012 - 2013,75,377,5.03,,,,,,
,,2013 - 2014,64,324,5.06,,,,,,
,,2014 - 2015,80,416,5.2,,,,,,
,,2015 - 2016,69,365,5.29,,,,,,
,,2016 - 2017,72,381,5.29,,,,,,
,,2017 - 2018,66,349,5.29,,,,,,
,,2018 - 2019,65,344,5.29,,,,,,
,,2019 - 2020,61,323,5.3,,,,,,
,,2020 - 2021,61,324,5.31,,,,,,
,,2021 - 2022,56,299,5.34,,,,,,
,,2022 - 2023,68,793,11.66,,,,,,
,19. Kamrup metro,2005 - 2006,12,58,4.83,,,,,,
,,2006 - 2007,30,144,4.8,,,,,,
,,2007 - 2008,13,62,4.77,,,,,,
,,2008 - 2009,11,52,4.73,,,,,,
,,2009 - 2010,10,48,4.8,,,,,,
,,2010 - 2011,15,72,4.8,,,,,,
,,2011 - 2012,14,95,6.79,,,,,,
,,2012 - 2013,12,60,5,,,,,,
,,2013 - 2014,13,69,5.31,,,,,,
,,2014 - 2015,10,52,5.2,,,,,,
,,2015 - 2016,12,64,5.33,,,,,,
,,2016 - 2017,13,69,5.31,,,,,,
,,2017 - 2018,12,64,5.33,,,,,,
,,2018 - 2019,10,53,5.3,,,,,,
,,2019 - 2020,10,53,5.3,,,,,,
,,2020 - 2021,10,53,5.3,,,,,,
,,2021 - 2022,11,59,5.36,,,,,,
,,2022 - 2023,8,93,11.63,,,,,,
,20. Karbi anglong,2000 - 2001,74,386,5.22,,,,,,
,,2001 - 2002,81,425,5.25,,,,,,
,,2002 - 2003,83,438,5.28,,,,,,
,,2003 - 2004,95,504,5.31,,,,,,
,,2004 - 2005,104,554,5.33,,,,,,
,,2005 - 2006,127,682,5.37,,,,,,
,,2006 - 2007,130,699,5.38,,,,,,
,,2007 - 2008,142,766,5.39,,,,,,
,,2008 - 2009,142,766,5.39,,,,,,
,,2009 - 2010,175,949,5.42,,,,,,
,,2010 - 2011,179,"1,375.00",7.68,,,,,,
,,2011 - 2012,175,461,2.63,,,,,,
,,2012 - 2013,181,"1,455.00",8.04,,,,,,
,,2013 - 2014,176,929,5.28,,,,,,
,,2014 - 2015,179,"1,483.00",8.28,,,,,,
,,2015 - 2016,187,976,5.22,,,,,,
,,2016 - 2017,195,"1,033.00",5.3,,,,,,
,,2017 - 2018,186,986,5.3,,,,,,
,,2018 - 2019,188,998,5.31,,,,,,
,,2019 - 2020,178,952,5.35,,,,,,
,,2020 - 2021,177,949,5.36,,,,,,
,,2021 - 2022,197,"1,056.00",5.36,,,,,,
,,2022 - 2023,143,771,5.39,,,,,,
,21. Karimganj,2004 - 2005,10,50,5,,,,,,
,,2010 - 2011,3,15,5,,,,,,
,,2011 - 2012,1,7,7,,,,,,
,,2012 - 2013,1,5,5,,,,,,
,,2013 - 2014,2,10,5,,,,,,
,,2014 - 2015,2,11,5.5,,,,,,
,,2015 - 2016,1,5,5,,,,,,
,,2016 - 2017,1,5,5,,,,,,
,,2017 - 2018,1,4,4,,,,,,
,,2018 - 2019,1,4,4,,,,,,
,,2019 - 2020,1,5,5,,,,,,
,,2020 - 2021,1,4,4,,,,,,
,22. Kokrajhar,2000 - 2001,744,"4,038.00",5.43,,,,,,
,,2001 - 2002,897,"4,912.00",5.48,,,,,,
,,2002 - 2003,978,"5,373.00",5.49,,,,,,
,,2003 - 2004,995,"5,467.00",5.49,,,,,,
,,2004 - 2005,990,"5,439.00",5.49,,,,,,
,,2005 - 2006,952,"5,238.00",5.5,,,,,,
,,2006 - 2007,"1,116.00","6,102.00",5.47,,,,,,
,,2007 - 2008,"1,211.00","6,621.00",5.47,,,,,,
,,2008 - 2009,"1,246.00","6,825.00",5.48,,,,,,
,,2009 - 2010,"1,285.00","7,035.00",5.47,,,,,,
,,2010 - 2011,"1,343.00","7,318.00",5.45,,,,,,
,,2011 - 2012,"1,270.00","7,943.00",6.25,,,,,,
,,2012 - 2013,"1,298.00","9,707.00",7.48,,,,,,
,,2013 - 2014,"1,250.00","7,192.00",5.75,,,,,,
,,2014 - 2015,"1,244.00","7,293.00",5.86,,,,,,
,,2015 - 2016,"1,096.00","8,643.00",7.89,,,,,,
,,2016 - 2017,990,"5,605.00",5.66,,,,,,
,,2017 - 2018,901,"5,085.00",5.64,,,,,,
,,2018 - 2019,785,"4,451.00",5.67,,,,,,
,,2019 - 2020,717,"4,066.00",5.67,,,,,,
,,2020 - 2021,799,"4,547.00",5.69,,,,,,
,,2021 - 2022,682,"3,876.00",5.68,,,,,,
,,2022 - 2023,800,"5,460.00",6.83,,,,,,
,23. Lakhimpur,2000 - 2001,230,"1,087.00",4.73,,,,,,
,,2001 - 2002,19,75,3.95,,,,,,
,,2002 - 2003,18,71,3.94,,,,,,
,,2003 - 2004,15,59,3.93,,,,,,
,,2004 - 2005,20,79,3.95,,,,,,
,,2005 - 2006,20,79,3.95,,,,,,
,,2006 - 2007,16,63,3.94,,,,,,
,,2007 - 2008,16,63,3.94,,,,,,
,,2008 - 2009,14,55,3.93,,,,,,
,,2009 - 2010,11,43,3.91,,,,,,
,,2010 - 2011,8,32,4,,,,,,
,,2011 - 2012,25,142,5.68,,,,,,
,,2012 - 2013,21,87,4.14,,,,,,
