State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2020 - 2021,41,369,9,,,,,,
,,2021 - 2022,50,447,8.94,,,,,,
,,2022 - 2023,27,239,8.85,,,,,,
,3. Khowai,2012 - 2013,41,320,7.8,,,,,,
,,2013 - 2014,53,424,8,,,,,,
,,2014 - 2015,50,420,8.4,,,,,,
,,2015 - 2016,52,450,8.65,,,,,,
,,2016 - 2017,52,446,8.58,,,,,,
,,2017 - 2018,55,482,8.76,,,,,,
,,2018 - 2019,51,412.95,8.1,,,,,,
,,2019 - 2020,47,429,9.13,,,,,,
,,2020 - 2021,58,505,8.71,,,,,,
,,2021 - 2022,46,404,8.78,,,,,,
,,2022 - 2023,36,322,8.94,,,,,,
,4. North tripura,2004 - 2005,157,"1,457.00",9.28,,,,,,
,,2005 - 2006,106,968,9.13,,,,,,
,,2006 - 2007,127,"1,173.00",9.24,,,,,,
,,2007 - 2008,113,992,8.78,,,,,,
,,2008 - 2009,158,"1,466.00",9.28,,,,,,
,,2009 - 2010,227,"1,986.00",8.75,,,,,,
,,2010 - 2011,104,882,8.48,,,,,,
,,2011 - 2012,119,965,8.11,,,,,,
,,2012 - 2013,97,781,8.05,,,,,,
,,2013 - 2014,63,519,8.24,,,,,,
,,2014 - 2015,78,638,8.18,,,,,,
,,2015 - 2016,108,999,9.25,,,,,,
,,2016 - 2017,78,691,8.86,,,,,,
,,2017 - 2018,82,717,8.74,,,,,,
,,2018 - 2019,63,492.5,7.82,,,,,,
,,2019 - 2020,55,465,8.45,,,,,,
,,2020 - 2021,10,90,9,,,,,,
,,2021 - 2022,9,83,9.22,,,,,,
,,2022 - 2023,3,29,9.67,,,,,,
,5. Sepahijala,2012 - 2013,12,101,8.42,,,,,,
,,2013 - 2014,8,63,7.88,,,,,,
,,2014 - 2015,3,25,8.33,,,,,,
,,2015 - 2016,3,27,9,,,,,,
,,2016 - 2017,24,199,8.29,,,,,,
,,2017 - 2018,21,173,8.24,,,,,,
,,2018 - 2019,8,56.45,7.06,,,,,,
,,2019 - 2020,10,64,6.4,,,,,,
,,2020 - 2021,6,45,7.5,,,,,,
,,2021 - 2022,6,48,8,,,,,,
,,2022 - 2023,10,68,6.8,,,,,,
,6. South tripura,2004 - 2005,406,"2,773.00",6.83,,,,,,
,,2005 - 2006,346,"2,323.00",6.71,,,,,,
,,2006 - 2007,290,"1,941.00",6.69,,,,,,
,,2007 - 2008,297,"1,996.00",6.72,,,,,,
,,2008 - 2009,224,"1,634.00",7.29,,,,,,
,,2009 - 2010,264,"1,686.00",6.39,,,,,,
,,2010 - 2011,277,"2,230.00",8.05,,,,,,
,,2011 - 2012,223,"1,901.00",8.52,,,,,,
,,2012 - 2013,85,649,7.64,,,,,,
,,2013 - 2014,148,"1,158.00",7.82,,,,,,
,,2014 - 2015,89,641,7.2,,,,,,
,,2015 - 2016,91,742,8.15,,,,,,
,,2016 - 2017,86,696,8.09,,,,,,
,,2017 - 2018,91,719,7.9,,,,,,
,,2018 - 2019,91,688.1,7.56,,,,,,
,,2019 - 2020,71,544,7.66,,,,,,
,,2020 - 2021,49,373,7.61,,,,,,
,,2021 - 2022,55,419,7.62,,,,,,
,,2022 - 2023,40,298,7.45,,,,,,
,7. Unakoti,2012 - 2013,83,650,7.83,,,,,,
,,2013 - 2014,87,811,9.32,,,,,,
,,2014 - 2015,69,635,9.2,,,,,,
,,2015 - 2016,85,806,9.48,,,,,,
,,2016 - 2017,58,548,9.45,,,,,,
,,2017 - 2018,29,267,9.21,,,,,,
,,2018 - 2019,42,360.65,8.59,,,,,,
,,2019 - 2020,4,36,9,,,,,,
,,2020 - 2021,15,135,9,,,,,,
,,2021 - 2022,15,131,8.73,,,,,,
,,2022 - 2023,6,53,8.83,,,,,,
,8. West tripura,2004 - 2005,283,"2,116.00",7.48,,,,,,
,,2005 - 2006,276,"1,991.00",7.21,,,,,,
,,2006 - 2007,298,"2,206.00",7.4,,,,,,
,,2007 - 2008,210,"1,812.00",8.63,,,,,,
,,2008 - 2009,142,"1,106.00",7.79,,,,,,
,,2009 - 2010,111,870,7.84,,,,,,
,,2010 - 2011,82,649,7.91,,,,,,
,,2011 - 2012,82,682,8.32,,,,,,
,,2012 - 2013,19,153,8.05,,,,,,
,,2013 - 2014,15,119,7.93,,,,,,
,,2014 - 2015,15,116,7.73,,,,,,
,,2015 - 2016,10,84,8.4,,,,,,
,,2016 - 2017,32,255,7.97,,,,,,
,,2017 - 2018,31,262,8.45,,,,,,
,,2018 - 2019,33,273.2,8.28,,,,,,
,,2019 - 2020,34,290,8.53,,,,,,
,,2020 - 2021,23,195,8.48,,,,,,
,,2021 - 2022,18,152,8.44,,,,,,
,,2022 - 2023,5,42,8.4,,,,,,
14. West Bengal,1. 24 paraganas north,2000 - 2001,971,"8,120.00",8.36,,,,,,
,,2001 - 2002,"1,059.00","11,169.00",10.55,,,,,,
,,2002 - 2003,"1,105.00","9,503.00",8.6,,,,,,
,,2003 - 2004,626,"5,290.00",8.45,,,,,,
,,2004 - 2005,542,"5,404.00",9.97,,,,,,
,,2005 - 2006,"1,750.00","26,495.00",15.14,,,,,,
,,2006 - 2007,863,"11,503.00",13.33,,,,,,
,,2007 - 2008,295,"4,215.00",14.29,,,,,,
,,2008 - 2009,827,"10,236.00",12.38,,,,,,
,,2009 - 2010,581,"8,256.00",14.21,,,,,,
,,2010 - 2011,360,"4,681.00",13,,,,,,
,,2011 - 2012,710,"12,274.00",17.29,,,,,,
,,2012 - 2013,645,"9,339.00",14.48,,,,,,
,,2014 - 2015,569,"6,202.00",10.9,,,,,,
,,2015 - 2016,"1,099.00","12,968.00",11.8,,,,,,
,,2016 - 2017,"1,936.00","27,259.00",14.08,,,,,,
,,2017 - 2018,"1,669.00","20,178.00",12.09,,,,,,
,,2018 - 2019,"1,262.00","15,371.00",12.18,,,,,,
,,2019 - 2020,"1,607.00","28,304.00",17.61,,,,,,
,,2020 - 2021,"1,750.00","21,089.00",12.05,,,,,,
,,2021 - 2022,"1,708.00","34,065.00",19.94,,,,,,
,,2022 - 2023,"1,526.00","29,257.00",19.17,,,,,,
,2. 24 paraganas south,2005 - 2006,1,15,15,,,,,,
,,2010 - 2011,46,446,9.7,,,,,,
,3. Alipurduar,2016 - 2017,174,"1,684.00",9.68,,,,,,
,,2017 - 2018,130,"1,167.00",8.98,,,,,,
,,2018 - 2019,225,"2,603.00",11.57,,,,,,
,,2019 - 2020,184,"2,410.00",13.1,,,,,,
,,2020 - 2021,138,"1,639.00",11.88,,,,,,
,,2021 - 2022,146,"1,485.00",10.17,,,,,,
,,2022 - 2023,123,"1,743.00",14.17,,,,,,
,4. Bankura,2000 - 2001,22,120,5.45,,,,,,
,,2001 - 2002,"1,110.00","3,155.00",2.84,,,,,,
,,2002 - 2003,1,12,12,,,,,,
,,2003 - 2004,62,908,14.65,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,
,,2005 - 2006,1,10,10,,,,,,
,,2006 - 2007,1,10,10,,,,,,
,,2010 - 2011,49,13,0.27,,,,,,
,,2019 - 2020,49,200,4.08,,,,,,
,,2020 - 2021,27,114,4.22,,,,,,
,,2021 - 2022,18,54,3,,,,,,
,,2022 - 2023,13,56,4.31,,,,,,
,5. Birbhum,2007 - 2008,1,1,1,,,,,,
,,2013 - 2014,1,13,13,,,,,,
,,2016 - 2017,53,565,10.66,,,,,,
,,2019 - 2020,12,157,13.08,,,,,,
,,2020 - 2021,12,143,11.92,,,,,,
,,2021 - 2022,14,185,13.21,,,,,,
,,2022 - 2023,15,213,14.2,,,,,,
,6. Coochbehar,2000 - 2001,"2,222.00","18,070.00",8.13,,,,,,
,,2001 - 2002,"1,290.00","11,798.00",9.15,,,,,,
,,2002 - 2003,"1,136.00","7,861.00",6.92,,,,,,
,,2003 - 2004,857,"6,019.00",7.02,,,,,,
,,2004 - 2005,274,"2,431.00",8.87,,,,,,
,,2005 - 2006,353,"3,249.00",9.2,,,,,,
,,2006 - 2007,"1,005.00","7,757.00",7.72,,,,,,
,,2007 - 2008,272,"2,305.00",8.47,,,,,,
,,2008 - 2009,178,"1,597.00",8.97,,,,,,
,,2009 - 2010,225,"3,015.00",13.4,,,,,,
,,2010 - 2011,91,"1,041.00",11.44,,,,,,
,,2011 - 2012,42,403,9.6,,,,,,
,,2012 - 2013,128,"1,489.00",11.63,,,,,,
,,2013 - 2014,139,"1,392.00",10.01,,,,,,
,,2014 - 2015,123,"1,458.00",11.85,,,,,,
,,2015 - 2016,130,"1,511.00",11.62,,,,,,
,,2016 - 2017,140,"1,338.00",9.56,,,,,,
,,2017 - 2018,128,"1,473.00",11.51,,,,,,
,,2018 - 2019,123,"1,724.00",14.02,,,,,,
,,2019 - 2020,128,"1,677.00",13.1,,,,,,
,,2020 - 2021,123,"1,461.00",11.88,,,,,,
,,2021 - 2022,139,"1,650.00",11.87,,,,,,
,,2022 - 2023,141,"1,998.00",14.17,,,,,,
,7. Darjeeling,2001 - 2002,1,9,9,,,,,,
,,2015 - 2016,8,97,12.13,,,,,,
,,2016 - 2017,9,87,9.67,,,,,,
,,2017 - 2018,27,242,8.96,,,,,,
,,2018 - 2019,24,278,11.58,,,,,,
,,2019 - 2020,14,183,13.07,,,,,,
,,2020 - 2021,12,143,11.92,,,,,,
,,2021 - 2022,15,153,10.2,,,,,,
,,2022 - 2023,23,326,14.17,,,,,,
,8. Dinajpur dakshin,2000 - 2001,"1,481.00","14,990.00",10.12,,,,,,
,,2001 - 2002,"1,280.00","13,997.00",10.94,,,,,,
,,2002 - 2003,"1,258.00","16,496.00",13.11,,,,,,
,,2003 - 2004,"2,528.00","33,984.00",13.44,,,,,,
,,2004 - 2005,"2,337.00","27,635.00",11.82,,,,,,
,,2005 - 2006,"3,583.00","48,330.00",13.49,,,,,,
,,2006 - 2007,"3,654.00","43,044.00",11.78,,,,,,
,,2007 - 2008,"3,212.00","39,864.00",12.41,,,,,,
,,2008 - 2009,"3,223.00","48,293.00",14.98,,,,,,
,,2009 - 2010,"2,924.00","46,724.00",15.98,,,,,,
,,2010 - 2011,"3,891.00","53,700.00",13.8,,,,,,
,,2011 - 2012,"2,744.00","35,132.00",12.8,,,,,,
,,2012 - 2013,"3,022.00","41,970.00",13.89,,,,,,
,,2013 - 2014,"5,282.00","77,238.00",14.62,,,,,,
,,2014 - 2015,"5,230.00","71,760.00",13.72,,,,,,
,,2015 - 2016,"3,852.00","52,955.00",13.75,,,,,,
,,2016 - 2017,"3,505.00","49,188.00",14.03,,,,,,
,,2017 - 2018,"2,962.00","39,342.00",13.28,,,,,,
,,2018 - 2019,"3,918.00","52,385.00",13.37,,,,,,
,,2019 - 2020,"5,818.00","74,860.00",12.87,,,,,,
,,2020 - 2021,"5,681.00","69,646.00",12.26,,,,,,
,,2021 - 2022,"5,801.00","79,705.00",13.74,,,,,,
,,2022 - 2023,"6,623.00","86,848.00",13.11,,,,,,
,9. Dinajpur uttar,2000 - 2001,"2,473.00","16,210.00",6.55,,,,,,
,,2001 - 2002,"3,710.00","31,101.00",8.38,,,,,,
,,2002 - 2003,"2,794.00","21,556.00",7.72,,,,,,
,,2003 - 2004,"3,694.00","33,927.00",9.18,,,,,,
,,2004 - 2005,"4,072.00","34,440.00",8.46,,,,,,
,,2005 - 2006,"3,154.00","28,450.00",9.02,,,,,,
,,2006 - 2007,"2,409.00","17,683.00",7.34,,,,,,
,,2007 - 2008,"2,521.00","22,122.00",8.78,,,,,,
,,2008 - 2009,"2,515.00","23,855.00",9.49,,,,,,
,,2009 - 2010,789,"8,150.00",10.33,,,,,,
,,2010 - 2011,836,"7,618.00",9.11,,,,,,
,,2011 - 2012,912,"7,050.00",7.73,,,,,,
,,2012 - 2013,779,"6,795.00",8.72,,,,,,
,,2013 - 2014,936,"8,048.00",8.6,,,,,,
,,2014 - 2015,"1,029.00","12,157.00",11.81,,,,,,
,,2015 - 2016,"1,011.00","8,671.00",8.58,,,,,,
,,2016 - 2017,"1,339.00","12,425.00",9.28,,,,,,
,,2017 - 2018,950,"7,388.00",7.78,,,,,,
,,2018 - 2019,"1,216.00","10,864.00",8.93,,,,,,
,,2019 - 2020,"1,109.00","14,672.00",13.23,,,,,,
,,2020 - 2021,"1,181.00","14,526.00",12.3,,,,,,
,,2021 - 2022,"1,179.00","10,621.00",9.01,,,,,,
,,2022 - 2023,"1,010.00","9,355.00",9.26,,,,,,
,10. Hooghly,2002 - 2003,8,100,12.5,,,,,,
,,2003 - 2004,5,73,14.6,,,,,,
,,2012 - 2013,136,"1,699.00",12.49,,,,,,
,,2013 - 2014,131,"1,727.00",13.18,,,,,,
,,2014 - 2015,52,675,12.98,,,,,,
,,2015 - 2016,158,480,3.04,,,,,,
,,2016 - 2017,312,"3,326.00",10.66,,,,,,
,,2019 - 2020,105,"1,376.00",13.1,,,,,,
,,2020 - 2021,111,"1,319.00",11.88,,,,,,
,,2021 - 2022,96,"1,270.00",13.23,,,,,,
,,2022 - 2023,53,751,14.17,,,,,,
,11. Howrah,2006 - 2007,110,748,6.8,,,,,,
,12. Jalpaiguri,2000 - 2001,465,"3,420.00",7.35,,,,,,
,,2001 - 2002,417,"3,652.00",8.76,,,,,,
,,2002 - 2003,378,"3,281.00",8.68,,,,,,
,,2003 - 2004,325,"3,221.00",9.91,,,,,,
,,2004 - 2005,320,"2,640.00",8.25,,,,,,
,,2005 - 2006,237,"2,199.00",9.28,,,,,,
,,2006 - 2007,245,"2,519.00",10.28,,,,,,
,,2007 - 2008,241,"2,019.00",8.38,,,,,,
,,2008 - 2009,214,"2,329.00",10.88,,,,,,
,,2009 - 2010,229,"2,497.00",10.9,,,,,,
,,2010 - 2011,240,"2,892.00",12.05,,,,,,
,,2011 - 2012,279,"2,902.00",10.4,,,,,,
,,2012 - 2013,266,"2,728.00",10.26,,,,,,
,,2013 - 2014,162,"1,616.00",9.98,,,,,,
,,2014 - 2015,149,"2,001.00",13.43,,,,,,
,,2015 - 2016,220,"2,485.00",11.3,,,,,,
,,2016 - 2017,60,581,9.68,,,,,,
,,2018 - 2019,54,625,11.57,,,,,,
,,2019 - 2020,34,445,13.09,,,,,,
,,2020 - 2021,29,345,11.9,,,,,,
,,2021 - 2022,33,336,10.18,,,,,,
,,2022 - 2023,44,623,14.16,,,,,,
,13. Jhargram,2018 - 2019,70,276,3.94,,,,,,
,,2019 - 2020,14,57,4.07,,,,,,
,,2020 - 2021,15,64,4.27,,,,,,
,,2021 - 2022,18,54,3,,,,,,
,,2022 - 2023,11,48,4.36,,,,,,
,14. Maldah,2000 - 2001,539,"4,280.00",7.94,,,,,,
,,2001 - 2002,"1,114.00","10,143.00",9.11,,,,,,
,,2002 - 2003,824,"7,284.00",8.84,,,,,,
,,2003 - 2004,972,"9,010.00",9.27,,,,,,
,,2004 - 2005,629,"6,221.00",9.89,,,,,,
,,2005 - 2006,643,"7,028.00",10.93,,,,,,
,,2006 - 2007,567,"5,574.00",9.83,,,,,,
,,2007 - 2008,393,"3,191.00",8.12,,,,,,
,,2008 - 2009,273,"1,925.00",7.05,,,,,,
,,2009 - 2010,165,"2,185.00",13.24,,,,,,
,,2010 - 2011,426,"5,052.00",11.86,,,,,,
,,2011 - 2012,629,"4,802.00",7.63,,,,,,
,,2012 - 2013,568,"4,710.00",8.29,,,,,,
,,2013 - 2014,558,"4,368.00",7.83,,,,,,
,,2014 - 2015,102,739,7.25,,,,,,
,,2015 - 2016,580,"7,059.00",12.17,,,,,,
,,2016 - 2017,"1,149.00","12,294.00",10.7,,,,,,
,,2017 - 2018,849,"8,677.00",10.22,,,,,,
,,2018 - 2019,"1,044.00","13,060.00",12.51,,,,,,
,,2019 - 2020,745,"9,856.00",13.23,,,,,,
,,2020 - 2021,772,"9,496.00",12.3,,,,,,
,,2021 - 2022,762,"9,107.00",11.95,,,,,,
,,2022 - 2023,641,"8,948.00",13.96,,,,,,
,15. Medinipur east,2005 - 2006,27,275,10.19,,,,,,
,16. Medinipur west,2000 - 2001,350,"1,990.00",5.69,,,,,,
,,2001 - 2002,28,80,2.86,,,,,,
,,2003 - 2004,23,337,14.65,,,,,,
,,2004 - 2005,27,14,0.52,,,,,,
,,2005 - 2006,3,31,10.33,,,,,,
,,2012 - 2013,366,"4,571.00",12.49,,,,,,
,17. Murshidabad,2000 - 2001,"1,080.00","7,750.00",7.18,,,,,,
,,2001 - 2002,148,"1,561.00",10.55,,,,,,
,,2002 - 2003,105,903,8.6,,,,,,
,,2003 - 2004,94,794,8.45,,,,,,
,,2004 - 2005,173,"1,725.00",9.97,,,,,,
,,2005 - 2006,536,"8,115.00",15.14,,,,,,
,,2006 - 2007,603,"4,100.00",6.8,,,,,,
,,2007 - 2008,176,"1,459.00",8.29,,,,,,
,,2008 - 2009,119,844,7.09,,,,,,
,,2009 - 2010,226,"2,294.00",10.15,,,,,,
,,2010 - 2011,99,960,9.7,,,,,,
,,2012 - 2013,736,"8,773.00",11.92,,,,,,
,,2013 - 2014,717,"9,450.00",13.18,,,,,,
,,2014 - 2015,870,"8,708.00",10.01,,,,,,
,,2015 - 2016,"1,685.00","18,381.00",10.91,,,,,,
,,2016 - 2017,"3,725.00","39,007.00",10.47,,,,,,
,,2017 - 2018,"2,625.00","18,323.00",6.98,,,,,,
,,2018 - 2019,"1,952.00","24,420.00",12.51,,,,,,
,,2019 - 2020,"1,717.00","22,716.00",13.23,,,,,,
,,2020 - 2021,"1,821.00","22,398.00",12.3,,,,,,
,,2021 - 2022,"1,804.00","23,326.00",12.93,,,,,,
,,2022 - 2023,"1,646.00","22,978.00",13.96,,,,,,
,18. Nadia,2000 - 2001,"1,076.00","7,730.00",7.18,,,,,,
,,2001 - 2002,426,"4,493.00",10.55,,,,,,
,,2002 - 2003,515,"4,430.00",8.6,,,,,,
,,2003 - 2004,378,"3,032.00",8.02,,,,,,
,,2004 - 2005,122,"1,216.00",9.97,,,,,,
,,2005 - 2006,50,854,17.08,,,,,,
,,2006 - 2007,139,945,6.8,,,,,,
,,2007 - 2008,277,"2,296.00",8.29,,,,,,
,,2008 - 2009,529,"3,751.00",7.09,,,,,,
,,2009 - 2010,176,"1,786.00",10.15,,,,,,
,,2010 - 2011,25,243,9.72,,,,,,
,,2011 - 2012,109,"1,861.00",17.07,,,,,,
,,2012 - 2013,47,560,11.91,,,,,,
,,2013 - 2014,240,"3,163.00",13.18,,,,,,
,,2014 - 2015,499,"5,439.00",10.9,,,,,,
,,2015 - 2016,311,"4,078.00",13.11,,,,,,
,,2016 - 2017,617,"9,304.00",15.08,,,,,,
,,2017 - 2018,607,"9,627.00",15.86,,,,,,
,,2018 - 2019,419,"5,105.00",12.18,,,,,,
,,2019 - 2020,375,"5,314.00",14.17,,,,,,
,,2020 - 2021,387,"4,598.00",11.88,,,,,,
,,2021 - 2022,369,"5,598.00",15.17,,,,,,
,,2022 - 2023,328,"5,891.00",17.96,,,,,,
,19. Paschim bardhaman,2021 - 2022,5,66,13.2,,,,,,
,,2022 - 2023,16,227,14.19,,,,,,
,20. Purba bardhaman,2000 - 2001,126,720,5.71,,,,,,
,,2002 - 2003,33,411,12.45,,,,,,
,,2003 - 2004,9,132,14.67,,,,,,
,,2004 - 2005,88,46,0.52,,,,,,
,,2005 - 2006,1,10,10,,,,,,
,,2006 - 2007,5,51,10.2,,,,,,
,,2008 - 2009,6,55,9.17,,,,,,
,,2009 - 2010,5,58,11.6,,,,,,
,,2010 - 2011,162,44,0.27,,,,,,
,,2011 - 2012,2,2,1,,,,,,
,,2012 - 2013,3,37,12.33,,,,,,
,,2013 - 2014,277,"3,651.00",13.18,,,,,,
,,2014 - 2015,100,"1,299.00",12.99,,,,,,
,,2015 - 2016,175,532,3.04,,,,,,
,,2016 - 2017,346,"3,688.00",10.66,,,,,,
,,2017 - 2018,206,"2,089.00",10.14,,,,,,
,,2018 - 2019,314,"3,825.00",12.18,,,,,,
,,2019 - 2020,228,"2,987.00",13.1,,,,,,
,,2020 - 2021,103,"1,224.00",11.88,,,,,,
,,2021 - 2022,173,"2,289.00",13.23,,,,,,
,,2022 - 2023,95,"1,346.00",14.17,,,,,,
,21. Purulia,2000 - 2001,86,230,2.67,,,,,,
,,2001 - 2002,49,139,2.84,,,,,,
,,2002 - 2003,59,735,12.46,,,,,,
,,2003 - 2004,142,"2,080.00",14.65,,,,,,
,,2004 - 2005,45,69,1.53,,,,,,
,,2005 - 2006,19,193,10.16,,,,,,
,,2006 - 2007,59,596,10.1,,,,,,
,,2007 - 2008,44,27,0.61,,,,,,
,,2008 - 2009,24,16,0.67,,,,,,
,,2009 - 2010,38,104,2.74,,,,,,
,,2010 - 2011,31,62,2,,,,,,
,,2011 - 2012,3,3,1,,,,,,
,,2014 - 2015,159,"2,065.00",12.99,,,,,,
,,2015 - 2016,150,499,3.33,,,,,,
,,2016 - 2017,330,"1,185.00",3.59,,,,,,
,,2017 - 2018,207,537,2.59,,,,,,
,,2018 - 2019,130,427,3.28,,,,,,
,,2019 - 2020,295,997,3.38,,,,,,
,,2020 - 2021,307,"1,099.00",3.58,,,,,,
,,2021 - 2022,267,671,2.51,,,,,,
,,2022 - 2023,296,"1,061.00",3.58,,,,,,
