State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,212,"1,726.00",8.14,,,,,,,,,
,,2016 - 2017,226,"1,726.00",7.64,,,,,,,,,
,,2017 - 2018,230,"1,726.00",7.5,,,,,,,,,
,,2018 - 2019,230,"1,732.00",7.53,,,,,,,,,
,,2019 - 2020,231,"1,653.00",7.16,,,,,,,,,
,,2020 - 2021,232,"1,658.00",7.15,,,,,,,,,
,,2021 - 2022,240,"1,754.00",7.31,,,,,,,,,
,,2022 - 2023,248,"1,813.00",7.31,,,,,,,,,
,18. Shi yomi,2019 - 2020,19,131,6.89,,,,,,,,,
,,2020 - 2021,19,134,7.05,,,,,,,,,
,,2021 - 2022,20,142,7.1,,,,,,,,,
,,2022 - 2023,22,115,5.23,,,,,,,,,
,19. Siang,2015 - 2016,447,"3,572.00",7.99,,,,,,,,,
,,2016 - 2017,461,"3,572.00",7.75,,,,,,,,,
,,2017 - 2018,465,"3,334.00",7.17,,,,,,,,,
,,2018 - 2019,475,"3,350.00",7.05,,,,,,,,,
,,2019 - 2020,475,"3,350.00",7.05,,,,,,,,,
,,2020 - 2021,475,"3,355.00",7.06,,,,,,,,,
,,2021 - 2022,495,"3,582.00",7.24,,,,,,,,,
,,2022 - 2023,517,"3,797.00",7.34,,,,,,,,,
,20. Tawang,2002 - 2003,32,80,2.5,,,,,,,,,
,,2003 - 2004,32,80,2.5,,,,,,,,,
,,2004 - 2005,28,70,2.5,,,,,,,,,
,,2005 - 2006,26,65,2.5,,,,,,,,,
,,2006 - 2007,26,65,2.5,,,,,,,,,
,,2007 - 2008,26,65,2.5,,,,,,,,,
,,2008 - 2009,26,65,2.5,,,,,,,,,
,,2009 - 2010,15,38,2.53,,,,,,,,,
,,2010 - 2011,20,50,2.5,,,,,,,,,
,,2011 - 2012,21,52,2.48,,,,,,,,,
,,2012 - 2013,20,50,2.5,,,,,,,,,
,,2013 - 2014,20,50,2.5,,,,,,,,,
,,2014 - 2015,104,340,3.27,,,,,,,,,
,,2015 - 2016,120,404,3.37,,,,,,,,,
,,2016 - 2017,120,427,3.56,,,,,,,,,
,,2017 - 2018,124,427,3.44,,,,,,,,,
,,2018 - 2019,124,433,3.49,,,,,,,,,
,,2019 - 2020,125,433,3.46,,,,,,,,,
,,2020 - 2021,126,438,3.48,,,,,,,,,
,,2021 - 2022,131,496,3.79,,,,,,,,,
,,2022 - 2023,137,519,3.79,,,,,,,,,
,21. Tirap,2000 - 2001,100,279,2.79,,,,,,,,,
,,2001 - 2002,110,500,4.55,,,,,,,,,
,,2002 - 2003,116,528,4.55,,,,,,,,,
,,2003 - 2004,115,530,4.61,,,,,,,,,
,,2004 - 2005,230,"1,635.00",7.11,,,,,,,,,
,,2006 - 2007,122,534,4.38,,,,,,,,,
,,2007 - 2008,125,438,3.5,,,,,,,,,
,,2008 - 2009,128,442,3.45,,,,,,,,,
,,2009 - 2010,80,210,2.63,,,,,,,,,
,,2010 - 2011,80,212,2.65,,,,,,,,,
,,2011 - 2012,82,218,2.66,,,,,,,,,
,,2012 - 2013,23,184,8,,,,,,,,,
,,2013 - 2014,11,90,8.18,,,,,,,,,
,,2014 - 2015,28,180,6.43,,,,,,,,,
,,2015 - 2016,28,224,8,,,,,,,,,
,,2016 - 2017,42,224,5.33,,,,,,,,,
,,2017 - 2018,46,224,4.87,,,,,,,,,
,,2018 - 2019,46,230,5,,,,,,,,,
,,2019 - 2020,47,230,4.89,,,,,,,,,
,,2020 - 2021,47,235,5,,,,,,,,,
,,2021 - 2022,48,262,5.46,,,,,,,,,
,,2022 - 2023,54,295,5.46,,,,,,,,,
,22. Upper siang,2003 - 2004,15,100,6.67,,,,,,,,,
,,2004 - 2005,5,4,0.8,,,,,,,,,
,,2005 - 2006,220,"1,100.00",5,,,,,,,,,
,,2006 - 2007,240,"1,200.00",5,,,,,,,,,
,,2007 - 2008,255,"1,275.00",5,,,,,,,,,
,,2008 - 2009,255,"1,275.00",5,,,,,,,,,
,,2009 - 2010,200,"1,200.00",6,,,,,,,,,
,,2010 - 2011,210,"1,260.00",6,,,,,,,,,
,,2011 - 2012,215,"1,300.00",6.05,,,,,,,,,
,,2012 - 2013,225,"1,463.00",6.5,,,,,,,,,
,,2013 - 2014,230,"1,518.00",6.6,,,,,,,,,
,,2014 - 2015,318,"1,808.00",5.69,,,,,,,,,
,,2015 - 2016,298,"1,196.00",4.01,,,,,,,,,
,,2016 - 2017,298,"1,216.00",4.08,,,,,,,,,
,,2017 - 2018,302,"1,459.00",4.83,,,,,,,,,
,,2018 - 2019,302,"1,465.00",4.85,,,,,,,,,
,,2019 - 2020,303,"1,465.00",4.83,,,,,,,,,
,,2020 - 2021,303,"1,470.00",4.85,,,,,,,,,
,,2021 - 2022,315,"1,651.00",5.24,,,,,,,,,
,,2022 - 2023,323,"1,727.00",5.35,,,,,,,,,
,23. Upper subansiri,2001 - 2002,55,275,5,,,,,,,,,
,,2002 - 2003,60,303,5.05,,,,,,,,,
,,2003 - 2004,65,308,4.74,,,,,,,,,
,,2004 - 2005,66,453,6.86,,,,,,,,,
,,2005 - 2006,202,810,4.01,,,,,,,,,
,,2006 - 2007,127,"1,160.00",9.13,,,,,,,,,
,,2007 - 2008,247,"2,866.00",11.6,,,,,,,,,
,,2008 - 2009,242,"1,378.00",5.69,,,,,,,,,
,,2009 - 2010,121,688,5.69,,,,,,,,,
,,2010 - 2011,133,"1,258.00",9.46,,,,,,,,,
,,2011 - 2012,140,"1,298.00",9.27,,,,,,,,,
,,2012 - 2013,145,"1,305.00",9,,,,,,,,,
,,2013 - 2014,152,"1,402.00",9.22,,,,,,,,,
,,2014 - 2015,238,"1,692.00",7.11,,,,,,,,,
,,2015 - 2016,218,"1,736.00",7.96,,,,,,,,,
,,2016 - 2017,232,"1,736.00",7.48,,,,,,,,,
,,2017 - 2018,236,"1,677.00",7.11,,,,,,,,,
,,2018 - 2019,198,"1,415.00",7.15,,,,,,,,,
,,2019 - 2020,199,"1,415.00",7.11,,,,,,,,,
,,2020 - 2021,200,"1,420.00",7.1,,,,,,,,,
,,2021 - 2022,220,"1,602.00",7.28,,,,,,,,,
,,2022 - 2023,226,"1,646.00",7.28,,,,,,,,,
,24. West kameng,2000 - 2001,45,68,1.51,,,,,,,,,
,,2001 - 2002,45,68,1.51,,,,,,,,,
,,2002 - 2003,45,68,1.51,,,,,,,,,
,,2003 - 2004,45,68,1.51,,,,,,,,,
,,2004 - 2005,45,68,1.51,,,,,,,,,
,,2005 - 2006,45,68,1.51,,,,,,,,,
,,2006 - 2007,15,23,1.53,,,,,,,,,
,,2007 - 2008,45,70,1.56,,,,,,,,,
,,2008 - 2009,32,77,2.41,,,,,,,,,
,,2009 - 2010,50,80,1.6,,,,,,,,,
,,2010 - 2011,51,185,3.63,,,,,,,,,
,,2011 - 2012,53,190,3.58,,,,,,,,,
,,2012 - 2013,51,185,3.63,,,,,,,,,
,,2013 - 2014,50,186,3.72,,,,,,,,,
,,2014 - 2015,137,476,3.47,,,,,,,,,
,,2015 - 2016,117,540,4.62,,,,,,,,,
,,2016 - 2017,117,560,4.79,,,,,,,,,
,,2017 - 2018,121,560,4.63,,,,,,,,,
,,2018 - 2019,121,566,4.68,,,,,,,,,
,,2019 - 2020,122,566,4.64,,,,,,,,,
,,2020 - 2021,123,571,4.64,,,,,,,,,
,,2021 - 2022,127,630,4.96,,,,,,,,,
,,2022 - 2023,135,670,4.96,,,,,,,,,
,25. West siang,2000 - 2001,60,400,6.67,,,,,,,,,
,,2001 - 2002,48,387,8.06,,,,,,,,,
,,2002 - 2003,63,424,6.73,,,,,,,,,
,,2003 - 2004,63,420,6.67,,,,,,,,,
,,2004 - 2005,200,600,3,,,,,,,,,
,,2005 - 2006,66,449,6.8,,,,,,,,,
,,2006 - 2007,177,"1,636.00",9.24,,,,,,,,,
,,2007 - 2008,273,"2,624.00",9.61,,,,,,,,,
,,2008 - 2009,290,"2,776.00",9.57,,,,,,,,,
,,2009 - 2010,295,"2,832.00",9.6,,,,,,,,,
,,2010 - 2011,298,"2,867.00",9.62,,,,,,,,,
,,2011 - 2012,307,"2,960.00",9.64,,,,,,,,,
,,2012 - 2013,317,"3,132.00",9.88,,,,,,,,,
,,2013 - 2014,230,"1,462.00",6.36,,,,,,,,,
,,2014 - 2015,317,"1,952.00",6.16,,,,,,,,,
,,2015 - 2016,182,"1,459.00",8.02,,,,,,,,,
,,2016 - 2017,196,"1,459.00",7.44,,,,,,,,,
,,2017 - 2018,200,"1,400.00",7,,,,,,,,,
,,2018 - 2019,82,580,7.07,,,,,,,,,
,,2019 - 2020,43,304,7.07,,,,,,,,,
,,2020 - 2021,43,309,7.19,,,,,,,,,
,,2021 - 2022,44,336,7.64,,,,,,,,,
,,2022 - 2023,52,397,7.63,,,,,,,,,
4. Assam,1. Baksa,2007 - 2008,529,"3,662.00",6.92,,,,,,,,,
,,2008 - 2009,393,"2,721.00",6.92,,,,,,,,,
,,2009 - 2010,461,"3,192.00",6.92,,,,,,,,,
,,2010 - 2011,465,"3,219.00",6.92,,,,,,,,,
,,2011 - 2012,440,"3,075.00",6.99,,,,,,,,,
,,2012 - 2013,600,"4,797.00",8,,,,,,,,,
,,2013 - 2014,630,"5,037.00",8,,,,,,,,,
,,2014 - 2015,650,"5,210.00",8.02,,,,,,,,,
,,2015 - 2016,672,"5,400.00",8.04,,,,,,,,,
,,2016 - 2017,675,"5,524.00",8.18,,,,,,,,,
,,2017 - 2018,680,"5,573.00",8.2,,,,,,,,,
,,2018 - 2019,690,"6,084.00",8.82,,,,,,,,,
,,2019 - 2020,690,"6,200.00",8.99,,,,,,,,,
,,2020 - 2021,645,"5,795.00",8.98,,,,,,,,,
,,2021 - 2022,682,"6,128.00",8.99,,,,,,,,,
,,2022 - 2023,685,"6,205.00",9.06,,,,,,,,,
,2. Barpeta,2007 - 2008,668,"4,355.00",6.52,,,,,,,,,
,,2008 - 2009,443,"2,888.00",6.52,,,,,,,,,
,,2009 - 2010,518,"3,378.00",6.52,,,,,,,,,
,,2010 - 2011,734,"4,786.00",6.52,,,,,,,,,
,,2011 - 2012,725,"4,813.00",6.64,,,,,,,,,
,,2012 - 2013,687,"5,259.00",7.66,,,,,,,,,
,,2013 - 2014,667,"5,106.00",7.66,,,,,,,,,
,,2014 - 2015,678,"5,197.00",7.67,,,,,,,,,
,,2015 - 2016,546,"4,193.00",7.68,,,,,,,,,
,,2016 - 2017,665,"5,171.00",7.78,,,,,,,,,
,,2017 - 2018,657,"5,114.00",7.78,,,,,,,,,
,,2018 - 2019,640,"5,246.00",8.2,,,,,,,,,
,,2019 - 2020,648,"5,385.00",8.31,,,,,,,,,
,,2020 - 2021,636,"5,286.00",8.31,,,,,,,,,
,,2021 - 2022,657,"5,460.00",8.31,,,,,,,,,
,,2022 - 2023,676,"5,671.00",8.39,,,,,,,,,
,3. Biswanath,2020 - 2021,145,"1,465.00",10.1,,,,,,,,,
,,2021 - 2022,200,"2,021.00",10.11,,,,,,,,,
,,2022 - 2023,324,"3,376.00",10.42,,,,,,,,,
,4. Bongaigaon,2007 - 2008,183,"1,127.00",6.16,,,,,,,,,
,,2008 - 2009,186,"1,145.00",6.16,,,,,,,,,
,,2009 - 2010,171,"1,053.00",6.16,,,,,,,,,
,,2010 - 2011,175,"1,077.00",6.15,,,,,,,,,
,,2011 - 2012,170,"1,067.00",6.28,,,,,,,,,
,,2012 - 2013,178,"1,155.00",6.49,,,,,,,,,
,,2013 - 2014,220,"1,428.00",6.49,,,,,,,,,
,,2014 - 2015,215,"1,397.00",6.5,,,,,,,,,
,,2015 - 2016,225,"1,471.00",6.54,,,,,,,,,
,,2016 - 2017,239,"1,645.00",6.88,,,,,,,,,
,,2017 - 2018,230,"1,587.00",6.9,,,,,,,,,
,,2018 - 2019,236,"1,837.00",7.78,,,,,,,,,
,,2019 - 2020,224,"1,917.00",8.56,,,,,,,,,
,,2020 - 2021,218,"1,866.00",8.56,,,,,,,,,
,,2021 - 2022,289,"2,474.00",8.56,,,,,,,,,
,,2022 - 2023,290,"2,634.00",9.08,,,,,,,,,
,5. Cachar,2007 - 2008,204,"1,416.00",6.94,,,,,,,,,
,,2008 - 2009,212,"1,472.00",6.94,,,,,,,,,
,,2009 - 2010,210,"1,458.00",6.94,,,,,,,,,
,,2010 - 2011,232,"1,610.00",6.94,,,,,,,,,
,,2011 - 2012,238,"1,662.00",6.98,,,,,,,,,
,,2012 - 2013,239,"1,672.00",7,,,,,,,,,
,,2013 - 2014,239,"1,672.00",7,,,,,,,,,
,,2014 - 2015,247,"1,760.00",7.13,,,,,,,,,
,,2015 - 2016,223,"1,592.00",7.14,,,,,,,,,
,,2016 - 2017,202,"1,494.00",7.4,,,,,,,,,
,,2017 - 2018,192,"1,422.00",7.41,,,,,,,,,
,,2018 - 2019,197,"1,661.00",8.43,,,,,,,,,
,,2019 - 2020,198,"1,725.00",8.71,,,,,,,,,
,,2020 - 2021,213,"1,856.00",8.71,,,,,,,,,
,,2021 - 2022,236,"2,055.00",8.71,,,,,,,,,
,,2022 - 2023,228,"2,038.00",8.94,,,,,,,,,
,6. Charaideo,2020 - 2021,49,480,9.8,,,,,,,,,
,,2021 - 2022,59,578,9.8,,,,,,,,,
,,2022 - 2023,71,760,10.7,,,,,,,,,
,7. Chirang,2007 - 2008,153,"1,065.00",6.96,,,,,,,,,
,,2008 - 2009,273,"1,901.00",6.96,,,,,,,,,
,,2009 - 2010,213,"1,483.00",6.96,,,,,,,,,
,,2010 - 2011,391,"2,722.00",6.96,,,,,,,,,
,,2011 - 2012,302,"1,510.00",5,,,,,,,,,
,,2012 - 2013,371,"1,864.00",5.02,,,,,,,,,
,,2013 - 2014,348,"1,749.00",5.03,,,,,,,,,
,,2014 - 2015,488,"2,457.00",5.03,,,,,,,,,
,,2015 - 2016,440,"2,218.00",5.04,,,,,,,,,
,,2016 - 2017,441,"2,333.00",5.29,,,,,,,,,
,,2017 - 2018,455,"2,416.00",5.31,,,,,,,,,
,,2018 - 2019,445,"2,775.00",6.24,,,,,,,,,
,,2019 - 2020,451,"2,934.00",6.51,,,,,,,,,
,,2020 - 2021,523,"3,402.00",6.5,,,,,,,,,
,,2021 - 2022,555,"3,610.00",6.5,,,,,,,,,
,,2022 - 2023,585,"3,864.00",6.61,,,,,,,,,
,8. Darrang,2007 - 2008,257,"1,703.00",6.63,,,,,,,,,
,,2008 - 2009,415,"2,749.00",6.62,,,,,,,,,
,,2009 - 2010,402,"2,663.00",6.62,,,,,,,,,
,,2010 - 2011,390,"2,584.00",6.63,,,,,,,,,
,,2011 - 2012,392,"2,643.00",6.74,,,,,,,,,
,,2012 - 2013,400,"3,100.00",7.75,,,,,,,,,
,,2013 - 2014,404,"3,131.00",7.75,,,,,,,,,
,,2014 - 2015,399,"3,096.00",7.76,,,,,,,,,
,,2015 - 2016,373,"2,900.00",7.77,,,,,,,,,
,,2016 - 2017,414,"3,288.00",7.94,,,,,,,,,
,,2017 - 2018,395,"3,143.00",7.96,,,,,,,,,
,,2018 - 2019,397,"3,432.00",8.64,,,,,,,,,
,,2019 - 2020,358,"3,161.00",8.83,,,,,,,,,
,,2020 - 2021,365,"3,223.00",8.83,,,,,,,,,
,,2021 - 2022,407,"3,594.00",8.83,,,,,,,,,
,,2022 - 2023,408,"3,656.00",8.96,,,,,,,,,
,9. Dhemaji,2007 - 2008,385,"3,346.00",8.69,,,,,,,,,
,,2008 - 2009,380,"3,302.00",8.69,,,,,,,,,
,,2009 - 2010,380,"3,302.00",8.69,,,,,,,,,
,,2010 - 2011,425,"3,693.00",8.69,,,,,,,,,
,,2011 - 2012,433,"3,788.00",8.75,,,,,,,,,
,,2012 - 2013,500,"4,386.00",8.77,,,,,,,,,
,,2013 - 2014,500,"4,386.00",8.77,,,,,,,,,
,,2014 - 2015,500,"4,388.00",8.78,,,,,,,,,
,,2015 - 2016,500,"4,390.00",8.78,,,,,,,,,
,,2016 - 2017,504,"4,497.00",8.92,,,,,,,,,
,,2017 - 2018,484,"4,325.00",8.94,,,,,,,,,
,,2018 - 2019,487,"4,650.00",9.55,,,,,,,,,
,,2019 - 2020,491,"4,767.00",9.71,,,,,,,,,
,,2020 - 2021,489,"4,748.00",9.71,,,,,,,,,
,,2021 - 2022,340,"3,301.00",9.71,,,,,,,,,
,,2022 - 2023,337,"3,304.00",9.8,,,,,,,,,
,10. Dhubri,2007 - 2008,137,"1,158.00",8.45,,,,,,,,,
,,2008 - 2009,50,424,8.48,,,,,,,,,
,,2009 - 2010,101,854,8.46,,,,,,,,,
,,2010 - 2011,95,803,8.45,,,,,,,,,
,,2011 - 2012,118,"1,011.00",8.57,,,,,,,,,
,,2012 - 2013,105,912,8.69,,,,,,,,,
,,2013 - 2014,101,877,8.68,,,,,,,,,
,,2014 - 2015,107,930,8.69,,,,,,,,,
,,2015 - 2016,221,"1,928.00",8.72,,,,,,,,,
,,2016 - 2017,143,"1,301.00",9.1,,,,,,,,,
,,2017 - 2018,157,"1,429.00",9.1,,,,,,,,,
,,2018 - 2019,143,"1,519.00",10.62,,,,,,,,,
,,2019 - 2020,146,"1,603.00",10.98,,,,,,,,,
,,2020 - 2021,130,"1,427.00",10.98,,,,,,,,,
,,2021 - 2022,135,"1,482.00",10.98,,,,,,,,,
,,2022 - 2023,390,"4,411.00",11.31,,,,,,,,,
,11. Dibrugarh,2007 - 2008,107,594,5.55,,,,,,,,,
,,2008 - 2009,84,467,5.56,,,,,,,,,
,,2009 - 2010,123,684,5.56,,,,,,,,,
,,2010 - 2011,145,806,5.56,,,,,,,,,
,,2011 - 2012,148,"1,144.00",7.73,,,,,,,,,
,,2012 - 2013,160,"1,255.00",7.84,,,,,,,,,
,,2013 - 2014,172,"1,349.00",7.84,,,,,,,,,
,,2014 - 2015,164,"1,289.00",7.86,,,,,,,,,
,,2015 - 2016,152,"1,195.00",7.86,,,,,,,,,
,,2016 - 2017,149,"1,227.00",8.23,,,,,,,,,
,,2017 - 2018,155,"1,278.00",8.25,,,,,,,,,
,,2018 - 2019,133,"1,279.00",9.62,,,,,,,,,
,,2019 - 2020,138,"1,374.00",9.96,,,,,,,,,
,,2020 - 2021,138,"1,374.00",9.96,,,,,,,,,
,,2021 - 2022,129,"1,284.00",9.95,,,,,,,,,
,,2022 - 2023,120,"1,226.00",10.22,,,,,,,,,
,12. Dima hasao,2007 - 2008,"3,129.00","20,511.00",6.56,,,,,,,,,
,,2008 - 2009,"3,130.00","20,517.00",6.55,,,,,,,,,
,,2009 - 2010,"3,335.00","21,861.00",6.56,,,,,,,,,
,,2010 - 2011,"3,210.00","21,042.00",6.56,,,,,,,,,
,,2011 - 2012,"3,726.00","25,277.00",6.78,,,,,,,,,
,,2012 - 2013,"3,970.00","30,887.00",7.78,,,,,,,,,
,,2013 - 2014,"4,283.00","30,251.00",7.06,,,,,,,,,
,,2014 - 2015,"4,363.00","39,258.00",9,,,,,,,,,
,,2015 - 2016,"4,393.00","39,533.00",9,,,,,,,,,
,,2016 - 2017,"4,346.00","39,188.00",9.02,,,,,,,,,
,,2017 - 2018,"4,571.00","41,253.00",9.02,,,,,,,,,
,,2018 - 2019,"4,437.00","40,408.00",9.11,,,,,,,,,
,,2019 - 2020,"4,451.00","40,633.00",9.13,,,,,,,,,
,,2020 - 2021,"4,385.00","40,031.00",9.13,,,,,,,,,
,,2021 - 2022,"4,395.00","40,122.00",9.13,,,,,,,,,
,,2022 - 2023,"4,395.00","40,170.00",9.14,,,,,,,,,
,13. Goalpara,2007 - 2008,380,"2,706.00",7.12,,,,,,,,,
,,2008 - 2009,390,"2,778.00",7.12,,,,,,,,,
,,2009 - 2010,410,"2,920.00",7.12,,,,,,,,,
,,2010 - 2011,450,"3,205.00",7.12,,,,,,,,,
,,2011 - 2012,450,"3,264.00",7.25,,,,,,,,,
,,2012 - 2013,476,"3,511.00",7.38,,,,,,,,,
,,2013 - 2014,492,"3,629.00",7.38,,,,,,,,,
,,2014 - 2015,550,"4,062.00",7.39,,,,,,,,,
,,2015 - 2016,263,"1,944.00",7.39,,,,,,,,,
,,2016 - 2017,261,"1,969.00",7.54,,,,,,,,,
,,2017 - 2018,291,"2,199.00",7.56,,,,,,,,,
,,2018 - 2019,302,"2,470.00",8.18,,,,,,,,,
,,2019 - 2020,312,"2,606.00",8.35,,,,,,,,,
,,2020 - 2021,314,"2,623.00",8.35,,,,,,,,,
,,2021 - 2022,335,"2,798.00",8.35,,,,,,,,,
,,2022 - 2023,339,"2,885.00",8.51,,,,,,,,,
,14. Golaghat,2007 - 2008,623,"4,065.00",6.52,,,,,,,,,
,,2008 - 2009,"1,099.00","7,172.00",6.53,,,,,,,,,
,,2009 - 2010,"1,206.00","7,869.00",6.52,,,,,,,,,
,,2010 - 2011,"1,222.00","7,974.00",6.53,,,,,,,,,
,,2011 - 2012,"1,190.00","10,637.00",8.94,,,,,,,,,
,,2012 - 2013,"1,171.00","10,502.00",8.97,,,,,,,,,
,,2013 - 2014,"1,151.00","10,322.00",8.97,,,,,,,,,
,,2014 - 2015,"1,078.00","9,669.00",8.97,,,,,,,,,
,,2015 - 2016,951,"8,535.00",8.97,,,,,,,,,
,,2016 - 2017,951,"8,588.00",9.03,,,,,,,,,
,,2017 - 2018,951,"8,602.00",9.05,,,,,,,,,
,,2018 - 2019,950,"8,831.00",9.3,,,,,,,,,
,,2019 - 2020,959,"9,010.00",9.4,,,,,,,,,
,,2020 - 2021,949,"8,916.00",9.4,,,,,,,,,
,,2021 - 2022,720,"6,765.00",9.4,,,,,,,,,
,,2022 - 2023,636,"6,007.00",9.44,,,,,,,,,
,15. Hailakandi,2007 - 2008,299,"1,509.00",5.05,,,,,,,,,
,,2008 - 2009,130,656,5.05,,,,,,,,,
,,2009 - 2010,215,"1,085.00",5.05,,,,,,,,,
,,2010 - 2011,185,934,5.05,,,,,,,,,
,,2011 - 2012,205,"1,058.00",5.16,,,,,,,,,
,,2012 - 2013,210,"1,285.00",6.12,,,,,,,,,
,,2013 - 2014,210,"1,285.00",6.12,,,,,,,,,
,,2014 - 2015,205,"1,258.00",6.14,,,,,,,,,
,,2015 - 2016,203,"1,247.00",6.14,,,,,,,,,
,,2016 - 2017,206,"1,330.00",6.46,,,,,,,,,
,,2017 - 2018,81,523,6.46,,,,,,,,,
,,2018 - 2019,252,"1,926.00",7.64,,,,,,,,,
,,2019 - 2020,180,"1,434.00",7.97,,,,,,,,,
,,2020 - 2021,230,"1,832.00",7.97,,,,,,,,,
,,2021 - 2022,207,"1,649.00",7.97,,,,,,,,,
,,2022 - 2023,187,"1,530.00",8.18,,,,,,,,,
,16. Hojai,2020 - 2021,160,"1,712.00",10.7,,,,,,,,,
,,2021 - 2022,160,"1,712.00",10.7,,,,,,,,,
,,2022 - 2023,160,"1,756.00",10.98,,,,,,,,,
,17. Jorhat,2007 - 2008,30,204,6.8,,,,,,,,,
,,2008 - 2009,433,"2,949.00",6.81,,,,,,,,,
,,2009 - 2010,191,"1,300.00",6.81,,,,,,,,,
,,2010 - 2011,286,"1,947.00",6.81,,,,,,,,,
,,2011 - 2012,168,"1,318.00",7.85,,,,,,,,,
,,2012 - 2013,248,"1,951.00",7.87,,,,,,,,,
,,2013 - 2014,218,"1,714.00",7.86,,,,,,,,,
,,2014 - 2015,235,"1,853.00",7.89,,,,,,,,,
,,2015 - 2016,283,"2,233.00",7.89,,,,,,,,,
,,2016 - 2017,239,"1,961.00",8.21,,,,,,,,,
,,2017 - 2018,274,"2,253.00",8.22,,,,,,,,,
,,2018 - 2019,301,"2,857.00",9.49,,,,,,,,,
,,2019 - 2020,306,"3,002.00",9.81,,,,,,,,,
,,2020 - 2021,127,"1,246.00",9.81,,,,,,,,,
,,2021 - 2022,121,"1,187.00",9.81,,,,,,,,,
,,2022 - 2023,125,"1,271.00",10.17,,,,,,,,,
,18. Kamrup,2007 - 2008,274,"2,033.00",7.42,,,,,,,,,
,,2008 - 2009,266,"1,974.00",7.42,,,,,,,,,
,,2009 - 2010,384,"2,849.00",7.42,,,,,,,,,
,,2010 - 2011,314,"2,329.00",7.42,,,,,,,,,
,,2011 - 2012,320,"2,419.00",7.56,,,,,,,,,
,,2012 - 2013,368,"2,823.00",7.67,,,,,,,,,
,,2013 - 2014,412,"3,160.00",7.67,,,,,,,,,
,,2014 - 2015,474,"3,640.00",7.68,,,,,,,,,
,,2015 - 2016,482,"3,704.00",7.68,,,,,,,,,
,,2016 - 2017,484,"3,816.00",7.88,,,,,,,,,
,,2017 - 2018,480,"3,788.00",7.89,,,,,,,,,
,,2018 - 2019,472,"4,108.00",8.7,,,,,,,,,
,,2019 - 2020,471,"4,201.00",8.92,,,,,,,,,
,,2020 - 2021,649,"5,788.00",8.92,,,,,,,,,
,,2021 - 2022,773,"6,894.00",8.92,,,,,,,,,
,,2022 - 2023,710,"6,384.00",8.99,,,,,,,,,
,19. Kamrup metro,2007 - 2008,100,583,5.83,,,,,,,,,
,,2008 - 2009,95,554,5.83,,,,,,,,,
,,2009 - 2010,104,606,5.83,,,,,,,,,
,,2010 - 2011,107,623,5.82,,,,,,,,,
,,2011 - 2012,110,"1,085.00",9.86,,,,,,,,,
,,2012 - 2013,125,"1,246.00",9.97,,,,,,,,,
,,2013 - 2014,105,"1,047.00",9.97,,,,,,,,,
,,2014 - 2015,101,"1,007.00",9.97,,,,,,,,,
,,2015 - 2016,96,959,9.99,,,,,,,,,
,,2016 - 2017,92,950,10.33,,,,,,,,,
,,2017 - 2018,61,631,10.34,,,,,,,,,
,,2018 - 2019,66,782,11.85,,,,,,,,,
,,2019 - 2020,68,828,12.18,,,,,,,,,
,,2020 - 2021,70,852,12.17,,,,,,,,,
,,2021 - 2022,75,763,10.17,,,,,,,,,
,,2022 - 2023,261,"2,806.00",10.75,,,,,,,,,
,20. Karbi anglong,2007 - 2008,"1,894.00","13,321.00",7.03,,,,,,,,,
,,2008 - 2009,"1,916.00","13,475.00",7.03,,,,,,,,,
,,2009 - 2010,"2,481.00","17,448.00",7.03,,,,,,,,,
,,2010 - 2011,"2,498.00","17,569.00",7.03,,,,,,,,,
,,2011 - 2012,"2,343.00","17,021.00",7.26,,,,,,,,,
,,2012 - 2013,"2,442.00","18,010.00",7.38,,,,,,,,,
,,2013 - 2014,"1,566.00","12,728.00",8.13,,,,,,,,,
,,2014 - 2015,"1,588.00","16,971.00",10.69,,,,,,,,,
,,2015 - 2016,"1,599.00","17,213.00",10.76,,,,,,,,,
,,2016 - 2017,"2,647.00","28,302.00",10.69,,,,,,,,,
,,2017 - 2018,"2,758.00","29,771.00",10.79,,,,,,,,,
,,2018 - 2019,"2,845.00","30,462.00",10.71,,,,,,,,,
,,2019 - 2020,"2,928.00","31,435.00",10.74,,,,,,,,,
,,2020 - 2021,"1,841.00","19,984.00",10.85,,,,,,,,,
,,2021 - 2022,"1,760.00","19,105.00",10.86,,,,,,,,,
,,2022 - 2023,"1,861.00","20,212.00",10.86,,,,,,,,,
,21. Karimganj,2007 - 2008,105,780,7.43,,,,,,,,,
,,2008 - 2009,115,855,7.43,,,,,,,,,
,,2009 - 2010,115,854,7.43,,,,,,,,,
,,2010 - 2011,126,936,7.43,,,,,,,,,
,,2011 - 2012,138,"1,046.00",7.58,,,,,,,,,
,,2012 - 2013,151,"1,160.00",7.68,,,,,,,,,
,,2013 - 2014,151,"1,160.00",7.68,,,,,,,,,
,,2014 - 2015,160,"1,230.00",7.69,,,,,,,,,
