State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,120,526,4.38,,,,,,,,,
,,2005 - 2006,12,86,7.17,,,,,,,,,
,,2006 - 2007,5,8,1.6,,,,,,,,,
,,2007 - 2008,17,101,5.94,,,,,,,,,
,,2008 - 2009,20,125,6.25,,,,,,,,,
,,2009 - 2010,20,125,6.25,,,,,,,,,
,,2010 - 2011,30,120,4,,,,,,,,,
,,2011 - 2012,30,124,4.13,,,,,,,,,
,,2012 - 2013,84,230,2.74,,,,,,,,,
,,2013 - 2014,89,255,2.87,,,,,,,,,
,,2014 - 2015,176,545,3.1,,,,,,,,,
,,2015 - 2016,156,745,4.78,,,,,,,,,
,,2016 - 2017,156,765,4.9,,,,,,,,,
,,2017 - 2018,160,765,4.78,,,,,,,,,
,,2018 - 2019,160,771,4.82,,,,,,,,,
,,2019 - 2020,161,771,4.79,,,,,,,,,
,,2020 - 2021,161,776,4.82,,,,,,,,,
,,2021 - 2022,168,855,5.09,,,,,,,,,
,,2022 - 2023,170,864,5.08,,,,,,,,,
,4. East kameng,2000 - 2001,42,170,4.05,,,,,,,,,
,,2001 - 2002,52,234,4.5,,,,,,,,,
,,2002 - 2003,52,231,4.44,,,,,,,,,
,,2003 - 2004,47,209,4.45,,,,,,,,,
,,2004 - 2005,50,222,4.44,,,,,,,,,
,,2005 - 2006,55,227,4.13,,,,,,,,,
,,2006 - 2007,55,223,4.05,,,,,,,,,
,,2007 - 2008,55,225,4.09,,,,,,,,,
,,2008 - 2009,56,231,4.13,,,,,,,,,
,,2009 - 2010,58,239,4.12,,,,,,,,,
,,2010 - 2011,60,244,4.07,,,,,,,,,
,,2011 - 2012,62,252,4.06,,,,,,,,,
,,2012 - 2013,62,254,4.1,,,,,,,,,
,,2013 - 2014,68,280,4.12,,,,,,,,,
,,2014 - 2015,155,570,3.68,,,,,,,,,
,,2015 - 2016,135,614,4.55,,,,,,,,,
,,2016 - 2017,135,634,4.7,,,,,,,,,
,,2017 - 2018,139,634,4.56,,,,,,,,,
,,2018 - 2019,139,640,4.6,,,,,,,,,
,,2019 - 2020,98,448,4.57,,,,,,,,,
,,2020 - 2021,99,453,4.58,,,,,,,,,
,,2021 - 2022,103,509,4.94,,,,,,,,,
,,2022 - 2023,110,544,4.95,,,,,,,,,
,5. East siang,2000 - 2001,500,"4,070.00",8.14,,,,,,,,,
,,2001 - 2002,560,"4,460.00",7.96,,,,,,,,,
,,2002 - 2003,580,"4,820.00",8.31,,,,,,,,,
,,2003 - 2004,600,"4,960.00",8.27,,,,,,,,,
,,2004 - 2005,196,"4,313.00",22.01,,,,,,,,,
,,2005 - 2006,657,"5,778.00",8.79,,,,,,,,,
,,2006 - 2007,657,"5,778.00",8.79,,,,,,,,,
,,2007 - 2008,667,"5,581.00",8.37,,,,,,,,,
,,2008 - 2009,672,"5,625.00",8.37,,,,,,,,,
,,2009 - 2010,826,"8,060.00",9.76,,,,,,,,,
,,2010 - 2011,867,"8,463.00",9.76,,,,,,,,,
,,2011 - 2012,893,"8,737.00",9.78,,,,,,,,,
,,2012 - 2013,988,"9,049.00",9.16,,,,,,,,,
,,2013 - 2014,"1,012.00","9,070.00",8.96,,,,,,,,,
,,2014 - 2015,"1,108.00","9,560.00",8.63,,,,,,,,,
,,2015 - 2016,934,"7,167.00",7.67,,,,,,,,,
,,2016 - 2017,947,"7,167.00",7.57,,,,,,,,,
,,2017 - 2018,951,"7,108.00",7.47,,,,,,,,,
,,2018 - 2019,657,"4,840.00",7.37,,,,,,,,,
,,2019 - 2020,658,"4,761.00",7.24,,,,,,,,,
,,2020 - 2021,658,"4,766.00",7.24,,,,,,,,,
,,2021 - 2022,674,"4,931.00",7.32,,,,,,,,,
,,2022 - 2023,686,"5,022.00",7.32,,,,,,,,,
,6. Kamle,2018 - 2019,125,748,5.98,,,,,,,,,
,,2019 - 2020,126,748,5.94,,,,,,,,,
,,2020 - 2021,127,753,5.93,,,,,,,,,
,,2021 - 2022,133,828,6.23,,,,,,,,,
,,2022 - 2023,138,859,6.22,,,,,,,,,
,7. Kra daadi,2015 - 2016,17,105,6.18,,,,,,,,,
,,2016 - 2017,17,125,7.35,,,,,,,,,
,,2017 - 2018,21,125,5.95,,,,,,,,,
,,2018 - 2019,21,131,6.24,,,,,,,,,
,,2019 - 2020,22,131,5.95,,,,,,,,,
,,2020 - 2021,22,134,6.09,,,,,,,,,
,,2021 - 2022,23,144,6.26,,,,,,,,,
,,2022 - 2023,26,162,6.23,,,,,,,,,
