State,District,Year,Tapioca,,,,,,,,
,,2011 - 2012,"6,317.90","2,61,059.05",41.32,,,,,,
,,2012 - 2013,"6,239.00","3,03,380.00",48.63,,,,,,
,,2013 - 2014,"6,332.00","3,13,513.00",49.51,,,,,,
,,2014 - 2015,"7,541.00","3,40,911.00",45.21,,,,,,
,,2015 - 2016,"6,918.90","3,19,316.95",46.15,,,,,,
,,2016 - 2017,"6,998.00","2,97,870.00",42.57,,,,,,
,,2017 - 2018,"6,848.00","2,94,788.00",43.05,,,,,,
,,2018 - 2019,"5,962.25","2,42,395.07",40.65,,,,,,
,,2019 - 2020,"5,664.00","2,64,562.00",46.71,,,,,,
,,2020 - 2021,"5,552.53","2,99,309.35",53.91,,,,,,
,,2021 - 2022,"4,784.00","2,63,607.00",55.1,,,,,,
,,2022 - 2023,"4,989.23","2,48,504.91",49.81,,,,,,
,4. Kannur,2000 - 2001,"3,945.00","90,706.00",22.99,,,,,,
,,2001 - 2002,"3,420.00","73,011.00",21.35,,,,,,
,,2002 - 2003,"3,247.00","86,223.00",26.55,,,,,,
,,2003 - 2004,"2,659.00","76,064.00",28.61,,,,,,
,,2004 - 2005,"2,607.00","66,969.00",25.69,,,,,,
,,2005 - 2006,"2,442.00","63,880.00",26.16,,,,,,
,,2006 - 2007,"2,102.00","60,190.00",28.63,,,,,,
,,2007 - 2008,"1,831.00","52,367.00",28.6,,,,,,
,,2008 - 2009,"2,111.00","69,013.00",32.69,,,,,,
,,2009 - 2010,"2,083.00","77,740.00",37.32,,,,,,
,,2010 - 2011,"1,818.66","64,802.22",35.63,,,,,,
,,2011 - 2012,"1,775.81","68,253.15",38.43,,,,,,
,,2012 - 2013,"1,751.00","64,224.00",36.68,,,,,,
,,2013 - 2014,"1,553.00","60,042.00",38.66,,,,,,
,,2014 - 2015,"2,127.00","85,880.00",40.38,,,,,,
,,2015 - 2016,"1,696.31","66,454.85",39.18,,,,,,
,,2016 - 2017,"1,661.00","67,051.00",40.37,,,,,,
,,2017 - 2018,"1,945.00","80,930.00",41.61,,,,,,
,,2018 - 2019,"1,800.68","64,443.09",35.79,,,,,,
,,2019 - 2020,"1,608.00","61,046.00",37.96,,,,,,
,,2020 - 2021,"1,494.17","71,581.59",47.91,,,,,,
,,2021 - 2022,959,"43,144.00",44.99,,,,,,
,,2022 - 2023,"1,066.09","43,915.18",41.19,,,,,,
,5. Kasaragod,2000 - 2001,"1,373.00","27,755.00",20.21,,,,,,
,,2001 - 2002,"1,326.00","30,136.00",22.73,,,,,,
,,2002 - 2003,"1,148.00","27,417.00",23.88,,,,,,
,,2003 - 2004,757,"18,629.00",24.61,,,,,,
,,2004 - 2005,717,"18,690.00",26.07,,,,,,
,,2005 - 2006,576,"13,752.00",23.88,,,,,,
,,2006 - 2007,503,"12,278.00",24.41,,,,,,
,,2007 - 2008,452,"9,815.00",21.71,,,,,,
,,2008 - 2009,245,"5,672.00",23.15,,,,,,
,,2009 - 2010,389,"8,849.00",22.75,,,,,,
,,2010 - 2011,335.26,"8,059.06",24.04,,,,,,
,,2011 - 2012,292.1,"7,255.59",24.84,,,,,,
,,2012 - 2013,274,"6,048.00",22.07,,,,,,
,,2013 - 2014,331,"9,826.00",29.69,,,,,,
,,2014 - 2015,413,"12,926.00",31.3,,,,,,
,,2015 - 2016,504.31,"19,991.23",39.64,,,,,,
,,2016 - 2017,443,"13,672.00",30.86,,,,,,
,,2017 - 2018,472,"15,073.00",31.93,,,,,,
,,2018 - 2019,420.11,"12,690.18",30.21,,,,,,
,,2019 - 2020,440,"13,857.00",31.49,,,,,,
,,2020 - 2021,674.53,"25,858.98",38.34,,,,,,
,,2021 - 2022,360,"15,614.00",43.37,,,,,,
,,2022 - 2023,483.97,"19,921.18",41.16,,,,,,
,6. Kollam,2000 - 2001,"26,484.00","5,66,274.00",21.38,,,,,,
,,2001 - 2002,"26,114.00","5,59,896.00",21.44,,,,,,
,,2002 - 2003,"24,065.00","5,56,140.00",23.11,,,,,,
,,2003 - 2004,"22,253.00","5,81,214.00",26.12,,,,,,
,,2004 - 2005,"21,817.00","5,77,573.00",26.47,,,,,,
,,2005 - 2006,"23,814.00","6,94,984.00",29.18,,,,,,
,,2006 - 2007,"21,863.00","5,96,629.00",27.29,,,,,,
,,2007 - 2008,"21,281.00","6,50,489.00",30.57,,,,,,
,,2008 - 2009,"19,208.00","5,46,135.00",28.43,,,,,,
,,2009 - 2010,"16,933.00","5,03,095.00",29.71,,,,,,
,,2010 - 2011,"16,172.48","4,54,879.62",28.13,,,,,,
,,2011 - 2012,"16,859.18","5,25,486.18",31.17,,,,,,
,,2012 - 2013,"16,397.00","5,31,482.00",32.41,,,,,,
,,2013 - 2014,"16,507.00","5,68,257.00",34.43,,,,,,
,,2014 - 2015,"17,028.00","6,61,600.00",38.85,,,,,,
,,2015 - 2016,"15,146.59","5,30,801.74",35.04,,,,,,
,,2016 - 2017,"14,421.00","4,40,856.00",30.57,,,,,,
,,2017 - 2018,"14,346.00","4,89,453.00",34.12,,,,,,
,,2018 - 2019,"12,909.63","4,50,759.45",34.92,,,,,,
,,2019 - 2020,"13,183.00","4,99,353.00",37.88,,,,,,
,,2020 - 2021,"13,603.76","6,18,707.87",45.48,,,,,,
,,2021 - 2022,"12,233.00","5,30,584.00",43.37,,,,,,
,,2022 - 2023,"10,488.83","3,99,123.43",38.05,,,,,,
,7. Kottayam,2000 - 2001,"8,749.00","2,56,831.00",29.36,,,,,,
,,2001 - 2002,"7,780.00","2,01,964.00",25.96,,,,,,
,,2002 - 2003,"7,426.00","2,24,130.00",30.18,,,,,,
,,2003 - 2004,"6,760.00","2,09,915.00",31.05,,,,,,
,,2004 - 2005,"5,740.00","1,62,744.00",28.35,,,,,,
,,2005 - 2006,"5,727.00","1,82,262.00",31.83,,,,,,
,,2006 - 2007,"5,908.00","1,92,110.00",32.52,,,,,,
,,2007 - 2008,"6,027.00","1,70,248.00",28.25,,,,,,
,,2008 - 2009,"6,272.00","2,21,996.00",35.39,,,,,,
,,2009 - 2010,"5,868.00","2,26,941.00",38.67,,,,,,
,,2010 - 2011,"5,669.92","2,14,799.04",37.88,,,,,,
,,2011 - 2012,"5,957.23","2,11,343.85",35.48,,,,,,
,,2012 - 2013,"5,284.00","1,87,089.00",35.41,,,,,,
,,2013 - 2014,"5,341.00","2,10,271.00",39.37,,,,,,
,,2014 - 2015,"5,588.00","2,17,348.00",38.9,,,,,,
,,2015 - 2016,"5,631.25","2,20,466.48",39.15,,,,,,
,,2016 - 2017,"5,956.00","2,38,833.00",40.1,,,,,,
,,2017 - 2018,"6,197.00","2,65,419.00",42.83,,,,,,
,,2018 - 2019,"5,960.35","2,59,500.92",43.54,,,,,,
,,2019 - 2020,"6,160.00","2,92,209.00",47.44,,,,,,
,,2020 - 2021,"6,464.38","3,47,336.19",53.73,,,,,,
,,2021 - 2022,"6,148.00","3,07,281.00",49.98,,,,,,
,,2022 - 2023,"6,640.41","3,36,522.68",50.68,,,,,,
,8. Kozhikode,2000 - 2001,"4,037.00","88,366.00",21.89,,,,,,
,,2001 - 2002,"4,311.00","71,503.00",16.59,,,,,,
,,2002 - 2003,"3,964.00","77,016.00",19.43,,,,,,
,,2003 - 2004,"3,569.00","97,710.00",27.38,,,,,,
,,2004 - 2005,"2,724.00","68,573.00",25.17,,,,,,
,,2005 - 2006,"2,476.00","61,311.00",24.76,,,,,,
,,2006 - 2007,"1,963.00","45,263.00",23.06,,,,,,
,,2007 - 2008,"2,130.00","49,119.00",23.06,,,,,,
,,2008 - 2009,"1,860.00","48,589.00",26.12,,,,,,
,,2009 - 2010,"1,823.00","51,171.00",28.07,,,,,,
,,2010 - 2011,"1,805.69","47,770.37",26.46,,,,,,
,,2011 - 2012,"1,846.37","40,117.23",21.73,,,,,,
,,2012 - 2013,"1,824.00","43,208.00",23.69,,,,,,
,,2013 - 2014,"1,647.00","39,934.00",24.25,,,,,,
,,2014 - 2015,"1,826.00","53,782.00",29.45,,,,,,
,,2015 - 2016,"1,582.87","39,367.85",24.87,,,,,,
,,2016 - 2017,"1,477.00","42,128.00",28.52,,,,,,
,,2017 - 2018,"1,566.00","46,865.00",29.93,,,,,,
,,2018 - 2019,"1,360.04","36,255.34",26.66,,,,,,
,,2019 - 2020,"1,325.00","46,645.00",35.2,,,,,,
,,2020 - 2021,"1,624.95","64,294.41",39.57,,,,,,
,,2021 - 2022,"1,021.00","44,848.00",43.93,,,,,,
,,2022 - 2023,"1,021.13","32,914.46",32.23,,,,,,
,9. Malappuram,2000 - 2001,"7,508.00","1,85,143.00",24.66,,,,,,
,,2001 - 2002,"7,206.00","1,66,980.00",23.17,,,,,,
,,2002 - 2003,"6,947.00","1,76,344.00",25.38,,,,,,
,,2003 - 2004,"6,484.00","2,08,078.00",32.09,,,,,,
,,2004 - 2005,"5,060.00","1,55,833.00",30.8,,,,,,
,,2005 - 2006,"5,346.00","1,64,029.00",30.68,,,,,,
,,2006 - 2007,"6,048.00","1,91,559.00",31.67,,,,,,
,,2007 - 2008,"7,096.00","2,87,438.00",40.51,,,,,,
,,2008 - 2009,"7,533.00","2,92,908.00",38.88,,,,,,
,,2009 - 2010,"5,808.00","2,25,500.00",38.83,,,,,,
,,2010 - 2011,"5,499.89","1,97,190.03",35.85,,,,,,
,,2011 - 2012,"5,267.60","1,85,161.01",35.15,,,,,,
,,2012 - 2013,"5,010.00","1,85,481.00",37.02,,,,,,
,,2013 - 2014,"4,317.00","1,49,997.00",34.75,,,,,,
,,2014 - 2015,"5,405.00","1,91,322.00",35.4,,,,,,
,,2015 - 2016,"5,117.32","1,98,202.94",38.73,,,,,,
,,2016 - 2017,"5,283.00","1,85,880.00",35.18,,,,,,
,,2017 - 2018,"5,459.00","2,02,502.00",37.1,,,,,,
,,2018 - 2019,"4,938.34","1,76,373.57",35.72,,,,,,
,,2019 - 2020,"4,465.00","1,50,841.00",33.78,,,,,,
,,2020 - 2021,"4,182.61","1,72,830.86",41.32,,,,,,
,,2021 - 2022,"3,239.00","1,50,152.00",46.36,,,,,,
,,2022 - 2023,"3,345.25","1,41,836.24",42.4,,,,,,
,10. Palakkad,2000 - 2001,"6,646.00","1,36,341.00",20.51,,,,,,
,,2001 - 2002,"5,649.00","1,33,313.00",23.6,,,,,,
,,2002 - 2003,"4,960.00","1,05,002.00",21.17,,,,,,
,,2003 - 2004,"3,939.00","92,021.00",23.36,,,,,,
,,2004 - 2005,"4,186.00","1,01,867.00",24.34,,,,,,
,,2005 - 2006,"3,994.00","1,05,321.00",26.37,,,,,,
,,2006 - 2007,"3,643.00","97,180.00",26.68,,,,,,
,,2007 - 2008,"3,225.00","72,528.00",22.49,,,,,,
,,2008 - 2009,"3,200.00","75,446.00",23.58,,,,,,
,,2009 - 2010,"2,843.00","90,428.00",31.81,,,,,,
,,2010 - 2011,"2,474.53","68,340.60",27.62,,,,,,
,,2011 - 2012,"2,837.54","85,678.57",30.19,,,,,,
,,2012 - 2013,"2,378.00","69,377.00",29.17,,,,,,
,,2013 - 2014,"2,170.00","62,837.00",28.96,,,,,,
,,2014 - 2015,"2,631.00","78,634.00",29.89,,,,,,
,,2015 - 2016,"1,957.93","62,312.47",31.83,,,,,,
,,2016 - 2017,"1,900.00","55,271.00",29.09,,,,,,
,,2017 - 2018,"1,805.00","55,781.00",30.9,,,,,,
,,2018 - 2019,"1,725.15","55,374.03",32.1,,,,,,
,,2019 - 2020,"2,271.00","1,08,326.00",47.7,,,,,,
,,2020 - 2021,"2,081.52","1,17,683.54",56.54,,,,,,
,,2021 - 2022,"1,404.00","61,008.00",43.45,,,,,,
,,2022 - 2023,"1,135.49","51,058.94",44.97,,,,,,
,11. Pathanamthitta,2000 - 2001,"7,681.00","1,67,849.00",21.85,,,,,,
,,2001 - 2002,"8,833.00","1,99,315.00",22.56,,,,,,
,,2002 - 2003,"7,614.00","1,86,265.00",24.46,,,,,,
,,2003 - 2004,"7,524.00","1,84,733.00",24.55,,,,,,
,,2004 - 2005,"7,991.00","2,26,993.00",28.41,,,,,,
,,2005 - 2006,"7,868.00","2,55,006.00",32.41,,,,,,
,,2006 - 2007,"7,000.00","2,46,963.00",35.28,,,,,,
,,2007 - 2008,"6,783.00","2,53,419.00",37.36,,,,,,
,,2008 - 2009,"6,454.00","2,35,436.00",36.48,,,,,,
,,2009 - 2010,"6,440.00","2,93,652.00",45.6,,,,,,
,,2010 - 2011,"6,124.23","2,35,256.85",38.41,,,,,,
,,2011 - 2012,"6,001.19","2,32,745.84",38.78,,,,,,
,,2012 - 2013,"5,420.00","2,14,843.00",39.64,,,,,,
,,2013 - 2014,"5,082.00","2,14,215.00",42.15,,,,,,
,,2014 - 2015,"5,356.00","2,33,420.00",43.58,,,,,,
,,2015 - 2016,"5,219.51","2,09,947.88",40.22,,,,,,
,,2016 - 2017,"5,025.00","2,27,557.00",45.28,,,,,,
,,2017 - 2018,"5,176.00","2,26,994.00",43.86,,,,,,
,,2018 - 2019,"4,682.43","2,09,528.37",44.75,,,,,,
,,2019 - 2020,"4,766.00","2,35,265.00",49.36,,,,,,
,,2020 - 2021,"4,549.95","2,29,979.61",50.55,,,,,,
,,2021 - 2022,"4,052.00","1,97,918.00",48.84,,,,,,
,,2022 - 2023,"3,932.60","1,98,253.76",50.41,,,,,,
,12. Thiruvananthapuram,2000 - 2001,"27,084.00","4,68,213.00",17.29,,,,,,
,,2001 - 2002,"25,085.00","4,55,574.00",18.16,,,,,,
,,2002 - 2003,"23,922.00","3,92,510.00",16.41,,,,,,
,,2003 - 2004,"20,621.00","4,22,572.00",20.49,,,,,,
,,2004 - 2005,"19,833.00","4,67,006.00",23.55,,,,,,
,,2005 - 2006,"19,619.00","4,63,702.00",23.64,,,,,,
,,2006 - 2007,"18,122.00","4,18,332.00",23.08,,,,,,
,,2007 - 2008,"16,538.00","4,13,181.00",24.98,,,,,,
,,2008 - 2009,"20,288.00","5,25,897.00",25.92,,,,,,
,,2009 - 2010,"16,132.00","4,24,015.00",26.28,,,,,,
,,2010 - 2011,"14,261.47","4,09,253.45",28.7,,,,,,
,,2011 - 2012,"14,946.85","4,57,614.43",30.62,,,,,,
,,2012 - 2013,"13,625.00","4,14,271.00",30.41,,,,,,
,,2013 - 2014,"14,210.00","4,67,512.00",32.9,,,,,,
,,2014 - 2015,"15,754.00","5,86,394.00",37.22,,,,,,
,,2015 - 2016,"14,584.89","5,36,294.92",36.77,,,,,,
,,2016 - 2017,"14,628.00","5,20,143.00",35.56,,,,,,
,,2017 - 2018,"14,956.00","5,38,976.00",36.04,,,,,,
,,2018 - 2019,"13,037.83","4,75,449.15",36.47,,,,,,
,,2019 - 2020,"12,504.00","4,50,923.00",36.06,,,,,,
,,2020 - 2021,"13,093.23","4,87,068.52",37.2,,,,,,
,,2021 - 2022,"11,659.00","4,03,524.00",34.61,,,,,,
,,2022 - 2023,"13,243.80","4,73,603.92",35.76,,,,,,
,13. Thrissur,2000 - 2001,"1,637.00","41,524.00",25.37,,,,,,
,,2001 - 2002,"1,405.00","27,823.00",19.8,,,,,,
,,2002 - 2003,"1,376.00","25,861.00",18.79,,,,,,
,,2003 - 2004,"1,173.00","23,744.00",20.24,,,,,,
,,2004 - 2005,"1,972.00","46,527.00",23.59,,,,,,
,,2005 - 2006,"1,417.00","28,254.00",19.94,,,,,,
,,2006 - 2007,"1,454.00","43,096.00",29.64,,,,,,
,,2007 - 2008,"1,521.00","41,049.00",26.99,,,,,,
,,2008 - 2009,"1,117.00","35,426.00",31.72,,,,,,
,,2009 - 2010,924,"28,236.00",30.56,,,,,,
,,2010 - 2011,"1,361.72","51,157.69",37.57,,,,,,
,,2011 - 2012,"1,430.99","52,637.31",36.78,,,,,,
,,2012 - 2013,"1,262.00","58,693.00",46.51,,,,,,
,,2013 - 2014,"1,290.00","53,818.00",41.72,,,,,,
,,2014 - 2015,"1,441.00","64,739.00",44.93,,,,,,
,,2015 - 2016,"1,289.67","54,612.51",42.35,,,,,,
,,2016 - 2017,"1,172.00","47,502.00",40.53,,,,,,
,,2017 - 2018,"1,248.00","56,168.00",45.01,,,,,,
,,2018 - 2019,976.26,"41,411.94",42.42,,,,,,
,,2019 - 2020,957,"44,709.00",46.72,,,,,,
,,2020 - 2021,"1,176.57","69,656.28",59.2,,,,,,
,,2021 - 2022,988,"52,991.00",53.63,,,,,,
,,2022 - 2023,936.65,"45,120.44",48.17,,,,,,
,14. Wayanad,2000 - 2001,"1,620.00","54,917.00",33.9,,,,,,
,,2001 - 2002,"1,692.00","58,724.00",34.71,,,,,,
,,2002 - 2003,"1,915.00","65,180.00",34.04,,,,,,
,,2003 - 2004,"1,964.00","1,02,609.00",52.24,,,,,,
,,2004 - 2005,"2,139.00","91,915.00",42.97,,,,,,
,,2005 - 2006,"2,348.00","85,599.00",36.46,,,,,,
,,2006 - 2007,"2,600.00","94,326.00",36.28,,,,,,
,,2007 - 2008,"3,068.00","95,540.00",31.14,,,,,,
,,2008 - 2009,"2,295.00","94,828.00",41.32,,,,,,
,,2009 - 2010,"1,698.00","80,618.00",47.48,,,,,,
,,2010 - 2011,"2,265.10","1,18,922.98",52.5,,,,,,
,,2011 - 2012,"2,371.45","1,17,195.55",49.42,,,,,,
,,2012 - 2013,"2,134.00","95,950.00",44.96,,,,,,
,,2013 - 2014,"1,323.00","55,172.00",41.7,,,,,,
,,2014 - 2015,"2,327.00","99,788.00",42.88,,,,,,
,,2015 - 2016,"1,888.38","77,867.86",41.24,,,,,,
,,2016 - 2017,"1,726.00","61,696.00",35.75,,,,,,
,,2017 - 2018,"1,927.00","69,714.00",36.18,,,,,,
,,2018 - 2019,"1,223.28","40,549.19",33.15,,,,,,
,,2019 - 2020,"1,202.00","50,893.00",42.34,,,,,,
,,2020 - 2021,"1,469.51","71,120.24",48.4,,,,,,
,,2021 - 2022,"1,229.00","52,440.00",42.67,,,,,,
,,2022 - 2023,"1,015.00","45,286.22",44.62,,,,,,
6. Manipur,1. Bishnupur,2002 - 2003,60,190,3.17,,,,,,
,,2003 - 2004,40,224,5.6,,,,,,
,2. Chandel,2002 - 2003,100,575,5.75,,,,,,
,,2003 - 2004,30,168,5.6,,,,,,
,3. Churachandpur,2002 - 2003,30,300,10,,,,,,
,,2003 - 2004,50,280,5.6,,,,,,
,4. Imphal east,2003 - 2004,12,67,5.58,,,,,,
,5. Imphal west,2002 - 2003,5,14,2.8,,,,,,
,,2003 - 2004,15,84,5.6,,,,,,
,6. Senapati,2002 - 2003,6,19,3.17,,,,,,
,,2003 - 2004,20,112,5.6,,,,,,
,7. Tamenglong,2002 - 2003,10,32,3.2,,,,,,
,,2003 - 2004,52,291,5.6,,,,,,
,8. Thoubal,2003 - 2004,15,84,5.6,,,,,,
,9. Ukhrul,2002 - 2003,12,108,9,,,,,,
,,2003 - 2004,9,50,5.56,,,,,,
7. Meghalaya,1. East garo hills,2000 - 2001,"1,478.00","7,464.00",5.05,,,,,,
,,2001 - 2002,"1,473.00","7,468.00",5.07,,,,,,
,,2002 - 2003,"1,478.00","7,538.00",5.1,,,,,,
,,2003 - 2004,"1,486.00","7,528.00",5.07,,,,,,
,,2004 - 2005,"1,471.00","7,502.00",5.1,,,,,,
,,2005 - 2006,"1,476.00","7,528.00",5.1,,,,,,
,,2006 - 2007,,,,"1,465.00","7,487.00",5.11,,,
,,2008 - 2009,"1,633.00","8,328.00",5.1,,,,,,
,,2009 - 2010,,,,"1,627.00","8,298.00",5.1,,,
,,2010 - 2011,,,,"1,634.00","8,333.00",5.1,,,
,,2011 - 2012,,,,"1,637.00","8,431.00",5.15,,,
,,2012 - 2013,,,,"2,023.00","11,303.00",5.59,,,
,,2013 - 2014,,,,"1,485.00","8,316.00",5.6,,,
,,2014 - 2015,,,,"1,491.00","8,438.00",5.66,,,
,,2015 - 2016,,,,"1,502.00","8,539.00",5.69,,,
,,2016 - 2017,,,,"1,276.00","7,254.00",5.68,,,
,,2017 - 2018,,,,"1,278.00","7,267.00",5.69,,,
,,2018 - 2019,,,,"1,279.00","7,274.00",5.69,,,
,,2019 - 2020,,,,"1,280.00","7,281.00",5.69,,,
,,2020 - 2021,,,,"1,281.00","7,288.00",5.69,,,
,,2021 - 2022,,,,"1,282.00","7,295.00",5.69,,,
,,2022 - 2023,,,,"1,282.00","7,295.00",5.69,,,
,2. East jaintia hills,2000 - 2001,29,296,10.21,,,,,,
,,2001 - 2002,29,396,13.66,,,,,,
,,2002 - 2003,29,396,13.66,,,,,,
,,2003 - 2004,30,409,13.63,,,,,,
,,2004 - 2005,30,410,13.67,,,,,,
,,2005 - 2006,31,421,13.58,,,,,,
,,2006 - 2007,,,,31,422,13.61,,,
,,2008 - 2009,20,234,11.7,,,,,,
,,2009 - 2010,,,,18,190,10.56,,,
,,2010 - 2011,,,,9,92,10.22,,,
,,2011 - 2012,,,,11,113,10.27,,,
,,2012 - 2013,,,,25,257,10.28,,,
,,2013 - 2014,,,,5,49,9.8,,,
,,2014 - 2015,,,,6,57,9.5,,,
,,2015 - 2016,,,,6,59,9.83,,,
,,2016 - 2017,,,,7,62,8.86,,,
,,2017 - 2018,,,,7,62,8.86,,,
,,2018 - 2019,,,,7,62,8.86,,,
,,2019 - 2020,,,,7,62,8.86,,,
,,2020 - 2021,,,,7,62,8.86,,,
,,2021 - 2022,,,,7,62,8.86,,,
,,2022 - 2023,,,,7,62,8.86,,,
,3. East khasi hills,2000 - 2001,395,"2,171.00",5.5,,,,,,
,,2001 - 2002,375,"2,073.00",5.53,,,,,,
,,2002 - 2003,377,"2,090.00",5.54,,,,,,
,,2003 - 2004,409,"2,257.00",5.52,,,,,,
,,2004 - 2005,423,"2,227.00",5.26,,,,,,
,,2005 - 2006,425,"2,232.00",5.25,,,,,,
,,2006 - 2007,,,,435,"2,286.00",5.26,,,
,,2008 - 2009,431,"2,278.00",5.29,,,,,,
,,2009 - 2010,,,,428,"2,249.00",5.25,,,
,,2010 - 2011,,,,426,"2,232.00",5.24,,,
,,2011 - 2012,,,,428,"2,260.00",5.28,,,
,,2012 - 2013,,,,468,"3,030.00",6.47,,,
,,2013 - 2014,,,,496,"3,250.00",6.55,,,
,,2014 - 2015,,,,506,"3,374.00",6.67,,,
,,2015 - 2016,,,,510,"3,412.00",6.69,,,
,,2016 - 2017,,,,561,"4,071.00",7.26,,,
,,2017 - 2018,,,,562,"4,079.00",7.26,,,
,,2018 - 2019,,,,563,"4,087.00",7.26,,,
,,2019 - 2020,,,,564,"4,095.00",7.26,,,
,,2020 - 2021,,,,566,"4,110.00",7.26,,,
,,2021 - 2022,,,,567,"4,118.00",7.26,,,
,,2022 - 2023,,,,567,"4,118.00",7.26,,,
,4. North garo hills,2013 - 2014,,,,668,"3,822.00",5.72,,,
,,2014 - 2015,,,,671,"3,848.00",5.73,,,
,,2015 - 2016,,,,683,"4,007.00",5.87,,,
,,2016 - 2017,,,,719,"4,218.00",5.87,,,
,,2017 - 2018,,,,721,"4,231.00",5.87,,,
,,2018 - 2019,,,,722,"4,238.00",5.87,,,
,,2019 - 2020,,,,723,"4,245.00",5.87,,,
,,2020 - 2021,,,,724,"4,252.00",5.87,,,
,,2021 - 2022,,,,725,"4,259.00",5.87,,,
,,2022 - 2023,,,,725,"4,259.00",5.87,,,
,5. Ri bhoi,2000 - 2001,15,73,4.87,,,,,,
,,2001 - 2002,15,73,4.87,,,,,,
,,2002 - 2003,15,73,4.87,,,,,,
,,2003 - 2004,16,78,4.88,,,,,,
,,2004 - 2005,17,83,4.88,,,,,,
,,2005 - 2006,17,84,4.94,,,,,,
,,2006 - 2007,,,,19,83,4.37,,,
,,2008 - 2009,40,236,5.9,,,,,,
,,2009 - 2010,,,,38,222,5.84,,,
,,2010 - 2011,,,,41,243,5.93,,,
,,2011 - 2012,,,,43,259,6.02,,,
,,2012 - 2013,,,,57,344,6.04,,,
,,2013 - 2014,,,,60,366,6.1,,,
,,2014 - 2015,,,,62,375,6.05,,,
,,2015 - 2016,,,,64,389,6.08,,,
,,2016 - 2017,,,,71,448,6.31,,,
,,2017 - 2018,,,,73,461,6.32,,,
,,2018 - 2019,,,,73,461,6.32,,,
,,2019 - 2020,,,,73,461,6.32,,,
,,2020 - 2021,,,,73,461,6.32,,,
,,2021 - 2022,,,,73,461,6.32,,,
,,2022 - 2023,,,,73,461,6.32,,,
,6. South garo hills,2000 - 2001,302,"1,686.00",5.58,,,,,,
,,2001 - 2002,305,"1,703.00",5.58,,,,,,
,,2002 - 2003,305,"2,066.00",6.77,,,,,,
,,2003 - 2004,302,"1,638.00",5.42,,,,,,
,,2004 - 2005,291,"1,599.00",5.49,,,,,,
,,2005 - 2006,296,"1,646.00",5.56,,,,,,
,,2006 - 2007,,,,287,"1,596.00",5.56,,,
,,2008 - 2009,281,"1,563.00",5.56,,,,,,
,,2009 - 2010,,,,280,"1,557.00",5.56,,,
,,2010 - 2011,,,,277,"1,541.00",5.56,,,
,,2011 - 2012,,,,280,"1,557.00",5.56,,,
,,2012 - 2013,,,,308,"2,087.00",6.78,,,
,,2013 - 2014,,,,327,"2,241.00",6.85,,,
,,2014 - 2015,,,,332,"2,296.00",6.92,,,
,,2015 - 2016,,,,336,"2,329.00",6.93,,,
,,2016 - 2017,,,,320,"2,815.00",8.8,,,
,,2017 - 2018,,,,321,"2,824.00",8.8,,,
,,2018 - 2019,,,,322,"2,834.00",8.8,,,
,,2019 - 2020,,,,323,"2,843.00",8.8,,,
,,2020 - 2021,,,,324,"2,852.00",8.8,,,
,,2021 - 2022,,,,325,"2,861.00",8.8,,,
,,2022 - 2023,,,,344,"3,029.00",8.81,,,
,7. South west garo hills,2013 - 2014,,,,387,"2,402.00",6.21,,,
,,2014 - 2015,,,,392,"2,462.00",6.28,,,
,,2015 - 2016,,,,399,"2,549.00",6.39,,,
,,2016 - 2017,,,,443,"3,073.00",6.94,,,
,,2017 - 2018,,,,445,"3,088.00",6.94,,,
,,2018 - 2019,,,,446,"3,096.00",6.94,,,
,,2019 - 2020,,,,447,"3,104.00",6.94,,,
,,2020 - 2021,,,,448,"3,111.00",6.94,,,
,,2021 - 2022,,,,449,"3,118.00",6.94,,,
,,2022 - 2023,,,,451,"3,132.00",6.94,,,
,8. South west khasi hills,2013 - 2014,,,,269,"1,687.00",6.27,,,
,,2014 - 2015,,,,271,"1,737.00",6.41,,,
,,2015 - 2016,,,,277,"1,801.00",6.5,,,
,,2016 - 2017,,,,248,"2,206.00",8.9,,,
,,2017 - 2018,,,,249,"2,215.00",8.9,,,
,,2018 - 2019,,,,250,"2,225.00",8.9,,,
,,2019 - 2020,,,,251,"2,235.00",8.9,,,
,,2020 - 2021,,,,252,"2,244.00",8.9,,,
,,2021 - 2022,,,,253,"2,253.00",8.91,,,
,,2022 - 2023,,,,253,"2,253.00",8.91,,,
,9. West garo hills,2000 - 2001,"1,226.00","6,785.00",5.53,,,,,,
,,2001 - 2002,"1,111.00","5,522.00",4.97,,,,,,
,,2002 - 2003,"1,103.00","5,480.00",4.97,,,,,,
,,2003 - 2004,"1,102.00","5,486.00",4.98,,,,,,
,,2004 - 2005,"1,109.00","5,538.00",4.99,,,,,,
,,2005 - 2006,"1,108.00","5,561.00",5.02,,,,,,
,,2006 - 2007,,,,"1,118.00","5,623.00",5.03,,,
,,2008 - 2009,"1,140.00","5,737.00",5.03,,,,,,
,,2009 - 2010,,,,"1,167.00","5,053.00",4.33,,,
,,2010 - 2011,,,,"1,144.00","5,769.00",5.04,,,
,,2011 - 2012,,,,"1,153.00","5,823.00",5.05,,,
,,2012 - 2013,,,,"1,381.00","7,904.00",5.72,,,
,,2013 - 2014,,,,"1,082.00","6,095.00",5.63,,,
,,2014 - 2015,,,,"1,094.00","6,208.00",5.67,,,
,,2015 - 2016,,,,"1,102.00","6,364.00",5.77,,,
