State,District,Year,Sweet potato,,,,,,,,
,,2014 - 2015,,,,,,,218,722,3.31
,,2015 - 2016,,,,,,,220,755,3.43
,,2016 - 2017,,,,,,,225,822,3.65
,,2017 - 2018,,,,,,,228,833,3.65
,,2018 - 2019,,,,,,,229,837,3.66
,,2019 - 2020,,,,,,,230,841,3.66
,,2020 - 2021,,,,,,,231,845,3.66
,,2021 - 2022,,,,,,,232,849,3.66
,,2022 - 2023,,,,,,,232,849,3.66
,2. East jaintia hills,2000 - 2001,"2,007.00","5,851.00",2.92,,,,,,
,,2001 - 2002,"2,004.00","5,841.00",2.91,,,,,,
,,2002 - 2003,"2,010.00","5,855.00",2.91,,,,,,
,,2003 - 2004,"2,014.00","5,864.00",2.91,,,,,,
,,2004 - 2005,"2,031.00","5,918.00",2.91,,,,"2,031.00","5,918.00",2.91
,,2005 - 2006,"2,030.00","5,938.00",2.93,,,,,,
,,2006 - 2007,,,,"2,025.00","5,901.00",2.91,,,
,,2008 - 2009,"1,990.00","5,672.00",2.85,,,,,,
,,2009 - 2010,,,,,,,"1,380.00","3,762.00",2.73
,,2010 - 2011,,,,,,,"1,081.00","2,918.00",2.7
,,2011 - 2012,,,,,,,"1,081.00","2,918.00",2.7
,,2012 - 2013,,,,,,,"1,152.00","3,208.00",2.78
,,2013 - 2014,,,,,,,178,501,2.81
,,2014 - 2015,,,,,,,181,531,2.93
,,2015 - 2016,,,,,,,182,546,3
,,2016 - 2017,,,,,,,187,598,3.2
,,2017 - 2018,,,,,,,189,605,3.2
,,2018 - 2019,,,,,,,190,609,3.21
,,2019 - 2020,,,,,,,191,613,3.21
,,2020 - 2021,,,,,,,192,617,3.21
,,2021 - 2022,,,,,,,193,621,3.22
,,2022 - 2023,,,,,,,193,621,3.22
,3. East khasi hills,2000 - 2001,892,"3,449.00",3.87,,,,,,
,,2001 - 2002,706,"2,967.00",4.2,,,,,,
,,2002 - 2003,718,"3,113.00",4.34,,,,,,
,,2003 - 2004,651,"2,579.00",3.96,,,,,,
,,2004 - 2005,681,"2,560.00",3.76,,,,681,"2,560.00",3.76
,,2005 - 2006,679,"2,620.00",3.86,,,,,,
,,2006 - 2007,,,,669,"2,634.00",3.94,,,
,,2008 - 2009,662,"2,603.00",3.93,,,,,,
,,2009 - 2010,,,,,,,661,"2,610.00",3.95
,,2010 - 2011,,,,,,,663,"2,613.00",3.94
,,2011 - 2012,,,,,,,664,"2,626.00",3.95
,,2012 - 2013,,,,,,,708,"2,881.00",4.07
,,2013 - 2014,,,,,,,715,"2,992.00",4.18
,,2014 - 2015,,,,,,,723,"3,116.00",4.31
,,2015 - 2016,,,,,,,726,"3,164.00",4.36
,,2016 - 2017,,,,,,,742,"1,100.00",1.48
,,2017 - 2018,,,,,,,745,"1,105.00",1.48
,,2018 - 2019,,,,,,,746,"1,107.00",1.48
,,2019 - 2020,,,,,,,747,"1,109.00",1.48
,,2020 - 2021,,,,,,,748,"1,111.00",1.49
,,2021 - 2022,,,,,,,749,"1,113.00",1.49
,,2022 - 2023,,,,,,,749,"1,113.00",1.49
,4. North garo hills,2013 - 2014,,,,,,,84,285,3.39
,,2014 - 2015,,,,,,,85,288,3.39
,,2015 - 2016,,,,,,,85,294,3.46
,,2016 - 2017,,,,,,,88,324,3.68
,,2017 - 2018,,,,,,,89,328,3.69
,,2018 - 2019,,,,,,,90,332,3.69
,,2019 - 2020,,,,,,,91,336,3.69
,,2020 - 2021,,,,,,,92,340,3.7
,,2021 - 2022,,,,,,,93,344,3.7
,,2022 - 2023,,,,,,,93,344,3.7
,5. Ri bhoi,2000 - 2001,141,519,3.68,,,,,,
,,2001 - 2002,141,512,3.63,,,,,,
,,2002 - 2003,144,520,3.61,,,,,,
,,2003 - 2004,145,522,3.6,,,,,,
,,2004 - 2005,157,566,3.61,,,,157,566,3.61
,,2005 - 2006,156,580,3.72,,,,,,
,,2006 - 2007,,,,151,330,2.19,,,
,,2008 - 2009,144,829,5.76,,,,,,
,,2009 - 2010,,,,,,,143,830,5.8
,,2010 - 2011,,,,,,,144,835,5.8
,,2011 - 2012,,,,,,,146,851,5.83
,,2012 - 2013,,,,,,,155,933,6.02
,,2013 - 2014,,,,,,,156,968,6.21
,,2014 - 2015,,,,,,,158,973,6.16
,,2015 - 2016,,,,,,,159,"1,002.00",6.3
,,2016 - 2017,,,,,,,162,"1,100.00",6.79
,,2017 - 2018,,,,,,,164,"1,114.00",6.79
,,2018 - 2019,,,,,,,165,"1,121.00",6.79
,,2019 - 2020,,,,,,,166,"1,128.00",6.8
,,2020 - 2021,,,,,,,167,"1,135.00",6.8
,,2021 - 2022,,,,,,,168,"1,142.00",6.8
,,2022 - 2023,,,,,,,168,"1,142.00",6.8
,6. South garo hills,2000 - 2001,120,394,3.28,,,,,,
,,2001 - 2002,125,410,3.28,,,,,,
,,2002 - 2003,122,398,3.26,,,,,,
,,2003 - 2004,127,414,3.26,,,,,,
,,2004 - 2005,134,437,3.26,,,,134,437,3.26
,,2005 - 2006,133,449,3.38,,,,,,
,,2006 - 2007,,,,133,448,3.37,,,
,,2008 - 2009,131,436,3.33,,,,,,
,,2009 - 2010,,,,,,,133,449,3.38
,,2010 - 2011,,,,,,,134,452,3.37
,,2011 - 2012,,,,,,,135,456,3.38
,,2012 - 2013,,,,,,,143,497,3.48
,,2013 - 2014,,,,,,,144,514,3.57
,,2014 - 2015,,,,,,,146,519,3.55
,,2015 - 2016,,,,,,,147,534,3.63
,,2016 - 2017,,,,,,,149,584,3.92
,,2017 - 2018,,,,,,,150,588,3.92
,,2018 - 2019,,,,,,,151,592,3.92
,,2019 - 2020,,,,,,,152,596,3.92
,,2020 - 2021,,,,,,,153,600,3.92
,,2021 - 2022,,,,,,,154,604,3.92
,,2022 - 2023,,,,,,,155,608,3.92
,7. South west garo hills,2013 - 2014,,,,,,,191,695,3.64
,,2014 - 2015,,,,,,,193,701,3.63
,,2015 - 2016,,,,,,,194,724,3.73
,,2016 - 2017,,,,,,,197,773,3.92
,,2017 - 2018,,,,,,,199,781,3.92
,,2018 - 2019,,,,,,,200,785,3.93
,,2019 - 2020,,,,,,,201,789,3.93
,,2020 - 2021,,,,,,,202,793,3.93
,,2021 - 2022,,,,,,,203,797,3.93
,,2022 - 2023,,,,,,,204,801,3.93
,8. South west khasi hills,2013 - 2014,,,,,,,289,904,3.13
,,2014 - 2015,,,,,,,294,964,3.28
,,2015 - 2016,,,,,,,296,987,3.33
,,2016 - 2017,,,,,,,320,"1,056.00",3.3
,,2017 - 2018,,,,,,,324,"1,070.00",3.3
,,2018 - 2019,,,,,,,325,"1,074.00",3.3
,,2019 - 2020,,,,,,,326,"1,078.00",3.31
,,2020 - 2021,,,,,,,327,"1,082.00",3.31
,,2021 - 2022,,,,,,,328,"1,086.00",3.31
,,2022 - 2023,,,,,,,328,"1,086.00",3.31
,9. West garo hills,2000 - 2001,479,"1,594.00",3.33,,,,,,
,,2001 - 2002,486,"1,613.00",3.32,,,,,,
,,2002 - 2003,482,"1,600.00",3.32,,,,,,
,,2003 - 2004,487,"1,618.00",3.32,,,,,,
,,2004 - 2005,502,"1,669.00",3.32,,,,502,"1,669.00",3.32
,,2005 - 2006,506,"1,670.00",3.3,,,,,,
,,2006 - 2007,,,,507,"1,672.00",3.3,,,
,,2008 - 2009,512,"1,705.00",3.33,,,,,,
,,2009 - 2010,,,,,,,506,"1,683.00",3.33
,,2010 - 2011,,,,,,,515,"1,644.00",3.19
,,2011 - 2012,,,,,,,538,"1,719.00",3.2
,,2012 - 2013,,,,,,,574,"1,896.00",3.3
,,2013 - 2014,,,,,,,389,"1,277.00",3.28
,,2014 - 2015,,,,,,,390,"1,280.00",3.28
,,2015 - 2016,,,,,,,393,"1,316.00",3.35
,,2016 - 2017,,,,,,,404,"1,486.00",3.68
,,2017 - 2018,,,,,,,406,"1,494.00",3.68
,,2018 - 2019,,,,,,,407,"1,498.00",3.68
,,2019 - 2020,,,,,,,408,"1,502.00",3.68
,,2020 - 2021,,,,,,,409,"1,506.00",3.68
,,2021 - 2022,,,,,,,410,"1,510.00",3.68
,,2022 - 2023,,,,,,,410,"1,510.00",3.68
,10. West jaintia hills,2013 - 2014,,,,,,,985,"2,831.00",2.87
,,2014 - 2015,,,,,,,995,"2,939.00",2.95
,,2015 - 2016,,,,,,,999,"2,982.00",2.98
,,2016 - 2017,,,,,,,"1,020.00","3,201.00",3.14
,,2017 - 2018,,,,,,,"1,022.00","3,209.00",3.14
,,2018 - 2019,,,,,,,"1,023.00","3,213.00",3.14
,,2019 - 2020,,,,,,,"1,024.00","3,217.00",3.14
,,2020 - 2021,,,,,,,"1,025.00","3,221.00",3.14
,,2021 - 2022,,,,,,,"1,026.00","3,225.00",3.14
,,2022 - 2023,,,,,,,"1,026.00","3,225.00",3.14
,11. West khasi hills,2000 - 2001,"1,244.00","4,746.00",3.82,,,,,,
,,2001 - 2002,"1,220.00","4,474.00",3.67,,,,,,
,,2002 - 2003,"1,219.00","4,122.00",3.38,,,,,,
,,2003 - 2004,"1,168.00","4,205.00",3.6,,,,,,
,,2004 - 2005,"1,202.00","4,190.00",3.49,,,,"1,202.00","4,190.00",3.49
,,2005 - 2006,"1,201.00","4,185.00",3.48,,,,,,
,,2006 - 2007,,,,"1,195.00","4,589.00",3.84,,,
,,2008 - 2009,"1,196.00","3,854.00",3.22,,,,,,
,,2009 - 2010,,,,,,,"1,311.00","3,896.00",2.97
,,2010 - 2011,,,,,,,"1,319.00","3,916.00",2.97
,,2011 - 2012,,,,,,,"1,320.00","4,257.00",3.23
,,2012 - 2013,,,,,,,"1,408.00","4,679.00",3.32
,,2013 - 2014,,,,,,,"1,132.00","3,958.00",3.5
,,2014 - 2015,,,,,,,"1,143.00","4,100.00",3.59
,,2015 - 2016,,,,,,,"1,148.00","4,117.00",3.59
,,2016 - 2017,,,,,,,"1,173.00","4,490.00",3.83
,,2017 - 2018,,,,,,,"1,196.00","4,624.00",3.87
,,2018 - 2019,,,,,,,"1,197.00","4,628.00",3.87
,,2019 - 2020,,,,,,,"1,198.00","4,633.00",3.87
,,2020 - 2021,,,,,,,"1,199.00","4,638.00",3.87
,,2021 - 2022,,,,,,,"1,384.00","5,355.00",3.87
,,2022 - 2023,,,,,,,"1,384.00","5,355.00",3.87
14. Nagaland,1. Chumoukedima,2022 - 2023,,,,,,,51,488,9.57
,2. Dimapur,2011 - 2012,,,,,,,90,760,8.44
,,2012 - 2013,,,,,,,110,940,8.55
,,2013 - 2014,,,,,,,120,"1,020.00",8.5
,,2014 - 2015,,,,,,,120,"1,020.00",8.5
,,2015 - 2016,,,,,,,120,"1,020.00",8.5
,,2016 - 2017,,,,,,,140,"1,190.00",8.5
,,2017 - 2018,,,,,,,140,"1,190.00",8.5
,,2018 - 2019,,,,,,,140,"1,190.00",8.5
,,2019 - 2020,,,,,,,143,"1,217.00",8.51
,,2020 - 2021,,,,,,,144,"1,231.00",8.55
,,2021 - 2022,,,,,,,170,"1,190.00",7
,,2022 - 2023,,,,,,,43,410,9.53
,3. Kiphire,2011 - 2012,,,,,,,60,510,8.5
,,2012 - 2013,,,,,,,80,670,8.38
,,2013 - 2014,,,,,,,110,940,8.55
,,2014 - 2015,,,,,,,120,"1,020.00",8.5
,,2015 - 2016,,,,,,,120,"1,020.00",8.5
,,2016 - 2017,,,,,,,130,"1,100.00",8.46
,,2017 - 2018,,,,,,,140,"1,190.00",8.5
,,2018 - 2019,,,,,,,150,"1,280.00",8.53
,,2019 - 2020,,,,,,,153,"1,309.00",8.56
,,2020 - 2021,,,,,,,155,"1,324.00",8.54
,,2021 - 2022,,,,,,,2,17,8.5
,,2022 - 2023,,,,,,,146,"1,402.00",9.6
,4. Kohima,2011 - 2012,,,,,,,120,"1,020.00",8.5
,,2012 - 2013,,,,,,,140,"1,190.00",8.5
,,2013 - 2014,,,,,,,160,"1,360.00",8.5
,,2014 - 2015,,,,,,,160,"1,360.00",8.5
,,2015 - 2016,,,,,,,160,"1,360.00",8.5
,,2016 - 2017,,,,,,,170,"1,450.00",8.53
,,2017 - 2018,,,,,,,170,"1,450.00",8.53
,,2018 - 2019,,,,,,,170,"1,450.00",8.53
,,2019 - 2020,,,,,,,174,"1,482.00",8.52
,,2020 - 2021,,,,,,,176,"1,499.00",8.52
,,2021 - 2022,,,,,,,20,170,8.5
,,2022 - 2023,,,,,,,103,988,9.59
,5. Longleng,2011 - 2012,,,,,,,70,590,8.43
,,2012 - 2013,,,,,,,80,670,8.38
,,2013 - 2014,,,,,,,100,850,8.5
,,2014 - 2015,,,,,,,110,940,8.55
,,2015 - 2016,,,,,,,110,940,8.55
,,2016 - 2017,,,,,,,120,"1,020.00",8.5
,,2017 - 2018,,,,,,,130,"1,100.00",8.46
,,2018 - 2019,,,,,,,140,"1,190.00",8.5
,,2019 - 2020,,,,,,,143,"1,217.00",8.51
,,2020 - 2021,,,,,,,145,"1,231.00",8.49
,,2022 - 2023,,,,,,,139,"1,322.00",9.51
,6. Mokokchung,2011 - 2012,,,,,,,100,840,8.4
,,2012 - 2013,,,,,,,120,"1,020.00",8.5
,,2013 - 2014,,,,,,,130,"1,110.00",8.54
,,2014 - 2015,,,,,,,140,"1,190.00",8.5
,,2015 - 2016,,,,,,,160,"1,360.00",8.5
,,2016 - 2017,,,,,,,170,"1,450.00",8.53
,,2017 - 2018,,,,,,,170,"1,450.00",8.53
,,2018 - 2019,,,,,,,170,"1,450.00",8.53
,,2019 - 2020,,,,,,,174,"1,482.00",8.52
,,2020 - 2021,,,,,,,176,"1,499.00",8.52
,,2022 - 2023,,,,,,,169,"1,610.00",9.53
,7. Mon,2011 - 2012,,,,,,,140,"1,190.00",8.5
,,2012 - 2013,,,,,,,150,"1,280.00",8.53
,,2013 - 2014,,,,,,,160,"1,370.00",8.56
,,2014 - 2015,,,,,,,170,"1,450.00",8.53
,,2015 - 2016,,,,,,,200,"1,700.00",8.5
,,2016 - 2017,,,,,,,210,"1,780.00",8.48
,,2017 - 2018,,,,,,,210,"1,780.00",8.48
,,2018 - 2019,,,,,,,210,"1,780.00",8.48
,,2019 - 2020,,,,,,,214,"1,820.00",8.5
,,2020 - 2021,,,,,,,216,"1,840.00",8.52
,,2021 - 2022,,,,,,,139,597,4.29
,,2022 - 2023,,,,,,,159,"1,504.00",9.46
,8. Noklak,2022 - 2023,,,,,,,80,758,9.48
,9. Nuiland,2022 - 2023,,,,,,,44,422,9.59
,10. Peren,2011 - 2012,,,,,,,80,670,8.38
,,2012 - 2013,,,,,,,90,770,8.56
,,2013 - 2014,,,,,,,110,930,8.45
,,2014 - 2015,,,,,,,110,930,8.45
,,2015 - 2016,,,,,,,110,930,8.45
,,2016 - 2017,,,,,,,120,"1,020.00",8.5
,,2017 - 2018,,,,,,,120,"1,020.00",8.5
,,2018 - 2019,,,,,,,130,"1,110.00",8.54
,,2019 - 2020,,,,,,,133,"1,135.00",8.53
,,2020 - 2021,,,,,,,134,"1,147.00",8.56
,,2021 - 2022,,,,,,,180,"1,298.00",7.21
,,2022 - 2023,,,,,,,129,"1,232.00",9.55
,11. Phek,2011 - 2012,,,,,,,130,"1,100.00",8.46
,,2012 - 2013,,,,,,,150,"1,280.00",8.53
,,2013 - 2014,,,,,,,160,"1,350.00",8.44
,,2014 - 2015,,,,,,,170,"1,450.00",8.53
,,2015 - 2016,,,,,,,170,"1,450.00",8.53
,,2016 - 2017,,,,,,,180,"1,530.00",8.5
,,2017 - 2018,,,,,,,180,"1,530.00",8.5
,,2018 - 2019,,,,,,,180,"1,530.00",8.5
,,2019 - 2020,,,,,,,184,"1,564.00",8.5
,,2020 - 2021,,,,,,,186,"1,582.00",8.51
,,2021 - 2022,,,,,,,67,297,4.43
,,2022 - 2023,,,,,,,181,"1,721.00",9.51
,12. Shamator,2022 - 2023,,,,,,,96,914,9.52
,13. Tseminyu,2022 - 2023,,,,,,,66,632,9.58
,14. Tuensang,2011 - 2012,,,,,,,120,"1,010.00",8.42
,,2012 - 2013,,,,,,,140,"1,190.00",8.5
,,2013 - 2014,,,,,,,160,"1,370.00",8.56
,,2014 - 2015,,,,,,,170,"1,450.00",8.53
,,2015 - 2016,,,,,,,190,"1,620.00",8.53
,,2016 - 2017,,,,,,,210,"1,800.00",8.57
,,2017 - 2018,,,,,,,210,"1,800.00",8.57
,,2018 - 2019,,,,,,,210,"1,800.00",8.57
,,2019 - 2020,,,,,,,215,"1,840.00",8.56
,,2020 - 2021,,,,,,,217,"1,860.00",8.57
,,2022 - 2023,,,,,,,84,799,9.51
,15. Wokha,2011 - 2012,,,,,,,100,840,8.4
,,2012 - 2013,,,,,,,110,940,8.55
,,2013 - 2014,,,,,,,120,"1,020.00",8.5
,,2014 - 2015,,,,,,,130,"1,110.00",8.54
,,2015 - 2016,,,,,,,130,"1,100.00",8.46
,,2016 - 2017,,,,,,,140,"1,200.00",8.57
,,2017 - 2018,,,,,,,140,"1,200.00",8.57
,,2018 - 2019,,,,,,,150,"1,270.00",8.47
,,2019 - 2020,,,,,,,153,"1,298.00",8.48
,,2020 - 2021,,,,,,,155,"1,313.00",8.47
,,2022 - 2023,,,,,,,147,"1,402.00",9.54
,16. Zunheboto,2011 - 2012,,,,,,,140,"1,180.00",8.43
,,2012 - 2013,,,,,,,150,"1,280.00",8.53
,,2013 - 2014,,,,,,,160,"1,360.00",8.5
,,2014 - 2015,,,,,,,170,"1,450.00",8.53
,,2015 - 2016,,,,,,,170,"1,450.00",8.53
,,2016 - 2017,,,,,,,180,"1,530.00",8.5
,,2017 - 2018,,,,,,,190,"1,610.00",8.47
,,2018 - 2019,,,,,,,190,"1,610.00",8.47
,,2019 - 2020,,,,,,,194,"1,646.00",8.48
,,2020 - 2021,,,,,,,196,"1,664.00",8.49
,,2021 - 2022,,,,,,,29,215,7.41
,,2022 - 2023,,,,,,,187,"1,787.00",9.56
15. Odisha,1. Anugul,2000 - 2001,"1,500.00","12,220.00",8.15,,,,,,
,,2001 - 2002,"1,540.00","12,460.00",8.09,,,,,,
,,2002 - 2003,"1,730.00","14,050.00",8.12,,,,,,
,,2003 - 2004,"1,740.00","14,510.00",8.34,,,,,,
,,2004 - 2005,"1,780.00","14,828.00",8.33,,,,,,
,,2019 - 2020,,,,190,"1,550.00",8.16,790,"7,540.00",9.54
,2. Balangir,2000 - 2001,"3,400.00","23,090.00",6.79,,,,,,
,,2001 - 2002,"3,410.00","27,640.00",8.11,,,,,,
,,2002 - 2003,"3,610.00","29,890.00",8.28,,,,,,
,,2003 - 2004,"3,640.00","30,590.00",8.4,,,,,,
,,2004 - 2005,"3,622.00","30,434.00",8.4,,,,,,
,,2019 - 2020,,,,130,"1,180.00",9.08,830,"8,260.00",9.95
,3. Baleshwar,2000 - 2001,930,"6,610.00",7.11,,,,,,
,,2001 - 2002,950,"7,740.00",8.15,,,,,,
,,2002 - 2003,120,"1,000.00",8.33,,,,,,
,,2003 - 2004,130,"1,060.00",8.15,,,,,,
,,2004 - 2005,127,"1,050.00",8.27,,,,,,
,,2019 - 2020,,,,50,420,8.4,310,"2,790.00",9
,4. Bargarh,2000 - 2001,"2,020.00","15,950.00",7.9,,,,,,
,,2001 - 2002,"2,060.00","16,850.00",8.18,,,,,,
,,2002 - 2003,"1,590.00","13,100.00",8.24,,,,,,
,,2003 - 2004,"1,570.00","13,100.00",8.34,,,,,,
,,2004 - 2005,"1,643.00","13,715.00",8.35,,,,,,
,,2019 - 2020,,,,50,450,9,270,"2,480.00",9.19
,5. Bhadrak,2000 - 2001,60,530,8.83,,,,,,
,,2001 - 2002,80,690,8.63,,,,,,
,,2002 - 2003,120,"1,000.00",8.33,,,,,,
,,2003 - 2004,120,"1,010.00",8.42,,,,,,
,,2004 - 2005,107,889,8.31,,,,,,
,,2019 - 2020,,,,,,,600,"5,650.00",9.42
,6. Boudh,2000 - 2001,300,"2,490.00",8.3,,,,,,
,,2001 - 2002,340,"2,720.00",8,,,,,,
,,2002 - 2003,370,"3,000.00",8.11,,,,,,
,,2003 - 2004,360,"3,000.00",8.33,,,,,,
,,2004 - 2005,371,"3,058.00",8.24,,,,,,
,,2019 - 2020,,,,90,830,9.22,460,"3,880.00",8.43
,7. Cuttack,2000 - 2001,580,"4,820.00",8.31,,,,,,
,,2001 - 2002,610,"5,000.00",8.2,,,,,,
,,2002 - 2003,620,"4,990.00",8.05,,,,,,
,,2003 - 2004,600,"4,960.00",8.27,,,,,,
,,2004 - 2005,636,"5,228.00",8.22,,,,,,
,,2019 - 2020,,,,140,"1,280.00",9.14,680,"5,580.00",8.21
,8. Deogarh,2000 - 2001,"1,030.00","8,380.00",8.14,,,,,,
,,2001 - 2002,"1,060.00","8,710.00",8.22,,,,,,
,,2002 - 2003,610,"5,090.00",8.34,,,,,,
,,2003 - 2004,620,"5,250.00",8.47,,,,,,
,,2004 - 2005,627,"5,322.00",8.49,,,,,,
,,2019 - 2020,,,,50,450,9,870,"8,150.00",9.37
,9. Dhenkanal,2000 - 2001,810,"6,610.00",8.16,,,,,,
,,2001 - 2002,850,"7,070.00",8.32,,,,,,
,,2002 - 2003,"3,490.00","28,990.00",8.31,,,,,,
,,2003 - 2004,"3,250.00","27,450.00",8.45,,,,,,
,,2004 - 2005,"3,298.00","27,809.00",8.43,,,,,,
,,2019 - 2020,,,,690,"6,520.00",9.45,"1,500.00","14,900.00",9.93
,10. Gajapati,2000 - 2001,730,"6,090.00",8.34,,,,,,
,,2001 - 2002,760,"6,260.00",8.24,,,,,,
,,2002 - 2003,"2,350.00","19,000.00",8.09,,,,,,
,,2003 - 2004,"2,460.00","20,460.00",8.32,,,,,,
,,2004 - 2005,"2,415.00","20,117.00",8.33,,,,,,
,,2019 - 2020,,,,590,"5,360.00",9.08,"1,910.00","17,940.00",9.39
,11. Ganjam,2000 - 2001,"2,820.00","20,860.00",7.4,,,,,,
,,2001 - 2002,"2,850.00","23,690.00",8.31,,,,,,
,,2002 - 2003,"8,670.00","71,980.00",8.3,,,,,,
,,2003 - 2004,"8,740.00","73,740.00",8.44,,,,,,
,,2004 - 2005,"8,534.00","71,963.00",8.43,,,,,,
,,2019 - 2020,,,,"2,350.00","20,560.00",8.75,"6,030.00","58,420.00",9.69
,12. Jagatsinghapur,2000 - 2001,190,"1,550.00",8.16,,,,,,
,,2001 - 2002,200,"1,680.00",8.4,,,,,,
,,2002 - 2003,190,"1,500.00",7.89,,,,,,
,,2003 - 2004,190,"2,450.00",12.89,,,,,,
,,2004 - 2005,191,"2,480.00",12.98,,,,,,
,,2019 - 2020,,,,90,750,8.33,140,"1,270.00",9.07
,13. Jajapur,2000 - 2001,380,"3,130.00",8.24,,,,,,
,,2001 - 2002,390,"3,270.00",8.38,,,,,,
,,2002 - 2003,130,"1,000.00",7.69,,,,,,
,,2003 - 2004,130,"1,020.00",7.85,,,,,,
,,2004 - 2005,129,"1,051.00",8.15,,,,,,
,,2019 - 2020,,,,90,840,9.33,160,"1,260.00",7.88
,14. Jharsuguda,2000 - 2001,"1,150.00","9,080.00",7.9,,,,,,
,,2001 - 2002,"1,190.00","9,370.00",7.87,,,,,,
,,2002 - 2003,20,200,10,,,,,,
,,2003 - 2004,30,230,7.67,,,,,,
,,2004 - 2005,26,218,8.38,,,,,,
,,2019 - 2020,,,,40,370,9.25,210,"1,940.00",9.24
,15. Kalahandi,2000 - 2001,"1,010.00","8,520.00",8.44,,,,,,
,,2001 - 2002,"1,040.00","8,800.00",8.46,,,,,,
,,2002 - 2003,250,"2,060.00",8.24,,,,,,
,,2003 - 2004,250,"2,070.00",8.28,,,,,,
,,2004 - 2005,258,"2,157.00",8.36,,,,,,
,,2019 - 2020,,,,190,"1,680.00",8.84,600,"6,410.00",10.68
,16. Kandhamal,2000 - 2001,"1,280.00","7,080.00",5.53,,,,,,
,,2001 - 2002,"1,340.00","10,440.00",7.79,,,,,,
,,2002 - 2003,"1,810.00","14,880.00",8.22,,,,,,
,,2003 - 2004,"1,910.00","15,980.00",8.37,,,,,,
,,2004 - 2005,"1,961.00","16,415.00",8.37,,,,,,
,,2019 - 2020,,,,,,,"2,090.00","19,570.00",9.36
,17. Kendrapara,2000 - 2001,90,740,8.22,,,,,,
,,2001 - 2002,100,790,7.9,,,,,,
,,2002 - 2003,190,"1,500.00",7.89,,,,,,
,,2003 - 2004,250,"2,030.00",8.12,,,,,,
,,2004 - 2005,233,"1,895.00",8.13,,,,,,
,,2019 - 2020,,,,,,,250,"2,460.00",9.84
,18. Kendujhar,2000 - 2001,"3,470.00","10,770.00",3.1,,,,,,
,,2001 - 2002,"3,500.00","28,680.00",8.19,,,,,,
,,2002 - 2003,"2,620.00","21,080.00",8.05,,,,,,
,,2003 - 2004,"2,650.00","22,190.00",8.37,,,,,,
,,2004 - 2005,"2,698.00","22,613.00",8.38,,,,,,
,,2019 - 2020,,,,140,"1,270.00",9.07,"2,870.00","29,430.00",10.25
,19. Khordha,2000 - 2001,50,410,8.2,,,,,,
,,2001 - 2002,80,680,8.5,,,,,,
,,2002 - 2003,70,600,8.57,,,,,,
,,2003 - 2004,70,610,8.71,,,,,,
,,2004 - 2005,77,636,8.26,,,,,,
,,2019 - 2020,,,,10,90,9,300,"2,860.00",9.53
,20. Koraput,2000 - 2001,"5,120.00","38,920.00",7.6,,,,,,
,,2001 - 2002,"5,240.00","41,890.00",7.99,,,,,,
,,2002 - 2003,"5,490.00","44,990.00",8.19,,,,,,
,,2003 - 2004,"5,400.00","44,920.00",8.32,,,,,,
,,2004 - 2005,"5,459.00","45,421.00",8.32,,,,,,
,,2019 - 2020,,,,280,"2,530.00",9.04,"3,310.00","30,300.00",9.15
,21. Malkangiri,2000 - 2001,"1,330.00","10,500.00",7.89,,,,,,
,,2001 - 2002,"1,370.00","10,940.00",7.99,,,,,,
,,2002 - 2003,"1,360.00","11,620.00",8.54,,,,,,
,,2003 - 2004,"1,330.00","11,370.00",8.55,,,,,,
,,2004 - 2005,"1,399.00","11,942.00",8.54,,,,,,
,,2019 - 2020,,,,,,,"2,000.00","19,140.00",9.57
,22. Mayurbhanj,2000 - 2001,"1,220.00","9,930.00",8.14,,,,,,
,,2001 - 2002,"1,250.00","10,020.00",8.02,,,,,,
,,2002 - 2003,"3,190.00","25,790.00",8.08,,,,,,
,,2003 - 2004,"3,120.00","25,340.00",8.12,,,,,,
,,2004 - 2005,"3,082.00","25,050.00",8.13,,,,,,
,,2019 - 2020,,,,,,,"1,820.00","19,200.00",10.55
,23. Nabarangpur,2000 - 2001,"1,300.00","10,310.00",7.93,,,,,,
,,2001 - 2002,"1,340.00","10,680.00",7.97,,,,,,
,,2002 - 2003,120,"1,000.00",8.33,,,,,,
,,2003 - 2004,130,"1,040.00",8,,,,,,
,,2004 - 2005,129,"1,065.00",8.26,,,,,,
,,2019 - 2020,,,,,,,280,"2,840.00",10.14
,24. Nayagarh,2000 - 2001,120,"1,040.00",8.67,,,,,,
,,2001 - 2002,140,"1,140.00",8.14,,,,,,
,,2002 - 2003,250,"2,000.00",8,,,,,,
,,2003 - 2004,250,"2,050.00",8.2,,,,,,
,,2004 - 2005,258,"2,121.00",8.22,,,,,,
,,2019 - 2020,,,,,,,480,"4,870.00",10.15
,25. Nuapada,2000 - 2001,540,"4,900.00",9.07,,,,,,
,,2001 - 2002,550,"4,640.00",8.44,,,,,,
,,2002 - 2003,"1,100.00","9,010.00",8.19,,,,,,
,,2003 - 2004,"1,090.00","9,070.00",8.32,,,,,,
,,2004 - 2005,"1,030.00","8,595.00",8.34,,,,,,
,,2019 - 2020,,,,,,,"1,100.00","10,150.00",9.23
,26. Puri,2000 - 2001,40,320,8,,,,,,
,,2001 - 2002,50,430,8.6,,,,,,
,,2002 - 2003,50,410,8.2,,,,,,
,,2003 - 2004,50,430,8.6,,,,,,
