state,district,year,cowpea_kharif_yield_tonne_per_hectare
,,2016 - 2017,1.28
,,2017 - 2018,1.26
,,2018 - 2019,1.15
,Imphal west,2008 - 2009,1.31
,,2009 - 2010,0.9
,,2010 - 2011,1.34
,,2011 - 2012,1.26
,,2012 - 2013,0.98
,,2013 - 2014,1.07
,,2014 - 2015,1.15
,,2015 - 2016,1.18
,,2016 - 2017,1.2
,,2017 - 2018,1.18
,,2018 - 2019,1.06
,Senapati,2008 - 2009,1.1
,,2009 - 2010,0.64
,,2010 - 2011,1.03
,,2011 - 2012,1.01
,,2012 - 2013,1.01
,,2013 - 2014,1.02
,,2014 - 2015,1.03
,,2015 - 2016,1.05
,,2016 - 2017,1.11
,,2017 - 2018,1.19
,,2018 - 2019,1.16
,Tamenglong,2008 - 2009,1.04
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.96
,,2013 - 2014,1.0
,,2014 - 2015,0.98
,,2015 - 2016,1.05
,,2016 - 2017,1.11
,,2017 - 2018,1.08
,,2018 - 2019,1.01
,Thoubal,2008 - 2009,1.13
,,2009 - 2010,0.94
,,2010 - 2011,1.19
,,2011 - 2012,1.04
,,2012 - 2013,0.96
,,2013 - 2014,0.98
,,2014 - 2015,0.98
,,2015 - 2016,1.06
,,2016 - 2017,1.1
,,2017 - 2018,1.08
,,2018 - 2019,1.06
,Ukhrul,2008 - 2009,1.17
,,2009 - 2010,0.69
,,2010 - 2011,1.17
,,2011 - 2012,1.2
,,2012 - 2013,1.01
,,2013 - 2014,1.05
,,2014 - 2015,0.99
,,2015 - 2016,1.08
,,2016 - 2017,1.12
,,2017 - 2018,1.29
,,2018 - 2019,1.0
Meghalaya,East garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ri bhoi,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Mizoram,Aizawl,2010 - 2011,1.49
,,2011 - 2012,1.12
,,2012 - 2013,1.14
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,1.27
,,2016 - 2017,1.3
,,2017 - 2018,4.45
,,2018 - 2019,4.32
,,2019 - 2020,2.0
,,2020 - 2021,1.72
,,2021 - 2022,1.69
,,2022 - 2023,0.97
,Champhai,2010 - 2011,1.1
,,2011 - 2012,1.22
,,2012 - 2013,0.05
,,2013 - 2014,1.21
,,2014 - 2015,1.1
,,2015 - 2016,1.32
,,2016 - 2017,1.12
,,2017 - 2018,1.06
,,2018 - 2019,1.08
,,2019 - 2020,1.05
,,2020 - 2021,0.73
,,2021 - 2022,0.8
,,2022 - 2023,0.81
,Hnahthial,2020 - 2021,1.67
,,2022 - 2023,1.71
,Khawzawl,2020 - 2021,1.25
,,2021 - 2022,1.2
,,2022 - 2023,1.22
,Kolasib,2010 - 2011,1.0
,,2011 - 2012,1.08
,,2012 - 2013,1.27
,,2013 - 2014,1.28
,,2014 - 2015,1.28
,,2015 - 2016,1.29
,,2016 - 2017,1.29
,,2017 - 2018,1.3
,,2018 - 2019,1.34
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.96
,,2022 - 2023,2.0
,Lawngtlai,2010 - 2011,0.52
,,2011 - 2012,0.5
,,2013 - 2014,0.45
,,2014 - 2015,0.45
,,2015 - 2016,0.93
,,2016 - 2017,0.93
,,2017 - 2018,0.92
,,2018 - 2019,0.97
,,2019 - 2020,0.99
,,2020 - 2021,1.0
,,2021 - 2022,0.93
,,2022 - 2023,0.9
,Lunglei,2010 - 2011,2.0
,,2011 - 2012,1.14
,,2012 - 2013,
,,2013 - 2014,1.11
,,2014 - 2015,1.0
,,2015 - 2016,1.11
,,2016 - 2017,1.23
,,2017 - 2018,1.32
,,2018 - 2019,1.47
,,2019 - 2020,1.39
,,2020 - 2021,1.28
,,2021 - 2022,1.22
,,2022 - 2023,1.21
,Mamit,2010 - 2011,0.82
,,2011 - 2012,0.93
,,2012 - 2013,0.9
,,2013 - 2014,0.99
,,2014 - 2015,1.98
,,2015 - 2016,0.95
,,2016 - 2017,0.94
,,2017 - 2018,0.93
,,2018 - 2019,0.97
,,2019 - 2020,0.97
,,2020 - 2021,0.91
,,2021 - 2022,1.25
,,2022 - 2023,1.16
,Saiha,2010 - 2011,1.35
,,2011 - 2012,0.86
,,2012 - 2013,0.57
,,2013 - 2014,0.83
,,2014 - 2015,0.57
,,2015 - 2016,1.0
,,2016 - 2017,1.17
,,2017 - 2018,1.05
,,2018 - 2019,1.12
,,2019 - 2020,1.2
,,2020 - 2021,1.06
,,2021 - 2022,1.11
,,2022 - 2023,1.11
,Saitual,2020 - 2021,1.93
,,2021 - 2022,1.24
,,2022 - 2023,1.18
,Serchhip,2010 - 2011,0.88
,,2011 - 2012,0.88
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,1.1
,,2015 - 2016,1.1
