state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2021 - 2022,38.96
,,2022 - 2023,44.56
,Darrang,2000 - 2001,30.11
,,2001 - 2002,31.62
,,2002 - 2003,34.37
,,2003 - 2004,40.69
,,2004 - 2005,34.61
,,2005 - 2006,28.24
,,2006 - 2007,31.64
,,2007 - 2008,34.7
,,2008 - 2009,38.66
,,2009 - 2010,39.53
,,2010 - 2011,38.43
,,2011 - 2012,42.04
,,2012 - 2013,40.48
,,2013 - 2014,41.77
,,2014 - 2015,43.47
,,2015 - 2016,40.13
,,2016 - 2017,45.92
,,2017 - 2018,39.91
,,2018 - 2019,40.1
,,2019 - 2020,41.1
,,2020 - 2021,43.3
,,2021 - 2022,39.93
,,2022 - 2023,39.74
,Dhemaji,2000 - 2001,36.89
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.94
,,2005 - 2006,37.19
,,2006 - 2007,39.63
,,2007 - 2008,38.08
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.25
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Dhubri,2000 - 2001,36.9
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.58
,,2004 - 2005,36.91
,,2005 - 2006,37.19
,,2006 - 2007,39.64
,,2007 - 2008,38.08
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.57
,Dibrugarh,2000 - 2001,36.9
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.91
,,2005 - 2006,37.18
,,2006 - 2007,39.63
,,2007 - 2008,38.67
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.05
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.47
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.56
,Dima hasao,2000 - 2001,31.6
,,2001 - 2002,33.25
,,2002 - 2003,33.91
,,2003 - 2004,31.15
,,2004 - 2005,32.56
,,2005 - 2006,31.91
,,2006 - 2007,28.35
,,2007 - 2008,29.61
,,2008 - 2009,31.47
,,2009 - 2010,28.59
,,2010 - 2011,35.26
,,2011 - 2012,31.39
,,2012 - 2013,30.06
,,2013 - 2014,36.3
,,2014 - 2015,39.49
,,2015 - 2016,53.32
,,2016 - 2017,50.25
,,2017 - 2018,50.24
,,2018 - 2019,35.06
,,2019 - 2020,50.02
,,2020 - 2021,51.46
,,2021 - 2022,41.04
,,2022 - 2023,35.49
,Goalpara,2000 - 2001,47.67
,,2001 - 2002,37.23
,,2002 - 2003,36.42
,,2003 - 2004,38.59
,,2004 - 2005,36.92
,,2005 - 2006,37.19
,,2006 - 2007,39.63
,,2007 - 2008,38.07
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.46
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.84
,,2021 - 2022,38.97
,,2022 - 2023,44.57
,Golaghat,2000 - 2001,41.26
,,2001 - 2002,36.53
,,2002 - 2003,37.52
,,2003 - 2004,40.77
,,2004 - 2005,40.2
,,2005 - 2006,39.12
,,2006 - 2007,42.81
,,2007 - 2008,36.76
,,2008 - 2009,33.3
,,2009 - 2010,36.92
,,2010 - 2011,33.56
,,2011 - 2012,35.83
,,2012 - 2013,34.2
,,2013 - 2014,35.06
,,2014 - 2015,34.09
,,2015 - 2016,26.62
,,2016 - 2017,26.8
,,2017 - 2018,27.34
,,2018 - 2019,25.48
,,2019 - 2020,25.78
,,2020 - 2021,26.6
,,2021 - 2022,27.33
,,2022 - 2023,50.3
,Hailakandi,2000 - 2001,47.45
,,2001 - 2002,28.8
,,2002 - 2003,21.4
,,2003 - 2004,19.6
,,2004 - 2005,41.4
,,2005 - 2006,39.0
,,2006 - 2007,39.63
,,2007 - 2008,38.08
,,2008 - 2009,27.0
,,2009 - 2010,39.1
,,2010 - 2011,36.2
,,2011 - 2012,37.06
,,2012 - 2013,35.61
,,2013 - 2014,36.97
,,2014 - 2015,36.76
,,2015 - 2016,35.24
,,2016 - 2017,38.46
,,2017 - 2018,37.4
,,2018 - 2019,35.06
,,2019 - 2020,41.01
,,2020 - 2021,35.85
,,2021 - 2022,38.97
,,2022 - 2023,44.57
,Hojai,2020 - 2021,17.43
,,2021 - 2022,43.25
,,2022 - 2023,43.87
,Jorhat,2000 - 2001,33.78
,,2001 - 2002,34.35
,,2002 - 2003,32.95
,,2003 - 2004,34.22
,,2004 - 2005,32.39
,,2005 - 2006,32.51
,,2006 - 2007,33.41
,,2007 - 2008,33.33
,,2008 - 2009,30.89
