state,district,year,urad_kharif_yield_tonne_per_hectare
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.92
,Arwal,2003 - 2004,0.76
,,2004 - 2005,0.8
,,2005 - 2006,0.77
,,2007 - 2008,0.8
,,2008 - 2009,0.61
,,2009 - 2010,1.0
,,2010 - 2011,0.86
,,2011 - 2012,0.9
,,2013 - 2014,0.89
,,2014 - 2015,0.89
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.76
,,2018 - 2019,0.88
,,2019 - 2020,0.89
,,2020 - 2021,0.86
,,2021 - 2022,0.83
,,2022 - 2023,0.69
,Aurangabad,2000 - 2001,0.48
,,2002 - 2003,0.69
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.77
,,2006 - 2007,0.67
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2009 - 2010,1.0
,,2012 - 2013,0.85
,,2013 - 2014,0.92
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,Banka,2000 - 2001,0.64
,,2001 - 2002,0.61
,,2002 - 2003,0.83
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.86
,,2006 - 2007,0.81
,,2008 - 2009,0.86
,,2009 - 2010,1.0
,,2013 - 2014,0.89
,,2016 - 2017,0.91
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,Begusarai,2000 - 2001,0.62
,,2001 - 2002,0.74
,,2002 - 2003,0.7
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.74
,,2006 - 2007,0.73
,,2007 - 2008,0.67
,,2008 - 2009,0.77
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.87
,,2020 - 2021,0.89
,,2021 - 2022,1.1
,,2022 - 2023,1.18
,Bhagalpur,2000 - 2001,0.63
,,2001 - 2002,0.68
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.86
,,2006 - 2007,0.73
,,2007 - 2008,0.78
,,2008 - 2009,0.86
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.86
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.89
,,2018 - 2019,0.91
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Bhojpur,2000 - 2001,0.67
,,2003 - 2004,0.76
,,2004 - 2005,0.94
,,2005 - 2006,0.86
,,2006 - 2007,0.78
,,2007 - 2008,0.85
,,2008 - 2009,0.83
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.89
,,2012 - 2013,0.92
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.86
,,2016 - 2017,0.88
,,2017 - 2018,0.83
,Buxar,2004 - 2005,0.74
,,2005 - 2006,1.03
,,2006 - 2007,0.78
,,2007 - 2008,0.89
,,2008 - 2009,0.82
,,2009 - 2010,0.99
,,2010 - 2011,0.83
,,2016 - 2017,0.8
,Darbhanga,2000 - 2001,0.67
,,2001 - 2002,0.7
,,2002 - 2003,0.74
,,2004 - 2005,0.71
,,2005 - 2006,0.65
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.75
,,2009 - 2010,1.0
,,2010 - 2011,0.88
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.94
,,2014 - 2015,0.91
,,2015 - 2016,0.89
,,2016 - 2017,0.88
,,2017 - 2018,0.9
,,2018 - 2019,0.89
,,2019 - 2020,0.89
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.95
,Gaya,2000 - 2001,0.52
,,2001 - 2002,0.64
,,2002 - 2003,0.69
,,2003 - 2004,0.74
,,2004 - 2005,0.73
,,2005 - 2006,0.76
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.4
,,2009 - 2010,0.99
,,2010 - 2011,0.88
,,2011 - 2012,0.91
,,2012 - 2013,0.87
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.89
,,2016 - 2017,0.89
,,2017 - 2018,0.85
,,2018 - 2019,0.87
,,2019 - 2020,0.83
,,2020 - 2021,0.81
,,2021 - 2022,0.96
,,2022 - 2023,0.88
,Gopalganj,2000 - 2001,0.72
,,2001 - 2002,0.54
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.73
,,2005 - 2006,0.76
,,2006 - 2007,0.78
,,2007 - 2008,0.8
,,2008 - 2009,0.74
,,2009 - 2010,0.98
,,2010 - 2011,0.87
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,Jamui,2000 - 2001,0.61
,,2001 - 2002,0.79
,,2002 - 2003,0.69
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,Jehanabad,2000 - 2001,0.57
,,2001 - 2002,0.66
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.8
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.29
,,2009 - 2010,1.0
,,2011 - 2012,0.92
,,2012 - 2013,0.91
,,2013 - 2014,0.92
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.84
,,2020 - 2021,0.75
,,2021 - 2022,1.0
,,2022 - 2023,0.86
,Kaimur (bhabua),2000 - 2001,0.64
,,2001 - 2002,0.68
,,2002 - 2003,0.87
,,2003 - 2004,0.71
,,2004 - 2005,0.77
,,2005 - 2006,1.0
,,2006 - 2007,0.77
,,2007 - 2008,0.89
,,2008 - 2009,0.83
,,2009 - 2010,1.0
,,2010 - 2011,0.85
,,2011 - 2012,0.92
,,2012 - 2013,1.0
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.93
,,2022 - 2023,0.9
,Katihar,2000 - 2001,0.64
,,2001 - 2002,0.64
,,2002 - 2003,0.75
,,2003 - 2004,0.74
,,2004 - 2005,0.76
,,2005 - 2006,0.69
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.85
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.85
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.92
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.89
,,2018 - 2019,0.91
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Khagaria,2000 - 2001,0.6
,,2001 - 2002,0.78
,,2002 - 2003,0.73
,,2003 - 2004,0.74
,,2004 - 2005,0.75
,,2005 - 2006,0.73
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.86
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.86
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.87
,,2020 - 2021,0.88
,,2021 - 2022,1.05
,,2022 - 2023,1.19
,Kishanganj,2000 - 2001,0.64
,,2001 - 2002,0.8
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.87
,,2006 - 2007,0.76
,,2007 - 2008,0.8
,,2008 - 2009,0.86
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.89
,,2012 - 2013,0.88
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.92
,,2017 - 2018,0.89
,,2018 - 2019,0.91
,,2019 - 2020,0.9
,,2020 - 2021,0.91
,,2021 - 2022,0.9
,,2022 - 2023,0.91
,Lakhisarai,2003 - 2004,0.76
,,2010 - 2011,0.86
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.92
,Madhepura,2000 - 2001,0.59
,,2001 - 2002,0.57
,,2002 - 2003,0.75
,,2003 - 2004,0.74
,,2004 - 2005,0.75
,,2005 - 2006,0.77
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.84
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.85
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.92
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.89
,,2018 - 2019,0.91
,,2019 - 2020,0.89
,,2020 - 2021,0.9
,,2021 - 2022,0.88
,,2022 - 2023,0.86
,Madhubani,2000 - 2001,0.62
,,2001 - 2002,0.66
,,2002 - 2003,0.74
,,2003 - 2004,0.71
,,2004 - 2005,0.74
,,2005 - 2006,0.72
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.84
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.87
,,2012 - 2013,0.86
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.89
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.89
,,2021 - 2022,0.88
,,2022 - 2023,0.88
,Munger,2000 - 2001,0.6
,,2001 - 2002,0.77
,,2002 - 2003,0.71
,,2003 - 2004,0.74
,,2004 - 2005,0.75
,,2005 - 2006,0.73
,,2006 - 2007,0.73
,,2007 - 2008,0.79
,,2008 - 2009,0.85
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,Muzaffarpur,2000 - 2001,0.63
,,2001 - 2002,0.63
,,2002 - 2003,0.64
,,2003 - 2004,0.76
,,2004 - 2005,0.72
,,2005 - 2006,0.76
,,2006 - 2007,0.78
,,2007 - 2008,0.73
,,2008 - 2009,0.82
,,2009 - 2010,1.0
,,2010 - 2011,0.89
,,2013 - 2014,1.0
,,2014 - 2015,0.91
,,2015 - 2016,0.9
,Nalanda,2003 - 2004,0.73
,,2004 - 2005,0.93
,,2009 - 2010,1.0
,,2010 - 2011,0.87
,,2011 - 2012,0.86
,,2012 - 2013,0.89
,,2013 - 2014,0.88
,,2014 - 2015,1.0
,,2015 - 2016,0.88
,,2016 - 2017,0.87
,,2017 - 2018,0.91
,,2018 - 2019,0.85
,Nawada,2000 - 2001,0.5
,,2001 - 2002,0.65
,,2002 - 2003,0.68
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.76
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.5
,,2009 - 2010,0.99
,,2010 - 2011,0.88
,,2011 - 2012,0.91
,,2012 - 2013,0.89
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.9
,,2016 - 2017,0.9
,,2017 - 2018,0.76
,,2018 - 2019,0.86
,,2019 - 2020,0.83
,,2020 - 2021,0.84
,,2021 - 2022,0.95
,,2022 - 2023,0.88
,Pashchim champaran,2000 - 2001,0.66
,,2001 - 2002,0.85
,,2002 - 2003,0.87
,,2003 - 2004,0.85
,,2004 - 2005,0.7
,,2005 - 2006,0.77
,,2006 - 2007,0.83
,,2007 - 2008,0.87
,,2008 - 2009,0.85
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.9
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.93
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.92
,Patna,2000 - 2001,0.75
,,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2008 - 2009,1.0
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2020 - 2021,0.9
,Purbi champaran,2000 - 2001,0.7
,,2001 - 2002,0.66
,,2002 - 2003,0.63
,,2003 - 2004,0.77
,,2004 - 2005,0.72
,,2005 - 2006,0.77
,,2006 - 2007,0.78
,,2007 - 2008,0.76
,,2008 - 2009,0.82
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.9
,,2012 - 2013,0.9
,,2014 - 2015,1.0
,Purnia,2000 - 2001,0.69
,,2001 - 2002,0.64
,,2002 - 2003,0.75
,,2003 - 2004,0.74
,,2004 - 2005,0.76
,,2005 - 2006,0.68
,,2006 - 2007,0.78
,,2007 - 2008,0.8
,,2008 - 2009,0.86
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.86
,,2012 - 2013,0.85
,,2013 - 2014,0.91
,,2014 - 2015,0.92
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.86
,,2018 - 2019,0.9
,,2019 - 2020,0.93
,,2020 - 2021,0.91
,,2021 - 2022,0.93
,,2022 - 2023,0.9
,Rohtas,2000 - 2001,0.64
,,2001 - 2002,0.63
,,2002 - 2003,0.86
,,2003 - 2004,0.7
,,2004 - 2005,0.72
,,2005 - 2006,1.06
,,2006 - 2007,0.76
,,2007 - 2008,0.88
,,2008 - 2009,0.81
,,2009 - 2010,0.98
,,2010 - 2011,0.87
,,2011 - 2012,0.93
,,2012 - 2013,1.0
,,2015 - 2016,0.87
,,2016 - 2017,0.89
,,2017 - 2018,0.89
,,2018 - 2019,0.88
,,2019 - 2020,0.89
,,2020 - 2021,0.88
,,2021 - 2022,0.93
,,2022 - 2023,0.89
,Saharsa,2000 - 2001,0.59
,,2001 - 2002,0.57
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.77
,,2006 - 2007,0.8
,,2007 - 2008,0.75
,,2008 - 2009,0.8
,,2009 - 2010,0.99
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.88
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Samastipur,2000 - 2001,0.7
,,2001 - 2002,0.77
,,2002 - 2003,0.71
,,2003 - 2004,0.72
,,2004 - 2005,0.72
,,2005 - 2006,0.67
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,0.79
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.89
,,2016 - 2017,0.89
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.9
,,2022 - 2023,0.92
,Saran,2000 - 2001,0.72
,,2001 - 2002,0.52
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.73
,,2005 - 2006,0.76
,,2006 - 2007,0.77
,,2007 - 2008,0.79
,,2008 - 2009,0.76
,,2009 - 2010,0.98
,,2010 - 2011,0.87
,,2011 - 2012,0.92
,,2012 - 2013,0.91
,,2013 - 2014,0.9
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.9
,,2017 - 2018,0.9
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,1.0
,,2021 - 2022,0.89
,,2022 - 2023,0.9
,Sheikhpura,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2011 - 2012,1.0
,Sitamarhi,2000 - 2001,0.68
,,2001 - 2002,0.79
,,2002 - 2003,0.86
,,2003 - 2004,0.84
,,2004 - 2005,0.69
,,2005 - 2006,0.78
,,2006 - 2007,0.81
,,2007 - 2008,0.9
,,2008 - 2009,0.28
,,2009 - 2010,1.0
,,2010 - 2011,0.88
,,2011 - 2012,0.92
,,2012 - 2013,1.0
,Siwan,2000 - 2001,0.73
,,2001 - 2002,0.5
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.73
,,2005 - 2006,0.76
,,2006 - 2007,0.77
,,2007 - 2008,0.79
,,2008 - 2009,0.75
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.89
,,2012 - 2013,0.91
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.9
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.9
,,2021 - 2022,0.89
,,2022 - 2023,0.9
,Supaul,2000 - 2001,0.61
,,2001 - 2002,0.58
,,2002 - 2003,0.73
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.77
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.82
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.89
,,2012 - 2013,0.89
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.9
,,2016 - 2017,0.9
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.87
,,2022 - 2023,0.87
,Vaishali,2000 - 2001,0.64
,,2001 - 2002,0.71
,,2002 - 2003,0.73
,,2003 - 2004,0.78
,,2004 - 2005,0.72
,,2005 - 2006,0.77
,,2006 - 2007,0.79
,,2007 - 2008,0.79
,,2008 - 2009,0.83
,,2009 - 2010,0.99
,,2010 - 2011,0.87
,,2011 - 2012,0.9
,,2012 - 2013,0.89
,,2013 - 2014,0.91
,,2014 - 2015,0.91
,,2015 - 2016,0.91
,,2016 - 2017,0.9
,,2017 - 2018,0.98
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,0.97
,,2021 - 2022,0.92
,,2022 - 2023,0.97
Chandigarh,Chandigarh,2000 - 2001,0.8
,,2001 - 2002,1.0
,,2002 - 2003,1.0
Chhattisgarh,Balod,2011 - 2012,0.3
,,2012 - 2013,0.31
,,2013 - 2014,0.29
,,2014 - 2015,0.26
,,2015 - 2016,0.24
,,2016 - 2017,0.26
,,2017 - 2018,0.3
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.33
,,2021 - 2022,0.44
,,2022 - 2023,0.44
,Baloda bazar,2011 - 2012,0.31
,,2012 - 2013,0.43
,,2013 - 2014,0.38
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.31
,,2017 - 2018,0.25
,,2018 - 2019,0.31
,,2019 - 2020,0.31
,,2020 - 2021,0.49
,,2021 - 2022,0.55
,,2022 - 2023,0.07
,Balrampur,2011 - 2012,0.27
,,2012 - 2013,0.37
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.33
,,2016 - 2017,0.36
,,2017 - 2018,0.31
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.34
,,2021 - 2022,0.35
,,2022 - 2023,0.35
,Bastar,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.29
,,2003 - 2004,0.4
,,2004 - 2005,0.42
,,2005 - 2006,0.42
,,2006 - 2007,0.48
,,2007 - 2008,0.44
,,2008 - 2009,0.37
,,2009 - 2010,0.33
,,2010 - 2011,0.41
,,2011 - 2012,0.41
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,0.42
,,2015 - 2016,0.36
,,2016 - 2017,0.4
,,2017 - 2018,0.42
,,2018 - 2019,0.4
,,2019 - 2020,0.37
,,2020 - 2021,0.36
,,2021 - 2022,0.34
,,2022 - 2023,0.36
,Bemetara,2011 - 2012,0.3
,,2012 - 2013,0.33
,,2013 - 2014,0.3
,,2014 - 2015,0.26
,,2015 - 2016,0.36
,,2016 - 2017,0.34
,,2017 - 2018,0.39
,,2018 - 2019,0.36
,,2019 - 2020,0.39
,,2020 - 2021,0.39
,,2021 - 2022,0.43
,,2022 - 2023,0.4
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.37
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.36
,,2011 - 2012,0.23
,,2012 - 2013,0.32
,,2013 - 2014,0.42
,,2014 - 2015,0.42
,,2015 - 2016,0.32
,,2016 - 2017,0.4
,,2017 - 2018,0.25
,,2018 - 2019,0.25
,,2019 - 2020,0.25
,,2020 - 2021,0.36
,,2021 - 2022,0.39
,,2022 - 2023,0.37
,Bilaspur,2000 - 2001,0.15
,,2001 - 2002,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.2
,,2005 - 2006,0.23
,,2006 - 2007,0.22
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2009 - 2010,0.25
,,2010 - 2011,0.23
,,2011 - 2012,0.22
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.26
,,2015 - 2016,0.27
,,2016 - 2017,0.25
,,2017 - 2018,0.24
,,2018 - 2019,0.24
,,2019 - 2020,0.26
,,2020 - 2021,0.37
,,2021 - 2022,0.35
,,2022 - 2023,0.38
,Dantewada,2000 - 2001,0.37
,,2001 - 2002,0.38
,,2002 - 2003,0.29
,,2003 - 2004,0.36
,,2004 - 2005,0.29
,,2005 - 2006,0.34
,,2006 - 2007,0.46
,,2007 - 2008,0.37
,,2008 - 2009,0.33
,,2009 - 2010,0.27
,,2010 - 2011,0.36
,,2011 - 2012,0.23
,,2012 - 2013,0.39
,,2013 - 2014,0.42
,,2014 - 2015,0.41
,,2015 - 2016,0.41
,,2016 - 2017,0.44
,,2017 - 2018,0.27
,,2018 - 2019,0.28
,,2019 - 2020,0.38
,,2020 - 2021,0.44
,,2021 - 2022,0.39
,,2022 - 2023,0.38
,Dhamtari,2000 - 2001,0.29
,,2001 - 2002,0.42
,,2002 - 2003,0.27
,,2003 - 2004,0.37
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.38
,,2007 - 2008,0.38
,,2008 - 2009,0.38
,,2009 - 2010,0.38
,,2010 - 2011,0.04
,,2011 - 2012,0.38
,,2012 - 2013,0.38
,,2013 - 2014,0.38
,,2014 - 2015,0.43
,,2015 - 2016,0.38
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.48
,,2021 - 2022,0.52
,,2022 - 2023,0.53
,Durg,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.25
,,2003 - 2004,0.28
,,2004 - 2005,0.28
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.28
,,2008 - 2009,0.25
,,2009 - 2010,0.27
,,2010 - 2011,0.31
,,2011 - 2012,0.31
,,2012 - 2013,0.31
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.34
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.31
,,2020 - 2021,0.38
,,2021 - 2022,0.39
,,2022 - 2023,0.39
,Gariyaband,2011 - 2012,0.31
,,2012 - 2013,0.43
,,2013 - 2014,0.33
,,2014 - 2015,0.31
,,2015 - 2016,0.41
,,2016 - 2017,0.38
,,2017 - 2018,0.31
,,2018 - 2019,0.44
,,2019 - 2020,0.41
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Gaurella-pendra-marwahi,2019 - 2020,0.26
,,2020 - 2021,0.36
,,2021 - 2022,0.37
,,2022 - 2023,0.37
,Janjgir-champa,2000 - 2001,0.24
,,2001 - 2002,0.26
,,2002 - 2003,0.23
,,2003 - 2004,0.26
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.17
,,2007 - 2008,0.26
,,2008 - 2009,0.24
,,2009 - 2010,0.25
,,2010 - 2011,0.26
,,2011 - 2012,0.25
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2014 - 2015,0.24
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.23
,,2018 - 2019,0.23
,,2019 - 2020,0.23
,,2020 - 2021,0.35
,,2021 - 2022,0.37
,,2022 - 2023,0.32
,Jashpur,2000 - 2001,0.21
,,2001 - 2002,0.23
,,2002 - 2003,0.23
,,2003 - 2004,0.23
,,2004 - 2005,0.19
,,2005 - 2006,0.17
,,2006 - 2007,0.22
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2009 - 2010,0.34
,,2010 - 2011,0.34
,,2011 - 2012,0.35
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.34
,,2015 - 2016,0.34
,,2016 - 2017,0.34
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.38
,,2020 - 2021,0.43
,,2021 - 2022,0.43
,,2022 - 2023,0.39
,Kabirdham,2000 - 2001,0.24
,,2001 - 2002,0.31
,,2002 - 2003,0.32
,,2003 - 2004,0.31
,,2004 - 2005,0.36
,,2005 - 2006,0.3
,,2006 - 2007,0.36
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2013 - 2014,0.36
,,2014 - 2015,0.36
,,2015 - 2016,0.36
,,2016 - 2017,0.32
,,2017 - 2018,0.27
,,2018 - 2019,0.25
,,2019 - 2020,0.31
,,2020 - 2021,0.34
,,2021 - 2022,0.39
,,2022 - 2023,0.39
,Kanker,2000 - 2001,0.36
,,2001 - 2002,0.39
,,2002 - 2003,0.19
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.42
,,2006 - 2007,0.46
,,2007 - 2008,0.46
,,2008 - 2009,0.34
,,2009 - 2010,0.36
,,2010 - 2011,0.42
,,2011 - 2012,0.23
,,2012 - 2013,0.39
,,2013 - 2014,0.33
,,2014 - 2015,0.31
,,2015 - 2016,0.25
,,2016 - 2017,0.23
,,2017 - 2018,0.36
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.44
,,2021 - 2022,0.46
,,2022 - 2023,0.43
,Khairgarh chhuikhadan gandai,2022 - 2023,0.37
,Kondagaon,2011 - 2012,0.41
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,0.42
,,2015 - 2016,0.39
,,2016 - 2017,0.57
,,2017 - 2018,0.41
,,2018 - 2019,0.43
,,2019 - 2020,0.46
,,2020 - 2021,0.43
,,2021 - 2022,0.59
,,2022 - 2023,0.43
,Korba,2000 - 2001,0.19
