state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2016 - 2017,1.52
,,2017 - 2018,1.51
,,2018 - 2019,1.21
,,2019 - 2020,1.16
,,2020 - 2021,1.55
,,2021 - 2022,1.34
,,2022 - 2023,1.18
,Nashik,2000 - 2001,0.83
,,2001 - 2002,0.89
,,2002 - 2003,1.22
,,2003 - 2004,0.67
,,2004 - 2005,1.23
,,2005 - 2006,0.95
,,2006 - 2007,0.8
,,2007 - 2008,0.78
,,2008 - 2009,1.27
,,2009 - 2010,0.67
,,2010 - 2011,1.17
,,2011 - 2012,1.34
,,2012 - 2013,1.88
,,2013 - 2014,1.99
,,2014 - 2015,
,,2015 - 2016,0.88
,,2016 - 2017,1.91
,,2017 - 2018,1.38
,,2018 - 2019,1.26
,,2019 - 2020,0.52
,,2020 - 2021,1.53
,,2021 - 2022,1.46
,,2022 - 2023,1.39
,Palghar,2022 - 2023,
,Parbhani,2000 - 2001,1.25
,,2001 - 2002,1.29
,,2002 - 2003,1.44
,,2003 - 2004,1.26
,,2004 - 2005,0.77
,,2005 - 2006,1.09
,,2006 - 2007,0.88
,,2007 - 2008,1.43
,,2008 - 2009,1.19
,,2009 - 2010,0.85
,,2010 - 2011,1.25
,,2011 - 2012,1.32
,,2012 - 2013,1.14
,,2013 - 2014,1.1
,,2014 - 2015,0.42
,,2015 - 2016,0.22
,,2016 - 2017,0.69
,,2017 - 2018,0.43
,,2018 - 2019,0.91
,,2019 - 2020,0.65
,,2020 - 2021,0.46
,,2021 - 2022,0.4
,,2022 - 2023,0.71
,Pune,2000 - 2001,0.8
,,2001 - 2002,0.69
,,2002 - 2003,0.53
,,2003 - 2004,1.59
,,2004 - 2005,1.06
,,2005 - 2006,1.03
,,2006 - 2007,0.63
,,2007 - 2008,0.8
,,2008 - 2009,1.14
,,2009 - 2010,1.05
,,2010 - 2011,0.95
,,2011 - 2012,1.0
,,2012 - 2013,0.85
,,2013 - 2014,0.84
,,2014 - 2015,0.49
,,2015 - 2016,0.71
,,2016 - 2017,0.22
,,2017 - 2018,0.94
,,2018 - 2019,0.7
,,2019 - 2020,0.81
,,2020 - 2021,0.62
,,2021 - 2022,1.13
,,2022 - 2023,0.31
,Ratnagiri,2021 - 2022,
,Sangli,2000 - 2001,1.28
,,2001 - 2002,0.47
,,2002 - 2003,0.56
,,2003 - 2004,0.31
,,2004 - 2005,1.82
,,2005 - 2006,0.87
,,2006 - 2007,0.76
,,2007 - 2008,0.83
,,2008 - 2009,0.65
,,2009 - 2010,0.85
,,2010 - 2011,1.25
,,2011 - 2012,0.75
,,2012 - 2013,0.48
,,2013 - 2014,0.86
,,2014 - 2015,1.07
,,2015 - 2016,0.47
,,2016 - 2017,1.0
,,2017 - 2018,0.83
,,2018 - 2019,0.8
,,2019 - 2020,0.86
,,2020 - 2021,1.37
,,2021 - 2022,1.18
,,2022 - 2023,0.64
,Satara,2000 - 2001,1.76
,,2001 - 2002,1.53
,,2002 - 2003,1.62
,,2003 - 2004,1.43
,,2004 - 2005,1.73
,,2005 - 2006,0.83
,,2006 - 2007,0.63
,,2007 - 2008,1.68
,,2008 - 2009,1.83
,,2009 - 2010,1.51
,,2010 - 2011,1.71
,,2011 - 2012,1.79
,,2012 - 2013,1.74
,,2013 - 2014,1.78
,,2014 - 2015,1.53
,,2015 - 2016,1.23
,,2016 - 2017,1.04
,,2017 - 2018,1.37
,,2018 - 2019,1.12
,,2019 - 2020,0.7
,,2020 - 2021,1.63
,,2021 - 2022,1.34
,,2022 - 2023,1.44
,Solapur,2000 - 2001,0.76
,,2001 - 2002,0.71
,,2002 - 2003,0.55
,,2003 - 2004,0.25
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.44
,,2010 - 2011,0.5
,,2011 - 2012,0.75
,,2012 - 2013,0.25
,,2013 - 2014,0.4
,,2014 - 2015,0.33
,,2015 - 2016,0.0
,,2016 - 2017,0.4
,,2017 - 2018,
,,2018 - 2019,0.49
,,2019 - 2020,0.25
,,2020 - 2021,0.62
,,2021 - 2022,1.13
,,2022 - 2023,0.5
,Thane,2022 - 2023,
,Wardha,2000 - 2001,1.02
,,2001 - 2002,0.97
,,2002 - 2003,0.92
,,2003 - 2004,0.98
,,2004 - 2005,0.9
,,2005 - 2006,0.81
,,2006 - 2007,0.85
,,2007 - 2008,0.75
,,2008 - 2009,0.35
,,2009 - 2010,0.46
,,2010 - 2011,0.48
,,2011 - 2012,0.72
,,2012 - 2013,0.88
,,2013 - 2014,0.23
,,2014 - 2015,0.43
,,2015 - 2016,0.51
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.24
,,2019 - 2020,0.22
,,2020 - 2021,0.22
,,2021 - 2022,0.21
,,2022 - 2023,0.04
,Washim,2000 - 2001,1.2
,,2001 - 2002,1.22
,,2002 - 2003,1.18
,,2003 - 2004,1.3
,,2004 - 2005,1.02
,,2005 - 2006,1.13
,,2006 - 2007,1.28
,,2007 - 2008,1.48
,,2008 - 2009,1.51
,,2009 - 2010,1.52
,,2010 - 2011,1.13
,,2011 - 2012,1.15
,,2012 - 2013,1.23
,,2013 - 2014,0.54
,,2014 - 2015,0.75
,,2015 - 2016,0.45
,,2016 - 2017,0.75
,,2017 - 2018,0.48
,,2018 - 2019,0.5
,,2019 - 2020,0.36
,,2020 - 2021,0.57
,,2021 - 2022,0.76
,,2022 - 2023,0.47
,Yavatmal,2000 - 2001,1.1
,,2001 - 2002,1.09
,,2002 - 2003,1.18
,,2003 - 2004,1.03
,,2004 - 2005,0.98
,,2005 - 2006,0.77
,,2006 - 2007,0.98
,,2007 - 2008,1.08
,,2008 - 2009,0.97
,,2009 - 2010,0.53
,,2010 - 2011,0.76
,,2011 - 2012,1.29
,,2012 - 2013,1.15
,,2013 - 2014,0.32
,,2014 - 2015,0.45
,,2015 - 2016,0.41
,,2016 - 2017,0.45
,,2017 - 2018,0.54
,,2018 - 2019,0.33
,,2019 - 2020,0.31
,,2020 - 2021,0.38
,,2021 - 2022,0.25
,,2022 - 2023,0.22
Nagaland,Chumoukedima,2022 - 2023,0.8
,Dimapur,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,2.52
,,2003 - 2004,1.8
,,2004 - 2005,2.02
,,2005 - 2006,2.5
,,2006 - 2007,0.91
,,2021 - 2022,0.83
,,2022 - 2023,0.89
,Kiphire,2021 - 2022,0.9
,,2022 - 2023,0.92
,Kohima,2000 - 2001,0.79
,,2001 - 2002,0.71
,,2002 - 2003,1.56
,,2003 - 2004,1.0
,,2004 - 2005,1.67
,,2005 - 2006,1.29
,,2006 - 2007,0.69
,,2007 - 2008,1.27
,,2008 - 2009,1.0
,,2009 - 2010,0.4
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.93
,,2022 - 2023,0.97
,Mokokchung,2000 - 2001,0.81
,,2001 - 2002,0.81
,,2002 - 2003,2.0
,,2003 - 2004,1.45
,,2004 - 2005,1.69
,,2005 - 2006,1.0
,,2006 - 2007,0.7
,,2007 - 2008,1.4
,Mon,2000 - 2001,0.87
,,2001 - 2002,1.08
,,2002 - 2003,2.16
,,2003 - 2004,1.74
,,2004 - 2005,1.42
,,2005 - 2006,1.4
,,2006 - 2007,0.8
,,2007 - 2008,1.27
,,2008 - 2009,1.2
,,2009 - 2010,0.43
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.85
,,2022 - 2023,0.89
,Noklak,2021 - 2022,0.97
,,2022 - 2023,1.0
,Phek,2000 - 2001,0.8
,,2001 - 2002,0.67
,,2002 - 2003,1.5
,,2003 - 2004,1.68
,,2004 - 2005,1.31
,,2005 - 2006,1.17
,,2006 - 2007,0.75
,,2007 - 2008,1.45
,,2008 - 2009,0.67
,,2009 - 2010,0.4
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,,2021 - 2022,0.98
,,2022 - 2023,1.02
,Tseminyu,2022 - 2023,0.93
,Tuensang,2000 - 2001,0.85
,,2001 - 2002,0.73
,,2002 - 2003,2.04
,,2003 - 2004,1.64
,,2004 - 2005,1.68
,,2005 - 2006,1.0
,,2006 - 2007,0.73
,,2007 - 2008,1.27
,Wokha,2000 - 2001,0.87
,,2001 - 2002,0.87
,,2002 - 2003,2.07
,,2003 - 2004,1.81
,,2004 - 2005,1.39
,,2005 - 2006,1.14
,,2006 - 2007,0.55
,,2007 - 2008,1.25
,,2008 - 2009,1.0
,,2009 - 2010,0.33
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.75
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.98
,,2022 - 2023,1.02
,Zunheboto,2000 - 2001,0.8
,,2001 - 2002,0.7
,,2002 - 2003,1.38
,,2003 - 2004,1.74
,,2004 - 2005,1.6
,,2005 - 2006,1.0
,,2006 - 2007,0.73
,,2007 - 2008,1.3
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.67
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.92
,,2022 - 2023,0.95
Odisha,Balangir,2000 - 2001,0.51
,,2001 - 2002,0.74
,,2002 - 2003,0.47
,,2003 - 2004,0.62
,,2004 - 2005,0.54
,,2019 - 2020,0.62
,Bargarh,2000 - 2001,0.78
,,2001 - 2002,0.58
,,2002 - 2003,0.53
,,2003 - 2004,0.63
,,2004 - 2005,0.58
,Cuttack,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.58
,Deogarh,2000 - 2001,0.5
,,2001 - 2002,0.56
,,2002 - 2003,0.55
,,2003 - 2004,0.55
,,2004 - 2005,0.5
,,2019 - 2020,0.67
,Gajapati,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.47
,,2019 - 2020,0.63
,Ganjam,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.51
,,2003 - 2004,0.61
,,2004 - 2005,0.62
,,2019 - 2020,0.61
,Jajapur,2000 - 2001,0.38
,,2002 - 2003,0.39
,,2003 - 2004,0.33
,,2004 - 2005,0.37
,Kalahandi,2000 - 2001,0.47
,,2001 - 2002,0.91
,,2002 - 2003,1.03
,,2003 - 2004,1.04
,,2004 - 2005,0.69
,,2019 - 2020,0.56
,Kandhamal,2000 - 2001,0.42
,,2001 - 2002,0.42
,,2002 - 2003,0.4
,,2003 - 2004,0.39
,,2004 - 2005,0.4
,,2019 - 2020,0.55
,Kendujhar,2000 - 2001,0.56
,,2001 - 2002,0.56
,,2002 - 2003,0.54
,,2003 - 2004,0.55
,,2004 - 2005,0.54
,,2019 - 2020,0.63
,Khordha,2000 - 2001,0.63
,,2001 - 2002,0.33
,Koraput,2000 - 2001,0.8
,,2001 - 2002,0.53
,,2002 - 2003,0.66
,,2003 - 2004,0.69
,,2004 - 2005,0.62
,,2019 - 2020,0.65
,Malkangiri,2000 - 2001,0.64
,,2001 - 2002,0.73
,,2002 - 2003,0.54
,,2003 - 2004,0.57
,,2004 - 2005,0.51
,,2019 - 2020,0.64
,Mayurbhanj,2000 - 2001,0.55
,,2001 - 2002,0.53
,,2002 - 2003,0.48
,,2003 - 2004,0.47
,,2004 - 2005,0.53
,Nabarangpur,2000 - 2001,0.9
,,2001 - 2002,0.86
,,2002 - 2003,0.73
,,2003 - 2004,0.6
,,2004 - 2005,0.69
,,2019 - 2020,0.6
,Nayagarh,2000 - 2001,0.78
,,2001 - 2002,0.88
,,2002 - 2003,0.75
,,2003 - 2004,0.38
,,2004 - 2005,0.38
,,2019 - 2020,0.6
,Nuapada,2000 - 2001,0.2
,,2001 - 2002,0.25
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.39
,,2019 - 2020,0.65
,Rayagada,2000 - 2001,0.63
,,2001 - 2002,0.62
,,2002 - 2003,0.5
,,2003 - 2004,0.61
,,2004 - 2005,0.6
,,2019 - 2020,0.67
,Sambalpur,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,0.5
,,2003 - 2004,0.48
,,2004 - 2005,0.58
,,2019 - 2020,1.0
,Sonepur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.4
,Sundargarh,2000 - 2001,0.68
,,2001 - 2002,0.52
,,2002 - 2003,0.35
,,2003 - 2004,0.61
,,2004 - 2005,0.5
,,2019 - 2020,0.64
Puducherry,Karaikal,2000 - 2001,1.0
,Pondicherry,2006 - 2007,
,,2007 - 2008,1.67
,,2008 - 2009,1.5
,,2009 - 2010,1.5
,,2011 - 2012,
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,1.5
,,2016 - 2017,2.0
,,2017 - 2018,3.0
,,2018 - 2019,2.5
,,2020 - 2021,2.67
,,2021 - 2022,2.5
,,2022 - 2023,2.5
Punjab,Firozepur,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
Rajasthan,Ajmer,2000 - 2001,0.1
,,2001 - 2002,0.46
,,2002 - 2003,0.04
,,2003 - 2004,0.58
,,2004 - 2005,0.25
,,2005 - 2006,0.03
,,2006 - 2007,0.59
,,2007 - 2008,0.46
,,2008 - 2009,0.54
,,2009 - 2010,0.02
,,2010 - 2011,0.76
,,2011 - 2012,0.77
,,2012 - 2013,0.78
,,2013 - 2014,0.6
,,2014 - 2015,0.56
,,2015 - 2016,0.31
,,2016 - 2017,0.57
,,2017 - 2018,0.59
,,2018 - 2019,0.75
,,2019 - 2020,0.6
,,2020 - 2021,0.9
,,2021 - 2022,0.79
,,2022 - 2023,0.77
,Alwar,2000 - 2001,0.63
,,2001 - 2002,0.55
,,2002 - 2003,0.15
,,2003 - 2004,0.52
,,2004 - 2005,0.51
,,2005 - 2006,0.58
,,2006 - 2007,0.71
,,2007 - 2008,0.69
,,2008 - 2009,0.63
,,2009 - 2010,0.34
,,2010 - 2011,0.66
,,2011 - 2012,0.95
,,2012 - 2013,0.73
,,2013 - 2014,0.84
,,2014 - 2015,0.9
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.68
,,2018 - 2019,0.96
,,2019 - 2020,0.7
,,2020 - 2021,1.02
,,2021 - 2022,1.15
,,2022 - 2023,1.05
,Banswara,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.63
,,2007 - 2008,0.58
,,2008 - 2009,0.68
,,2009 - 2010,0.78
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.62
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.54
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.06
,,2021 - 2022,0.87
,,2022 - 2023,0.89
,Baran,2000 - 2001,0.75
,,2001 - 2002,1.17
,,2002 - 2003,0.2
,,2003 - 2004,1.12
,,2004 - 2005,1.62
,,2005 - 2006,1.22
,,2006 - 2007,1.6
,,2007 - 2008,1.96
,,2008 - 2009,1.36
,,2009 - 2010,1.64
,,2010 - 2011,0.7
,,2011 - 2012,2.19
,,2012 - 2013,1.57
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.54
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.84
,,2019 - 2020,0.71
,,2020 - 2021,1.05
,,2021 - 2022,0.87
,,2022 - 2023,0.88
,Barmer,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.46
,,2007 - 2008,0.1
,,2008 - 2009,0.17
,,2009 - 2010,0.0
,,2010 - 2011,0.7
,,2011 - 2012,0.38
,,2012 - 2013,0.14
,,2013 - 2014,0.35
,,2014 - 2015,0.73
,,2015 - 2016,0.16
,,2016 - 2017,0.07
,,2017 - 2018,0.13
,,2018 - 2019,0.02
,,2019 - 2020,0.41
,,2020 - 2021,0.46
,,2021 - 2022,0.1
,,2022 - 2023,0.83
,Bharatpur,2000 - 2001,0.97
,,2001 - 2002,0.55
,,2002 - 2003,0.33
,,2003 - 2004,0.7
,,2004 - 2005,0.49
,,2005 - 2006,0.57
,,2006 - 2007,0.62
,,2007 - 2008,0.79
,,2008 - 2009,0.67
,,2009 - 2010,0.55
,,2010 - 2011,0.62
,,2011 - 2012,0.85
,,2012 - 2013,0.74
,,2013 - 2014,0.89
,,2014 - 2015,1.08
,,2015 - 2016,1.11
,,2016 - 2017,0.7
,,2017 - 2018,0.57
,,2018 - 2019,0.86
,,2019 - 2020,1.09
,,2020 - 2021,1.23
,,2021 - 2022,1.15
,,2022 - 2023,0.97
,Bhilwara,2000 - 2001,0.14
,,2001 - 2002,0.43
,,2002 - 2003,0.01
,,2003 - 2004,0.64
,,2004 - 2005,0.44
,,2005 - 2006,0.13
,,2006 - 2007,0.88
,,2007 - 2008,0.62
,,2008 - 2009,0.42
,,2009 - 2010,0.12
,,2010 - 2011,0.64
,,2011 - 2012,0.76
,,2012 - 2013,1.52
,,2013 - 2014,0.88
,,2014 - 2015,0.94
,,2015 - 2016,0.28
,,2016 - 2017,0.79
,,2017 - 2018,1.0
,,2018 - 2019,1.34
,,2019 - 2020,0.94
,,2020 - 2021,1.79
,,2021 - 2022,1.48
,,2022 - 2023,1.5
,Bikaner,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.47
,,2005 - 2006,0.29
,,2006 - 2007,0.56
,,2007 - 2008,0.63
,,2008 - 2009,0.58
,,2009 - 2010,0.15
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.62
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.54
,,2016 - 2017,0.61
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,0.73
,,2021 - 2022,0.68
,,2022 - 2023,0.71
,Bundi,2000 - 2001,0.49
,,2001 - 2002,0.66
,,2002 - 2003,0.07
,,2003 - 2004,1.47
,,2004 - 2005,0.67
,,2005 - 2006,1.13
,,2006 - 2007,0.67
,,2007 - 2008,1.03
,,2008 - 2009,0.84
,,2009 - 2010,0.12
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,1.05
,,2013 - 2014,0.62
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2017 - 2018,0.59
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.05
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Chittorgarh,2000 - 2001,0.49
,,2001 - 2002,0.65
,,2002 - 2003,0.45
,,2003 - 2004,0.41
,,2004 - 2005,0.64
,,2005 - 2006,0.68
,,2006 - 2007,0.77
,,2007 - 2008,0.93
,,2008 - 2009,0.8
,,2009 - 2010,0.62
,,2010 - 2011,0.65
,,2011 - 2012,1.02
,,2012 - 2013,1.06
,,2013 - 2014,0.96
,,2014 - 2015,1.31
,,2015 - 2016,1.14
,,2016 - 2017,0.91
,,2017 - 2018,1.08
,,2018 - 2019,1.45
,,2019 - 2020,0.93
,,2020 - 2021,2.34
,,2021 - 2022,1.25
,,2022 - 2023,2.63
,Churu,2000 - 2001,0.2
,,2001 - 2002,0.4
,,2002 - 2003,0.2
,,2003 - 2004,0.67
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2008 - 2009,0.6
,,2009 - 2010,0.14
,,2010 - 2011,0.67
,,2011 - 2012,0.75
,,2012 - 2013,0.61
,,2013 - 2014,0.62
,,2016 - 2017,1.0
,,2017 - 2018,0.6
,,2019 - 2020,0.71
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Dausa,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.07
,,2003 - 2004,0.87
,,2004 - 2005,0.91
,,2005 - 2006,0.59
,,2006 - 2007,1.14
,,2007 - 2008,1.24
,,2008 - 2009,0.9
,,2009 - 2010,0.54
,,2010 - 2011,0.42
,,2011 - 2012,0.77
,,2012 - 2013,0.93
,,2013 - 2014,0.78
,,2014 - 2015,1.17
,,2015 - 2016,0.72
,,2016 - 2017,0.79
,,2017 - 2018,0.77
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.71
,,2021 - 2022,1.21
,,2022 - 2023,1.38
,Dholpur,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.55
,,2007 - 2008,0.64
,,2008 - 2009,0.57
,,2009 - 2010,0.14
,,2010 - 2011,0.69
,,2011 - 2012,0.74
,,2012 - 2013,0.61
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.05
,,2021 - 2022,0.87
,,2022 - 2023,0.9
,Dungarpur,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.56
,,2007 - 2008,0.63
,,2008 - 2009,0.58
,,2009 - 2010,0.15
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.62
,,2013 - 2014,0.62
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.61
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.06
,,2021 - 2022,0.86
,,2022 - 2023,0.9
,Ganganagar,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.14
,,2003 - 2004,0.72
,,2004 - 2005,0.48
,,2005 - 2006,0.29
,,2006 - 2007,0.55
,,2007 - 2008,0.5
,,2008 - 2009,0.59
,,2009 - 2010,0.14
,,2011 - 2012,0.75
,,2012 - 2013,0.62
,,2013 - 2014,0.62
,,2014 - 2015,0.76
,,2015 - 2016,0.53
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.06
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Hanumangarh,2000 - 2001,0.22
,,2001 - 2002,0.41
,,2002 - 2003,0.14
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.0
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2009 - 2010,0.15
,,2011 - 2012,0.7
,,2012 - 2013,0.62
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.62
,,2017 - 2018,0.58
,,2018 - 2019,0.86
,,2020 - 2021,1.0
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Jaipur,2000 - 2001,0.04
,,2001 - 2002,0.27
,,2002 - 2003,0.05
,,2003 - 2004,0.95
,,2004 - 2005,0.36
,,2005 - 2006,0.16
,,2006 - 2007,0.22
,,2007 - 2008,0.55
,,2008 - 2009,0.91
,,2009 - 2010,0.04
,,2010 - 2011,0.66
,,2011 - 2012,0.62
,,2012 - 2013,0.53
,,2013 - 2014,1.09
,,2014 - 2015,0.57
,,2015 - 2016,0.45
,,2016 - 2017,0.62
,,2017 - 2018,0.39
,,2018 - 2019,0.9
,,2019 - 2020,1.06
,,2020 - 2021,1.02
,,2021 - 2022,0.87
,,2022 - 2023,0.98
,Jaisalmer,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.1
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.43
,,2007 - 2008,0.53
,,2008 - 2009,0.04
,,2009 - 2010,0.0
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.14
,,2013 - 2014,0.09
,,2014 - 2015,0.06
,,2015 - 2016,0.52
,,2016 - 2017,0.47
,,2017 - 2018,0.18
,,2018 - 2019,0.61
,,2019 - 2020,0.73
,,2020 - 2021,1.05
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Jalore,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.72
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.46
,,2007 - 2008,0.56
,,2008 - 2009,0.45
,,2009 - 2010,0.0
,,2010 - 2011,0.68
,,2011 - 2012,0.83
,,2012 - 2013,0.76
,,2013 - 2014,0.35
,,2014 - 2015,0.7
,,2015 - 2016,0.29
,,2016 - 2017,0.17
,,2017 - 2018,0.25
,,2018 - 2019,0.22
,,2019 - 2020,0.58
,,2020 - 2021,0.49
,,2021 - 2022,0.1
,,2022 - 2023,0.68
,Jhalawar,2000 - 2001,0.42
,,2001 - 2002,0.7
,,2002 - 2003,0.51
,,2003 - 2004,1.99
,,2004 - 2005,1.37
,,2005 - 2006,0.98
,,2006 - 2007,1.17
,,2007 - 2008,1.47
,,2008 - 2009,1.23
,,2009 - 2010,1.42
,,2010 - 2011,1.26
,,2011 - 2012,1.45
,,2012 - 2013,1.39
,,2013 - 2014,1.17
,,2014 - 2015,1.01
,,2015 - 2016,1.33
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.06
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Jhunjhunu,2000 - 2001,0.21
,,2001 - 2002,0.5
,,2002 - 2003,0.11
,,2003 - 2004,0.67
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.5
,,2007 - 2008,0.64
,,2008 - 2009,0.57
,,2009 - 2010,0.25
,,2010 - 2011,0.67
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2018 - 2019,1.0
,,2020 - 2021,1.13
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Jodhpur,2000 - 2001,0.0
,,2001 - 2002,0.26
,,2002 - 2003,0.27
,,2003 - 2004,0.76
,,2004 - 2005,0.54
,,2005 - 2006,0.16
