feature,H_Cluster,State,District
Karnataka_Bagalkote,12,Karnataka,Bagalkote
Karnataka_Ballari,9,Karnataka,Ballari
Karnataka_Belagavi,12,Karnataka,Belagavi
Karnataka_Bengaluru Rural,12,Karnataka,Bengaluru Rural
Karnataka_Bengaluru Urban,12,Karnataka,Bengaluru Urban
Karnataka_Bidar,9,Karnataka,Bidar
Karnataka_Chamarajanagara,12,Karnataka,Chamarajanagara
Karnataka_Chikkaballapura,12,Karnataka,Chikkaballapura
Karnataka_Chikkamagaluru,13,Karnataka,Chikkamagaluru
Karnataka_Chitradurga,12,Karnataka,Chitradurga
Karnataka_Dakshina Kannada,13,Karnataka,Dakshina Kannada
Karnataka_Davangere,12,Karnataka,Davangere
Karnataka_Dharwad,12,Karnataka,Dharwad
Karnataka_Gadag,12,Karnataka,Gadag
Karnataka_Hassan,12,Karnataka,Hassan
Karnataka_Haveri,12,Karnataka,Haveri
Karnataka_Kalaburagi,9,Karnataka,Kalaburagi
Karnataka_Kodagu,13,Karnataka,Kodagu
Karnataka_Kolar,12,Karnataka,Kolar
Karnataka_Koppal,12,Karnataka,Koppal
Karnataka_Mandya,12,Karnataka,Mandya
Karnataka_Mysuru,12,Karnataka,Mysuru
Karnataka_Raichur,9,Karnataka,Raichur
Karnataka_Ramanagara,12,Karnataka,Ramanagara
Karnataka_Shivamogga,13,Karnataka,Shivamogga
Karnataka_Tumakuru,12,Karnataka,Tumakuru
Karnataka_Udupi,13,Karnataka,Udupi
Karnataka_Uttara Kannada,13,Karnataka,Uttara Kannada
Karnataka_Vijayanagar,12,Karnataka,Vijayanagar
Karnataka_Vijayapura,12,Karnataka,Vijayapura
Karnataka_Yadgir,9,Karnataka,Yadgir
Kerala_Alappuzha,4,Kerala,Alappuzha
Kerala_Ernakulam,13,Kerala,Ernakulam
Kerala_Idukki,13,Kerala,Idukki
Kerala_Kannur,13,Kerala,Kannur
Kerala_Kasaragod,4,Kerala,Kasaragod
Kerala_Kollam,13,Kerala,Kollam
Kerala_Kottayam,13,Kerala,Kottayam
Kerala_Kozhikode,13,Kerala,Kozhikode
Kerala_Malappuram,13,Kerala,Malappuram
Kerala_Palakkad,13,Kerala,Palakkad
Kerala_Pathanamthitta,13,Kerala,Pathanamthitta
Kerala_Thiruvananthapuram,13,Kerala,Thiruvananthapuram
Kerala_Thrissur,13,Kerala,Thrissur
Kerala_Wayanad,13,Kerala,Wayanad
Ladakh_Kargil,7,Ladakh,Kargil
Ladakh_Leh Ladakh,7,Ladakh,Leh Ladakh
Madhya Pradesh_Agar Malwa,9,Madhya Pradesh,Agar Malwa
Madhya Pradesh_Alirajpur,9,Madhya Pradesh,Alirajpur
Madhya Pradesh_Anuppur,4,Madhya Pradesh,Anuppur
Madhya Pradesh_Ashoknagar,9,Madhya Pradesh,Ashoknagar
Madhya Pradesh_Balaghat,9,Madhya Pradesh,Balaghat
Madhya Pradesh_Barwani,9,Madhya Pradesh,Barwani
Madhya Pradesh_Betul,4,Madhya Pradesh,Betul
Madhya Pradesh_Bhind,2,Madhya Pradesh,Bhind
Madhya Pradesh_Bhopal,9,Madhya Pradesh,Bhopal
Madhya Pradesh_Burhanpur,9,Madhya Pradesh,Burhanpur
Madhya Pradesh_Chhatarpur,2,Madhya Pradesh,Chhatarpur
Madhya Pradesh_Chhindwara,9,Madhya Pradesh,Chhindwara
Madhya Pradesh_Damoh,9,Madhya Pradesh,Damoh
Madhya Pradesh_Datia,2,Madhya Pradesh,Datia
Madhya Pradesh_Dewas,9,Madhya Pradesh,Dewas
Madhya Pradesh_Dhar,9,Madhya Pradesh,Dhar
Madhya Pradesh_Dindori,4,Madhya Pradesh,Dindori
Madhya Pradesh_East Nimar,9,Madhya Pradesh,East Nimar
Madhya Pradesh_Guna,9,Madhya Pradesh,Guna
Madhya Pradesh_Gwalior,2,Madhya Pradesh,Gwalior
Madhya Pradesh_Harda,9,Madhya Pradesh,Harda
Madhya Pradesh_Indore,9,Madhya Pradesh,Indore
Madhya Pradesh_Jabalpur,9,Madhya Pradesh,Jabalpur
Madhya Pradesh_Jhabua,9,Madhya Pradesh,Jhabua
Madhya Pradesh_Katni,9,Madhya Pradesh,Katni
Madhya Pradesh_Khargone,9,Madhya Pradesh,Khargone
Madhya Pradesh_Mandla,9,Madhya Pradesh,Mandla
Madhya Pradesh_Mandsaur,9,Madhya Pradesh,Mandsaur
Madhya Pradesh_Morena,2,Madhya Pradesh,Morena
Madhya Pradesh_Narmadapuram,9,Madhya Pradesh,Narmadapuram
Madhya Pradesh_Narsinghpur,9,Madhya Pradesh,Narsinghpur
Madhya Pradesh_Neemuch,2,Madhya Pradesh,Neemuch
Madhya Pradesh_Niwari,2,Madhya Pradesh,Niwari
Madhya Pradesh_Panna,2,Madhya Pradesh,Panna
Madhya Pradesh_Raisen,9,Madhya Pradesh,Raisen
Madhya Pradesh_Rajgarh,9,Madhya Pradesh,Rajgarh
Madhya Pradesh_Ratlam,9,Madhya Pradesh,Ratlam
Madhya Pradesh_Rewa,2,Madhya Pradesh,Rewa
Madhya Pradesh_Sagar,9,Madhya Pradesh,Sagar
Madhya Pradesh_Satna,2,Madhya Pradesh,Satna
Madhya Pradesh_Sehore,9,Madhya Pradesh,Sehore
Madhya Pradesh_Seoni,9,Madhya Pradesh,Seoni
Madhya Pradesh_Shahdol,9,Madhya Pradesh,Shahdol
Madhya Pradesh_Shajapur,9,Madhya Pradesh,Shajapur
Madhya Pradesh_Sheopur,2,Madhya Pradesh,Sheopur
Madhya Pradesh_Shivpuri,2,Madhya Pradesh,Shivpuri
Madhya Pradesh_Sidhi,9,Madhya Pradesh,Sidhi
Madhya Pradesh_Singrauli,2,Madhya Pradesh,Singrauli
