feature,month,tp,e,ro,t2m,stl1,d2m,stl2,swvl1,swvl2,cvh,cvl,slt
Tamil Nadu_Thanjavur,6,0.062072790678939734,-0.0651254940021317,0.0008459176379460084,304.66309958333335,306.38297083333333,295.68961458333337,305.781345,0.17909203041666666,0.14925914545833333,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,7,0.06466071872515987,-0.06041874775837636,0.0006790899034664292,304.2390158333333,305.90820791666664,295.123175,305.36930916666665,0.18007880833333334,0.14526620537499998,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,8,0.09237422474446545,-0.0747906914669632,0.0010635746295879843,303.63868083333335,305.35634458333334,295.59268000000003,304.8921525,0.20385202,0.16748060750000002,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,9,0.11392441752832379,-0.08730901026865462,0.0022995471971398247,303.0541554166667,304.890475,296.277765,304.45052458333333,0.23230162541666666,0.20265615333333334,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,10,0.1956552237728222,-0.09751122820792561,0.010679872151778546,301.5428754166667,303.2652125,296.7580258333333,302.96603583333336,0.28547738208333334,0.2611054945833333,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,11,0.24657609232235697,-0.09084254183107983,0.03998124161967094,299.6624175,300.77411333333333,296.1901829166667,300.49248916666664,0.32061223625,0.31438654083333334,0.29588467,0.5514974,2.2857144
Tamil Nadu_Thanjavur,12,0.11787926543668918,-0.08969667438941538,0.022330305232401274,298.7534504166667,299.62188791666665,294.7714158333333,299.2933433333333,0.28427680375000003,0.2921821983333333,0.29588467,0.5514974,2.2857144
Tamil Nadu_The Nilgiris,1,0.024492508907466456,-0.07145876636786848,0.014572435603743791,293.35930875,293.19047333333333,286.69545875,292.90389416666665,0.26721926041666666,0.28539733916666665,0.7140790999999999,0.2711682,3.1052632
Tamil Nadu_The Nilgiris,2,0.0275555147948883,-0.06534014061617195,0.009359932756827475,294.7212279166667,294.56621208333337,286.1250845833333,294.11482,0.2518667420833333,0.2662204516666667,0.7140790999999999,0.2711682,3.1052632
Tamil Nadu_The Nilgiris,3,0.06999947882529033,-0.07598362298449497,0.017820064601134274,296.4063995833333,296.4864670833333,287.83755,295.926875,0.26742988166666665,0.2699513058333333,0.7140790999999999,0.2711682,3.1052632
Tamil Nadu_The Nilgiris,4,0.14122674270765853,-0.08585884672356765,0.043572093418333645,297.09159416666665,297.45882208333336,291.0626520833333,296.99423874999997,0.31720476375,0.30710824708333334,0.7140790999999999,0.2711682,3.1052632
Tamil Nadu_The Nilgiris,5,0.240647796948906,-0.09855002287076782,0.0971920803567627,296.4648745833333,296.85001958333334,292.54498541666663,296.5845225,0.3718418895833333,0.35507798249999994,0.7140790999999999,0.2711682,3.1052632
