State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Saran,0.39,,0.71,0.42,0.38,0.47,0.86,0.66,0.67,0.28,0.52,0.44,0.54,0.67,1.06,0.7,0.59,0.8,0.56,0.21,0.69,0.74,0.79
Bihar,Sheikhpura,,,0.5,0.5,0.33,0.5,,,,1.06,,1.14,0.65,1.18,0.63,0.84,0.98,0.74,0.91,0.77,0.56,0.55,0.56
Bihar,Sheohar,0.53,,0.55,0.5,0.4,0.68,0.46,0.56,0.52,0.42,0.53,0.4,0.6,0.55,0.52,0.47,0.46,0.73,0.74,0.61,0.56,0.83,0.99
Bihar,Sitamarhi,0.84,0.58,0.45,0.41,0.41,0.82,0.45,0.58,0.53,0.41,0.85,0.54,0.62,0.54,0.53,0.56,0.6,0.64,0.44,0.7,0.66,0.81,1.09
Bihar,Siwan,0.79,0.5,0.43,0.58,0.37,0.31,1.08,0.27,0.67,0.28,0.87,0.96,0.65,0.67,0.72,0.7,0.61,0.79,0.56,0.21,0.68,0.74,0.64
Bihar,Supaul,0.39,0.78,0.43,0.45,0.71,0.36,0.47,0.52,0.75,0.29,0.35,0.37,0.69,0.84,0.53,0.35,0.69,0.51,0.55,0.72,0.43,0.49,0.68
Bihar,Vaishali,0.58,0.5,0.54,0.51,0.4,0.36,0.32,0.46,0.49,0.43,0.54,0.3,0.62,0.68,0.52,0.45,0.41,1.44,0.82,0.73,0.4,1.26,1.09
Chandigarh,Chandigarh,1,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Balod,,,,,,,,,,,,0.27,0.23,0.21,0.28,0.24,0.26,0.36,0.47,0.29,0.33,0.31,0.38
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,0.21,0.27,0.24,0.26,0.33,0.37,0.36,0.36,0.43,0.5,0.47,0.62
Chhattisgarh,Balrampur,,,,,,,,,,,,0.32,0.2,0.11,0.17,0.47,0.54,0.42,0.48,0.46,0.44,0.44,1
Chhattisgarh,Bastar,0.44,0.45,0.27,0.4,0.42,0.41,0.42,0.43,0.35,0.34,0.39,0.41,0.41,0.43,0.38,0.55,0.65,0.72,0.69,0.66,0.71,0.71,0.76
Chhattisgarh,Bemetara,,,,,,,,,,,,0.23,0.24,0.25,0.26,0.28,0.3,0.41,0.45,0.46,0.3,0.28,0.41
Chhattisgarh,Bijapur,,,,,,,,0.31,0.26,0.27,0.28,0.29,0.33,0.36,0.33,0.48,0.5,0.46,0.48,0.49,0.53,0.45,0.55
Chhattisgarh,Bilaspur,0.18,0.21,0.21,0.22,0.2,0.23,0.23,0.24,0.22,0.26,0.24,0.24,0.25,0.24,0.26,0.2,0.26,0.23,0.22,0.32,0.26,0.29,0.27
Chhattisgarh,Dantewada,0.32,0.38,0.29,0.32,0.27,0.31,0.56,0.34,0.32,0.28,0.32,0.27,0.39,0.4,0.4,0.3,0.43,0.35,0.32,0.38,0.43,0.37,0.36
Chhattisgarh,Dhamtari,0.16,0.23,0.23,0.19,0.18,0.19,0.19,0.19,0.19,0.26,0.26,0.26,0.26,0.26,0.25,0.47,0.47,0.48,0.46,0.42,0.48,0.42,0.46
Chhattisgarh,Durg,0.19,0.25,0.21,0.25,0.25,0.25,0.26,0.26,0.26,0.24,0.26,0.27,0.28,0.24,0.28,0.32,0.31,0.24,0.22,0.27,0.29,0.29,0.26
Chhattisgarh,Gariyaband,,,,,,,,,,,,0.18,0.18,0.15,0.16,0.19,0.2,0.18,0.18,0.22,0.22,0.2,0.2
Chhattisgarh,Gaurella Pendra Marwahi,,,,,,,,,,,,,,,,,,,,0.31,0.29,0.29,0.16
Chhattisgarh,Janjgir-Champa,0.2,0.24,0.23,0.25,0.24,0.23,0.22,0.26,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.31,0.37,0.33,0.35,0.35,0.54,0.49,0.67
Chhattisgarh,Jashpur,0.27,0.29,0.28,0.27,0.25,0.24,0.28,0.27,0.29,0.29,0.28,0.3,0.26,0.27,0.29,0.28,0.26,0.34,0.36,0.3,0.44,0.33,0.33
Chhattisgarh,Kabirdham,,0.2,0.16,0.19,0.2,0.18,0.21,0.18,0.19,0.17,0.19,0.38,0.33,0.32,0.25,0.24,0.21,0.41,0.28,0.29,0.33,0.5,0.31
Chhattisgarh,Kanker,0.36,0.42,0.21,0.43,0.43,0.41,0.44,0.43,0.33,0.35,0.4,0.27,0.39,0.36,0.28,0.39,0.53,0.53,0.56,0.45,0.58,0.65,0.62
Chhattisgarh,Khairgarh Chhuikhadan Gandai,,,,,,,,,,,,,,,,,,,,,,,0.32
Chhattisgarh,Kondagaon,,,,,,,,,,,,0.43,0.39,0.39,0.36,0.43,0.52,0.5,0.45,0.56,0.52,0.48,0.51
Chhattisgarh,Korba,0.18,0.23,0.2,0.2,0.18,0.21,0.17,0.19,0.2,0.2,0.22,0.22,0.25,0.24,0.25,0.19,0.24,0.25,0.18,0.19,0.17,0.11,0.5
Chhattisgarh,Korea,0.23,0.14,0.13,0.25,0.2,0.17,0.25,0.18,0.14,0.15,0.1,0.22,0.17,0.21,0.17,0.53,0.27,0.42,0.43,0.5,0.6,0.33,0.33
Chhattisgarh,Mahasamund,0.28,0.26,0.22,0.22,0.2,0.22,0.23,0.22,0.23,0.2,0.25,0.25,0.24,0.24,0.24,0.22,0.24,0.24,0.28,0.23,0.24,0.24,0.24
Chhattisgarh,Manendragarh Chirimiri Bharatpur,,,,,,,,,,,,,,,,,,,,,,,0.6
Chhattisgarh,Mohla Manpur Ambagarh Chouki,,,,,,,,,,,,,,,,,,,,,,,0.27
Chhattisgarh,Mungeli,,,,,,,,,,,,0.23,0.29,0.29,0.26,0.5,0.63,0.5,0.62,0.16,0.1,0.9,0.83
Chhattisgarh,Narayanpur,,,,,,,,0.43,0.43,0.29,,0.25,0.36,0.36,0.29,0.25,0.33,0.5,0.25,0.42,0.67,0.5,0.5
Chhattisgarh,Raigarh,0.22,0.27,0.26,0.28,0.25,0.27,0.3,0.29,0.28,0.27,0.29,0.29,0.3,0.29,0.31,0.73,0.73,0.55,0.69,0.68,0.75,0.73,0.72
Chhattisgarh,Raipur,0.17,0.22,0.21,0.18,0.15,0.16,0.16,0.18,0.17,0.18,0.18,0.19,0.23,0.24,0.25,0.22,0.29,0.24,0.29,0.28,0.46,0.46,0.47
Chhattisgarh,Rajnandgaon,0.17,0.21,0.18,0.22,0.22,0.2,0.2,0.22,0.19,0.17,0.2,0.22,0.21,0.19,0.22,0.57,0.38,0.57,0.6,0.24,0.45,0.3,0.29
