State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Odisha,Sundargarh,,,,,,,,,,,,,0.75,,,
Tamil Nadu,Ariyalur,,,,,,,,,,,,1,0.77,0.63,,0.83
Tamil Nadu,Chengalpattu,,,,,,,,,,,,,,1,0.75,1
Tamil Nadu,Coimbatore,,,,,,,,,,,0.38,0.79,0.55,0.43,0.32,0.3
Tamil Nadu,Cuddalore,,,,,,,,,,,0.68,0.85,0.7,0.67,0.64,0.47
Tamil Nadu,Dharmapuri,,,,,,,,,,,0.83,0.9,0.92,0.78,0.93,0.92
Tamil Nadu,Dindigul,,,,,,,,,,,0.64,0.95,0.85,0.56,0.55,0.72
Tamil Nadu,Erode,,,,,,,,,,,0.7,0.82,0.77,0.82,0.75,0.75
Tamil Nadu,Kallakurichi,,,,,,,,,,,,,,0.7,1,
Tamil Nadu,Kanchipuram,,,,,,,,,,,0.7,0.8,0.7,,,0.49
Tamil Nadu,Kanniyakumari,,,,,,,,,,,0.5,1,1,0.5,0.67,
Tamil Nadu,Karur,,,,,,,,,,,0.66,0.85,0.72,0.68,0.63,0.5
Tamil Nadu,Krishnagiri,,,,,,,,,,,0.63,0.67,0.98,0.84,0.68,0.77
Tamil Nadu,Madurai,,,,,,,,,,,0.7,0.81,0.47,0.61,0.45,0.52
Tamil Nadu,Namakkal,,,,,,,,,,,0.68,0.82,0.74,0.76,0.71,0.62
Tamil Nadu,Perambalur,,,,,,,,,,,1,0.67,0.78,0.85,0.79,1
Tamil Nadu,Pudukkottai,,,,,,,,,,,0.69,0.82,0.75,0.81,0.76,0.73
Tamil Nadu,Ramanathapuram,,,,,,,,,,,0.65,0.85,0.7,0.67,0.62,0.47
Tamil Nadu,Ranipet,,,,,,,,,,,,,,0.8,0.72,0.73
Tamil Nadu,Salem,,,,,,,,,,,0.76,0.77,0.64,0.96,0.77,0.7
Tamil Nadu,Sivaganga,,,,,,,,,,,0.69,0.81,0.76,0.79,0.72,0.61
Tamil Nadu,Tenkasi,,,,,,,,,,,,,,0.67,0.63,0.57
Tamil Nadu,Theni,,,,,,,,,,,0.69,0.93,0.68,0.78,0.73,0.47
Tamil Nadu,Thiruvallur,,,,,,,,,,,0.71,0.75,0.71,0.69,0.67,0.5
Tamil Nadu,Tiruchirappalli,,,,,,,,,,,0.69,0.83,0.74,0.74,0.67,0.56
Tamil Nadu,Tirunelveli,,,,,,,,,,,0.65,0.85,0.71,0.68,0.63,0.55
Tamil Nadu,Tirupathur,,,,,,,,,,,,,,0.81,0.74,0.73
Tamil Nadu,Tiruppur,,,,,,,,,,,0.52,0.33,0.41,0.72,0.73,0.42
Tamil Nadu,Tiruvannamalai,,,,,,,,,,,0.69,0.82,0.74,0.77,0.7,0.65
Tamil Nadu,Tuticorin,,,,,,,,,,,0.66,0.84,0.69,0.67,0.62,0.45
Tamil Nadu,Vellore,,,,,,,,,,,0.71,0.8,0.77,0.84,0.79,0.8
Tamil Nadu,Villupuram,,,,,,,,,,,0.69,0.86,0.7,0.84,0.74,0.78
Tamil Nadu,Virudhunagar,,,,,,,,,,,0.67,0.83,0.72,0.73,0.64,0.53
Telangana,Adilabad,,,,,0.32,,0.72,0.95,1.14,0.67,1.07,0.88,1.08,0.88,0.75,0.82
Telangana,Bhadradri Kothagudem,,,,,,,,,,1.5,1.51,1.23,0.96,1.03,0.69,1
Telangana,Jagitial,,,,,,,,,,2.07,1.35,1.98,1.21,1.07,0.66,0.9
Telangana,Jangoan,,,,,,,,,,0.52,1.25,1.11,0.82,0.99,0.66,0.87
Telangana,Jayashankar Bhupalapally,,,,,,,,,,0.5,1.3,1.13,0.98,0.94,0.61,0.79
Telangana,Jogulamba Gadwal,,,,,,,,,,1.13,1.3,1.12,0.99,1.82,1.28,1.25
Telangana,Kamareddy,,,,,,,,,,0.67,1,,0.73,0.41,0.41,0.75
Telangana,Karimnagar,,,,,0.74,1.5,0.89,1.69,1.19,1.41,1.18,1.11,0.94,0.88,0.68,0.84
Telangana,Khammam,,,,,0.8,1,0.64,1.41,1.23,1.57,1.3,1.13,0.94,1.08,0.81,0.88
Telangana,Kumuram Bheem Asifabad,,,,,,,,,,0.6,0.88,0.83,0.85,0.84,0.71,0.83
Telangana,Mahabubabad,,,,,,,,,,0.5,1.3,0.86,1.05,0.82,0.33,0.6
Telangana,Mahabubnagar,,,,,0.21,,0.53,0.57,1.05,1.14,1.06,1.14,0.83,0.94,0.69,0.83
Telangana,Mancherial,,,,,,,,,,0.95,,0.8,0.86,1.05,0.69,0.88
Telangana,Medak,,,,,0.51,0.5,0.84,1.1,0.8,0.92,1.5,0.79,0.86,0.71,0.68,0.8
Telangana,Medchal Malkajgiri,,,,,,,,,,,,,,,0.71,1
Telangana,Mulugu,,,,,,,,,,,,1.12,0.97,1.37,0.72,0.9
Telangana,Nagarkurnool,,,,,,,,,,0.52,1.25,,0.97,1.06,0.69,0.9
Telangana,Nalgonda,,,,,0.8,0.67,0.24,0.22,0.27,0.26,1.3,1.12,0.98,1.09,0.66,0.9
Telangana,Narayanpet,,,,,,,,,,,,0.44,0.85,0.99,0.7,0.91
Telangana,Nirmal,,,,,,,,,,1.11,1.02,0.79,,1,0.68,0.83
Telangana,Nizamabad,,,,,,,0.46,,2.63,,,,0.67,0.79,0.74,0.75
Telangana,Peddapalli,,,,,,,,,,1.78,1.18,0.96,0.84,0.87,0.7,0.88
Telangana,Rajanna Sircilla,,,,,,,,,,0.86,1.06,1.14,0.77,0.76,0.68,0.8
Telangana,Ranga Reddy,,,,,0.6,,0.73,0.89,1.85,1,,,0.86,0.81,0.7,0.71
Telangana,Sangareddy,,,,,,,,,,,,,0.71,1,0.65,0.86
Telangana,Siddipet,,,,,,,,,,0.98,1.49,1.17,1.03,0.99,0.62,1.09
Telangana,Suryapet,,,,,,,,,,0.26,0.88,0.62,0.13,1.05,0.66,0.92
Telangana,Vikarabad,,,,,,,,,,0.71,0.8,0.66,0.62,0.54,0.92,0.71
Telangana,Wanaparthy,,,,,,,,,,0.66,0.74,1.07,0.8,0.94,0.68,0.88
Telangana,Warangal,,,,,0.75,0.5,0.79,0.38,7.01,0.5,1.17,1.01,0.96,1.08,0.42,0.86
Telangana,Yadadri Bhuvanagiri,,,,,,,,,,0.33,1.28,1.11,0.88,0.79,0.68,1
Tripura,Dhalai,,,,,,,,,0.78,0.66,0.72,0.8,0.81,0.83,0.8,0.83
Tripura,Gomati,,,,,,,,,0.79,0.61,0.79,0.93,0.93,0.96,0.94,0.94
Tripura,Khowai,,,,,,,,,0.76,0.7,0.79,0.73,0.74,0.77,0.75,0.77
Tripura,North Tripura,,,,,,,,,0.79,0.65,0.74,0.74,0.75,0.77,0.74,0.79
Tripura,Sepahijala,,,,,,,,,0.79,0.61,0.67,0.74,0.76,0.77,0.74,0.83
Tripura,South Tripura,,,,,,,,,0.75,0.58,0.66,0.72,0.73,0.77,0.76,0.82
Tripura,Unakoti,,,,,,,,,0.77,0.62,0.69,0.74,0.75,0.78,0.74,0.84
Tripura,West Tripura,,,,,,,,,0.78,0.67,0.73,0.72,0.74,0.75,0.74,0.76
