state,district,year,arecanut_whole_year_yield_tonne_per_hectare
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udalguri,2006 - 2007,0.52
,,2007 - 2008,0.84
,,2008 - 2009,0.96
,,2009 - 2010,0.84
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West karbi anglong,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Goa,North goa,2013 - 2014,1.67
,,2014 - 2015,1.66
,,2015 - 2016,1.67
,,2016 - 2017,1.75
,,2017 - 2018,2.2
,,2018 - 2019,2.13
,,2019 - 2020,2.16
,,2020 - 2021,2.34
,,2021 - 2022,2.35
,,2022 - 2023,1.96
,South goa,2013 - 2014,1.61
,,2014 - 2015,1.63
,,2015 - 2016,1.66
,,2016 - 2017,1.7
,,2017 - 2018,1.64
,,2018 - 2019,1.66
,,2019 - 2020,1.77
,,2020 - 2021,1.82
,,2021 - 2022,1.86
,,2022 - 2023,1.89
Karnataka,Bagalkot,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2003 - 2004,1.33
,,2004 - 2005,1.5
,,2019 - 2020,10.75
,,2020 - 2021,11.2
,,2021 - 2022,11.0
,,2022 - 2023,7.0
,Bangalore rural,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.4
,,2005 - 2006,6.74
,,2006 - 2007,1.4
,,2007 - 2008,6.73
,,2008 - 2009,6.73
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,9.45
,Belgaum,2003 - 2004,1.5
,,2004 - 2005,1.38
,,2005 - 2006,6.44
,,2006 - 2007,1.33
,,2007 - 2008,6.43
,,2008 - 2009,6.43
,,2009 - 2010,6.43
,,2010 - 2011,11.0
,,2011 - 2012,8.0
,,2013 - 2014,11.0
,,2014 - 2015,9.29
,,2015 - 2016,9.75
,,2016 - 2017,10.0
,,2018 - 2019,8.92
,,2019 - 2020,10.78
,,2020 - 2021,11.29
,,2021 - 2022,10.95
,,2022 - 2023,9.76
,Bellary,2000 - 2001,1.42
,,2001 - 2002,1.42
,,2003 - 2004,1.43
,,2004 - 2005,1.44
,,2005 - 2006,6.71
,,2006 - 2007,1.44
,,2007 - 2008,6.71
,,2008 - 2009,6.71
,,2009 - 2010,6.7
,,2010 - 2011,10.82
,,2011 - 2012,8.1
,,2012 - 2013,8.02
,,2013 - 2014,11.1
,,2014 - 2015,9.0
,,2016 - 2017,10.18
,,2017 - 2018,10.86
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.19
,,2022 - 2023,6.01
,Bengaluru urban,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.4
,,2005 - 2006,6.73
,,2006 - 2007,1.4
,,2007 - 2008,6.74
,,2008 - 2009,6.74
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,7.15
,Bijapur,2018 - 2019,9.0
,,2019 - 2020,10.67
,,2020 - 2021,11.29
,,2022 - 2023,7.0
,Chamarajanagar,2000 - 2001,0.71
,,2001 - 2002,0.71
,,2003 - 2004,0.71
,,2004 - 2005,0.71
,,2005 - 2006,3.51
,,2006 - 2007,0.71
,,2007 - 2008,3.51
,,2008 - 2009,3.51
,,2009 - 2010,3.51
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,6.25
,Chikballapur,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.19
,,2022 - 2023,7.65
,Chikmagalur,2000 - 2001,1.15
,,2001 - 2002,1.15
,,2003 - 2004,1.15
,,2004 - 2005,1.15
,,2005 - 2006,6.08
,,2006 - 2007,1.15
,,2007 - 2008,6.08
,,2008 - 2009,6.08
,,2009 - 2010,6.08
,,2010 - 2011,10.81
,,2011 - 2012,5.21
,,2012 - 2013,5.21
,,2013 - 2014,11.14
,,2014 - 2015,5.33
,,2015 - 2016,5.21
,,2016 - 2017,5.72
,,2017 - 2018,6.76
,,2018 - 2019,5.53
,,2019 - 2020,10.24
,,2020 - 2021,5.93
,,2021 - 2022,6.08
,,2022 - 2023,7.95
,Chitradurga,2000 - 2001,0.96
,,2001 - 2002,0.96
,,2003 - 2004,0.96
,,2004 - 2005,0.96
,,2005 - 2006,4.68
,,2006 - 2007,0.96
,,2007 - 2008,4.68
,,2008 - 2009,4.68
,,2009 - 2010,4.68
,,2010 - 2011,9.9
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,12.89
,,2014 - 2015,11.29
,,2015 - 2016,10.25
,,2016 - 2017,9.11
,,2017 - 2018,10.73
,,2018 - 2019,11.04
,,2019 - 2020,10.4
,,2020 - 2021,10.83
,,2021 - 2022,10.83
,,2022 - 2023,8.3
,Dakshin kannad,2000 - 2001,1.78
,,2001 - 2002,1.78
,,2003 - 2004,1.78
,,2004 - 2005,1.78
,,2005 - 2006,8.37
,,2006 - 2007,1.78
,,2007 - 2008,8.37
,,2008 - 2009,8.37
,,2009 - 2010,8.37
,,2010 - 2011,12.29
,,2011 - 2012,12.37
,,2012 - 2013,12.37
,,2013 - 2014,12.67
,,2014 - 2015,12.73
,,2015 - 2016,10.45
,,2016 - 2017,12.26
,,2017 - 2018,10.8
,,2018 - 2019,8.32
,,2019 - 2020,13.45
,,2020 - 2021,13.55
,,2021 - 2022,13.5
,,2022 - 2023,6.75
,Davangere,2000 - 2001,0.96
,,2001 - 2002,0.96
,,2003 - 2004,0.96
,,2004 - 2005,0.96
,,2005 - 2006,4.68
,,2006 - 2007,0.96
,,2007 - 2008,4.68
,,2008 - 2009,4.68
,,2009 - 2010,4.68
,,2010 - 2011,12.68
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,13.16
,,2014 - 2015,7.19
,,2015 - 2016,8.82
,,2016 - 2017,11.35
,,2017 - 2018,14.52
,,2018 - 2019,9.32
,,2019 - 2020,8.32
,,2020 - 2021,10.83
,,2021 - 2022,11.85
,,2022 - 2023,8.4
,Dharwad,2000 - 2001,1.41
,,2001 - 2002,1.4
,,2003 - 2004,1.38
,,2004 - 2005,1.36
,,2005 - 2006,6.73
,,2006 - 2007,1.39
,,2007 - 2008,6.71
,,2008 - 2009,6.78
,,2009 - 2010,6.73
,,2010 - 2011,10.81
,,2011 - 2012,8.13
,,2012 - 2013,8.0
,,2013 - 2014,11.12
,,2014 - 2015,9.29
,,2015 - 2016,9.78
,,2016 - 2017,10.17
,,2017 - 2018,10.84
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.17
,,2022 - 2023,8.11
,Gadag,2003 - 2004,1.5
,,2004 - 2005,1.33
,,2005 - 2006,6.33
,,2006 - 2007,1.33
,,2007 - 2008,6.33
,,2008 - 2009,6.33
,,2009 - 2010,6.33
,,2010 - 2011,10.67
,,2014 - 2015,9.2
,,2015 - 2016,10.0
,,2016 - 2017,10.0
,,2017 - 2018,11.0
,,2018 - 2019,8.89
,,2019 - 2020,10.82
,,2020 - 2021,11.25
,,2021 - 2022,11.24
,,2022 - 2023,6.26
,Gulbarga,2018 - 2019,9.0
,Hassan,2000 - 2001,0.98
,,2001 - 2002,0.98
,,2003 - 2004,0.98
,,2004 - 2005,0.98
,,2005 - 2006,5.35
,,2006 - 2007,0.98
,,2007 - 2008,5.35
,,2008 - 2009,5.35
,,2009 - 2010,5.35
,,2010 - 2011,10.81
,,2011 - 2012,7.21
,,2012 - 2013,7.21
,,2013 - 2014,7.82
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.5
,,2022 - 2023,6.45
,Haveri,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.4
,,2005 - 2006,6.74
,,2006 - 2007,1.4
,,2007 - 2008,6.74
,,2008 - 2009,6.74
,,2009 - 2010,6.74
,,2010 - 2011,10.81
,,2011 - 2012,8.1
,,2012 - 2013,8.03
,,2013 - 2014,11.14
,,2014 - 2015,9.25
,,2015 - 2016,9.8
,,2016 - 2017,10.16
,,2017 - 2018,10.85
,,2018 - 2019,8.93
,,2019 - 2020,10.81
,,2020 - 2021,11.26
,,2021 - 2022,11.18
,,2022 - 2023,8.7
,Kodagu,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2003 - 2004,1.4
,,2004 - 2005,1.4
,,2005 - 2006,6.73
,,2006 - 2007,1.4
,,2007 - 2008,6.73
