state,district,year,linseed_rabi_yield_tonne_per_hectare
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.8
,,2022 - 2023,0.78
,Mon,2000 - 2001,0.49
,,2001 - 2002,0.77
,,2002 - 2003,1.12
,,2003 - 2004,0.91
,,2004 - 2005,0.52
,,2005 - 2006,0.31
,,2006 - 2007,0.59
,,2007 - 2008,0.7
,,2008 - 2009,0.71
,,2009 - 2010,0.69
,,2010 - 2011,0.82
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.85
,,2022 - 2023,0.79
,Noklak,2022 - 2023,0.77
,Nuiland,2022 - 2023,0.79
,Peren,2008 - 2009,0.81
,,2009 - 2010,0.69
,,2010 - 2011,0.82
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.75
,Phek,2000 - 2001,0.45
,,2001 - 2002,0.58
,,2002 - 2003,1.09
,,2003 - 2004,1.26
,,2004 - 2005,0.37
,,2005 - 2006,0.21
,,2006 - 2007,0.63
,,2007 - 2008,0.79
,,2008 - 2009,0.81
,,2009 - 2010,0.7
,,2010 - 2011,0.79
,,2011 - 2012,0.79
,,2012 - 2013,0.79
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2022 - 2023,0.72
,Shamator,2022 - 2023,0.78
,Tseminyu,2022 - 2023,0.74
,Tuensang,2000 - 2001,0.45
,,2001 - 2002,0.54
,,2002 - 2003,1.18
,,2003 - 2004,0.65
,,2004 - 2005,0.43
,,2005 - 2006,0.34
,,2006 - 2007,0.61
,,2007 - 2008,0.69
,,2008 - 2009,0.73
,,2009 - 2010,0.68
,,2010 - 2011,0.81
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.75
,,2022 - 2023,0.78
,Wokha,2000 - 2001,0.45
,,2001 - 2002,0.85
,,2002 - 2003,1.04
,,2003 - 2004,0.56
,,2004 - 2005,0.35
,,2005 - 2006,0.33
,,2006 - 2007,0.62
,,2007 - 2008,0.64
,,2008 - 2009,0.77
,,2009 - 2010,0.69
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.76
,,2022 - 2023,0.76
,Zunheboto,2000 - 2001,0.49
,,2001 - 2002,0.62
,,2002 - 2003,1.11
,,2003 - 2004,1.1
,,2004 - 2005,0.47
,,2005 - 2006,0.2
,,2006 - 2007,0.64
,,2007 - 2008,0.58
,,2008 - 2009,0.71
,,2009 - 2010,0.68
,,2010 - 2011,0.81
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.78
,,2022 - 2023,0.75
Odisha,Balangir,2001 - 2002,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.26
,,2019 - 2020,0.5
,Boudh,2000 - 2001,0.33
,,2004 - 2005,0.51
,Cuttack,2000 - 2001,0.5
,,2001 - 2002,0.55
,,2002 - 2003,0.56
,,2003 - 2004,0.4
,,2004 - 2005,0.41
,,2019 - 2020,0.5
,Ganjam,2000 - 2001,0.45
,,2001 - 2002,0.44
,,2002 - 2003,0.55
,,2003 - 2004,0.36
,,2004 - 2005,0.5
,Jagatsinghapur,2000 - 2001,0.4
,Jajapur,2000 - 2001,0.33
,,2001 - 2002,0.3
,,2002 - 2003,0.32
,,2003 - 2004,0.29
,,2004 - 2005,0.48
,,2019 - 2020,1.0
,Kalahandi,2000 - 2001,0.45
,,2001 - 2002,0.46
,,2002 - 2003,0.47
,,2003 - 2004,0.65
,,2004 - 2005,0.48
,,2019 - 2020,0.54
,Kendrapara,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.44
,,2003 - 2004,0.33
,,2004 - 2005,0.42
,,2019 - 2020,0.5
,Kendujhar,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.38
,,2003 - 2004,0.44
,,2004 - 2005,0.48
,,2019 - 2020,0.51
,Khordha,2000 - 2001,0.25
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.15
,Koraput,2000 - 2001,0.25
,,2001 - 2002,0.22
,,2002 - 2003,0.2
,,2003 - 2004,0.23
,,2004 - 2005,0.22
,,2019 - 2020,0.36
,Mayurbhanj,2000 - 2001,0.43
,,2001 - 2002,0.44
,,2002 - 2003,0.4
,,2003 - 2004,0.42
,,2004 - 2005,0.42
,,2019 - 2020,0.52
,Nabarangpur,2000 - 2001,0.18
,,2001 - 2002,0.2
,,2002 - 2003,0.17
,,2003 - 2004,0.2
,,2004 - 2005,0.2
,,2019 - 2020,0.46
,Nayagarh,2000 - 2001,0.43
,,2001 - 2002,0.44
,,2002 - 2003,0.17
,,2003 - 2004,0.23
,,2004 - 2005,0.25
,,2019 - 2020,0.45
,Nuapada,2000 - 2001,0.21
,,2001 - 2002,0.26
,,2002 - 2003,0.09
,,2003 - 2004,0.26
,,2004 - 2005,0.33
,,2019 - 2020,0.47
,Puri,2000 - 2001,0.28
,,2001 - 2002,0.32
,,2002 - 2003,0.26
,,2004 - 2005,0.25
,,2019 - 2020,0.46
,Sundargarh,2000 - 2001,0.4
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.31
,,2004 - 2005,0.33
,,2019 - 2020,0.48
Punjab,Gurdaspur,2000 - 2001,1.0
,,2001 - 2002,1.0
,Hoshiarpur,2000 - 2001,1.0
,Jalandhar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,Nawanshahr,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2006 - 2007,0.0
,Rupnagar,2000 - 2001,1.0
Rajasthan,Ajmer,2000 - 2001,0.32
,,2001 - 2002,0.79
,,2002 - 2003,1.0
,,2003 - 2004,0.81
,,2004 - 2005,0.75
,,2005 - 2006,0.82
,,2006 - 2007,0.81
,,2007 - 2008,0.79
,,2008 - 2009,1.02
,,2009 - 2010,1.0
,,2010 - 2011,0.61
,,2011 - 2012,1.4
,,2012 - 2013,1.0
,,2013 - 2014,0.92
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,0.73
,,2017 - 2018,0.93
,,2018 - 2019,0.75
,,2019 - 2020,1.0
,,2020 - 2021,0.87
,,2021 - 2022,0.4
,,2022 - 2023,0.0
,Alwar,2004 - 2005,1.0
,,2010 - 2011,1.08
,Banswara,2000 - 2001,0.64
,,2001 - 2002,0.8
,,2002 - 2003,0.71
,,2003 - 2004,0.79
,,2004 - 2005,0.76
,,2005 - 2006,0.84
,,2006 - 2007,0.81
,,2007 - 2008,0.75
,,2008 - 2009,0.37
,,2010 - 2011,0.35
,,2011 - 2012,0.38
,,2012 - 2013,0.45
,,2013 - 2014,1.0
,,2016 - 2017,1.0
,Baran,2000 - 2001,0.8
,,2001 - 2002,0.93
,,2002 - 2003,1.03
,,2003 - 2004,1.13
,,2004 - 2005,0.98
,,2005 - 2006,0.86
,,2006 - 2007,0.93
,,2007 - 2008,0.57
,,2008 - 2009,2.16
,,2009 - 2010,1.82
,,2010 - 2011,1.87
,,2011 - 2012,1.52
,,2012 - 2013,1.19
,,2013 - 2014,0.79
,,2014 - 2015,0.58
,,2015 - 2016,1.63
,,2016 - 2017,0.82
,,2017 - 2018,1.42
,,2018 - 2019,1.21
,,2019 - 2020,1.4
,,2020 - 2021,1.31
,,2021 - 2022,1.76
,,2022 - 2023,1.66
,Barmer,2001 - 2002,0.75
,,2002 - 2003,0.67
,,2006 - 2007,0.77
,,2007 - 2008,0.75
,,2008 - 2009,0.92
,,2010 - 2011,0.45
,,2011 - 2012,1.0
,,2013 - 2014,0.25
,,2014 - 2015,0.23
,,2015 - 2016,0.67
,,2016 - 2017,1.25
,,2017 - 2018,0.93
,,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.65
,,2021 - 2022,1.31
,,2022 - 2023,1.0
,Bharatpur,2002 - 2003,0.5
,,2008 - 2009,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.92
,,2016 - 2017,4.0
,,2019 - 2020,1.0
,,2020 - 2021,3.0
,Bhilwara,2000 - 2001,0.6
,,2001 - 2002,0.79
,,2002 - 2003,0.71
,,2003 - 2004,0.81
,,2004 - 2005,0.6
,,2005 - 2006,0.66
,,2006 - 2007,0.75
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.63
,,2011 - 2012,0.61
,,2012 - 2013,0.5
,,2013 - 2014,0.46
,,2014 - 2015,0.53
,,2015 - 2016,0.84
,,2016 - 2017,0.85
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.19
,,2020 - 2021,0.76
,,2021 - 2022,0.0
,,2022 - 2023,0.78
,Bikaner,2001 - 2002,0.75
,,2002 - 2003,0.71
,,2003 - 2004,0.86
,,2005 - 2006,1.0
,,2007 - 2008,0.77
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2020 - 2021,0.75
,,2022 - 2023,0.67
,Bundi,2000 - 2001,0.45
,,2001 - 2002,0.66
,,2002 - 2003,0.57
,,2003 - 2004,0.94
,,2004 - 2005,0.68
,,2005 - 2006,0.76
,,2006 - 2007,0.54
,,2007 - 2008,0.58
,,2008 - 2009,1.5
,,2009 - 2010,1.93
,,2010 - 2011,1.85
,,2011 - 2012,1.32
,,2012 - 2013,1.2
,,2013 - 2014,1.64
,,2014 - 2015,0.5
,,2015 - 2016,1.64
,,2016 - 2017,1.67
,,2017 - 2018,1.36
,,2018 - 2019,1.5
,,2019 - 2020,1.45
,,2020 - 2021,1.57
,,2021 - 2022,1.3
,,2022 - 2023,1.01
,Chittorgarh,2000 - 2001,0.48
,,2001 - 2002,0.78
,,2002 - 2003,0.42
,,2003 - 2004,0.56
,,2004 - 2005,0.6
,,2005 - 2006,0.67
,,2006 - 2007,0.63
,,2007 - 2008,0.84
,,2008 - 2009,0.63
,,2009 - 2010,0.52
,,2010 - 2011,0.62
,,2011 - 2012,0.41
,,2012 - 2013,0.81
,,2013 - 2014,0.52
,,2014 - 2015,0.36
,,2015 - 2016,0.8
,,2016 - 2017,0.75
,,2017 - 2018,0.8
,,2018 - 2019,0.89
,,2019 - 2020,0.84
,,2020 - 2021,0.59
,,2021 - 2022,0.75
,,2022 - 2023,0.67
,Churu,2000 - 2001,0.5
,,2003 - 2004,0.82
,,2004 - 2005,0.75
,,2009 - 2010,0.0
,,2013 - 2014,0.0
,,2016 - 2017,0.4
,,2017 - 2018,0.0
,,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,Dausa,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.69
,,2003 - 2004,0.75
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,Dholpur,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.75
,,2010 - 2011,1.0
,Dungarpur,2000 - 2001,0.5
,,2001 - 2002,0.75
,Ganganagar,2000 - 2001,0.67
,,2002 - 2003,0.8
,,2004 - 2005,0.74
,,2006 - 2007,0.77
,,2008 - 2009,0.0
,,2009 - 2010,1.5
,,2012 - 2013,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.02
,,2017 - 2018,1.39
,,2018 - 2019,1.41
,,2019 - 2020,1.4
,,2020 - 2021,1.98
,,2021 - 2022,1.0
,,2022 - 2023,4.13
,Hanumangarh,2006 - 2007,0.79
,,2008 - 2009,0.56
,,2009 - 2010,0.93
,,2013 - 2014,0.8
,,2014 - 2015,1.2
,,2015 - 2016,1.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2022 - 2023,1.21
,Jaipur,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,0.75
,,2004 - 2005,0.5
,,2006 - 2007,0.78
,,2007 - 2008,0.83
,,2008 - 2009,1.0
,,2010 - 2011,0.87
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.92
,,2014 - 2015,0.67
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2017 - 2018,0.83
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,2.0
,Jaisalmer,2000 - 2001,0.59
,,2003 - 2004,0.67
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2006 - 2007,0.75
,,2017 - 2018,1.0
,Jalore,2001 - 2002,0.75
,,2002 - 2003,1.0
,,2006 - 2007,0.78
,,2007 - 2008,0.79
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.22
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.47
,,2016 - 2017,0.44
,,2017 - 2018,1.0
,,2018 - 2019,1.67
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Jhalawar,2000 - 2001,0.59
,,2001 - 2002,0.79
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.71
,,2005 - 2006,1.06
,,2006 - 2007,0.79
,,2007 - 2008,0.77
,,2008 - 2009,0.58
,,2009 - 2010,0.55
,,2010 - 2011,0.8
,,2011 - 2012,1.05
,,2012 - 2013,1.0
,,2013 - 2014,0.7
,,2014 - 2015,0.7
,,2015 - 2016,1.2
,,2016 - 2017,1.2
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,1.33
,,2021 - 2022,1.63
,,2022 - 2023,1.0
,Jhunjhunu,2005 - 2006,1.0
,,2020 - 2021,0.0
,Jodhpur,2010 - 2011,0.4
,,2011 - 2012,0.25
,,2012 - 2013,0.33
,,2014 - 2015,0.57
,,2015 - 2016,0.5
,,2016 - 2017,7.0
,,2017 - 2018,0.71
,,2018 - 2019,0.8
,,2020 - 2021,0.9
,,2022 - 2023,0.57
,Karauli,2000 - 2001,0.6
,,2001 - 2002,0.75
,,2002 - 2003,0.75
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2009 - 2010,1.0
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2021 - 2022,2.0
,Kota,2000 - 2001,0.62
,,2001 - 2002,0.73
,,2002 - 2003,0.73
,,2003 - 2004,0.74
,,2004 - 2005,1.21
,,2005 - 2006,1.06
,,2006 - 2007,0.94
,,2007 - 2008,0.89
,,2008 - 2009,0.59
,,2009 - 2010,3.16
,,2010 - 2011,0.82
,,2011 - 2012,0.63
,,2012 - 2013,1.11
,,2013 - 2014,0.85
,,2014 - 2015,1.31
,,2015 - 2016,1.0
,,2016 - 2017,0.96
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.99
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Nagaur,2000 - 2001,0.6
,,2001 - 2002,0.78
,,2002 - 2003,0.71
,,2003 - 2004,0.81
,,2005 - 2006,0.85
,,2006 - 2007,0.78
,,2007 - 2008,0.77
,,2008 - 2009,1.96
,,2009 - 2010,1.94
,,2010 - 2011,3.23
,,2011 - 2012,1.85
,,2012 - 2013,2.53
,,2013 - 2014,1.99
,,2014 - 2015,1.9
,,2015 - 2016,0.41
,,2016 - 2017,1.98
,,2017 - 2018,1.06
,,2018 - 2019,1.21
,,2019 - 2020,1.09
,,2020 - 2021,1.52
,,2021 - 2022,1.23
,,2022 - 2023,0.67
,Pali,2000 - 2001,0.6
,,2001 - 2002,0.78
,,2003 - 2004,0.79
,,2004 - 2005,1.0
,,2007 - 2008,0.73
,,2008 - 2009,0.48
,,2010 - 2011,1.0
,,2013 - 2014,0.57
,,2014 - 2015,0.71
,,2015 - 2016,0.32
,,2016 - 2017,2.0
,,2017 - 2018,1.0
,,2018 - 2019,0.86
,,2019 - 2020,0.92
,Pratapgarh,2008 - 2009,0.74
,,2009 - 2010,0.51
,,2010 - 2011,0.91
,,2011 - 2012,0.95
,,2012 - 2013,0.95
,,2013 - 2014,0.99
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.16
,,2020 - 2021,1.19
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Rajsamand,2001 - 2002,1.0
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,,2007 - 2008,0.75
,,2010 - 2011,5.09
,,2011 - 2012,3.0
,,2013 - 2014,3.0
,,2014 - 2015,0.6
,,2015 - 2016,3.0
,,2016 - 2017,1.5
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sawai madhopur,2000 - 2001,0.32
,,2001 - 2002,0.74
,,2002 - 2003,0.73
,,2003 - 2004,0.65
,,2004 - 2005,0.67
,,2005 - 2006,1.0
,,2006 - 2007,0.83
,,2007 - 2008,0.78
,,2010 - 2011,1.0
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.57
,,2019 - 2020,0.0
,,2020 - 2021,0.3
,,2021 - 2022,0.0
,Sikar,2007 - 2008,0.79
,,2019 - 2020,0.75
,Sirohi,2000 - 2001,0.5
,,2001 - 2002,0.78
,,2003 - 2004,0.8
,,2010 - 2011,1.0
,,2022 - 2023,0.6
,Tonk,2000 - 2001,0.26
,,2001 - 2002,0.75
,,2002 - 2003,0.6
,,2003 - 2004,0.63
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.57
,,2007 - 2008,1.0
,,2008 - 2009,0.26
,,2009 - 2010,0.33
,,2010 - 2011,0.5
,,2011 - 2012,0.53
,,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.24
,,2015 - 2016,0.75
,,2016 - 2017,0.98
,,2017 - 2018,0.83
,,2018 - 2019,1.0
,,2019 - 2020,0.83
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Udaipur,2001 - 2002,0.81
,,2002 - 2003,0.5
,,2003 - 2004,0.8
,,2004 - 2005,0.74
,,2005 - 2006,0.83
,,2006 - 2007,0.79
,,2007 - 2008,0.77
,,2008 - 2009,0.84
,,2009 - 2010,2.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,0.8
,,2015 - 2016,1.08
,,2016 - 2017,0.78
,,2017 - 2018,0.92
,,2018 - 2019,0.79
,,2019 - 2020,1.12
,,2020 - 2021,1.0
,,2021 - 2022,0.42
,,2022 - 2023,0.57
Telangana,Adilabad,2000 - 2001,0.18
,,2001 - 2002,0.27
,,2002 - 2003,0.3
,,2003 - 2004,0.28
,,2004 - 2005,0.1
,,2005 - 2006,0.37
,,2006 - 2007,0.27
,,2009 - 2010,0.16
,,2010 - 2011,0.13
,,2013 - 2014,0.49
,Medak,2000 - 2001,0.26
,,2001 - 2002,0.12
,,2002 - 2003,0.3
,,2003 - 2004,0.17
,,2004 - 2005,0.17
,,2005 - 2006,0.37
,,2006 - 2007,0.27
,,2008 - 2009,0.38
,,2009 - 2010,0.15
,,2010 - 2011,0.26
,,2011 - 2012,0.21
,,2013 - 2014,0.49
,,2014 - 2015,0.4
,,2015 - 2016,0.43
,Nizamabad,2000 - 2001,0.19
,,2001 - 2002,0.24
,,2002 - 2003,0.31
,Rangareddi,2000 - 2001,0.2
,,2001 - 2002,0.24
,,2002 - 2003,0.31
,,2003 - 2004,0.26
,,2004 - 2005,0.11
,,2005 - 2006,0.38
,,2006 - 2007,0.27
,,2008 - 2009,0.38
,,2010 - 2011,0.0
Tripura,Dhalai,2016 - 2017,0.71
,,2017 - 2018,0.71
,Gomati,2016 - 2017,0.7
,,2017 - 2018,0.69
,Khowai,2016 - 2017,0.74
,,2017 - 2018,0.7
,North tripura,2016 - 2017,0.7
,,2017 - 2018,0.69
,Sepahijala,2016 - 2017,0.67
,South tripura,2016 - 2017,0.7
,Unakoti,2016 - 2017,0.64
,,2017 - 2018,0.71
Uttar Pradesh,Agra,2000 - 2001,1.0
,,2001 - 2002,0.1
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,Aligarh,2004 - 2005,0.4
,,2013 - 2014,0.38
,,2019 - 2020,1.0
,,2020 - 2021,0.56
,Allahabad,2000 - 2001,0.34
,,2001 - 2002,0.36
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.45
,,2006 - 2007,0.35
,,2007 - 2008,0.36
,,2008 - 2009,0.3
,,2009 - 2010,0.34
,,2010 - 2011,0.58
,,2011 - 2012,0.44
,,2012 - 2013,0.6
,,2013 - 2014,0.35
,,2014 - 2015,0.58
,,2015 - 2016,0.21
,,2016 - 2017,0.38
,,2017 - 2018,0.87
,,2018 - 2019,0.74
,,2019 - 2020,0.41
,,2020 - 2021,0.43
,,2021 - 2022,0.46
,,2022 - 2023,0.72
,Ambedkar nagar,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.5
,,2007 - 2008,0.0
,,2013 - 2014,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,Amethi,2011 - 2012,0.46
,,2012 - 2013,0.45
,,2013 - 2014,0.41
,,2014 - 2015,0.58
,,2015 - 2016,0.15
,,2016 - 2017,0.54
,,2017 - 2018,0.61
,,2018 - 2019,0.63
,,2019 - 2020,0.68
,,2020 - 2021,0.57
,,2021 - 2022,0.63
,,2022 - 2023,0.71
,Amroha,2017 - 2018,0.64
,,2018 - 2019,0.67
,Auraiya,2000 - 2001,0.36
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.47
,,2004 - 2005,0.5
,,2005 - 2006,0.4
,,2006 - 2007,0.33
,,2008 - 2009,0.45
,,2009 - 2010,0.44
,,2010 - 2011,0.45
,,2012 - 2013,0.5
,,2014 - 2015,0.58
,,2015 - 2016,0.17
,,2017 - 2018,0.67
,Azamgarh,2001 - 2002,0.4
,,2002 - 2003,0.43
,,2003 - 2004,0.67
,,2004 - 2005,1.0
,,2005 - 2006,0.33
,,2006 - 2007,0.0
,,2008 - 2009,1.0
,,2009 - 2010,0.4
,,2011 - 2012,1.0
,,2013 - 2014,0.33
,,2017 - 2018,0.6
,,2018 - 2019,0.62
,Baghpat,2002 - 2003,0.46
,,2017 - 2018,0.6
,,2018 - 2019,0.63
,Bahraich,2000 - 2001,0.43
,,2001 - 2002,0.42
,,2002 - 2003,0.43
,,2003 - 2004,0.49
,,2004 - 2005,0.46
,,2005 - 2006,0.41
,,2006 - 2007,0.36
,,2007 - 2008,0.26
,,2008 - 2009,0.46
,,2009 - 2010,0.44
,,2011 - 2012,0.47
,,2012 - 2013,0.45
,,2013 - 2014,0.42
,,2014 - 2015,0.58
,,2015 - 2016,0.33
,,2016 - 2017,0.55
,,2017 - 2018,0.61
,,2018 - 2019,0.63
,,2019 - 2020,0.69
,,2020 - 2021,0.56
,,2021 - 2022,0.63
,,2022 - 2023,0.71
,Balrampur,2000 - 2001,0.43
,,2001 - 2002,0.42
,,2002 - 2003,0.43
,,2003 - 2004,0.49
,,2004 - 2005,0.45
,,2005 - 2006,0.42
,,2006 - 2007,0.31
,,2007 - 2008,0.26
,,2008 - 2009,0.5
,,2010 - 2011,0.46
,,2011 - 2012,0.43
,,2012 - 2013,0.44
,,2013 - 2014,0.42
,,2014 - 2015,0.56
,,2015 - 2016,0.2
,,2017 - 2018,0.59
,,2018 - 2019,0.58
,,2019 - 2020,0.67
,,2020 - 2021,0.58
,,2021 - 2022,0.64
,,2022 - 2023,0.73
,Banda,2000 - 2001,0.45
,,2001 - 2002,0.39
,,2002 - 2003,0.33
,,2003 - 2004,0.46
,,2004 - 2005,0.43
,,2005 - 2006,0.44
,,2006 - 2007,0.31
,,2007 - 2008,0.15
,,2008 - 2009,0.46
,,2009 - 2010,0.46
,,2010 - 2011,0.46
,,2011 - 2012,0.43
,,2012 - 2013,0.39
,,2013 - 2014,0.28
,,2014 - 2015,0.58
,,2015 - 2016,0.12
,,2016 - 2017,0.64
,,2017 - 2018,0.8
,,2018 - 2019,0.83
,,2019 - 2020,0.75
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,0.97
,Barabanki,2000 - 2001,0.36
,,2001 - 2002,0.42
,,2002 - 2003,0.42
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2005 - 2006,0.41
,,2006 - 2007,0.38
,,2007 - 2008,0.26
,,2008 - 2009,0.45
,,2009 - 2010,0.46
,,2010 - 2011,0.47
,,2011 - 2012,0.47
,,2012 - 2013,0.0
,,2013 - 2014,0.38
,,2014 - 2015,0.67
,,2015 - 2016,0.22
,,2016 - 2017,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.75
,Bareilly,2000 - 2001,0.35
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.43
,,2006 - 2007,0.36
,,2007 - 2008,0.25
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.69
,Basti,2000 - 2001,0.41
,,2001 - 2002,0.42
,,2002 - 2003,0.19
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2005 - 2006,0.43
,,2006 - 2007,0.36
,,2008 - 2009,0.44
,,2009 - 2010,0.44
,,2010 - 2011,0.48
,,2011 - 2012,0.46
,,2012 - 2013,0.5
,,2013 - 2014,0.39
,,2014 - 2015,0.58
,,2016 - 2017,0.52
,,2017 - 2018,0.61
,,2018 - 2019,0.65
,,2019 - 2020,0.7
,,2020 - 2021,0.57
,,2021 - 2022,0.64
,,2022 - 2023,0.73
,Bijnor,2000 - 2001,0.5
,,2002 - 2003,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,Budaun,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2006 - 2007,0.38
,,2013 - 2014,0.43
,,2015 - 2016,0.0
,,2016 - 2017,0.57
,,2017 - 2018,0.59
,,2018 - 2019,0.6
,,2019 - 2020,0.71
,,2020 - 2021,0.56
