state,district,year,tobacco_kharif_area_hectare,tobacco_kharif_production_tonne,tobacco_kharif_yield_tonne_per_hectare,tobacco_rabi_area_hectare,tobacco_rabi_production_tonne,tobacco_rabi_yield_tonne_per_hectare,tobacco_whole_year_area_hectare,tobacco_whole_year_production_tonne,tobacco_whole_year_yield_tonne_per_hectare,tobacco_summer_area_hectare,tobacco_summer_production_tonne,tobacco_summer_yield_tonne_per_hectare
,,2001 - 2002,,,,,,,35.0,21.0,0.6,,,
,,2002 - 2003,,,,,,,13.0,8.0,0.62,,,
,,2003 - 2004,,,,,,,14.0,8.0,0.57,,,
,,2004 - 2005,,,,,,,7.0,5.0,0.71,,,
,,2005 - 2006,,,,,,,5.0,3.0,0.6,,,
,,2007 - 2008,,,,,,,1.0,1.0,1.0,,,
,,2009 - 2010,,,,,,,1.0,1.0,1.0,,,
,,2010 - 2011,,,,,,,5.0,3.0,0.6,,,
,Dhemaji,2000 - 2001,,,,,,,23.0,15.0,0.65,,,
,,2001 - 2002,,,,,,,13.0,8.0,0.62,,,
,,2002 - 2003,,,,,,,10.0,6.0,0.6,,,
,,2003 - 2004,,,,,,,7.0,4.0,0.57,,,
,,2004 - 2005,,,,,,,7.0,4.0,0.57,,,
,,2005 - 2006,,,,,,,13.0,8.0,0.62,,,
,,2006 - 2007,,,,,,,13.0,8.0,0.62,,,
,,2007 - 2008,,,,,,,7.0,4.0,0.57,,,
,,2008 - 2009,,,,,,,8.0,5.0,0.63,,,
,,2009 - 2010,,,,,,,7.0,4.0,0.57,,,
,,2010 - 2011,,,,,,,7.0,4.0,0.57,,,
,,2011 - 2012,,,,,,,7.0,4.0,0.57,,,
,,2012 - 2013,,,,,,,6.0,3.0,0.5,,,
,,2013 - 2014,,,,,,,6.0,3.0,0.5,,,
,,2014 - 2015,,,,,,,3.0,2.0,0.67,,,
,,2015 - 2016,,,,,,,3.0,2.0,0.67,,,
,,2016 - 2017,,,,,,,1.0,1.0,1.0,,,
,,2019 - 2020,,,,,,,1.0,1.0,1.0,,,
,,2020 - 2021,,,,,,,1.0,1.0,1.0,,,
,Dhubri,2000 - 2001,,,,,,,11.0,9.0,0.82,,,
,,2001 - 2002,,,,,,,6.0,5.0,0.83,,,
,,2002 - 2003,,,,,,,6.0,5.0,0.83,,,
,,2003 - 2004,,,,,,,7.0,6.0,0.86,,,
,,2004 - 2005,,,,,,,4.0,4.0,1.0,,,
,,2005 - 2006,,,,,,,5.0,4.0,0.8,,,
,,2006 - 2007,,,,,,,6.0,5.0,0.83,,,
,,2007 - 2008,,,,,,,6.0,5.0,0.83,,,
,,2008 - 2009,,,,,,,5.0,4.0,0.8,,,
,,2009 - 2010,,,,,,,3.0,3.0,1.0,,,
,Dibrugarh,2000 - 2001,,,,,,,4.0,2.0,0.5,,,
,,2001 - 2002,,,,,,,4.0,2.0,0.5,,,
,,2002 - 2003,,,,,,,4.0,2.0,0.5,,,
,,2003 - 2004,,,,,,,4.0,2.0,0.5,,,
,,2004 - 2005,,,,,,,4.0,2.0,0.5,,,
,,2005 - 2006,,,,,,,3.0,2.0,0.67,,,
,Dima hasao,2000 - 2001,,,,,,,27.0,21.0,0.78,,,
,,2001 - 2002,,,,,,,29.0,23.0,0.79,,,
,,2002 - 2003,,,,,,,29.0,23.0,0.79,,,
,,2003 - 2004,,,,,,,29.0,23.0,0.79,,,
,,2004 - 2005,,,,,,,29.0,23.0,0.79,,,
,,2005 - 2006,,,,,,,29.0,23.0,0.79,,,
,,2006 - 2007,,,,,,,29.0,23.0,0.79,,,
,,2007 - 2008,,,,,,,29.0,23.0,0.79,,,
