state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2014 - 2015,9.0,10.0,1.11,,,,,,,,,
,,2015 - 2016,9.0,10.0,1.11,,,,,,,,,
,,2017 - 2018,10.0,11.0,1.1,,,,,,,,,
,,2018 - 2019,11.0,12.0,1.09,,,,,,,,,
,,2019 - 2020,14.0,16.0,1.14,,,,,,,,,
,,2020 - 2021,14.0,16.0,1.14,,,,,,,,,
,,2021 - 2022,13.0,15.0,1.15,,,,,,,,,
,,2022 - 2023,14.0,16.0,1.14,,,,,,,,,
,Bhojpur,2000 - 2001,297.0,259.0,0.87,,,,,,,,,
,,2001 - 2002,152.0,110.0,0.72,,,,,,,,,
,,2002 - 2003,151.0,149.0,0.99,,,,,,,,,
,,2003 - 2004,466.0,460.0,0.99,,,,,,,,,
,,2004 - 2005,129.0,127.0,0.98,,,,,,,,,
,,2005 - 2006,,,0.99,,,,,,,,,
,,2006 - 2007,590.0,583.0,0.99,,,,,,,,,
,,2007 - 2008,,,1.11,,,,,,,,,
,,2008 - 2009,,,1.21,,,,,,,,,
,,2009 - 2010,,,1.11,,,,,,,,,
,,2010 - 2011,,,1.12,,,,,,,,,
,,2011 - 2012,,,1.13,,,,,,,,,
,,2012 - 2013,881.0,,1.14,,,,,,,,,
,,2013 - 2014,443.0,504.0,1.14,,,,,,,,,
,,2014 - 2015,253.0,287.0,1.13,,,,,,,,,
,,2015 - 2016,,,1.13,,,,,,,,,
,,2016 - 2017,925.0,,1.14,,,,,,,,,
,,2017 - 2018,975.0,,1.13,,,,,,,,,
,,2018 - 2019,290.0,329.0,1.13,,,,,,,,,
,,2019 - 2020,344.0,390.0,1.13,,,,,,,,,
,,2020 - 2021,638.0,724.0,1.13,,,,,,,,,
,,2021 - 2022,745.0,849.0,1.14,,,,,,,,,
,,2022 - 2023,401.0,457.0,1.14,,,,,,,,,
,Buxar,2000 - 2001,643.0,560.0,0.87,,,,,,,,,
,,2001 - 2002,359.0,259.0,0.72,,,,,,,,,
,,2002 - 2003,310.0,335.0,1.08,,,,,,,,,
,,2003 - 2004,303.0,337.0,1.11,,,,,,,,,
,,2004 - 2005,809.0,887.0,1.1,,,,,,,,,
,,2005 - 2006,,,1.1,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,
,,2007 - 2008,,,1.11,,,,,,,,,
,,2008 - 2009,,,1.23,,,,,,,,,
,,2009 - 2010,,,1.11,,,,,,,,,
,,2010 - 2011,,,1.12,,,,,,,,,
,,2011 - 2012,,,1.12,,,,,,,,,
,,2012 - 2013,,,1.14,,,,,,,,,
,,2013 - 2014,,,1.14,,,,,,,,,
,,2014 - 2015,,,1.13,,,,,,,,,
,,2015 - 2016,,,1.13,,,,,,,,,
,,2016 - 2017,,,1.14,,,,,,,,,
,,2017 - 2018,,,1.13,,,,,,,,,
,,2018 - 2019,,,1.13,,,,,,,,,
,,2019 - 2020,,,1.13,,,,,,,,,
,,2020 - 2021,,,1.13,,,,,,,,,
,,2021 - 2022,,,1.14,,,,,,,,,
,,2022 - 2023,,,1.14,,,,,,,,,
,Darbhanga,2002 - 2003,49.0,51.0,1.04,,,,,,,,,
,Gaya,2003 - 2004,55.0,57.0,1.04,,,,,,,,,
,,2005 - 2006,6.0,6.0,1.0,,,,,,,,,
,,2006 - 2007,32.0,34.0,1.06,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,,,,
,,2012 - 2013,18.0,21.0,1.17,,,,,,,,,
,,2014 - 2015,14.0,16.0,1.14,,,,,,,,,
,Gopalganj,2000 - 2001,27.0,13.0,0.48,,,,,,,,,
,,2001 - 2002,5.0,4.0,0.8,,,,,,,,,
,,2002 - 2003,5.0,4.0,0.8,,,,,,,,,
,,2003 - 2004,76.0,79.0,1.04,,,,,,,,,
,,2004 - 2005,100.0,108.0,1.08,,,,,,,,,
,,2006 - 2007,28.0,30.0,1.07,,,,,,,,,
,,2007 - 2008,97.0,107.0,1.1,,,,,,,,,
,,2008 - 2009,94.0,113.0,1.2,,,,,,,,,
,,2009 - 2010,96.0,107.0,1.11,,,,,,,,,
,,2010 - 2011,14.0,16.0,1.14,,,,,,,,,
