state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2017 - 2018,,,,,,0.73,442.0,300.0,0.68,,,,,,,,,
,,2018 - 2019,,,,,,0.41,5.0,4.0,0.8,,,,,,,,,
,,2019 - 2020,,,,,,0.98,868.0,694.0,0.8,,,,,,,,,
,,2020 - 2021,,,,,,0.44,,,1.31,,,,,,,,,
,,2021 - 2022,,,,,,0.6,,,1.21,,,,,,,,,
,,2022 - 2023,,,,,,1.11,781.0,,1.53,,,,,,,,,
,Dharashiv,2000 - 2001,,,,,,0.46,,,1.1,,,,,,,,,
,,2001 - 2002,,,,,,0.34,700.0,700.0,1.0,,,,,,,,,
,,2002 - 2003,,,,,,0.47,500.0,800.0,1.6,,,,,,,,,
,,2003 - 2004,,,,,,0.27,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,0.46,,,1.63,,,,,,,,,
,,2005 - 2006,,,,,,0.58,,,1.27,,,,,,,,,
,,2006 - 2007,,,,,,0.66,,,1.06,,,,,,,,,
,,2007 - 2008,,,,,,0.56,,,1.12,,,,,,,,,
,,2008 - 2009,,,,,,0.52,,,1.31,,,,,,,,,
,,2009 - 2010,,,,,,0.5,,,1.0,,,,,,,,,
,,2010 - 2011,,,,,,0.66,,,1.08,,,,,,,,,
,,2011 - 2012,,,,,,0.64,,700.0,0.54,,,,,,,,,
,,2012 - 2013,,,,,,0.36,,400.0,0.4,,,,,,,,,
,,2013 - 2014,,,,,,0.87,,,1.15,,,,,,,,,
,,2014 - 2015,,,,,,0.27,,800.0,0.42,,,,,,,,,
,,2015 - 2016,,,,,800.0,0.18,,400.0,0.36,,,,,,,,,
,,2016 - 2017,,,,,,0.32,,,0.94,,,,,,,,,
,,2017 - 2018,,,,,,0.62,,,0.83,,,,,,,,,
,,2018 - 2019,,,,,,0.53,98.0,80.0,0.82,,,,,,,,,
,,2019 - 2020,,,,,,0.54,,,0.95,,,,,,,,,
,,2020 - 2021,,,,,,0.37,,,1.48,,,,,,,,,
,,2021 - 2022,,,,,,0.88,,,1.4,,,,,,,,,
,,2022 - 2023,,,,,956.06,0.76,,,1.18,,,,,,,,,
,Dhule,2000 - 2001,,,,,,0.22,900.0,,1.11,,,,,,,,,
,,2001 - 2002,,,,,,0.65,,,1.56,,,,,,,,,
,,2002 - 2003,,,,,,0.59,,,1.24,,,,,,,,,
,,2003 - 2004,,,,,,1.03,,,1.13,,,,,,,,,
,,2004 - 2005,,,,,,0.85,,,1.38,,,,,,,,,
,,2005 - 2006,,,,,,0.62,,,1.03,,,,,,,,,
,,2006 - 2007,,,,,,0.67,,,1.16,,,,,,,,,
,,2007 - 2008,,,,,,0.82,,,1.48,,,,,,,,,
,,2008 - 2009,,,,,,0.37,,,1.28,,,,,,,,,
,,2009 - 2010,,,,,,0.77,,,1.58,,,,,,,,,
,,2010 - 2011,,,,,,1.32,,,1.63,,,,,,,,,
,,2011 - 2012,,,,,,0.8,,,1.38,,,,,,,,,
,,2012 - 2013,,,,,,0.71,,,1.47,,,,,,,,,
,,2013 - 2014,,,,,,0.95,,,1.88,,,,,,,,,
,,2014 - 2015,,,,,,0.6,,,1.63,,,,,,,,,
,,2015 - 2016,,,,,,0.48,,,1.06,,,,,,,,,
,,2016 - 2017,,,,,,0.7,,,1.3,,,,,,,,,
,,2017 - 2018,,,,,,1.16,,,1.07,,,,,,,,,
,,2018 - 2019,,,,,,0.5,,,0.8,,,,,,,,,
,,2019 - 2020,,,,,,0.58,,,1.7,,,,,,,,,
,,2020 - 2021,,,,,,0.66,,,1.01,,,,,,,,,
,,2021 - 2022,,,,,,0.57,,,0.84,,,,,,,,,
,,2022 - 2023,,,,,,0.98,,,1.03,,,,,,,,,
,Gadchiroli,2003 - 2004,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,,,,10.0,20.0,2.0,,,,,,,,,
,,2016 - 2017,,,,10.0,17.0,1.7,,,,,,,,,,,,
,,2017 - 2018,,,,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,,,,35.0,8.0,0.23,1.0,2.0,2.0,,,,,,,,,
,,2020 - 2021,,,,,,,1.0,1.49,1.49,,,,,,,,,
,,2021 - 2022,,,,12.05,13.3,1.1,5.0,10.01,2.0,,,,,,,,,
,,2022 - 2023,,,,4.0,2.62,0.65,,,,,,,,,,,,
,Gondia,2001 - 2002,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2019 - 2020,,,,2.0,0.5,0.25,5.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,2.0,1.82,0.91,,,,,,,,,,,,
,,2021 - 2022,,,,2.0,2.21,1.1,9.0,16.95,1.88,,,,,,,,,
,Hingoli,2000 - 2001,,,,,,,,,0.87,,,,,,,,,
,,2001 - 2002,,,,,,,,,1.36,,,,,,,,,
,,2002 - 2003,,,,200.0,100.0,0.5,,,1.29,,,,,,,,,
,,2003 - 2004,,,,400.0,100.0,0.25,,,1.19,,,,,,,,,
,,2004 - 2005,,,,300.0,100.0,0.33,500.0,500.0,1.0,,,,,,,,,
,,2005 - 2006,,,,,,,,,1.24,,,,,,,,,
,,2006 - 2007,,,,,,,,,1.09,,,,,,,,,
,,2007 - 2008,,,,,,,,,1.33,,,,,,,,,
,,2008 - 2009,,,,,,,700.0,700.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,700.0,600.0,0.86,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.87,,,,,,,,,
,,2011 - 2012,,,,100.0,40.0,0.4,,,0.82,,,,,,,,,
,,2012 - 2013,,,,,,,,,1.09,,,,,,,,,
,,2013 - 2014,,,,,,,,,1.0,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.95,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.57,,,,,,,,,
,,2016 - 2017,,,,200.0,100.0,0.5,,,1.11,,,,,,,,,
,,2017 - 2018,,,,284.0,800.0,2.82,804.0,700.0,0.87,,,,,,,,,
,,2018 - 2019,,,,538.0,259.2,0.48,225.0,190.0,0.84,,,,,,,,,
,,2019 - 2020,,,,664.0,321.0,0.48,559.0,,2.31,,,,,,,,,
,,2020 - 2021,,,,578.95,261.92,0.45,728.07,777.8,1.07,,,,,,,,,
,,2021 - 2022,,,,578.95,425.88,0.74,651.58,838.14,1.29,,,,,,,,,
,,2022 - 2023,,,,,,,,,1.2,,,,,,,,,
,Jalgaon,2000 - 2001,,,,,,0.36,,,0.86,,,,,,,,,
,,2001 - 2002,,,,,,0.59,,,1.16,,,,,,,,,
,,2002 - 2003,,,,,,0.88,,,1.35,,,,,,,,,
,,2003 - 2004,,,,,,0.92,,,1.23,,,,,,,,,
,,2004 - 2005,,,,,,0.78,,,1.34,,,,,,,,,
,,2005 - 2006,,,,,,0.82,,,1.61,,,,,,,,,
,,2006 - 2007,,,,,,0.91,,,1.61,,,,,,,,,
,,2007 - 2008,,,,,,0.82,,,1.27,,,,,,,,,
,,2008 - 2009,,,,,,0.77,,,1.31,,,,,,,,,
,,2009 - 2010,,,,,,1.07,,,1.63,,,,,,,,,
,,2010 - 2011,,,,,,1.26,,,1.55,,,,,,,,,
,,2011 - 2012,,,,,,1.33,,,1.5,,,,,,,,,
,,2012 - 2013,,,,,,0.91,,,1.5,,,,,,,,,
,,2013 - 2014,,,,,,1.18,,,1.15,,,,,,,,,
,,2014 - 2015,,,,,,0.88,,,1.29,,,,,,,,,
,,2015 - 2016,,,,,,0.46,,,1.05,,,,,,,,,
,,2016 - 2017,,,,,,1.33,,,1.45,,,,,,,,,
,,2017 - 2018,,,,,,1.03,,,1.22,,,,,,,,,
,,2018 - 2019,,,,,,0.71,410.0,510.0,1.24,,,,,,,,,
,,2019 - 2020,,,,,,0.74,,,2.31,,,,,,,,,
,,2020 - 2021,,,,,,0.99,,,1.8,,,,,,,,,
,,2021 - 2022,,,,,,0.7,,,1.68,,,,,,,,,
,,2022 - 2023,,,,,,0.84,,,1.66,,,,,,,,,
,Jalna,2000 - 2001,,,,,,0.5,,,1.0,,,,,,,,,
,,2001 - 2002,,,,,700.0,0.44,700.0,900.0,1.29,,,,,,,,,
,,2002 - 2003,,,,,,0.83,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,,,,,800.0,0.73,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,0.83,,,0.8,,,,,,,,,
,,2005 - 2006,,,,,900.0,0.75,,,1.2,,,,,,,,,
,,2006 - 2007,,,,,800.0,0.67,700.0,600.0,0.86,,,,,,,,,
,,2007 - 2008,,,,,900.0,0.75,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,,,,600.0,300.0,0.5,200.0,200.0,1.0,,,,,,,,,
,,2009 - 2010,,,,600.0,500.0,0.83,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,,,,500.0,400.0,0.8,100.0,100.0,1.0,,,,,,,,,
,,2011 - 2012,,,,300.0,200.0,0.67,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,200.0,100.0,0.5,200.0,200.0,1.0,,,,,,,,,
,,2013 - 2014,,,,200.0,170.0,0.85,800.0,500.0,0.63,,,,,,,,,
,,2014 - 2015,,,,800.0,300.0,0.38,,,,,,,,,,,,
,,2015 - 2016,,,,900.0,300.0,0.33,400.0,200.0,0.5,,,,,,,,,
,,2016 - 2017,,,,900.0,500.0,0.56,200.0,300.0,1.5,,,,,,,,,
,,2017 - 2018,,,,,700.0,0.54,272.0,300.0,1.1,,,,,,,,,
,,2018 - 2019,,,,910.0,,1.32,255.0,210.0,0.82,,,,,,,,,
,,2019 - 2020,,,,,,2.34,,,1.0,,,,,,,,,
,,2020 - 2021,,,,,,0.9,,,1.31,,,,,,,,,
,,2021 - 2022,,,,,,0.69,,,1.21,,,,,,,,,
,,2022 - 2023,,,,,,0.94,808.0,,1.53,,,,,,,,,
,Kolhapur,2000 - 2001,,,,,,1.51,,,3.0,,,,,,,,,
,,2001 - 2002,,,,,,1.98,,,2.25,,,,,,,,,
,,2002 - 2003,,,,,,1.58,,,2.71,,,,,,,,,
,,2003 - 2004,,,,,,1.7,,,2.68,,,,,,,,,
,,2004 - 2005,,,,,,1.66,,,2.4,,,,,,,,,
,,2005 - 2006,,,,,,1.21,,,2.67,,,,,,,,,
,,2006 - 2007,,,,,,1.0,,,2.68,,,,,,,,,
,,2007 - 2008,,,,,,1.63,,,2.52,,,,,,,,,
,,2008 - 2009,,,,,,1.43,,,2.58,,,,,,,,,
,,2009 - 2010,,,,,,1.37,,,2.52,,,,,,,,,
,,2010 - 2011,,,,,,1.52,,,1.76,,,,,,,,,
,,2011 - 2012,,,,,,1.27,,,2.45,,,,,,,,,
,,2012 - 2013,,,,,,1.36,,,2.18,,,,,,,,,
,,2013 - 2014,,,,,,1.75,,,2.35,,,,,,,,,
,,2014 - 2015,,,,,,1.51,,,2.06,,,,,,,,,
,,2015 - 2016,,,,,,1.58,,,1.85,,,,,,,,,
,,2016 - 2017,,,,,,1.88,900.0,,2.78,,,,,,,,,
,,2017 - 2018,,,,,,1.5,700.0,,2.43,,,,,,,,,
,,2018 - 2019,,,,,,1.44,700.0,,2.39,,,,,,,,,
,,2019 - 2020,,,,,,1.19,911.0,,2.25,,,,,,,,,
,,2020 - 2021,,,,,,1.4,,,2.33,,,,,,,,,
,,2021 - 2022,,,,,,1.7,,,1.78,,,,,,,,,
,,2022 - 2023,,,,,,1.44,992.0,,1.72,,,,,,,,,
,Latur,2000 - 2001,,,,,,0.46,800.0,600.0,0.75,,,,,,,,,
,,2001 - 2002,,,,,,0.35,400.0,400.0,1.0,,,,,,,,,
,,2002 - 2003,,,,,,0.36,200.0,100.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,,0.19,200.0,100.0,0.5,,,,,,,,,
,,2004 - 2005,,,,,,0.29,300.0,300.0,1.0,,,,,,,,,
,,2005 - 2006,,,,,,0.58,800.0,900.0,1.13,,,,,,,,,
,,2006 - 2007,,,,,,0.52,800.0,400.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,0.67,800.0,700.0,0.88,,,,,,,,,
,,2008 - 2009,,,,,,0.47,800.0,700.0,0.88,,,,,,,,,
,,2009 - 2010,,,,,800.0,0.33,300.0,300.0,1.0,,,,,,,,,
,,2010 - 2011,,,,,,0.56,,,1.3,,,,,,,,,
,,2011 - 2012,,,,,,0.58,,,1.06,,,,,,,,,
,,2012 - 2013,,,,,,0.7,,,1.27,,,,,,,,,
,,2013 - 2014,,,,,,0.9,,,1.45,,,,,,,,,
,,2014 - 2015,,,,,400.0,0.24,,,0.73,,,,,,,,,
,,2015 - 2016,,,,,200.0,0.14,8.0,1.0,0.13,,,,,,,,,
,,2016 - 2017,,,,,500.0,0.36,,,1.21,,,,,,,,,
,,2017 - 2018,,,,,500.0,0.39,,,1.19,,,,,,,,,
,,2018 - 2019,,,,,434.0,0.32,20.0,20.0,1.0,,,,,,,,,
,,2019 - 2020,,,,897.0,298.0,0.33,,,1.34,,,,,,,,,
,,2020 - 2021,,,,,825.04,0.78,,,1.19,,,,,,,,,
,,2021 - 2022,,,,,271.75,0.22,,,1.24,,,,,,,,,
,,2022 - 2023,,,,406.99,242.49,0.6,,,1.3,,,,,,,,,
,Nagpur,2000 - 2001,,,,,,0.6,400.0,500.0,1.25,,,,,,,,,
,,2001 - 2002,,,,,,0.67,,,1.2,,,,,,,,,
,,2002 - 2003,,,,,,0.63,300.0,600.0,2.0,,,,,,,,,
,,2003 - 2004,,,,,,0.91,300.0,300.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,0.51,200.0,200.0,1.0,,,,,,,,,
,,2005 - 2006,,,,,,0.89,400.0,400.0,1.0,,,,,,,,,
,,2006 - 2007,,,,,,0.95,600.0,700.0,1.17,,,,,,,,,
,,2007 - 2008,,,,,,0.85,900.0,,1.33,,,,,,,,,
,,2008 - 2009,,,,,,0.69,200.0,300.0,1.5,,,,,,,,,
,,2009 - 2010,,,,,,0.75,400.0,800.0,2.0,,,,,,,,,
,,2010 - 2011,,,,,,0.88,400.0,400.0,1.0,,,,,,,,,
,,2011 - 2012,,,,,,0.79,400.0,600.0,1.5,,,,,,,,,
,,2012 - 2013,,,,,,1.08,500.0,,2.6,,,,,,,,,
,,2013 - 2014,,,,,,0.48,500.0,900.0,1.8,,,,,,,,,
,,2014 - 2015,,,,,600.0,0.24,500.0,,2.4,,,,,,,,,
,,2015 - 2016,,,,,,0.94,,,1.36,,,,,,,,,
,,2016 - 2017,,,,,,1.53,,,1.62,,,,,,,,,
,,2017 - 2018,,,,,,1.08,992.0,,1.51,,,,,,,,,
,,2018 - 2019,,,,,,0.51,170.0,230.0,1.35,,,,,,,,,
,,2019 - 2020,,,,,163.0,0.14,298.0,643.0,2.16,,,,,,,,,
,,2020 - 2021,,,,908.59,789.84,0.87,688.39,963.66,1.4,,,,,,,,,
,,2021 - 2022,,,,,,1.03,886.73,,1.61,,,,,,,,,
,,2022 - 2023,,,,,735.67,0.72,887.0,,1.26,,,,,,,,,
,Nanded,2000 - 2001,,,,400.0,200.0,0.5,,,0.59,,,,,,,,,
,,2001 - 2002,,,,200.0,100.0,0.5,,,1.11,,,,,,,,,
,,2002 - 2003,,,,300.0,200.0,0.67,,,1.42,,,,,,,,,
,,2003 - 2004,,,,200.0,100.0,0.5,,,1.47,,,,,,,,,
,,2004 - 2005,,,,500.0,100.0,0.2,,,1.2,,,,,,,,,
,,2005 - 2006,,,,400.0,200.0,0.5,,,1.37,,,,,,,,,
,,2006 - 2007,,,,400.0,200.0,0.5,,,1.21,,,,,,,,,
,,2007 - 2008,,,,300.0,200.0,0.67,,,1.0,,,,,,,,,
,,2008 - 2009,,,,,500.0,0.5,,,1.11,,,,,,,,,
,,2009 - 2010,,,,800.0,200.0,0.25,,,1.35,,,,,,,,,
,,2010 - 2011,,,,300.0,200.0,0.67,,,1.09,,,,,,,,,
,,2011 - 2012,,,,100.0,100.0,1.0,,,1.0,,,,,,,,,
,,2012 - 2013,,,,100.0,100.0,1.0,,,1.12,,,,,,,,,
,,2013 - 2014,,,,,,,,,1.23,,,,,,,,,
,,2014 - 2015,,,,100.0,,0.0,,,0.86,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.54,,,,,,,,,
,,2016 - 2017,,,,100.0,20.0,0.2,,,0.88,,,,,,,,,
,,2017 - 2018,,,,69.0,4.0,0.06,,,0.7,,,,,,,,,
,,2018 - 2019,,,,72.0,35.0,0.49,,,0.83,,,,,,,,,
,,2019 - 2020,,,,98.0,37.0,0.38,,,1.18,,,,,,,,,
,,2020 - 2021,,,,98.08,44.37,0.45,,,1.31,,,,,,,,,
,,2021 - 2022,,,,101.94,74.99,0.74,,,1.19,,,,,,,,,
,,2022 - 2023,,,,91.21,65.44,0.72,,,1.65,,,,,,,,,
,Nandurbar,2000 - 2001,,,,,,0.25,,,1.12,,,,,,,,,
,,2001 - 2002,,,,,,0.6,,,1.05,,,,,,,,,
,,2002 - 2003,,,,,,0.54,,,1.89,,,,,,,,,
,,2003 - 2004,,,,,,0.85,,,1.52,,,,,,,,,
,,2004 - 2005,,,,,,0.61,,,1.29,,,,,,,,,
,,2005 - 2006,,,,,,0.73,,,1.98,,,,,,,,,
,,2006 - 2007,,,,,,0.8,,,1.62,,,,,,,,,
,,2007 - 2008,,,,,,1.04,,,1.97,,,,,,,,,
,,2008 - 2009,,,,,,0.75,,,1.88,,,,,,,,,
,,2009 - 2010,,,,,,0.49,,,1.87,,,,,,,,,
,,2010 - 2011,,,,,,0.84,,,1.12,,,,,,,,,
,,2011 - 2012,,,,,,1.02,,,1.36,,,,,,,,,
,,2012 - 2013,,,,,,0.95,,,1.01,,,,,,,,,
,,2013 - 2014,,,,,,0.6,,,1.29,,,,,,,,,
,,2014 - 2015,,,,,,0.65,,,1.13,,,,,,,,,
,,2015 - 2016,,,,,,0.53,,,1.16,,,,,,,,,
,,2016 - 2017,,,,,,0.84,,,0.83,,,,,,,,,
,,2017 - 2018,,,,,,0.96,,,1.22,,,,,,,,,
,,2018 - 2019,,,,,,0.53,,,0.81,,,,,,,,,
,,2019 - 2020,,,,,,0.87,,,1.36,,,,,,,,,
,,2020 - 2021,,,,,,0.66,,,1.84,,,,,,,,,
,,2021 - 2022,,,,,,0.65,,,1.28,,,,,,,,,
,,2022 - 2023,,,,,,0.9,,,1.07,,,,,,,,,
,Nashik,2000 - 2001,,,,,,0.58,400.0,500.0,1.25,,,,,,,,,
,,2001 - 2002,,,,,,0.66,800.0,800.0,1.0,,,,,,,,,
,,2002 - 2003,,,,,,0.94,,,1.6,,,,,,,,,
,,2003 - 2004,,,,,,0.72,,,1.71,,,,,,,,,
,,2004 - 2005,,,,,,0.85,,,1.0,,,,,,,,,
,,2005 - 2006,,,,,,0.86,,,1.11,,,,,,,,,
,,2006 - 2007,,,,,,0.7,,,1.15,,,,,,,,,
,,2007 - 2008,,,,,,0.92,,,1.54,,,,,,,,,
,,2008 - 2009,,,,,,0.91,,,1.36,,,,,,,,,
,,2009 - 2010,,,,,,0.71,,,1.43,,,,,,,,,
,,2010 - 2011,,,,,,0.85,,,1.09,,,,,,,,,
,,2011 - 2012,,,,,,1.03,,,1.07,,,,,,,,,
,,2012 - 2013,,,,,,0.87,100.0,200.0,2.0,,,,,,,,,
,,2013 - 2014,,,,,,1.04,100.0,140.0,1.4,,,,,,,,,
,,2014 - 2015,,,,,,1.01,100.0,200.0,2.0,,,,,,,,,
,,2015 - 2016,,,,,,0.92,100.0,100.0,1.0,,,,,,,,,
,,2016 - 2017,,,,,,1.64,,,1.74,,,,,,,,,
,,2017 - 2018,,,,,,1.33,,,2.1,,,,,,,,,
,,2018 - 2019,,,,,,0.93,606.0,900.0,1.49,,,,,,,,,
,,2019 - 2020,,,,,,0.75,,,2.02,,,,,,,,,
,,2020 - 2021,,,,,,1.17,,,1.55,,,,,,,,,
,,2021 - 2022,,,,,,1.03,,,1.5,,,,,,,,,
,,2022 - 2023,,,,,,1.17,,,1.71,,,,,,,,,
,Palghar,2011 - 2012,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2014 - 2015,,,,200.0,200.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,100.0,1.0,30.0,100.0,3.33,,,,,,,,,
,,2016 - 2017,,,,200.0,200.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,76.0,100.0,1.32,,,,,,,,,,,,
,,2020 - 2021,,,,30.0,28.1,0.94,,,,,,,,,,,,
,,2021 - 2022,,,,22.1,19.29,0.87,,,,,,,,,,,,
,,2022 - 2023,,,,22.1,20.29,0.92,,,,,,,,,,,,
,Parbhani,2000 - 2001,,,,100.0,100.0,1.0,,,0.88,,,,,,,,,
,,2001 - 2002,,,,200.0,100.0,0.5,,,1.0,,,,,,,,,
,,2002 - 2003,,,,300.0,100.0,0.33,,,1.31,,,,,,,,,
,,2003 - 2004,,,,300.0,100.0,0.33,,,1.13,,,,,,,,,
,,2004 - 2005,,,,300.0,100.0,0.33,,,0.68,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.75,,,,,,,,,
,,2006 - 2007,,,,100.0,100.0,1.0,,,1.06,,,,,,,,,
,,2007 - 2008,,,,200.0,100.0,0.5,,,1.02,,,,,,,,,
,,2008 - 2009,,,,,,,,,1.07,,,,,,,,,
,,2009 - 2010,,,,,,,,,1.33,,,,,,,,,
,,2010 - 2011,,,,100.0,100.0,1.0,,,1.26,,,,,,,,,
,,2011 - 2012,,,,300.0,200.0,0.67,,,1.05,,,,,,,,,
,,2012 - 2013,,,,200.0,100.0,0.5,,,0.6,,,,,,,,,
,,2013 - 2014,,,,100.0,100.0,1.0,,,1.03,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.84,,,,,,,,,
,,2015 - 2016,,,,,,,200.0,200.0,1.0,,,,,,,,,
,,2016 - 2017,,,,,,,,,1.13,,,,,,,,,
,,2017 - 2018,,,,36.0,2.0,0.06,,,1.21,,,,,,,,,
,,2018 - 2019,,,,,,,225.0,190.0,0.84,,,,,,,,,
,,2019 - 2020,,,,12.0,4.0,0.33,690.0,,1.98,,,,,,,,,
,,2020 - 2021,,,,12.0,5.43,0.45,690.49,905.3,1.31,,,,,,,,,
,,2021 - 2022,,,,9.18,6.76,0.74,729.11,,1.77,,,,,,,,,
,,2022 - 2023,,,,6.81,4.89,0.72,,,1.4,,,,,,,,,
,Pune,2000 - 2001,,,,,,1.17,,,1.82,,,,,,,,,
,,2001 - 2002,,,,,,1.21,,,1.96,,,,,,,,,
,,2002 - 2003,,,,,,0.97,,,2.21,,,,,,,,,
,,2003 - 2004,,,,,,1.16,,,1.52,,,,,,,,,
,,2004 - 2005,,,,,,0.9,,,1.81,,,,,,,,,
,,2005 - 2006,,,,,,0.85,,,2.04,,,,,,,,,
,,2006 - 2007,,,,,,0.74,,,1.84,,,,,,,,,
,,2007 - 2008,,,,,,1.11,,,1.98,,,,,,,,,
,,2008 - 2009,,,,,,0.95,,,1.74,,,,,,,,,
,,2009 - 2010,,,,,,0.88,,,1.98,,,,,,,,,
,,2010 - 2011,,,,,,1.29,,,1.88,,,,,,,,,
,,2011 - 2012,,,,,,1.06,,,1.64,,,,,,,,,
,,2012 - 2013,,,,,,0.88,,,1.46,,,,,,,,,
,,2013 - 2014,,,,,,0.82,,,1.8,,,,,,,,,
,,2014 - 2015,,,,,,0.9,,,2.27,,,,,,,,,
,,2015 - 2016,,,,,,1.13,,,2.29,,,,,,,,,
,,2016 - 2017,,,,,,1.06,,,2.26,,,,,,,,,
,,2017 - 2018,,,,,,0.94,,,1.62,,,,,,,,,
,,2018 - 2019,,,,,,0.82,,,1.8,,,,,,,,,
,,2019 - 2020,,,,,,1.0,,,2.35,,,,,,,,,
,,2020 - 2021,,,,,,1.15,,,1.88,,,,,,,,,
,,2021 - 2022,,,,,,0.91,,,2.12,,,,,,,,,
,,2022 - 2023,,,,,,1.04,,,1.46,,,,,,,,,
,Raigad,2000 - 2001,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2001 - 2002,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2002 - 2003,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2003 - 2004,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2005 - 2006,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2006 - 2007,,,,100.0,100.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2007 - 2008,,,,100.0,100.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2008 - 2009,,,,100.0,100.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2009 - 2010,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2010 - 2011,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2011 - 2012,,,,100.0,100.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2012 - 2013,,,,100.0,100.0,1.0,200.0,300.0,1.5,,,,,,,,,
,,2013 - 2014,,,,,,,200.0,600.0,3.0,,,,,,,,,
,,2014 - 2015,,,,,,,200.0,600.0,3.0,,,,,,,,,
,,2015 - 2016,,,,,,,200.0,300.0,1.5,,,,,,,,,
,,2016 - 2017,,,,,,,200.0,300.0,1.5,,,,,,,,,
,,2017 - 2018,,,,,,,123.0,200.0,1.63,,,,,,,,,
,,2018 - 2019,,,,,,,240.0,970.0,4.04,,,,,,,,,
,,2019 - 2020,,,,,,,10.0,33.0,3.3,,,,,,,,,
,,2020 - 2021,,,,,,,10.0,39.94,3.99,,,,,,,,,
,,2021 - 2022,,,,18.0,15.71,0.87,9.0,32.02,3.56,,,,,,,,,
,,2022 - 2023,,,,,,,23.0,136.0,5.91,,,,,,,,,
,Ratnagiri,2000 - 2001,,,,100.0,10.0,0.1,500.0,,2.8,,,,,,,,,
,,2001 - 2002,,,,100.0,100.0,1.0,400.0,,2.5,,,,,,,,,
,,2002 - 2003,,,,100.0,100.0,1.0,300.0,600.0,2.0,,,,,,,,,
,,2003 - 2004,,,,100.0,100.0,1.0,300.0,800.0,2.67,,,,,,,,,
,,2004 - 2005,,,,200.0,200.0,1.0,300.0,700.0,2.33,,,,,,,,,
,,2005 - 2006,,,,200.0,200.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2006 - 2007,,,,200.0,100.0,0.5,200.0,400.0,2.0,,,,,,,,,
,,2007 - 2008,,,,200.0,200.0,1.0,200.0,500.0,2.5,,,,,,,,,
,,2008 - 2009,,,,200.0,100.0,0.5,100.0,200.0,2.0,,,,,,,,,
,,2009 - 2010,,,,200.0,200.0,1.0,100.0,200.0,2.0,,,,,,,,,
,,2010 - 2011,,,,200.0,200.0,1.0,200.0,400.0,2.0,,,,,,,,,
,,2011 - 2012,,,,100.0,100.0,1.0,100.0,200.0,2.0,,,,,,,,,
,,2012 - 2013,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,,,,10.0,10.0,1.0,,,,,,,,,
,,2016 - 2017,,,,,,,100.0,70.0,0.7,,,,,,,,,
