state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,,2012 - 2013,205.0,311.0,1.52,,,,,,,,,
,,2013 - 2014,192.0,239.0,1.24,,,,,,,,,
,,2014 - 2015,183.0,158.0,0.86,,,,,,,,,
,,2015 - 2016,114.0,82.0,0.72,,,,,,,,,
,,2017 - 2018,58.0,27.0,0.47,,,,,,,,,
,,2018 - 2019,39.0,36.0,0.92,,,,,,,,,
,,2019 - 2020,20.0,27.0,1.35,,,,,,,,,
,,2020 - 2021,7.0,6.0,0.86,,,,,,,,,
,,2021 - 2022,10.0,9.0,0.9,,,,,,,,,
,,2022 - 2023,6.0,7.0,1.17,,,,,,,,,
,Dantewada,2000 - 2001,9.0,6.0,0.67,,,,,,,,,
,,2001 - 2002,26.0,30.0,1.15,,,,,,,,,
,,2002 - 2003,30.0,20.0,0.67,,,,,,,,,
,,2004 - 2005,28.0,27.0,0.96,,,,,,,,,
,,2005 - 2006,27.0,24.0,0.89,,,,,,,,,
,,2006 - 2007,24.0,19.0,0.79,,,,,,,,,
,,2007 - 2008,16.0,22.0,1.38,,,,,,,,,
,,2008 - 2009,12.0,24.0,2.0,,,,,,,,,
,,2009 - 2010,14.0,16.0,1.14,,,,,,,,,
,,2010 - 2011,12.0,17.0,1.42,,,,,,,,,
,,2011 - 2012,9.0,9.0,1.0,,,,,,,,,
,,2012 - 2013,7.0,11.0,1.57,,,,,,,,,
,,2013 - 2014,7.0,10.0,1.43,,,,,,,,,
,,2014 - 2015,8.0,7.0,0.88,,,,,,,,,
,,2015 - 2016,9.0,5.0,0.56,,,,,,,,,
,,2016 - 2017,8.0,8.0,1.0,,,,,,,,,
,Dhamtari,2001 - 2002,6.0,6.0,1.0,,,,,,,,,
,,2002 - 2003,6.0,4.0,0.67,,,,,,,,,
,,2003 - 2004,30.0,36.0,1.2,,,,,,,,,
,,2005 - 2006,42.0,55.0,1.31,,,,,,,,,
,,2006 - 2007,44.0,64.0,1.45,,,,,,,,,
,Durg,2000 - 2001,,,0.51,,,,,,,,,
,,2001 - 2002,,,0.65,,,,,,,,,
,,2002 - 2003,,,0.47,,,,,,,,,
,,2003 - 2004,,,0.74,,,,,,,,,
,,2004 - 2005,,,0.86,,,,,,,,,
,,2005 - 2006,,,0.83,,,,,,,,,
,,2006 - 2007,,,0.89,,,,,,,,,
,,2007 - 2008,,,1.09,,,,,,,,,
,,2008 - 2009,,,0.81,,,,,,,,,
,,2009 - 2010,,,0.82,,,,,,,,,
,,2010 - 2011,,,1.05,,,,,,,,,
,,2011 - 2012,,,0.73,,,,,,,,,
,,2012 - 2013,,,1.17,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,
,,2014 - 2015,,,0.59,,,,,,,,,
,,2015 - 2016,,,0.48,,,,,,,,,
,,2016 - 2017,,,0.84,,,,,,,,,
,,2017 - 2018,,,0.4,,,,,,,,,
,,2018 - 2019,,,0.58,,,,,,,,,
,,2019 - 2020,,,0.99,,,,,,,,,
,,2020 - 2021,,,0.71,,,,,,,,,
,,2021 - 2022,,,0.63,,,,,,,,,
,,2022 - 2023,,,1.02,,,,,,,,,
,Gariyaband,2011 - 2012,2.0,2.0,1.0,,,,,,,,,
,Gaurella-pendra-marwahi,2020 - 2021,3.0,4.0,1.33,,,,,,,,,
,,2021 - 2022,5.0,7.0,1.4,,,,,,,,,
,,2022 - 2023,6.0,6.0,1.0,,,,,,,,,
,Janjgir-champa,2000 - 2001,6.0,4.0,0.67,,,,,,,,,
,,2001 - 2002,12.0,12.0,1.0,,,,,,,,,
,,2002 - 2003,23.0,19.0,0.83,,,,,,,,,
,,2003 - 2004,26.0,28.0,1.08,,,,,,,,,
,,2004 - 2005,40.0,48.0,1.2,,,,,,,,,
