state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2002 - 2003,,,,,,,83.0,630.0,7.59,,,,,,
,,2003 - 2004,,,,,,,74.0,684.0,9.24,,,,,,
,,2004 - 2005,,,,,,,647.0,,7.16,,,,,,
,,2005 - 2006,,,,,,,200.0,,9.2,,,,,,
,,2006 - 2007,,,,,,,210.0,,9.0,,,,,,
,,2007 - 2008,,,,,,,205.0,,8.05,,,,,,
,,2008 - 2009,,,,,,,200.0,,9.1,,,,,,
,,2009 - 2010,,,,,,,220.0,,9.6,,,,,,
,,2010 - 2011,,,,,,,224.0,,9.9,,,,,,
,,2011 - 2012,,,,,,,238.0,,10.4,,,,,,
,,2012 - 2013,,,,,,,271.0,,9.37,,,,,,
,,2013 - 2014,,,,,,,280.0,,10.6,,,,,,
,,2014 - 2015,,,,,,,280.0,,10.88,,,,,,
,,2015 - 2016,,,,,,,320.0,,9.93,,,,,,
,,2016 - 2017,,,,,,,326.0,,8.76,,,,,,
,,2017 - 2018,,,,,,,326.0,,8.76,,,,,,
,,2018 - 2019,,,,,,,330.0,,8.75,,,,,,
,,2019 - 2020,,,,,,,331.0,,8.75,,,,,,
,,2020 - 2021,,,,,,,331.0,,8.77,,,,,,
,,2021 - 2022,,,,,,,338.0,,8.77,,,,,,
,,2022 - 2023,,,,,,,346.0,,8.77,,,,,,
,Shi yomi,2019 - 2020,,,,,,,34.0,236.0,6.94,,,,,,
,,2020 - 2021,,,,,,,34.0,243.0,7.15,,,,,,
,,2021 - 2022,,,,,,,35.0,250.0,7.14,,,,,,
,,2022 - 2023,,,,,,,40.0,286.0,7.15,,,,,,
,Siang,2015 - 2016,,,,,,,427.0,,6.24,,,,,,
,,2016 - 2017,,,,,,,427.0,,6.24,,,,,,
,,2017 - 2018,,,,,,,432.0,,6.29,,,,,,
