state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2015 - 2016,487.0,337.0,0.69,,,,,,,,,,,,
,,2016 - 2017,477.0,334.0,0.7,,,,,,,,,,,,
,,2017 - 2018,497.0,360.0,0.72,,,,,,,,,,,,
,,2018 - 2019,497.0,376.0,0.76,,,,,,,,,,,,
,,2019 - 2020,490.0,381.0,0.78,,,,,,,,,,,,
,,2020 - 2021,480.0,373.0,0.78,,,,,,,,,,,,
,Goalpara,2000 - 2001,384.0,268.0,0.7,,,,,,,,,,,,
,,2001 - 2002,351.0,245.0,0.7,,,,,,,,,,,,
,,2002 - 2003,286.0,198.0,0.69,,,,,,,,,,,,
,,2003 - 2004,280.0,195.0,0.7,,,,,,,,,,,,
,,2004 - 2005,280.0,194.0,0.69,,,,,,,,,,,,
,,2005 - 2006,300.0,208.0,0.69,,,,,,,,,,,,
,,2006 - 2007,270.0,187.0,0.69,,,,,,,,,,,,
,,2007 - 2008,292.0,203.0,0.7,,,,,,,,,,,,
,,2008 - 2009,340.0,235.0,0.69,,,,,,,,,,,,
,,2009 - 2010,375.0,260.0,0.69,,,,,,,,,,,,
,,2010 - 2011,471.0,327.0,0.69,,,,,,,,,,,,
,,2011 - 2012,490.0,390.0,0.8,,,,,,,,,,,,
,,2012 - 2013,520.0,465.0,0.89,,,,,,,,,,,,
,,2013 - 2014,540.0,483.0,0.89,,,,,,,,,,,,
,,2014 - 2015,580.0,529.0,0.91,,,,,,,,,,,,
,,2015 - 2016,518.0,477.0,0.92,,,,,,,,,,,,
,,2016 - 2017,500.0,464.0,0.93,,,,,,,,,,,,
,,2017 - 2018,480.0,451.0,0.94,,,,,,,,,,,,
,,2018 - 2019,498.0,480.0,0.96,,,,,,,,,,,,
,,2019 - 2020,499.0,490.0,0.98,,,,,,,,,,,,
,,2020 - 2021,519.0,510.0,0.98,,,,,,,,,,,,
,Golaghat,2000 - 2001,198.0,129.0,0.65,,,,,,,,,,,,
,,2001 - 2002,198.0,129.0,0.65,,,,,,,,,,,,
,,2002 - 2003,198.0,128.0,0.65,,,,,,,,,,,,
,,2003 - 2004,201.0,131.0,0.65,,,,,,,,,,,,
,,2004 - 2005,206.0,134.0,0.65,,,,,,,,,,,,
