state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2022 - 2023,,,,15.0,13.0,0.87,,,,,,
,Lohit,2016 - 2017,,,,41.0,36.0,0.88,,,,,,
,,2017 - 2018,,,,44.0,39.0,0.89,,,,,,
,,2018 - 2019,,,,44.0,39.0,0.89,,,,,,
,,2019 - 2020,,,,44.0,39.0,0.89,,,,,,
,,2020 - 2021,,,,44.0,39.0,0.89,,,,,,
,,2021 - 2022,,,,54.0,45.0,0.83,,,,,,
,,2022 - 2023,,,,58.0,47.0,0.81,,,,,,
,Lower dibang valley,2016 - 2017,,,,45.0,42.0,0.93,,,,,,
,,2017 - 2018,,,,72.0,20.0,0.28,,,,,,
,,2018 - 2019,,,,72.0,20.0,0.28,,,,,,
,,2019 - 2020,,,,73.0,20.0,0.27,,,,,,
,,2020 - 2021,,,,74.0,27.0,0.36,,,,,,
,,2021 - 2022,,,,89.0,63.0,0.71,,,,,,
,,2022 - 2023,,,,92.0,81.0,0.88,,,,,,
,Lower siang,2018 - 2019,,,,26.0,50.0,1.92,,,,,,
,,2019 - 2020,,,,23.0,45.0,1.96,,,,,,
,,2020 - 2021,,,,23.0,45.0,1.96,,,,,,
,,2021 - 2022,,,,29.0,28.0,0.97,,,,,,
,,2022 - 2023,,,,31.0,30.0,0.97,,,,,,
,Lower subansiri,2016 - 2017,,,,40.0,36.0,0.9,,,,,,
,,2017 - 2018,,,,38.0,40.0,1.05,,,,,,
,,2018 - 2019,,,,38.0,40.0,1.05,,,,,,
,,2019 - 2020,,,,38.0,40.0,1.05,,,,,,
,,2020 - 2021,,,,38.0,42.0,1.11,,,,,,
,,2021 - 2022,,,,46.0,47.0,1.02,,,,,,
,,2022 - 2023,,,,47.0,45.0,0.96,,,,,,
,Namsai,2016 - 2017,,,,54.0,44.0,0.81,,,,,,
,,2017 - 2018,,,,78.0,50.0,0.64,,,,,,
,,2018 - 2019,,,,78.0,50.0,0.64,,,,,,
,,2019 - 2020,,,,78.0,50.0,0.64,,,,,,
,,2020 - 2021,,,,78.0,50.0,0.64,,,,,,
,,2021 - 2022,,,,88.0,56.0,0.64,,,,,,
,,2022 - 2023,,,,98.0,62.0,0.63,,,,,,
,Papum pare,2016 - 2017,,,,69.0,59.0,0.86,,,,,,
,,2017 - 2018,,,,33.0,14.0,0.42,,,,,,
,,2018 - 2019,,,,33.0,14.0,0.42,,,,,,
,,2019 - 2020,,,,33.0,15.0,0.45,,,,,,
,,2020 - 2021,,,,33.0,16.0,0.48,,,,,,
,,2021 - 2022,,,,43.0,32.0,0.74,,,,,,
,,2022 - 2023,,,,44.0,36.0,0.82,,,,,,
,Shi yomi,2019 - 2020,,,,12.0,7.0,0.58,,,,,,
,,2020 - 2021,,,,12.0,7.0,0.58,,,,,,
,,2021 - 2022,,,,13.0,8.0,0.62,,,,,,
,,2022 - 2023,,,,8.0,5.0,0.63,,,,,,
,Siang,2016 - 2017,,,,51.0,43.0,0.84,,,,,,
,,2017 - 2018,,,,54.0,27.0,0.5,,,,,,
,,2018 - 2019,,,,54.0,27.0,0.5,,,,,,
,,2019 - 2020,,,,54.0,27.0,0.5,,,,,,
,,2020 - 2021,,,,54.0,27.0,0.5,,,,,,
,,2021 - 2022,,,,60.0,59.0,0.98,,,,,,
,,2022 - 2023,,,,62.0,60.0,0.97,,,,,,
,West siang,2016 - 2017,,,,45.0,35.0,0.78,,,,,,
,,2017 - 2018,,,,48.0,29.0,0.6,,,,,,
,,2018 - 2019,,,,40.0,24.0,0.6,,,,,,
,,2019 - 2020,,,,18.0,11.0,0.61,,,,,,
,,2020 - 2021,,,,18.0,11.0,0.61,,,,,,
,,2021 - 2022,,,,19.0,15.0,0.79,,,,,,
,,2022 - 2023,,,,20.0,15.0,0.75,,,,,,
Bihar,Araria,2000 - 2001,,,,,,1.74,,,,,,
,,2001 - 2002,,,,,,1.23,,,,,,
,,2002 - 2003,,,,,,1.37,,,,,,
,,2003 - 2004,,,,,,1.47,,,,,,
,,2004 - 2005,,,,,,1.42,,,,,,
,,2005 - 2006,,,,,,1.46,,,,,,
,,2006 - 2007,,,1.45,,,,,,,,,
,,2007 - 2008,,,1.43,,,,,,,,,
,,2008 - 2009,,,1.43,,,,,,,,,
,,2009 - 2010,,,1.41,,,,,,,,,
,,2010 - 2011,,,1.43,,,,,,,,,
,,2011 - 2012,,,1.45,,,,,,,,,
,,2012 - 2013,,,1.41,,,,,,,,,
,,2013 - 2014,537.0,782.0,1.46,,,,,,,,,
,,2014 - 2015,264.0,337.0,1.28,,,,,,,,,
,,2015 - 2016,850.0,,1.41,,,,,,,,,
