state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2017 - 2018,12.0,7.6,0.63,2.0,1.3,0.65,,,,,,
,,2018 - 2019,12.0,8.0,0.67,,,,,,,,,
,,2019 - 2020,12.0,6.0,0.5,,,,,,,,,
,,2020 - 2021,13.0,7.0,0.54,,,,,,,,,
,,2021 - 2022,134.0,50.0,0.37,,,,,,,,,
,,2022 - 2023,70.0,52.0,0.74,,,,,,,,,
,Lunglei,2000 - 2001,76.0,92.0,1.21,,,,,,,,,
,,2001 - 2002,50.0,30.0,0.6,,,,,,,,,
,,2002 - 2003,54.0,30.0,0.56,,,,,,,,,
,,2004 - 2005,29.0,18.0,0.62,17.0,11.0,0.65,,,,,,
,,2005 - 2006,101.0,71.0,0.7,68.0,44.0,0.65,,,,,,
,,2010 - 2011,22.0,21.0,0.95,,,,,,,,,
,,2011 - 2012,26.0,82.0,3.15,,,,,,,,,
,,2012 - 2013,40.0,25.0,0.63,,,,,,,,,
,,2013 - 2014,7.0,12.0,1.71,,,,,,,,,
,,2014 - 2015,22.0,19.0,0.86,,,,,,,,,
,,2015 - 2016,10.0,9.0,0.9,,,,,,,,,
,,2016 - 2017,12.0,10.0,0.83,,,,,,,,,
,,2017 - 2018,8.0,2.0,0.25,21.0,7.0,0.33,,,,,,
,,2018 - 2019,6.0,4.0,0.67,19.0,10.0,0.53,,,,,,
,,2019 - 2020,5.0,5.0,1.0,19.0,13.0,0.68,,,,,,
,,2020 - 2021,,,,3.0,4.0,1.33,,,,,,
,,2021 - 2022,,,,5.0,6.0,1.2,,,,,,
,,2022 - 2023,,,,4.0,5.0,1.25,,,,,,
,Mamit,2004 - 2005,118.0,211.0,1.79,108.0,94.0,0.87,,,,,,
,,2005 - 2006,149.0,86.0,0.58,57.0,55.0,0.96,,,,,,
,,2011 - 2012,,,,10.0,4.0,0.4,,,,,,
,,2012 - 2013,12.0,4.0,0.33,,,,,,,,,
,,2013 - 2014,10.0,5.0,0.5,,,,,,,,,
,,2014 - 2015,4.0,2.0,0.5,,,,,,,,,
,,2015 - 2016,4.0,3.0,0.75,,,,,,,,,
,,2016 - 2017,3.0,2.0,0.67,,,,,,,,,
,,2017 - 2018,14.0,6.0,0.43,,,,,,,,,
,,2018 - 2019,14.0,7.0,0.5,,,,,,,,,
,,2019 - 2020,52.0,33.0,0.63,,,,,,,,,
,,2020 - 2021,30.0,16.0,0.53,,,,,,,,,
,,2021 - 2022,64.0,16.0,0.25,,,,,,,,,
,,2022 - 2023,15.0,3.0,0.2,,,,,,,,,
,Saiha,2004 - 2005,67.0,38.0,0.57,3.0,2.0,0.67,,,,,,
,,2005 - 2006,23.0,16.0,0.7,,,,,,,,,
,,2015 - 2016,19.0,15.0,0.79,,,,,,,,,
,Saitual,2021 - 2022,1.0,1.0,1.0,3.0,1.0,0.33,,,,,,
,,2022 - 2023,1.0,1.0,1.0,3.0,1.0,0.33,,,,,,
,Serchhip,2005 - 2006,,,,18.0,8.0,0.44,,,,,,
,,2010 - 2011,25.0,38.0,1.52,,,,,,,,,
,,2013 - 2014,45.0,67.0,1.49,,,,,,,,,
,,2014 - 2015,60.0,90.0,1.5,,,,,,,,,
,,2015 - 2016,60.0,90.0,1.5,,,,,,,,,
,,2016 - 2017,73.0,112.0,1.53,,,,,,,,,
,,2017 - 2018,134.0,160.8,1.2,,,,,,,,,
,,2018 - 2019,243.0,170.0,0.7,,,,,,,,,
,,2019 - 2020,243.0,177.0,0.73,,,,,,,,,
,,2020 - 2021,243.0,177.0,0.73,,,,,,,,,
,,2021 - 2022,243.0,178.0,0.73,,,,,,,,,
,,2022 - 2023,243.0,178.0,0.73,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,572.0,609.0,1.06,,,,,,,,,
,Dimapur,2000 - 2001,,,0.65,,,,,,,,,
,,2001 - 2002,,,1.01,,,,,,,,,
,,2002 - 2003,,,1.1,,,,,,,,,
,,2003 - 2004,,,0.86,,,,,,,,,
,,2004 - 2005,,,0.81,,,,,,,,,
,,2005 - 2006,,,0.97,,,,,,,,,
,,2006 - 2007,,,0.79,,,,,,,,,
,,2007 - 2008,,,0.74,,,,,,,,,
,,2008 - 2009,,,1.01,,,,,,,,,
,,2009 - 2010,,,0.93,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.02,,,,,,,,,
,,2014 - 2015,,,1.02,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,
,,2022 - 2023,229.0,243.0,1.06,,,,,,,,,
,Kiphire,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.74,,,,,,,,,
,,2010 - 2011,,,1.01,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,33.0,22.0,0.67,,,,,,,,,
,,2022 - 2023,594.0,629.0,1.06,,,,,,,,,
,Kohima,2000 - 2001,750.0,600.0,0.8,,,,,,,,,
,,2001 - 2002,850.0,820.0,0.96,,,,,,,,,
,,2002 - 2003,860.0,,1.17,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,
,,2005 - 2006,,,0.7,,,,,,,,,
,,2006 - 2007,,,0.73,,,,,,,,,
,,2007 - 2008,,,0.77,,,,,,,,,
,,2008 - 2009,,,0.98,,,,,,,,,
,,2009 - 2010,,,0.75,,,,,,,,,
,,2010 - 2011,,,1.01,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,11.0,9.0,0.82,,,,,,,,,
,,2022 - 2023,623.0,661.0,1.06,,,,,,,,,
,Longleng,2008 - 2009,910.0,850.0,0.93,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,
,,2010 - 2011,,990.0,0.99,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,970.0,990.0,1.02,,,,,,,,,
,,2014 - 2015,980.0,990.0,1.01,,,,,,,,,
,,2015 - 2016,990.0,,1.01,,,,,,,,,
,,2016 - 2017,980.0,,1.02,,,,,,,,,
,,2017 - 2018,990.0,,1.02,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,160.0,200.0,1.25,,,,,,,,,
,,2022 - 2023,474.0,503.0,1.06,,,,,,,,,
,Mokokchung,2000 - 2001,,,0.95,,,,,,,,,
,,2001 - 2002,,,1.01,,,,,,,,,
,,2002 - 2003,,,1.1,,,,,,,,,
,,2003 - 2004,,850.0,0.57,,,,,,,,,
,,2004 - 2005,,,0.73,,,,,,,,,
,,2005 - 2006,,,0.62,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,
,,2007 - 2008,,,0.7,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.85,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,113.0,107.0,0.95,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Mon,2000 - 2001,,,0.75,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,
,,2002 - 2003,,,1.17,,,,,,,,,
,,2003 - 2004,,,0.86,,,,,,,,,
,,2004 - 2005,,,0.77,,,,,,,,,
,,2005 - 2006,,,0.56,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,
,,2007 - 2008,,,0.72,,,,,,,,,
,,2008 - 2009,,,1.02,,,,,,,,,
,,2009 - 2010,,,0.7,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.02,,,,,,,,,
,,2017 - 2018,,,1.02,,,,,,,,,
,,2018 - 2019,,,1.02,,,,,,,,,
,,2019 - 2020,,,1.02,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,,,0.74,,,,,,,,,
,,2022 - 2023,,,1.07,,,,,,,,,
,Noklak,2022 - 2023,824.0,861.0,1.04,,,,,,,,,
,Nuiland,2022 - 2023,,,1.06,,,,,,,,,
,Peren,2008 - 2009,,,1.01,,,,,,,,,
,,2009 - 2010,,,0.77,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,1.0,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,400.0,420.0,1.05,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Phek,2000 - 2001,,,0.76,,,,,,,,,
,,2001 - 2002,,,0.99,,,,,,,,,
,,2002 - 2003,,,1.27,,,,,,,,,
,,2003 - 2004,,,0.83,,,,,,,,,
,,2004 - 2005,,,0.73,,,,,,,,,
,,2005 - 2006,,,0.63,,,,,,,,,
,,2006 - 2007,,,0.71,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,66.0,59.0,0.89,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Shamator,2022 - 2023,414.0,445.0,1.07,,,,,,,,,
,Tseminyu,2022 - 2023,415.0,439.0,1.06,,,,,,,,,
,Tuensang,2000 - 2001,,,0.8,,,,,,,,,
,,2001 - 2002,,,1.0,,,,,,,,,
,,2002 - 2003,,,1.1,,,,,,,,,
,,2003 - 2004,,940.0,0.81,,,,,,,,,
,,2004 - 2005,,,0.73,,,,,,,,,
,,2005 - 2006,,,0.58,,,,,,,,,
,,2006 - 2007,,,0.71,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,0.99,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.02,,,,,,,,,
,,2017 - 2018,,,1.02,,,,,,,,,
,,2018 - 2019,,,1.02,,,,,,,,,
,,2019 - 2020,,,1.02,,,,,,,,,
,,2020 - 2021,,,1.03,,,,,,,,,
,,2021 - 2022,121.0,102.0,0.84,,,,,,,,,
,,2022 - 2023,676.0,716.0,1.06,,,,,,,,,
,Wokha,2000 - 2001,,,0.9,,,,,,,,,
,,2001 - 2002,,,1.0,,,,,,,,,
,,2002 - 2003,,,1.01,,,,,,,,,
,,2003 - 2004,,,0.78,,,,,,,,,
,,2004 - 2005,,,0.75,,,,,,,,,
,,2005 - 2006,,,0.64,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,
,,2007 - 2008,,,0.73,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,330.0,231.0,0.7,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
,Zunheboto,2000 - 2001,,,0.81,,,,,,,,,
,,2001 - 2002,,,1.01,,,,,,,,,
,,2002 - 2003,,,1.12,,,,,,,,,
,,2003 - 2004,880.0,570.0,0.65,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,
,,2005 - 2006,,720.0,0.52,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.72,,,,,,,,,
,,2008 - 2009,,,1.0,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,1.0,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.01,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,150.0,125.0,0.83,,,,,,,,,
,,2022 - 2023,,,1.06,,,,,,,,,
Odisha,Anugul,2000 - 2001,761.0,44.9,0.06,,,,,,,,,
,,2001 - 2002,902.0,94.7,0.1,,,,,,,,,
,,2002 - 2003,710.0,61.1,0.09,,,,,,,,,
,,2003 - 2004,902.0,120.9,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,733.0,71.1,0.1,,,
,,2005 - 2006,,,,,,,788.0,83.5,0.11,,,
,,2006 - 2007,,,,,,,647.0,70.5,0.11,,,
,,2007 - 2008,,,,,,,469.0,46.0,0.1,,,
,,2008 - 2009,,,,,,,545.0,63.2,0.12,,,
,,2009 - 2010,,,,,,,428.0,48.4,0.11,,,
,,2010 - 2011,,,,,,,423.0,49.9,0.12,,,
,,2011 - 2012,,,,,,,400.0,44.4,0.11,,,
,,2012 - 2013,,,,,,,548.0,81.1,0.15,,,
,,2013 - 2014,,,,,,,446.0,63.3,0.14,,,
,,2014 - 2015,,,,,,,340.0,59.5,0.18,,,
,,2015 - 2016,,,,,,,149.0,17.6,0.12,,,
,,2016 - 2017,,,,,,,267.0,53.7,0.2,,,
,,2017 - 2018,,,,,,,366.0,88.2,0.24,,,
,,2018 - 2019,,,,,,,293.0,68.0,0.23,,,
,,2019 - 2020,,,,,,,156.0,39.3,0.25,,,
,,2020 - 2021,,,,,,,167.0,39.1,0.23,,,
,,2021 - 2022,,,,,,,474.0,95.7,0.2,,,
,,2022 - 2023,,,,,,,734.0,118.2,0.16,,,
,Balangir,2000 - 2001,240.0,20.6,0.09,,,,,,,,,
,,2001 - 2002,376.0,36.8,0.1,,,,,,,,,
,,2002 - 2003,430.0,37.8,0.09,,,,,,,,,
,,2003 - 2004,,133.6,0.11,,,,,,,,,
,,2004 - 2005,,,,,,,637.0,69.4,0.11,,,
,,2005 - 2006,,,,,,,,238.1,0.14,,,
,,2006 - 2007,,,,,,,,176.0,0.12,,,
,,2007 - 2008,,,,,,,,232.0,0.12,,,
,,2008 - 2009,,,,,,,,263.3,0.15,,,
,,2009 - 2010,,,,,,,,248.8,0.16,,,
,,2010 - 2011,,,,,,,,248.7,0.15,,,
,,2011 - 2012,,,,,,,646.0,66.5,0.1,,,
,,2012 - 2013,,,,,,,,559.8,0.23,,,
,,2013 - 2014,,,,,,,,485.8,0.23,,,
,,2014 - 2015,,,,,,,564.0,135.9,0.24,,,
,,2015 - 2016,,,,,,,795.0,145.5,0.18,,,
,,2016 - 2017,,,,,,,,377.2,0.28,,,
,,2017 - 2018,,,,,,,509.0,120.6,0.24,,,
,,2018 - 2019,,,,,,,495.0,55.9,0.11,,,
,,2019 - 2020,,,,,,,959.0,141.0,0.15,,,
,,2020 - 2021,,,,,,,840.0,126.8,0.15,,,
,,2021 - 2022,,,,,,,,304.5,0.16,,,
,,2022 - 2023,,,,,,,,261.5,0.18,,,
,Baleshwar,2000 - 2001,887.0,295.4,0.33,,,,,,,,,
,,2001 - 2002,709.0,178.7,0.25,,,,,,,,,
,,2002 - 2003,950.0,239.4,0.25,,,,,,,,,
,,2003 - 2004,,342.8,0.32,,,,,,,,,
,,2004 - 2005,,,,,,,,464.0,0.31,,,
,,2005 - 2006,,,,,,,,538.4,0.31,,,
,,2006 - 2007,,,,,,,,359.5,0.27,,,
,,2007 - 2008,,,,,,,,484.9,0.33,,,
,,2008 - 2009,,,,,,,922.0,244.3,0.26,,,
,,2009 - 2010,,,,,,,788.0,268.7,0.34,,,
,,2010 - 2011,,,,,,,,585.5,0.38,,,
,,2011 - 2012,,,,,,,,388.5,0.33,,,
,,2012 - 2013,,,,,,,772.0,335.0,0.43,,,
,,2013 - 2014,,,,,,,,706.2,0.39,,,
,,2014 - 2015,,,,,,,580.0,250.6,0.43,,,
,,2015 - 2016,,,,,,,755.0,277.8,0.37,,,
,,2016 - 2017,,,,,,,376.0,224.5,0.6,,,
,,2017 - 2018,,,,,,,359.0,155.8,0.43,,,
,,2018 - 2019,,,,,,,375.0,161.6,0.43,,,
,,2019 - 2020,,,,,,,252.0,94.8,0.38,,,
,,2020 - 2021,,,,,,,246.0,105.0,0.43,,,
,,2021 - 2022,,,,,,,744.0,218.0,0.29,,,
,,2022 - 2023,,,,,,,,404.6,0.33,,,
,Bargarh,2000 - 2001,205.0,62.7,0.31,,,,,,,,,
,,2001 - 2002,338.0,84.8,0.25,,,,,,,,,
,,2002 - 2003,463.0,107.4,0.23,,,,,,,,,
,,2003 - 2004,738.0,193.4,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,460.0,121.9,0.27,,,
,,2005 - 2006,,,,,,,833.0,252.4,0.3,,,
,,2006 - 2007,,,,,,,389.0,105.8,0.27,,,
,,2007 - 2008,,,,,,,444.0,127.0,0.29,,,
,,2008 - 2009,,,,,,,585.0,161.5,0.28,,,
,,2009 - 2010,,,,,,,512.0,149.5,0.29,,,
,,2010 - 2011,,,,,,,795.0,230.6,0.29,,,
,,2011 - 2012,,,,,,,648.0,192.5,0.3,,,
,,2012 - 2013,,,,,,,799.0,275.7,0.35,,,
,,2013 - 2014,,,,,,,524.0,168.7,0.32,,,
,,2014 - 2015,,,,,,,446.0,147.2,0.33,,,
,,2015 - 2016,,,,,,,374.0,110.3,0.29,,,
,,2016 - 2017,,,,,,,197.0,75.6,0.38,,,
,,2017 - 2018,,,,,,,210.0,76.4,0.36,,,
,,2018 - 2019,,,,,,,185.0,62.0,0.34,,,
,,2019 - 2020,,,,,,,612.0,191.6,0.31,,,
,,2020 - 2021,,,,,,,519.0,160.4,0.31,,,
,,2021 - 2022,,,,,,,,336.0,0.3,,,
,,2022 - 2023,,,,,,,,352.5,0.34,,,
,Bhadrak,2000 - 2001,104.0,18.7,0.18,,,,,,,,,
,,2001 - 2002,78.0,10.8,0.14,,,,,,,,,
,,2002 - 2003,307.0,65.4,0.21,,,,,,,,,
,,2003 - 2004,83.0,19.8,0.24,,,,,,,,,
,,2004 - 2005,,,,,,,,361.2,0.34,,,
,,2005 - 2006,,,,,,,139.0,67.8,0.49,,,
,,2006 - 2007,,,,,,,152.0,23.9,0.16,,,
,,2007 - 2008,,,,,,,50.0,15.6,0.31,,,
,,2008 - 2009,,,,,,,133.0,38.8,0.29,,,
,,2009 - 2010,,,,,,,107.0,42.3,0.4,,,
,,2010 - 2011,,,,,,,976.0,324.0,0.33,,,
,,2011 - 2012,,,,,,,270.0,65.1,0.24,,,
,,2012 - 2013,,,,,,,795.0,537.4,0.68,,,
,,2013 - 2014,,,,,,,531.0,234.2,0.44,,,
,,2014 - 2015,,,,,,,174.0,79.0,0.45,,,
,,2015 - 2016,,,,,,,143.0,53.5,0.37,,,
,,2016 - 2017,,,,,,,64.0,42.9,0.67,,,
,,2017 - 2018,,,,,,,74.0,45.0,0.61,,,
,,2018 - 2019,,,,,,,52.0,29.4,0.57,,,
,,2019 - 2020,,,,,,,45.0,19.4,0.43,,,
,,2020 - 2021,,,,,,,37.0,15.6,0.42,,,
,,2021 - 2022,,,,,,,259.0,115.3,0.45,,,
,,2022 - 2023,,,,,,,147.0,77.3,0.53,,,
,Boudh,2000 - 2001,202.0,14.1,0.07,,,,,,,,,
,,2001 - 2002,217.0,13.7,0.06,,,,,,,,,
,,2002 - 2003,151.0,7.1,0.05,,,,,,,,,
,,2003 - 2004,250.0,37.5,0.15,,,,,,,,,
,,2004 - 2005,,,,,,,279.0,29.6,0.11,,,
,,2005 - 2006,,,,,,,279.0,24.3,0.09,,,
,,2006 - 2007,,,,,,,219.0,23.7,0.11,,,
,,2007 - 2008,,,,,,,206.0,20.4,0.1,,,
,,2008 - 2009,,,,,,,232.0,24.4,0.11,,,
,,2009 - 2010,,,,,,,199.0,20.5,0.1,,,
,,2010 - 2011,,,,,,,285.0,26.5,0.09,,,
,,2011 - 2012,,,,,,,162.0,16.4,0.1,,,
,,2012 - 2013,,,,,,,215.0,33.3,0.15,,,
,,2013 - 2014,,,,,,,128.0,10.5,0.08,,,
,,2014 - 2015,,,,,,,164.0,17.7,0.11,,,
,,2015 - 2016,,,,,,,77.0,4.9,0.06,,,
,,2016 - 2017,,,,,,,120.0,14.4,0.12,,,
,,2017 - 2018,,,,,,,92.0,10.4,0.11,,,
,,2018 - 2019,,,,,,,55.0,5.2,0.09,,,
,,2019 - 2020,,,,,,,73.0,8.2,0.11,,,
,,2020 - 2021,,,,,,,88.0,11.1,0.13,,,
,,2021 - 2022,,,,,,,221.0,25.9,0.12,,,
,,2022 - 2023,,,,,,,140.0,16.9,0.12,,,
,Cuttack,2000 - 2001,53.0,8.5,0.16,,,,,,,,,
,,2001 - 2002,191.0,30.2,0.16,,,,,,,,,
,,2002 - 2003,82.0,13.7,0.17,,,,,,,,,
,,2003 - 2004,120.0,15.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,117.0,19.4,0.17,,,
,,2005 - 2006,,,,,,,254.0,38.9,0.15,,,
,,2006 - 2007,,,,,,,68.0,13.3,0.2,,,
,,2007 - 2008,,,,,,,283.0,73.0,0.26,,,
,,2008 - 2009,,,,,,,147.0,28.8,0.2,,,
,,2009 - 2010,,,,,,,94.0,26.4,0.28,,,
,,2010 - 2011,,,,,,,113.0,27.9,0.25,,,
,,2011 - 2012,,,,,,,30.0,9.4,0.31,,,
,,2012 - 2013,,,,,,,80.0,26.5,0.33,,,
,,2013 - 2014,,,,,,,10.0,2.5,0.25,,,
,,2014 - 2015,,,,,,,4.0,1.3,0.33,,,
,,2015 - 2016,,,,,,,3.0,1.2,0.4,,,
,,2016 - 2017,,,,,,,108.0,30.3,0.28,,,
,,2017 - 2018,,,,,,,11.0,8.1,0.74,,,
,,2018 - 2019,,,,,,,32.0,15.9,0.5,,,
,,2019 - 2020,,,,,,,8.0,2.6,0.33,,,
,,2020 - 2021,,,,,,,11.0,2.5,0.23,,,
,,2021 - 2022,,,,,,,81.0,44.0,0.54,,,
,,2022 - 2023,,,,,,,29.0,6.7,0.23,,,
,Deogarh,2000 - 2001,116.0,16.0,0.14,,,,,,,,,
,,2001 - 2002,276.0,52.2,0.19,,,,,,,,,
,,2002 - 2003,146.0,20.6,0.14,,,,,,,,,
,,2003 - 2004,289.0,60.4,0.21,,,,,,,,,
,,2004 - 2005,,,,,,,332.0,60.1,0.18,,,
,,2005 - 2006,,,,,,,370.0,81.8,0.22,,,
,,2006 - 2007,,,,,,,436.0,92.9,0.21,,,
,,2007 - 2008,,,,,,,352.0,79.9,0.23,,,
,,2008 - 2009,,,,,,,354.0,78.2,0.22,,,
,,2009 - 2010,,,,,,,287.0,69.7,0.24,,,
,,2010 - 2011,,,,,,,197.0,40.4,0.21,,,
,,2011 - 2012,,,,,,,236.0,43.0,0.18,,,
,,2012 - 2013,,,,,,,338.0,78.1,0.23,,,
,,2013 - 2014,,,,,,,250.0,59.3,0.24,,,
,,2014 - 2015,,,,,,,237.0,57.4,0.24,,,
,,2015 - 2016,,,,,,,15.0,3.7,0.25,,,
,,2016 - 2017,,,,,,,117.0,35.0,0.3,,,
,,2017 - 2018,,,,,,,149.0,43.8,0.29,,,
,,2018 - 2019,,,,,,,157.0,36.1,0.23,,,
,,2019 - 2020,,,,,,,140.0,21.8,0.16,,,
,,2020 - 2021,,,,,,,183.0,32.4,0.18,,,
,,2021 - 2022,,,,,,,614.0,159.6,0.26,,,
,,2022 - 2023,,,,,,,189.0,44.4,0.23,,,
,Dhenkanal,2000 - 2001,52.0,2.1,0.04,,,,,,,,,
,,2001 - 2002,177.0,20.2,0.11,,,,,,,,,
,,2002 - 2003,44.0,5.4,0.12,,,,,,,,,
