state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2020 - 2021,,,0.57,,,,,,,,,
,,2021 - 2022,,,0.66,,,,,,,,,
,,2022 - 2023,,,0.77,,,,,,,,,
,Cachar,2000 - 2001,,993.0,0.62,,,,,,,,,
,,2001 - 2002,,750.0,0.46,,,,,,,,,
,,2002 - 2003,,654.0,0.41,,,,,,,,,
,,2003 - 2004,,,0.86,,,,,,,,,
,,2004 - 2005,,,0.57,,,,,,,,,
,,2005 - 2006,,,0.58,,,,,,,,,
,,2006 - 2007,,,0.57,,,,,,,,,
,,2007 - 2008,,,0.53,,,,,,,,,
,,2008 - 2009,,,0.67,,,,,,,,,
,,2009 - 2010,,,0.66,,,,,,,,,
,,2010 - 2011,,,0.67,,,,,,,,,
,,2011 - 2012,,896.0,0.54,,,,,,,,,
,,2012 - 2013,,930.0,0.59,,,,,,,,,
,,2013 - 2014,,863.0,0.53,,,,,,,,,
,,2014 - 2015,,,0.66,,,,,,,,,
,,2015 - 2016,,481.0,0.3,,,,,,,,,
,,2016 - 2017,,691.0,0.39,,,,,,,,,
,,2017 - 2018,,764.0,0.43,,,,,,,,,
,,2018 - 2019,,974.0,0.56,,,,,,,,,
,,2019 - 2020,,381.0,0.22,,,,,,,,,
,,2020 - 2021,,,0.72,,,,,,,,,
,,2021 - 2022,,554.0,0.34,,,,,,,,,
,,2022 - 2023,,,0.79,,,,,,,,,
,Charaideo,2020 - 2021,150.0,73.0,0.49,,,,,,,,,
,,2021 - 2022,143.0,60.0,0.42,,,,,,,,,
,,2022 - 2023,,986.0,0.44,,,,,,,,,
,Chirang,2005 - 2006,,,0.52,,,,,,,,,
,,2006 - 2007,,,0.49,,,,,,,,,
,,2007 - 2008,,,0.55,,,,,,,,,
,,2008 - 2009,,,0.72,,,,,,,,,
,,2009 - 2010,,,0.44,,,,,,,,,
,,2010 - 2011,,,0.4,,,,,,,,,
,,2011 - 2012,,,0.52,,,,,,,,,
,,2012 - 2013,,,0.35,,,,,,,,,
,,2013 - 2014,,,0.5,,,,,,,,,
,,2014 - 2015,,,0.49,,,,,,,,,
,,2015 - 2016,,,0.63,,,,,,,,,
,,2016 - 2017,,,0.62,,,,,,,,,
,,2017 - 2018,,,0.59,,,,,,,,,
,,2018 - 2019,,,0.48,,,,,,,,,
,,2019 - 2020,,,0.51,,,,,,,,,
,,2020 - 2021,,,0.4,,,,,,,,,
,,2021 - 2022,,,0.44,,,,,,,,,
,,2022 - 2023,,,0.86,,,,,,,,,
,Darrang,2000 - 2001,,,0.44,,,,,,,,,
,,2001 - 2002,,,0.47,,,,,,,,,
,,2002 - 2003,,,0.4,,,,,,,,,
,,2003 - 2004,,,0.44,,,,,,,,,
,,2004 - 2005,,,0.47,,,,,,,,,
,,2005 - 2006,,,0.34,,,,,,,,,
,,2006 - 2007,,,0.34,,,,,,,,,
,,2007 - 2008,,,0.44,,,,,,,,,
,,2008 - 2009,,,0.54,,,,,,,,,
,,2009 - 2010,,,0.61,,,,,,,,,
,,2010 - 2011,,,0.5,,,,,,,,,
,,2011 - 2012,,,0.51,,,,,,,,,
,,2012 - 2013,,,0.49,,,,,,,,,
,,2013 - 2014,,,0.51,,,,,,,,,
,,2014 - 2015,,,0.59,,,,,,,,,
,,2015 - 2016,,,0.63,,,,,,,,,
,,2016 - 2017,,,0.54,,,,,,,,,
,,2017 - 2018,,,0.56,,,,,,,,,
,,2018 - 2019,,,0.64,,,,,,,,,
,,2019 - 2020,,,0.8,,,,,,,,,
,,2020 - 2021,,,0.77,,,,,,,,,
,,2021 - 2022,,,0.86,,,,,,,,,
,,2022 - 2023,,,0.66,,,,,,,,,
,Dhemaji,2000 - 2001,,,0.4,,,,,,,,,
,,2001 - 2002,,,0.47,,,,,,,,,
,,2002 - 2003,,,0.37,,,,,,,,,
,,2003 - 2004,,,0.33,,,,,,,,,
,,2004 - 2005,,,0.34,,,,,,,,,
,,2005 - 2006,,,0.34,,,,,,,,,
,,2006 - 2007,,,0.33,,,,,,,,,
