state,district,year,onion_kharif_area_hectare,onion_kharif_production_tonne,onion_kharif_yield_tonne_per_hectare,onion_rabi_area_hectare,onion_rabi_production_tonne,onion_rabi_yield_tonne_per_hectare,onion_whole_year_area_hectare,onion_whole_year_production_tonne,onion_whole_year_yield_tonne_per_hectare,onion_summer_area_hectare,onion_summer_production_tonne,onion_summer_yield_tonne_per_hectare
,,2016 - 2017,,,,,,,64.0,246.0,3.84,,,
,,2017 - 2018,,,,,,,72.0,278.0,3.86,,,
,,2018 - 2019,,,,,,,64.0,207.0,3.23,,,
,,2019 - 2020,,,,,,,65.0,290.0,4.46,,,
,,2020 - 2021,,,,,,,65.0,290.0,4.46,,,
,,2021 - 2022,,,,,,,63.0,281.0,4.46,,,
,,2022 - 2023,,,,,,,60.0,275.0,4.58,,,
,Dima hasao,2000 - 2001,,,,,,,18.0,25.0,1.39,,,
,,2001 - 2002,,,,,,,19.0,27.0,1.42,,,
,,2002 - 2003,,,,,,,20.0,28.0,1.4,,,
,,2003 - 2004,,,,,,,21.0,29.0,1.38,,,
,,2004 - 2005,,,,,,,22.0,45.0,2.05,,,
,,2005 - 2006,,,,,,,29.0,47.0,1.62,,,
,,2006 - 2007,,,,,,,23.0,39.0,1.7,,,
,,2007 - 2008,,,,,,,25.0,41.0,1.64,,,
,,2008 - 2009,,,,,,,27.0,44.0,1.63,,,
,,2009 - 2010,,,,,,,36.0,60.0,1.67,,,
,,2010 - 2011,,,,,,,29.0,48.0,1.66,,,
,,2011 - 2012,,,,,,,32.0,102.0,3.19,,,
,,2012 - 2013,,,,,,,55.0,188.0,3.42,,,
,,2013 - 2014,,,,,,,78.0,266.0,3.41,,,
,,2014 - 2015,,,,,,,7.0,24.0,3.43,,,
,,2015 - 2016,,,,,,,55.0,192.0,3.49,,,
,,2016 - 2017,,,,,,,46.0,196.0,4.26,,,
,,2017 - 2018,,,,,,,55.0,235.0,4.27,,,
,,2018 - 2019,,,,,,,52.0,234.0,4.5,,,
,,2019 - 2020,,,,,,,51.0,282.0,5.53,,,
,,2020 - 2021,,,,,,,45.0,249.0,5.53,,,
,,2021 - 2022,,,,,,,45.0,249.0,5.53,,,
,,2022 - 2023,,,,,,,45.0,256.0,5.69,,,
,Goalpara,2000 - 2001,,,,,,,300.0,594.0,1.98,,,
,,2001 - 2002,,,,,,,300.0,594.0,1.98,,,
,,2002 - 2003,,,,,,,300.0,596.0,1.99,,,
,,2003 - 2004,,,,,,,250.0,496.0,1.98,,,
,,2004 - 2005,,,,,,,226.0,448.0,1.98,,,
,,2005 - 2006,,,,,,,230.0,456.0,1.98,,,
,,2006 - 2007,,,,,,,284.0,563.0,1.98,,,
,,2007 - 2008,,,,,,,292.0,579.0,1.98,,,
,,2008 - 2009,,,,,,,300.0,613.0,2.04,,,
,,2009 - 2010,,,,,,,320.0,641.0,2.0,,,
,,2010 - 2011,,,,,,,350.0,704.0,2.01,,,
,,2011 - 2012,,,,,,,350.0,757.0,2.16,,,
,,2012 - 2013,,,,,,,365.0,,3.27,,,
,,2013 - 2014,,,,,,,382.0,,3.27,,,
,,2014 - 2015,,,,,,,350.0,,3.61,,,
,,2015 - 2016,,,,,,,380.0,,11.68,,,
,,2016 - 2017,,,,,,,375.0,,11.73,,,
,,2017 - 2018,,,,,,,411.0,,11.74,,,
,,2018 - 2019,,,,,,,451.0,,11.73,,,
,,2019 - 2020,,,,,,,451.0,,10.72,,,
,,2020 - 2021,,,,,,,452.0,,10.71,,,
,,2021 - 2022,,,,,,,472.0,,10.71,,,
,,2022 - 2023,,,,,,,478.0,,10.73,,,
,Golaghat,2000 - 2001,,,,,,,164.0,522.0,3.18,,,
,,2001 - 2002,,,,,,,166.0,535.0,3.22,,,
,,2002 - 2003,,,,,,,162.0,523.0,3.23,,,
,,2003 - 2004,,,,,,,169.0,545.0,3.22,,,
,,2004 - 2005,,,,,,,163.0,526.0,3.23,,,
,,2005 - 2006,,,,,,,159.0,513.0,3.23,,,
,,2006 - 2007,,,,,,,153.0,494.0,3.23,,,
,,2007 - 2008,,,,,,,147.0,474.0,3.22,,,
,,2008 - 2009,,,,,,,174.0,561.0,3.22,,,
,,2009 - 2010,,,,,,,62.0,201.0,3.24,,,
,,2010 - 2011,,,,,,,61.0,197.0,3.23,,,
,,2011 - 2012,,,,,,,87.0,291.0,3.34,,,
,,2012 - 2013,,,,,,,96.0,332.0,3.46,,,
,,2013 - 2014,,,,,,,142.0,491.0,3.46,,,
,,2014 - 2015,,,,,,,187.0,648.0,3.47,,,
,,2015 - 2016,,,,,,,164.0,569.0,3.47,,,
,,2016 - 2017,,,,,,,164.0,675.0,4.12,,,
,,2017 - 2018,,,,,,,162.0,668.0,4.12,,,
,,2018 - 2019,,,,,,,160.0,699.0,4.37,,,
,,2019 - 2020,,,,,,,160.0,836.0,5.23,,,
,,2020 - 2021,,,,,,,143.0,748.0,5.23,,,
,,2021 - 2022,,,,,,,156.0,816.0,5.23,,,
,,2022 - 2023,,,,,,,156.0,814.0,5.22,,,
,Hailakandi,2000 - 2001,,,,,,,60.0,106.0,1.77,,,
,,2001 - 2002,,,,,,,50.0,85.0,1.7,,,
,,2002 - 2003,,,,,,,50.0,85.0,1.7,,,
,,2003 - 2004,,,,,,,50.0,86.0,1.72,,,
,,2004 - 2005,,,,,,,48.0,82.0,1.71,,,
,,2005 - 2006,,,,,,,50.0,86.0,1.72,,,
,,2006 - 2007,,,,,,,65.0,112.0,1.72,,,
,,2007 - 2008,,,,,,,55.0,94.0,1.71,,,
,,2008 - 2009,,,,,,,50.0,85.0,1.7,,,
,,2009 - 2010,,,,,,,57.0,98.0,1.72,,,
,,2010 - 2011,,,,,,,15.0,26.0,1.73,,,
,,2011 - 2012,,,,,,,2.0,3.0,1.5,,,
,,2012 - 2013,,,,,,,7.0,12.0,1.71,,,
,,2013 - 2014,,,,,,,8.0,14.0,1.75,,,
,,2014 - 2015,,,,,,,12.0,21.0,1.75,,,
,,2015 - 2016,,,,,,,9.0,109.0,12.11,,,
,,2016 - 2017,,,,,,,10.0,122.0,12.2,,,
,,2017 - 2018,,,,,,,6.0,74.0,12.33,,,
,,2018 - 2019,,,,,,,9.0,110.0,12.22,,,
,,2019 - 2020,,,,,,,8.0,99.0,12.38,,,
,,2020 - 2021,,,,,,,7.0,87.0,12.43,,,
,,2021 - 2022,,,,,,,6.0,74.0,12.33,,,
,,2022 - 2023,,,,,,,5.0,71.0,14.2,,,
,Hojai,2020 - 2021,,,,,,,150.0,,14.55,,,
,,2021 - 2022,,,,,,,150.0,,14.55,,,
,,2022 - 2023,,,,,,,150.0,,14.53,,,
,Jorhat,2000 - 2001,,,,,,,118.0,260.0,2.2,,,
,,2001 - 2002,,,,,,,310.0,682.0,2.2,,,
,,2002 - 2003,,,,,,,300.0,660.0,2.2,,,
,,2003 - 2004,,,,,,,185.0,407.0,2.2,,,
,,2004 - 2005,,,,,,,182.0,400.0,2.2,,,
,,2005 - 2006,,,,,,,172.0,378.0,2.2,,,
,,2006 - 2007,,,,,,,170.0,374.0,2.2,,,
,,2007 - 2008,,,,,,,181.0,398.0,2.2,,,
,,2008 - 2009,,,,,,,77.0,169.0,2.19,,,
,,2009 - 2010,,,,,,,136.0,299.0,2.2,,,
,,2010 - 2011,,,,,,,162.0,356.0,2.2,,,
,,2011 - 2012,,,,,,,171.0,388.0,2.27,,,
,,2012 - 2013,,,,,,,149.0,341.0,2.29,,,
,,2013 - 2014,,,,,,,168.0,384.0,2.29,,,
,,2014 - 2015,,,,,,,176.0,403.0,2.29,,,
,,2015 - 2016,,,,,,,297.0,698.0,2.35,,,
,,2016 - 2017,,,,,,,304.0,849.0,2.79,,,
,,2017 - 2018,,,,,,,283.0,791.0,2.8,,,
,,2018 - 2019,,,,,,,282.0,843.0,2.99,,,
,,2019 - 2020,,,,,,,290.0,,3.59,,,
,,2020 - 2021,,,,,,,38.0,136.0,3.58,,,
,,2021 - 2022,,,,,,,38.0,136.0,3.58,,,
,,2022 - 2023,,,,,,,34.0,130.0,3.82,,,
,Kamrup,2000 - 2001,,,,,,,558.0,,2.76,,,
,,2001 - 2002,,,,,,,570.0,,2.75,,,
,,2002 - 2003,,,,,,,551.0,,2.77,,,
,,2003 - 2004,,,,,,,560.0,,2.78,,,
,,2004 - 2005,,,,,,,567.0,,2.95,,,
,,2005 - 2006,,,,,,,568.0,,2.9,,,
,,2006 - 2007,,,,,,,460.0,,2.91,,,
,,2007 - 2008,,,,,,,800.0,,2.94,,,
,,2008 - 2009,,,,,,,760.0,,2.93,,,
,,2009 - 2010,,,,,,,583.0,,2.92,,,
,,2010 - 2011,,,,,,,588.0,,2.92,,,
,,2011 - 2012,,,,,,,588.0,,3.38,,,
,,2012 - 2013,,,,,,,557.0,,3.48,,,
,,2013 - 2014,,,,,,,470.0,,3.49,,,
,,2014 - 2015,,,,,,,517.0,,3.49,,,
,,2015 - 2016,,,,,,,505.0,,10.43,,,
,,2016 - 2017,,,,,,,510.0,,10.46,,,
,,2017 - 2018,,,,,,,508.0,,10.47,,,
,,2018 - 2019,,,,,,,501.0,,12.4,,,
,,2019 - 2020,,,,,,,497.0,,14.4,,,
,,2020 - 2021,,,,,,,780.0,,13.41,,,
,,2021 - 2022,,,,,,,707.0,,13.41,,,
,,2022 - 2023,,,,,,,529.0,,13.41,,,
,Kamrup metro,2005 - 2006,,,,,,,47.0,141.0,3.0,,,
,,2006 - 2007,,,,,,,56.0,168.0,3.0,,,
,,2007 - 2008,,,,,,,63.0,185.0,2.94,,,
,,2008 - 2009,,,,,,,63.0,187.0,2.97,,,
,,2009 - 2010,,,,,,,66.0,196.0,2.97,,,
,,2010 - 2011,,,,,,,70.0,207.0,2.96,,,
,,2011 - 2012,,,,,,,67.0,257.0,3.84,,,
,,2012 - 2013,,,,,,,65.0,159.0,2.45,,,
,,2013 - 2014,,,,,,,93.0,228.0,2.45,,,
,,2014 - 2015,,,,,,,96.0,236.0,2.46,,,
,,2015 - 2016,,,,,,,97.0,239.0,2.46,,,
,,2016 - 2017,,,,,,,72.0,235.0,3.26,,,
,,2017 - 2018,,,,,,,58.0,190.0,3.28,,,
,,2018 - 2019,,,,,,,67.0,240.0,3.58,,,
,,2019 - 2020,,,,,,,71.0,327.0,4.61,,,
,,2020 - 2021,,,,,,,61.0,281.0,4.61,,,
,,2021 - 2022,,,,,,,57.0,262.0,4.6,,,
,,2022 - 2023,,,,,,,56.0,266.0,4.75,,,
,Karbi anglong,2000 - 2001,,,,,,,221.0,447.0,2.02,,,
,,2001 - 2002,,,,,,,229.0,467.0,2.04,,,
,,2002 - 2003,,,,,,,243.0,496.0,2.04,,,
,,2003 - 2004,,,,,,,249.0,507.0,2.04,,,
,,2004 - 2005,,,,,,,260.0,617.0,2.37,,,
,,2005 - 2006,,,,,,,,,2.07,,,
,,2006 - 2007,,,,,,,289.0,656.0,2.27,,,
,,2007 - 2008,,,,,,,289.0,666.0,2.3,,,
,,2008 - 2009,,,,,,,331.0,733.0,2.21,,,
,,2009 - 2010,,,,,,,340.0,760.0,2.24,,,
,,2010 - 2011,,,,,,,253.0,483.0,1.91,,,
,,2011 - 2012,,,,,,,257.0,514.0,2.0,,,
,,2012 - 2013,,,,,,,252.0,536.0,2.13,,,
,,2013 - 2014,,,,,,,264.0,561.0,2.13,,,
,,2014 - 2015,,,,,,,269.0,680.0,2.53,,,
,,2015 - 2016,,,,,,,274.0,698.0,2.55,,,
,,2016 - 2017,,,,,,,273.0,781.0,2.86,,,
,,2017 - 2018,,,,,,,300.0,861.0,2.87,,,
,,2018 - 2019,,,,,,,303.0,911.0,3.01,,,
,,2019 - 2020,,,,,,,308.0,,3.45,,,
,,2020 - 2021,,,,,,,273.0,942.0,3.45,,,
,,2021 - 2022,,,,,,,235.0,811.0,3.45,,,
,,2022 - 2023,,,,,,,293.0,,3.58,,,
,Karimganj,2000 - 2001,,,,,,,25.0,77.0,3.08,,,
,,2001 - 2002,,,,,,,30.0,92.0,3.07,,,
,,2002 - 2003,,,,,,,30.0,92.0,3.07,,,
,,2003 - 2004,,,,,,,42.0,129.0,3.07,,,
,,2004 - 2005,,,,,,,40.0,123.0,3.08,,,
,,2005 - 2006,,,,,,,45.0,139.0,3.09,,,
,,2006 - 2007,,,,,,,50.0,154.0,3.08,,,
,,2007 - 2008,,,,,,,47.0,143.0,3.04,,,
,,2008 - 2009,,,,,,,32.0,98.0,3.06,,,
,,2009 - 2010,,,,,,,29.0,89.0,3.07,,,
,,2010 - 2011,,,,,,,30.0,92.0,3.07,,,
,,2011 - 2012,,,,,,,24.0,76.0,3.17,,,
,,2012 - 2013,,,,,,,25.0,85.0,3.4,,,
,,2013 - 2014,,,,,,,23.0,78.0,3.39,,,
,,2014 - 2015,,,,,,,20.0,68.0,3.4,,,
,,2015 - 2016,,,,,,,19.0,168.0,8.84,,,
,,2016 - 2017,,,,,,,19.0,170.0,8.95,,,
,,2017 - 2018,,,,,,,20.0,179.0,8.95,,,
,,2018 - 2019,,,,,,,21.0,188.0,8.95,,,
,,2019 - 2020,,,,,,,17.0,156.0,9.18,,,
,,2020 - 2021,,,,,,,14.0,129.0,9.21,,,
,,2021 - 2022,,,,,,,10.0,92.0,9.2,,,
,,2022 - 2023,,,,,,,10.0,95.0,9.5,,,
,Kokrajhar,2000 - 2001,,,,,,,327.0,916.0,2.8,,,
,,2001 - 2002,,,,,,,346.0,969.0,2.8,,,
,,2002 - 2003,,,,,,,347.0,972.0,2.8,,,
,,2003 - 2004,,,,,,,338.0,946.0,2.8,,,
,,2004 - 2005,,,,,,,348.0,974.0,2.8,,,
,,2005 - 2006,,,,,,,269.0,753.0,2.8,,,
,,2006 - 2007,,,,,,,436.0,,2.8,,,
,,2007 - 2008,,,,,,,335.0,938.0,2.8,,,
,,2008 - 2009,,,,,,,348.0,975.0,2.8,,,
,,2009 - 2010,,,,,,,324.0,907.0,2.8,,,
,,2010 - 2011,,,,,,,335.0,938.0,2.8,,,
,,2011 - 2012,,,,,,,358.0,,2.84,,,
,,2012 - 2013,,,,,,,360.0,,2.94,,,
,,2013 - 2014,,,,,,,443.0,,2.94,,,
,,2014 - 2015,,,,,,,451.0,,2.96,,,
,,2015 - 2016,,,,,,,463.0,,2.97,,,
,,2016 - 2017,,,,,,,476.0,,3.2,,,
,,2017 - 2018,,,,,,,475.0,,3.23,,,
,,2018 - 2019,,,,,,,455.0,,3.34,,,
,,2019 - 2020,,,,,,,434.0,,3.67,,,
,,2020 - 2021,,,,,,,376.0,,3.67,,,
,,2021 - 2022,,,,,,,352.0,,3.67,,,
,,2022 - 2023,,,,,,,286.0,,3.7,,,
,Lakhimpur,2000 - 2001,,,,,,,210.0,561.0,2.67,,,
,,2001 - 2002,,,,,,,232.0,619.0,2.67,,,
,,2002 - 2003,,,,,,,222.0,592.0,2.67,,,
,,2003 - 2004,,,,,,,225.0,600.0,2.67,,,
,,2004 - 2005,,,,,,,227.0,605.0,2.67,,,
,,2005 - 2006,,,,,,,227.0,605.0,2.67,,,
,,2006 - 2007,,,,,,,216.0,578.0,2.68,,,
,,2007 - 2008,,,,,,,180.0,482.0,2.68,,,
,,2008 - 2009,,,,,,,206.0,548.0,2.66,,,
,,2009 - 2010,,,,,,,210.0,559.0,2.66,,,
,,2010 - 2011,,,,,,,220.0,585.0,2.66,,,
,,2011 - 2012,,,,,,,226.0,640.0,2.83,,,
,,2012 - 2013,,,,,,,215.0,633.0,2.94,,,
,,2013 - 2014,,,,,,,160.0,471.0,2.94,,,
,,2014 - 2015,,,,,,,400.0,,2.97,,,
,,2015 - 2016,,,,,,,325.0,970.0,2.98,,,
,,2016 - 2017,,,,,,,154.0,513.0,3.33,,,
,,2017 - 2018,,,,,,,136.0,454.0,3.34,,,
,,2018 - 2019,,,,,,,193.0,672.0,3.48,,,
,,2019 - 2020,,,,,,,161.0,634.0,3.94,,,
,,2020 - 2021,,,,,,,165.0,714.0,4.33,,,
,,2021 - 2022,,,,,,,218.0,942.0,4.32,,,
,,2022 - 2023,,,,,,,129.0,565.0,4.38,,,
,Majuli,2020 - 2021,,,,,,,260.0,933.0,3.59,,,
,,2021 - 2022,,,,,,,265.0,951.0,3.59,,,
,,2022 - 2023,,,,,,,265.0,961.0,3.63,,,
,Marigaon,2000 - 2001,,,,,,,400.0,,2.65,,,
,,2001 - 2002,,,,,,,300.0,795.0,2.65,,,
,,2002 - 2003,,,,,,,300.0,795.0,2.65,,,
,,2003 - 2004,,,,,,,315.0,835.0,2.65,,,
,,2004 - 2005,,,,,,,300.0,795.0,2.65,,,
,,2005 - 2006,,,,,,,325.0,861.0,2.65,,,
,,2006 - 2007,,,,,,,350.0,928.0,2.65,,,
,,2007 - 2008,,,,,,,250.0,662.0,2.65,,,
,,2008 - 2009,,,,,,,300.0,795.0,2.65,,,
,,2009 - 2010,,,,,,,296.0,784.0,2.65,,,
,,2010 - 2011,,,,,,,308.0,816.0,2.65,,,
,,2011 - 2012,,,,,,,301.0,644.0,2.14,,,
,,2012 - 2013,,,,,,,317.0,764.0,2.41,,,
,,2013 - 2014,,,,,,,345.0,831.0,2.41,,,
,,2014 - 2015,,,,,,,325.0,787.0,2.42,,,
,,2015 - 2016,,,,,,,310.0,752.0,2.43,,,
,,2016 - 2017,,,,,,,255.0,689.0,2.7,,,
,,2017 - 2018,,,,,,,297.0,806.0,2.71,,,
,,2018 - 2019,,,,,,,259.0,730.0,2.82,,,
,,2019 - 2020,,,,,,,259.0,817.0,3.15,,,
,,2020 - 2021,,,,,,,235.0,834.0,3.55,,,
,,2021 - 2022,,,,,,,125.0,444.0,3.55,,,
,,2022 - 2023,,,,,,,130.0,469.0,3.61,,,
,Nagaon,2000 - 2001,,,,,,,,,2.1,,,
,,2001 - 2002,,,,,,,,,2.1,,,
,,2002 - 2003,,,,,,,,,2.1,,,
,,2003 - 2004,,,,,,,,,2.1,,,
,,2004 - 2005,,,,,,,,,2.1,,,
,,2005 - 2006,,,,,,,842.0,,2.1,,,
,,2006 - 2007,,,,,,,848.0,,2.1,,,
,,2007 - 2008,,,,,,,812.0,,2.1,,,
,,2008 - 2009,,,,,,,886.0,,2.22,,,
,,2009 - 2010,,,,,,,495.0,,2.14,,,
,,2010 - 2011,,,,,,,608.0,,2.16,,,
,,2011 - 2012,,,,,,,702.0,,2.28,,,
,,2012 - 2013,,,,,,,731.0,,3.29,,,
,,2013 - 2014,,,,,,,768.0,,3.29,,,
,,2014 - 2015,,,,,,,816.0,,3.3,,,
,,2015 - 2016,,,,,,,760.0,,16.51,,,
,,2016 - 2017,,,,,,,708.0,,16.52,,,
,,2017 - 2018,,,,,,,761.0,,13.09,,,
,,2018 - 2019,,,,,,,708.0,,12.78,,,
,,2019 - 2020,,,,,,,630.0,,14.55,,,
,,2020 - 2021,,,,,,,479.0,,14.55,,,
,,2021 - 2022,,,,,,,490.0,,14.55,,,
,,2022 - 2023,,,,,,,503.0,,14.55,,,
,Nalbari,2000 - 2001,,,,,,,345.0,345.0,1.0,,,
,,2001 - 2002,,,,,,,340.0,340.0,1.0,,,
,,2002 - 2003,,,,,,,350.0,350.0,1.0,,,
,,2003 - 2004,,,,,,,340.0,340.0,1.0,,,
,,2004 - 2005,,,,,,,345.0,345.0,1.0,,,
,,2005 - 2006,,,,,,,167.0,167.0,1.0,,,
,,2006 - 2007,,,,,,,180.0,180.0,1.0,,,
,,2007 - 2008,,,,,,,180.0,180.0,1.0,,,
,,2008 - 2009,,,,,,,175.0,175.0,1.0,,,
,,2009 - 2010,,,,,,,150.0,150.0,1.0,,,
,,2010 - 2011,,,,,,,180.0,180.0,1.0,,,
,,2011 - 2012,,,,,,,190.0,859.0,4.52,,,
,,2012 - 2013,,,,,,,160.0,742.0,4.64,,,
,,2013 - 2014,,,,,,,170.0,788.0,4.64,,,
,,2014 - 2015,,,,,,,245.0,,4.65,,,
,,2015 - 2016,,,,,,,295.0,,4.65,,,
,,2016 - 2017,,,,,,,297.0,,3.58,,,
,,2017 - 2018,,,,,,,279.0,999.0,3.58,,,
,,2018 - 2019,,,,,,,279.0,,5.13,,,
,,2019 - 2020,,,,,,,282.0,,5.63,,,
,,2020 - 2021,,,,,,,230.0,,5.63,,,
,,2021 - 2022,,,,,,,216.0,,5.63,,,
,,2022 - 2023,,,,,,,188.0,,5.69,,,
,Sivasagar,2000 - 2001,,,,,,,92.0,224.0,2.43,,,
,,2001 - 2002,,,,,,,92.0,229.0,2.49,,,
,,2002 - 2003,,,,,,,98.0,241.0,2.46,,,
,,2003 - 2004,,,,,,,94.0,228.0,2.43,,,
,,2004 - 2005,,,,,,,97.0,239.0,2.46,,,
,,2005 - 2006,,,,,,,85.0,214.0,2.52,,,
,,2006 - 2007,,,,,,,80.0,202.0,2.53,,,
,,2007 - 2008,,,,,,,81.0,205.0,2.53,,,
,,2008 - 2009,,,,,,,72.0,184.0,2.56,,,
,,2009 - 2010,,,,,,,81.0,198.0,2.44,,,
,,2010 - 2011,,,,,,,60.0,140.0,2.33,,,
,,2011 - 2012,,,,,,,57.0,153.0,2.68,,,
,,2012 - 2013,,,,,,,55.0,153.0,2.78,,,
,,2013 - 2014,,,,,,,66.0,184.0,2.79,,,
,,2014 - 2015,,,,,,,90.0,251.0,2.79,,,
,,2015 - 2016,,,,,,,99.0,276.0,2.79,,,
,,2016 - 2017,,,,,,,97.0,353.0,3.64,,,
,,2017 - 2018,,,,,,,87.0,747.0,8.59,,,
,,2018 - 2019,,,,,,,79.0,314.0,3.97,,,
,,2019 - 2020,,,,,,,80.0,324.0,4.05,,,
,,2020 - 2021,,,,,,,49.0,198.0,4.04,,,
,,2021 - 2022,,,,,,,32.0,129.0,4.03,,,
,,2022 - 2023,,,,,,,27.0,114.0,4.22,,,
,Sonitpur,2000 - 2001,,,,,,,414.0,,3.52,,,
,,2001 - 2002,,,,,,,465.0,,3.5,,,
,,2002 - 2003,,,,,,,452.0,,3.5,,,
,,2003 - 2004,,,,,,,425.0,,3.55,,,
,,2004 - 2005,,,,,,,338.0,,3.64,,,
,,2005 - 2006,,,,,,,342.0,,4.71,,,
,,2006 - 2007,,,,,,,342.0,,4.73,,,
,,2007 - 2008,,,,,,,335.0,,4.35,,,
,,2008 - 2009,,,,,,,329.0,,4.61,,,
,,2009 - 2010,,,,,,,331.0,,4.57,,,
,,2010 - 2011,,,,,,,333.0,,3.23,,,
,,2011 - 2012,,,,,,,478.0,,4.64,,,
,,2012 - 2013,,,,,,,336.0,,4.75,,,
,,2013 - 2014,,,,,,,325.0,,4.75,,,
,,2014 - 2015,,,,,,,565.0,,4.76,,,
,,2015 - 2016,,,,,,,489.0,,10.46,,,
,,2016 - 2017,,,,,,,571.0,,10.51,,,
,,2017 - 2018,,,,,,,594.0,,10.05,,,
,,2018 - 2019,,,,,,,540.0,,11.38,,,
,,2019 - 2020,,,,,,,502.0,,12.38,,,
,,2020 - 2021,,,,,,,430.0,,12.38,,,
,,2021 - 2022,,,,,,,400.0,,12.38,,,
,,2022 - 2023,,,,,,,419.0,,12.38,,,
,South salmara mancachar,2020 - 2021,,,,,,,240.0,,18.1,,,
,,2021 - 2022,,,,,,,245.0,,18.1,,,
,,2022 - 2023,,,,,,,230.0,,18.08,,,
,Tinsukia,2000 - 2001,,,,,,,19.0,38.0,2.0,,,
,,2001 - 2002,,,,,,,24.0,51.0,2.13,,,
,,2002 - 2003,,,,,,,23.0,47.0,2.04,,,
,,2003 - 2004,,,,,,,22.0,45.0,2.05,,,
,,2004 - 2005,,,,,,,17.0,36.0,2.12,,,
,,2005 - 2006,,,,,,,16.0,34.0,2.13,,,
,,2006 - 2007,,,,,,,16.0,34.0,2.13,,,
,,2007 - 2008,,,,,,,28.0,58.0,2.07,,,
,,2008 - 2009,,,,,,,33.0,66.0,2.0,,,
,,2009 - 2010,,,,,,,39.0,79.0,2.03,,,
,,2010 - 2011,,,,,,,43.0,86.0,2.0,,,
,,2011 - 2012,,,,,,,41.0,222.0,5.41,,,
,,2012 - 2013,,,,,,,41.0,224.0,5.46,,,
,,2013 - 2014,,,,,,,50.0,273.0,5.46,,,
,,2014 - 2015,,,,,,,46.0,251.0,5.46,,,
,,2015 - 2016,,,,,,,67.0,367.0,5.48,,,
,,2016 - 2017,,,,,,,59.0,217.0,3.68,,,
,,2017 - 2018,,,,,,,57.0,365.0,6.4,,,
,,2018 - 2019,,,,,,,60.0,335.0,5.58,,,
,,2019 - 2020,,,,,,,61.0,400.0,6.56,,,
,,2020 - 2021,,,,,,,48.0,313.0,6.52,,,
,,2021 - 2022,,,,,,,58.0,325.0,5.6,,,
,,2022 - 2023,,,,,,,69.0,459.0,6.65,,,
,Udalguri,2005 - 2006,,,,,,,361.0,903.0,2.5,,,
,,2006 - 2007,,,,,,,460.0,,2.5,,,
,,2007 - 2008,,,,,,,305.0,762.0,2.5,,,
,,2008 - 2009,,,,,,,253.0,633.0,2.5,,,
,,2009 - 2010,,,,,,,240.0,600.0,2.5,,,
,,2010 - 2011,,,,,,,241.0,603.0,2.5,,,
,,2011 - 2012,,,,,,,245.0,678.0,2.77,,,
,,2012 - 2013,,,,,,,220.0,631.0,2.87,,,
,,2013 - 2014,,,,,,,209.0,600.0,2.87,,,
,,2014 - 2015,,,,,,,209.0,602.0,2.88,,,
,,2015 - 2016,,,,,,,346.0,998.0,2.88,,,
,,2016 - 2017,,,,,,,310.0,995.0,3.21,,,
,,2017 - 2018,,,,,,,288.0,926.0,3.22,,,
,,2018 - 2019,,,,,,,315.0,,3.35,,,
,,2019 - 2020,,,,,,,314.0,,3.8,,,
,,2020 - 2021,,,,,,,310.0,,3.8,,,
,,2021 - 2022,,,,,,,236.0,898.0,3.81,,,
,,2022 - 2023,,,,,,,261.0,,3.83,,,
,West karbi anglong,2020 - 2021,,,,,,,30.0,103.0,3.43,,,
,,2021 - 2022,,,,,,,32.0,110.0,3.44,,,
,,2022 - 2023,,,,,,,32.0,120.0,3.75,,,
Bihar,Araria,2000 - 2001,,,,,,,342.0,,7.93,,,
,,2001 - 2002,,,,,,,458.0,,8.28,,,
,,2002 - 2003,,,,,,,488.0,,8.48,,,
,,2003 - 2004,,,,,,,468.0,,7.5,,,
,,2004 - 2005,,,,,,,471.0,,7.96,,,
,,2005 - 2006,,,,,,,954.0,,8.92,,,
,,2007 - 2008,,,,,,,844.0,,10.11,,,
,,2008 - 2009,,,,,,,794.0,,10.25,,,
,,2016 - 2017,,,,294.0,,11.86,,,,,,
,,2017 - 2018,,,,262.0,,14.15,,,,,,
,,2018 - 2019,,,,231.0,,13.13,,,,,,
,,2019 - 2020,,,,146.0,,13.35,,,,,,
,,2020 - 2021,,,,135.0,,14.96,,,,,,
,,2021 - 2022,,,,135.0,,13.44,,,,,,
,,2022 - 2023,,,,352.0,,5.94,,,,,,
,Arwal,2003 - 2004,,,,,,,95.0,726.0,7.64,,,
,,2004 - 2005,,,,,,,120.0,869.0,7.24,,,
,,2005 - 2006,,,,,,,107.0,786.0,7.35,,,
,,2007 - 2008,,,,,,,120.0,,8.69,,,
,,2008 - 2009,,,,,,,106.0,729.0,6.88,,,
,,2016 - 2017,,,,242.0,,7.42,,,,,,
,,2017 - 2018,,,,86.0,,12.31,,,,,,
,,2018 - 2019,,,,89.0,564.0,6.34,,,,,,
,,2019 - 2020,,,,137.0,,7.55,,,,,,
,,2020 - 2021,,,,159.0,,10.62,,,,,,
,,2021 - 2022,,,,161.0,,15.11,,,,,,
,,2022 - 2023,,,,161.0,,15.32,,,,,,
,Aurangabad,2000 - 2001,,,,,,,366.0,,8.6,,,
,,2001 - 2002,,,,,,,279.0,,11.22,,,
,,2002 - 2003,,,,,,,226.0,,4.68,,,
,,2003 - 2004,,,,,,,434.0,,8.53,,,
,,2004 - 2005,,,,,,,246.0,,8.31,,,
