state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,,2012 - 2013,,,0.43,,,,,,,,,,,,
,,2013 - 2014,,,0.39,,,,,,,,,,,,
,,2014 - 2015,,,0.35,,,,,,,,,,,,
,,2015 - 2016,,,0.46,,,,,,,,,,,,
,,2016 - 2017,,,0.41,,,,,,,,,,,,
,,2017 - 2018,,,0.65,,,,,,,,,,,,
,,2018 - 2019,,,0.52,,,,,,,,,,,,
,,2019 - 2020,,,0.75,,,,,,,,,,,,
,,2020 - 2021,,,0.64,,,,,,,,,,,,
,,2021 - 2022,,775.0,0.58,,,,,,,,,,,,
,,2022 - 2023,830.0,376.0,0.45,,,,,,,,,,,,
,West godavari,2000 - 2001,245.0,52.0,0.21,8.0,4.0,0.5,,,,,,,,,
,,2001 - 2002,335.0,181.0,0.54,,,,,,,,,,,,
,,2002 - 2003,236.0,87.0,0.37,,,,,,,,,,,,
,,2003 - 2004,394.0,213.0,0.54,,,,,,,,,,,,
,,2004 - 2005,437.0,177.0,0.41,,,,,,,,,,,,
,,2005 - 2006,467.0,168.0,0.36,141.0,55.0,0.39,,,,,,,,,
,,2006 - 2007,376.0,190.0,0.51,91.0,39.0,0.43,,,,,,,,,
,,2008 - 2009,499.0,188.0,0.38,,,,,,,,,,,,
,,2009 - 2010,207.0,129.0,0.62,12.0,8.0,0.67,,,,,,,,,
,,2010 - 2011,267.0,110.0,0.41,17.0,8.0,0.47,,,,,,,,,
,,2011 - 2012,225.0,94.0,0.42,,,,,,,,,,,,
,,2013 - 2014,121.0,56.0,0.46,11.0,6.0,0.55,,,,,,,,,
,,2014 - 2015,35.0,14.0,0.4,,,,,,,,,,,,
,,2015 - 2016,117.0,65.0,0.56,,,,,,,,,,,,
,,2016 - 2017,50.0,28.0,0.56,,,,,,,,,,,,
,,2017 - 2018,35.0,25.0,0.71,,,,,,,,,,,,
,,2018 - 2019,50.0,32.0,0.64,,,,,,,,,,,,
,,2019 - 2020,42.0,28.0,0.67,,,,,,,,,,,,
,,2020 - 2021,10.0,7.0,0.7,1.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,16.0,9.0,0.56,1.0,0.27,0.27,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,
Bihar,Araria,2000 - 2001,,,,,,0.99,,,,,,,,,
,,2001 - 2002,,,,,,1.01,,,,,,,,,
,,2002 - 2003,,,,,,0.8,,,,,,,,,
,,2003 - 2004,,,,,,0.74,,,,,,,,,
,,2004 - 2005,,,,,,0.88,,,,,,,,,
,,2005 - 2006,,,,,,0.89,,,,,,,,,
,,2009 - 2010,,,,902.0,868.0,0.96,,,,,,,,,
,,2010 - 2011,,,,,,0.94,,,,,,,,,
,,2011 - 2012,,,,,,0.95,,,,,,,,,
,,2012 - 2013,,,,,,0.97,,,,,,,,,
,,2013 - 2014,,,,,,0.95,,,,,,,,,
,,2014 - 2015,,,,,,0.96,,,,,,,,,
,,2015 - 2016,,,,607.0,582.0,0.96,,,,,,,,,
,,2016 - 2017,,,,918.0,865.0,0.94,,,,,,,,,
,Arwal,2003 - 2004,,,,20.0,15.0,0.75,,,,,,,,,
,,2004 - 2005,,,,16.0,13.0,0.81,,,,,,,,,
,,2005 - 2006,,,,45.0,39.0,0.87,,,,,,,,,
,,2011 - 2012,,,,18.0,17.0,0.94,,,,,,,,,
,,2012 - 2013,,,,18.0,17.0,0.94,,,,,,,,,
,,2018 - 2019,,,,104.0,96.0,0.92,,,,,,,,,
,,2019 - 2020,,,,45.0,42.0,0.93,,,,,,,,,
,,2020 - 2021,,,,5.0,5.0,1.0,,,,,,,,,
,,2021 - 2022,,,,10.0,9.0,0.9,,,,,,,,,
,,2022 - 2023,,,,9.0,9.0,1.0,,,,,,,,,
,Aurangabad,2000 - 2001,,,,12.0,9.0,0.75,,,,,,,,,
,,2001 - 2002,,,,17.0,14.0,0.82,,,,,,,,,
,,2002 - 2003,,,,52.0,41.0,0.79,,,,,,,,,
,,2003 - 2004,,,,18.0,13.0,0.72,,,,,,,,,
,,2005 - 2006,,,,13.0,11.0,0.85,,,,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,,,,2.0,2.0,1.0,,,,,,,,,
,,2014 - 2015,,,,7.0,7.0,1.0,,,,,,,,,
,Banka,2000 - 2001,,,,,,0.77,,,,,,,,,
,,2001 - 2002,,,,,,0.8,,,,,,,,,
,,2002 - 2003,,,,,919.0,0.8,,,,,,,,,
,,2003 - 2004,,,,,862.0,0.74,,,,,,,,,
,,2004 - 2005,,,,,906.0,0.74,,,,,,,,,
,,2005 - 2006,,,,701.0,603.0,0.86,,,,,,,,,
,,2009 - 2010,,,,,,0.96,,,,,,,,,
,,2010 - 2011,,,,787.0,743.0,0.94,,,,,,,,,
,,2011 - 2012,,,,783.0,745.0,0.95,,,,,,,,,
,,2012 - 2013,,,,413.0,400.0,0.97,,,,,,,,,
,,2013 - 2014,,,,811.0,772.0,0.95,,,,,,,,,
,,2014 - 2015,,,,753.0,721.0,0.96,,,,,,,,,
,,2015 - 2016,,,,670.0,642.0,0.96,,,,,,,,,
,,2016 - 2017,,,,718.0,678.0,0.94,,,,,,,,,
,,2017 - 2018,,,,699.0,665.0,0.95,,,,,,,,,
,,2018 - 2019,,,,,982.0,0.92,,,,,,,,,
,,2019 - 2020,,,,,,0.94,,,,,,,,,
,,2020 - 2021,,,,234.0,219.0,0.94,,,,,,,,,
,,2021 - 2022,,,,216.0,201.0,0.93,,,,,,,,,
,,2022 - 2023,,,,195.0,180.0,0.92,,,,,,,,,
,Begusarai,2000 - 2001,,,,335.0,259.0,0.77,,,,,,,,,
,,2001 - 2002,,,,326.0,262.0,0.8,,,,,,,,,
,,2002 - 2003,,,,324.0,258.0,0.8,,,,,,,,,
,,2003 - 2004,,,,220.0,163.0,0.74,,,,,,,,,
,,2005 - 2006,,,,229.0,197.0,0.86,,,,,,,,,
,,2009 - 2010,,,,259.0,249.0,0.96,,,,,,,,,
,,2010 - 2011,,,,252.0,238.0,0.94,,,,,,,,,
,,2011 - 2012,,,,254.0,242.0,0.95,,,,,,,,,
,,2012 - 2013,,,,261.0,253.0,0.97,,,,,,,,,
,,2013 - 2014,,,,249.0,237.0,0.95,,,,,,,,,
,,2014 - 2015,,,,249.0,238.0,0.96,,,,,,,,,
,,2015 - 2016,,,,262.0,229.0,0.87,,,,,,,,,
,,2016 - 2017,,,,253.0,219.0,0.87,,,,,,,,,
,,2017 - 2018,,,,265.0,235.0,0.89,,,,,,,,,
,,2018 - 2019,,,,248.0,217.0,0.88,,,,,,,,,
,,2019 - 2020,,,,154.0,135.0,0.88,,,,,,,,,
,,2020 - 2021,,,,180.0,158.0,0.88,,,,,,,,,
,,2021 - 2022,,,,162.0,112.0,0.69,,,,,,,,,
,,2022 - 2023,,,,133.0,89.0,0.67,,,,,,,,,
,Bhagalpur,2000 - 2001,,,,858.0,663.0,0.77,,,,,,,,,
,,2001 - 2002,,,,698.0,560.0,0.8,,,,,,,,,
,,2002 - 2003,,,,743.0,591.0,0.8,,,,,,,,,
,,2003 - 2004,,,,,,0.74,,,,,,,,,
