state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2020 - 2021,18.0,11.0,0.61,,,,,,
,,2021 - 2022,15.0,9.0,0.6,,,,,,
,,2022 - 2023,8.0,5.0,0.63,,,,,,
,Dhubri,2000 - 2001,14.0,9.0,0.64,,,,,,
,,2001 - 2002,15.0,9.0,0.6,,,,,,
,,2002 - 2003,15.0,9.0,0.6,,,,,,
,,2003 - 2004,12.0,7.0,0.58,,,,,,
,,2004 - 2005,12.0,8.0,0.67,,,,,,
,,2005 - 2006,14.0,9.0,0.64,,,,,,
,,2006 - 2007,12.0,7.0,0.58,,,,,,
,,2007 - 2008,13.0,8.0,0.62,,,,,,
,,2008 - 2009,7.0,5.0,0.71,,,,,,
,,2009 - 2010,7.0,4.0,0.57,,,,,,
,,2010 - 2011,3.0,2.0,0.67,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,
,,2013 - 2014,3.0,3.0,1.0,,,,,,
,,2014 - 2015,3.0,3.0,1.0,,,,,,
,,2015 - 2016,2.0,1.0,0.5,,,,,,
,,2016 - 2017,12.0,10.0,0.83,,,,,,
,,2017 - 2018,6.0,5.0,0.83,,,,,,
,,2018 - 2019,6.0,4.0,0.67,,,,,,
,,2019 - 2020,5.0,3.0,0.6,,,,,,
,,2020 - 2021,4.0,3.0,0.75,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,
,Dibrugarh,2000 - 2001,29.0,9.0,0.31,,,,,,
,,2001 - 2002,32.0,11.0,0.34,,,,,,
,,2002 - 2003,23.0,8.0,0.35,,,,,,
,,2003 - 2004,19.0,6.0,0.32,,,,,,
,,2004 - 2005,8.0,3.0,0.38,,,,,,
,,2005 - 2006,13.0,4.0,0.31,,,,,,
,,2006 - 2007,3.0,1.0,0.33,,,,,,
,,2007 - 2008,3.0,1.0,0.33,,,,,,
,,2009 - 2010,3.0,1.0,0.33,,,,,,
,,2010 - 2011,7.0,2.0,0.29,,,,,,
,,2011 - 2012,4.0,2.0,0.5,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,
,,2015 - 2016,3.0,1.0,0.33,,,,,,
,,2016 - 2017,4.0,2.0,0.5,,,,,,
,,2017 - 2018,3.0,1.0,0.33,,,,,,
,Dima hasao,2000 - 2001,91.0,41.0,0.45,,,,,,
,,2001 - 2002,91.0,41.0,0.45,,,,,,
,,2002 - 2003,88.0,40.0,0.45,,,,,,
,,2003 - 2004,90.0,41.0,0.46,,,,,,
,,2004 - 2005,85.0,38.0,0.45,,,,,,
,,2005 - 2006,86.0,39.0,0.45,,,,,,
,,2006 - 2007,86.0,39.0,0.45,,,,,,
,,2007 - 2008,88.0,40.0,0.45,,,,,,
,,2008 - 2009,85.0,36.0,0.42,,,,,,
,,2009 - 2010,88.0,39.0,0.44,,,,,,
,,2010 - 2011,90.0,40.0,0.44,,,,,,
,,2011 - 2012,97.0,54.0,0.56,,,,,,
,,2012 - 2013,43.0,25.0,0.58,,,,,,
,,2013 - 2014,47.0,29.0,0.62,,,,,,
,,2014 - 2015,46.0,29.0,0.63,,,,,,
,,2015 - 2016,48.0,22.0,0.46,,,,,,
,,2016 - 2017,47.0,21.0,0.45,,,,,,
,,2017 - 2018,48.0,22.0,0.46,,,,,,
,,2018 - 2019,48.0,19.0,0.4,,,,,,
,,2019 - 2020,48.0,19.0,0.4,,,,,,
,,2020 - 2021,42.0,17.0,0.4,,,,,,
,,2021 - 2022,42.0,17.0,0.4,,,,,,
,,2022 - 2023,42.0,19.0,0.45,,,,,,
,Goalpara,2000 - 2001,50.0,18.0,0.36,,,,,,
,,2001 - 2002,44.0,16.0,0.36,,,,,,
,,2002 - 2003,32.0,12.0,0.38,,,,,,
,,2003 - 2004,41.0,15.0,0.37,,,,,,
,,2004 - 2005,23.0,8.0,0.35,,,,,,
,,2005 - 2006,25.0,9.0,0.36,,,,,,
,,2006 - 2007,25.0,9.0,0.36,,,,,,
,,2007 - 2008,22.0,8.0,0.36,,,,,,
,,2008 - 2009,25.0,9.0,0.36,,,,,,
,,2009 - 2010,20.0,7.0,0.35,,,,,,
,,2010 - 2011,20.0,7.0,0.35,,,,,,
,,2011 - 2012,21.0,10.0,0.48,,,,,,
,,2012 - 2013,26.0,12.0,0.46,,,,,,
,,2013 - 2014,28.0,39.0,1.39,,,,,,
,,2014 - 2015,28.0,14.0,0.5,,,,,,
,,2015 - 2016,14.0,6.0,0.43,,,,,,
,,2016 - 2017,12.0,5.0,0.42,,,,,,
,,2017 - 2018,21.0,10.0,0.48,,,,,,
,,2018 - 2019,22.0,10.0,0.45,,,,,,
,,2019 - 2020,21.0,10.0,0.48,,,,,,
,,2020 - 2021,21.0,10.0,0.48,,,,,,
,,2021 - 2022,21.0,7.0,0.33,,,,,,
