state,district,year,guar_seed_rabi_area_hectare,guar_seed_rabi_production_tonne,guar_seed_rabi_yield_tonne_per_hectare,guar_seed_kharif_area_hectare,guar_seed_kharif_production_tonne,guar_seed_kharif_yield_tonne_per_hectare,guar_seed_whole_year_area_hectare,guar_seed_whole_year_production_tonne,guar_seed_whole_year_yield_tonne_per_hectare
,,2021 - 2022,,,,,,,,,0.9
,Charki dadri,2017 - 2018,,,,,,0.82,,,
,,2018 - 2019,,,,,,0.89,,,
,,2019 - 2020,,,,,,0.9,,,
,,2020 - 2021,,,,,,,,,0.9
,,2021 - 2022,,,,,,,,,0.9
,Faridabad,2018 - 2019,,,,27.0,24.0,0.89,,,
,,2019 - 2020,,,,19.0,17.0,0.89,,,
,,2020 - 2021,,,,,,,19.0,17.0,0.89
,,2021 - 2022,,,,,,,20.0,18.0,0.9
,Fatehabad,2012 - 2013,,,,,,,,,0.65
,,2017 - 2018,,,,,,0.84,,,
,,2018 - 2019,,,,,,0.95,,,
,,2019 - 2020,,,,,,0.95,,,
,,2020 - 2021,,,,,,,,,0.95
,,2021 - 2022,,,,,,,,,0.95
,Gurgaon,2012 - 2013,,,,,,,,,0.65
,,2017 - 2018,,,,600.0,500.0,0.83,,,
,,2018 - 2019,,,,548.0,438.0,0.8,,,
,,2019 - 2020,,,,221.0,177.0,0.8,,,
,,2020 - 2021,,,,,,,221.0,177.0,0.8
,,2021 - 2022,,,,,,,107.0,85.0,0.79
,Hisar,2012 - 2013,,,,,,,,,0.7
,,2017 - 2018,,,,,,0.85,,,
,,2018 - 2019,,,,,,0.89,,,
,,2019 - 2020,,,,,,1.0,,,
,,2020 - 2021,,,,,,,,,1.0
,,2021 - 2022,,,,,,,,,1.0
,Jhajjar,2012 - 2013,,,,,,,,,0.7
,,2017 - 2018,,,,,,0.81,,,
,,2018 - 2019,,,,,,0.96,,,
,,2019 - 2020,,,,284.0,271.0,0.95,,,
,,2020 - 2021,,,,,,,261.0,249.0,0.95
,,2021 - 2022,,,,,,,332.0,317.0,0.95
,Jind,2012 - 2013,,,,,,,711.0,462.0,0.65
,,2017 - 2018,,,,300.0,200.0,0.67,,,
,,2018 - 2019,,,,140.0,98.0,0.7,,,
,,2019 - 2020,,,,212.0,148.0,0.7,,,
,,2020 - 2021,,,,,,,212.0,148.0,0.7
,,2021 - 2022,,,,,,,31.0,22.0,0.71
,Kaithal,2012 - 2013,,,,,,,44.0,26.0,0.59
,Karnal,2012 - 2013,,,,,,,130.0,78.0,0.6
,,2018 - 2019,,,,16.0,15.0,0.94,,,
,,2019 - 2020,,,,10.0,9.0,0.9,,,
,,2020 - 2021,,,,,,,10.0,9.0,0.9
,Mahendragarh,2012 - 2013,,,,,,,,,0.7
,,2017 - 2018,,,,,,0.83,,,
,,2018 - 2019,,,,,,0.87,,,
,,2019 - 2020,,,,,,0.87,,,
,,2020 - 2021,,,,,,,,,0.87
,,2021 - 2022,,,,,,,,,0.87
,Mewat,2012 - 2013,,,,,,,611.0,367.0,0.6
,,2017 - 2018,,,,100.0,100.0,1.0,,,
,,2018 - 2019,,,,65.0,54.0,0.83,,,
,,2019 - 2020,,,,9.0,7.0,0.78,,,
,,2020 - 2021,,,,,,,9.0,8.0,0.89
,,2021 - 2022,,,,,,,7.0,6.0,0.86
,Palwal,2017 - 2018,,,,100.0,,0.0,,,
,,2021 - 2022,,,,,,,5.0,0.0,0.0
,Panchkula,2012 - 2013,,,,,,,9.0,5.0,0.56
,,2019 - 2020,,,,2.0,2.0,1.0,,,
,,2020 - 2021,,,,,,,4.0,4.0,1.0
,,2021 - 2022,,,,,,,3.0,0.0,0.0
,Panipat,2012 - 2013,,,,,,,155.0,101.0,0.65
,,2019 - 2020,,,,1.0,1.0,1.0,,,
,,2020 - 2021,,,,,,,1.0,1.0,1.0
,,2021 - 2022,,,,,,,4.0,3.0,0.75
,Rewari,2012 - 2013,,,,,,,,,0.75
,,2017 - 2018,,,,,,0.81,,,
,,2018 - 2019,,,,,,0.88,,,
,,2019 - 2020,,,,425.0,375.0,0.88,,,
,,2020 - 2021,,,,,,,425.0,375.0,0.88
,,2021 - 2022,,,,,,,321.0,283.0,0.88
,Rohtak,2012 - 2013,,,,,,,,,0.6
,,2017 - 2018,,,,700.0,600.0,0.86,,,
,,2018 - 2019,,,,52.0,45.0,0.87,,,
,,2019 - 2020,,,,50.0,43.0,0.86,,,
,,2020 - 2021,,,,,,,50.0,43.0,0.86
,,2021 - 2022,,,,,,,46.0,40.0,0.87
,Sirsa,2012 - 2013,,,,,,,,,0.7
,,2017 - 2018,,,,,,0.84,,,
,,2018 - 2019,,,,,,0.82,,,
,,2019 - 2020,,,,,,0.8,,,
,,2020 - 2021,,,,,,,,,0.8
,,2021 - 2022,,,,,,,,,0.8
,Sonipat,2012 - 2013,,,,,,,523.0,261.0,0.5
,,2018 - 2019,,,,5.0,4.0,0.8,,,
,,2020 - 2021,,,,,,,14.0,11.0,0.79
,,2021 - 2022,,,,,,,18.0,17.0,0.94
Punjab,Amritsar,2021 - 2022,,,,,,1.03,,,
,Barnala,2008 - 2009,,,,100.0,100.0,1.0,,,
,,2013 - 2014,,,,400.0,500.0,1.25,,,
,,2014 - 2015,,,,100.0,100.0,1.0,,,
,,2015 - 2016,,,,200.0,330.0,1.65,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,
,Bathinda,2002 - 2003,,,,,,,,,0.85
,,2003 - 2004,,,,,,,,,0.81
,,2004 - 2005,,,,,,,,,0.75
,,2005 - 2006,,,,,,,,,0.77
,,2006 - 2007,,,,,,,,,0.76
,,2007 - 2008,,,,,,0.77,,,
,,2008 - 2009,,,,,,0.76,,,
,,2009 - 2010,,,,,,0.79,,,
,,2010 - 2011,,,,,,0.8,,,
,,2011 - 2012,,,,,,0.83,,,
,,2012 - 2013,,,,,,0.88,,,
,,2013 - 2014,,,,,,0.71,,,
,,2014 - 2015,,,,,,0.66,,,
,,2015 - 2016,,,,,,0.4,,,
,,2016 - 2017,,,,,,0.77,,,
,,2017 - 2018,,,,,,0.74,,,
,,2018 - 2019,,,,,,0.76,,,
,,2019 - 2020,,,,,,0.79,,,
,,2022 - 2023,,,,,,0.41,,,
,Faridkot,2002 - 2003,,,,,,,700.0,500.0,0.71
,,2003 - 2004,,,,,,,,800.0,0.73
,,2004 - 2005,,,,,,,600.0,400.0,0.67
,,2005 - 2006,,,,,,,400.0,300.0,0.75
,,2006 - 2007,,,,,,,100.0,100.0,1.0
,,2007 - 2008,,,,200.0,100.0,0.5,,,
,,2008 - 2009,,,,300.0,500.0,1.67,,,
,,2009 - 2010,,,,200.0,200.0,1.0,,,
,,2010 - 2011,,,,400.0,300.0,0.75,,,
,,2012 - 2013,,,,300.0,200.0,0.67,,,
,,2013 - 2014,,,,,,0.8,,,
,,2014 - 2015,,,,700.0,,1.71,,,
,,2015 - 2016,,,,,,1.7,,,
,,2016 - 2017,,,,300.0,500.0,1.67,,,
,,2017 - 2018,,,,100.0,200.0,2.0,,,
,,2018 - 2019,,,,100.0,200.0,2.0,,,
,,2021 - 2022,,,,100.0,100.0,1.0,,,
,Fatehgarh sahib,2021 - 2022,,,,,,1.0,,,
,Fazilka,2011 - 2012,,,,,,0.83,,,
