state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
,,2017 - 2018,4.0,2.0,0.5,,,,,,
,,2018 - 2019,6.0,3.0,0.5,,,,,,
,,2019 - 2020,8.0,4.0,0.5,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,
,,2021 - 2022,12.0,7.0,0.58,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Karbi anglong,2000 - 2001,91.0,39.0,0.43,,,,,,
,,2001 - 2002,103.0,44.0,0.43,,,,,,
,,2002 - 2003,100.0,43.0,0.43,,,,,,
,,2003 - 2004,127.0,54.0,0.43,,,,,,
,,2004 - 2005,125.0,52.0,0.42,,,,,,
,,2005 - 2006,125.0,53.0,0.42,,,,,,
,,2006 - 2007,113.0,48.0,0.42,,,,,,
,,2007 - 2008,113.0,48.0,0.42,,,,,,
,,2008 - 2009,114.0,49.0,0.43,,,,,,
,,2009 - 2010,111.0,48.0,0.43,,,,,,
,,2010 - 2011,62.0,26.0,0.42,,,,,,
,,2011 - 2012,62.0,30.0,0.48,,,,,,
,,2012 - 2013,77.0,37.0,0.48,,,,,,
,,2013 - 2014,68.0,28.0,0.41,,,,,,
,,2014 - 2015,69.0,39.0,0.57,,,,,,
,,2015 - 2016,70.0,29.0,0.41,,,,,,
,,2016 - 2017,72.0,30.0,0.42,,,,,,
,,2017 - 2018,64.0,27.0,0.42,,,,,,
,,2018 - 2019,66.0,30.0,0.45,,,,,,
,,2019 - 2020,70.0,31.0,0.44,,,,,,
,,2020 - 2021,54.0,24.0,0.44,,,,,,
,,2021 - 2022,44.0,20.0,0.45,,,,,,
,,2022 - 2023,59.0,26.0,0.44,,,,,,
,Karimganj,2000 - 2001,50.0,20.0,0.4,,,,,,
,,2001 - 2002,29.0,12.0,0.41,,,,,,
,,2002 - 2003,28.0,11.0,0.39,,,,,,
,,2003 - 2004,30.0,12.0,0.4,,,,,,
,,2004 - 2005,30.0,12.0,0.4,,,,,,
,,2005 - 2006,26.0,11.0,0.42,,,,,,
,,2006 - 2007,30.0,12.0,0.4,,,,,,
,,2007 - 2008,32.0,13.0,0.41,,,,,,
,,2008 - 2009,21.0,9.0,0.43,,,,,,
,,2009 - 2010,21.0,9.0,0.43,,,,,,
,,2010 - 2011,23.0,10.0,0.43,,,,,,
,,2011 - 2012,25.0,12.0,0.48,,,,,,
,,2012 - 2013,27.0,14.0,0.52,,,,,,
,,2013 - 2014,27.0,15.0,0.56,,,,,,
,,2014 - 2015,27.0,16.0,0.59,,,,,,
,,2015 - 2016,27.0,15.0,0.56,,,,,,
,,2016 - 2017,27.0,15.0,0.56,,,,,,
,,2017 - 2018,27.0,3.0,0.11,,,,,,
,,2018 - 2019,28.0,14.0,0.5,,,,,,
,,2019 - 2020,32.0,16.0,0.5,,,,,,
,,2020 - 2021,35.0,20.0,0.57,,,,,,
,,2021 - 2022,30.0,17.0,0.57,,,,,,
,,2022 - 2023,35.0,16.0,0.46,,,,,,
,Kokrajhar,2000 - 2001,325.0,162.0,0.5,,,,,,
,,2001 - 2002,390.0,193.0,0.49,,,,,,
,,2002 - 2003,430.0,213.0,0.5,,,,,,
,,2003 - 2004,450.0,224.0,0.5,,,,,,
,,2004 - 2005,419.0,207.0,0.49,,,,,,
,,2005 - 2006,566.0,280.0,0.49,,,,,,
,,2006 - 2007,554.0,275.0,0.5,,,,,,
,,2007 - 2008,460.0,228.0,0.5,,,,,,
,,2008 - 2009,395.0,169.0,0.43,,,,,,
,,2009 - 2010,435.0,204.0,0.47,,,,,,
,,2010 - 2011,526.0,281.0,0.53,,,,,,
,,2011 - 2012,471.0,254.0,0.54,,,,,,
,,2012 - 2013,470.0,269.0,0.57,,,,,,
,,2013 - 2014,473.0,283.0,0.6,,,,,,
,,2014 - 2015,483.0,327.0,0.68,,,,,,
,,2015 - 2016,454.0,259.0,0.57,,,,,,
,,2016 - 2017,386.0,226.0,0.59,,,,,,
,,2017 - 2018,366.0,214.0,0.58,,,,,,
,,2018 - 2019,340.0,194.0,0.57,,,,,,
,,2019 - 2020,329.0,192.0,0.58,,,,,,
,,2020 - 2021,390.0,229.0,0.59,,,,,,
,,2021 - 2022,431.0,258.0,0.6,,,,,,
,,2022 - 2023,255.0,202.0,0.79,,,,,,
,Lakhimpur,2000 - 2001,21.0,7.0,0.33,,,,,,
,,2001 - 2002,22.0,7.0,0.32,,,,,,
,,2002 - 2003,21.0,7.0,0.33,,,,,,
,,2003 - 2004,19.0,6.0,0.32,,,,,,
,,2004 - 2005,19.0,7.0,0.37,,,,,,
,,2005 - 2006,19.0,7.0,0.37,,,,,,
,,2006 - 2007,24.0,9.0,0.38,,,,,,
,,2007 - 2008,10.0,4.0,0.4,,,,,,
,,2008 - 2009,15.0,5.0,0.33,,,,,,
,,2009 - 2010,12.0,4.0,0.33,,,,,,
,,2010 - 2011,20.0,7.0,0.35,,,,,,
,,2011 - 2012,25.0,9.0,0.36,,,,,,
,,2012 - 2013,11.0,4.0,0.36,,,,,,
,,2013 - 2014,10.0,5.0,0.5,,,,,,
,,2014 - 2015,20.0,13.0,0.65,,,,,,
,,2015 - 2016,15.0,4.0,0.27,,,,,,
,,2017 - 2018,20.0,12.0,0.6,,,,,,
,,2018 - 2019,10.0,7.0,0.7,,,,,,
,,2019 - 2020,10.0,7.0,0.7,,,,,,
,,2020 - 2021,13.0,8.0,0.62,,,,,,
,,2021 - 2022,15.0,8.0,0.53,,,,,,
,Majuli,2020 - 2021,15.0,8.0,0.53,,,,,,
,,2021 - 2022,20.0,13.0,0.65,,,,,,
,,2022 - 2023,20.0,11.0,0.55,,,,,,
,Marigaon,2000 - 2001,250.0,119.0,0.48,,,,,,
,,2001 - 2002,200.0,94.0,0.47,,,,,,
,,2002 - 2003,200.0,94.0,0.47,,,,,,
,,2003 - 2004,205.0,96.0,0.47,,,,,,
,,2004 - 2005,200.0,94.0,0.47,,,,,,
,,2005 - 2006,540.0,254.0,0.47,,,,,,
,,2006 - 2007,589.0,277.0,0.47,,,,,,
,,2007 - 2008,573.0,269.0,0.47,,,,,,
,,2008 - 2009,554.0,284.0,0.51,,,,,,
,,2009 - 2010,428.0,207.0,0.48,,,,,,
