state,district,year,gram_rabi_area_hectare,gram_rabi_production_tonne,gram_rabi_yield_tonne_per_hectare,gram_kharif_area_hectare,gram_kharif_production_tonne,gram_kharif_yield_tonne_per_hectare,gram_winter_area_hectare,gram_winter_production_tonne,gram_winter_yield_tonne_per_hectare,gram_whole_year_area_hectare,gram_whole_year_production_tonne,gram_whole_year_yield_tonne_per_hectare
,,2014 - 2015,118.0,79.0,0.67,,,,,,,,,
,,2015 - 2016,131.0,64.0,0.49,,,,,,,,,
,,2016 - 2017,130.0,61.0,0.47,,,,,,,,,
,,2017 - 2018,126.0,93.0,0.74,,,,,,,,,
,,2018 - 2019,129.0,116.0,0.9,,,,,,,,,
,,2019 - 2020,110.0,53.0,0.48,,,,,,,,,
,,2020 - 2021,100.0,49.0,0.49,,,,,,,,,
,,2021 - 2022,87.0,41.0,0.47,,,,,,,,,
,,2022 - 2023,80.0,54.0,0.68,,,,,,,,,
,Darrang,2000 - 2001,179.0,116.0,0.65,,,,,,,,,
,,2001 - 2002,169.0,110.0,0.65,,,,,,,,,
,,2002 - 2003,186.0,121.0,0.65,,,,,,,,,
,,2003 - 2004,187.0,121.0,0.65,,,,,,,,,
,,2004 - 2005,155.0,101.0,0.65,,,,,,,,,
,,2005 - 2006,117.0,76.0,0.65,,,,,,,,,
,,2006 - 2007,45.0,29.0,0.64,,,,,,,,,
,,2007 - 2008,24.0,16.0,0.67,,,,,,,,,
,,2008 - 2009,42.0,27.0,0.64,,,,,,,,,
,,2009 - 2010,42.0,27.0,0.64,,,,,,,,,
,,2010 - 2011,47.0,31.0,0.66,,,,,,,,,
,,2011 - 2012,40.0,26.0,0.65,,,,,,,,,
,,2012 - 2013,11.0,8.0,0.73,,,,,,,,,
,,2013 - 2014,15.0,11.0,0.73,,,,,,,,,
,,2014 - 2015,17.0,15.0,0.88,,,,,,,,,
,,2015 - 2016,19.0,13.0,0.68,,,,,,,,,
,,2016 - 2017,47.0,32.0,0.68,,,,,,,,,
,,2017 - 2018,28.0,22.0,0.79,,,,,,,,,
,,2018 - 2019,36.0,29.0,0.81,,,,,,,,,
,,2019 - 2020,33.0,26.0,0.79,,,,,,,,,
,,2020 - 2021,31.0,21.0,0.68,,,,,,,,,
,,2021 - 2022,32.0,24.0,0.75,,,,,,,,,
,,2022 - 2023,34.0,23.0,0.68,,,,,,,,,
,Dhemaji,2000 - 2001,21.0,9.0,0.43,,,,,,,,,
,,2001 - 2002,8.0,3.0,0.38,,,,,,,,,
,,2002 - 2003,7.0,3.0,0.43,,,,,,,,,
,,2003 - 2004,7.0,3.0,0.43,,,,,,,,,
,,2004 - 2005,8.0,3.0,0.38,,,,,,,,,
,,2005 - 2006,9.0,4.0,0.44,,,,,,,,,
,,2006 - 2007,8.0,4.0,0.5,,,,,,,,,
,,2007 - 2008,7.0,4.0,0.57,,,,,,,,,
,,2008 - 2009,7.0,4.0,0.57,,,,,,,,,
,,2009 - 2010,7.0,4.0,0.57,,,,,,,,,
,,2010 - 2011,6.0,2.0,0.33,,,,,,,,,
,,2011 - 2012,6.0,4.0,0.67,,,,,,,,,
,,2012 - 2013,9.0,6.0,0.67,,,,,,,,,
,,2013 - 2014,6.0,4.0,0.67,,,,,,,,,
,,2014 - 2015,5.0,4.0,0.8,,,,,,,,,
,,2015 - 2016,5.0,4.0,0.8,,,,,,,,,
,,2016 - 2017,5.0,4.0,0.8,,,,,,,,,
,,2017 - 2018,4.0,3.0,0.75,,,,,,,,,
,,2018 - 2019,5.0,3.0,0.6,,,,,,,,,
,,2019 - 2020,4.0,2.0,0.5,,,,,,,,,
,,2020 - 2021,4.0,2.0,0.5,,,,,,,,,
,,2021 - 2022,4.0,2.0,0.5,,,,,,,,,
,Dhubri,2000 - 2001,370.0,242.0,0.65,,,,,,,,,
,,2001 - 2002,338.0,222.0,0.66,,,,,,,,,
,,2002 - 2003,313.0,205.0,0.65,,,,,,,,,
,,2003 - 2004,310.0,203.0,0.65,,,,,,,,,
,,2004 - 2005,293.0,192.0,0.66,,,,,,,,,
,,2005 - 2006,260.0,170.0,0.65,,,,,,,,,
,,2006 - 2007,242.0,159.0,0.66,,,,,,,,,
,,2007 - 2008,243.0,159.0,0.65,,,,,,,,,
,,2008 - 2009,255.0,167.0,0.65,,,,,,,,,
,,2009 - 2010,224.0,146.0,0.65,,,,,,,,,
,,2010 - 2011,165.0,108.0,0.65,,,,,,,,,
,,2011 - 2012,155.0,102.0,0.66,,,,,,,,,
,,2012 - 2013,165.0,117.0,0.71,,,,,,,,,
,,2013 - 2014,167.0,122.0,0.73,,,,,,,,,
,,2014 - 2015,163.0,486.0,2.98,,,,,,,,,
,,2015 - 2016,200.0,243.0,1.22,,,,,,,,,
,,2016 - 2017,183.0,133.0,0.73,,,,,,,,,
,,2017 - 2018,182.0,138.0,0.76,,,,,,,,,
,,2018 - 2019,190.0,155.0,0.82,,,,,,,,,
,,2019 - 2020,189.0,154.0,0.81,,,,,,,,,
,,2020 - 2021,67.0,51.0,0.76,,,,,,,,,
,,2021 - 2022,67.0,51.0,0.76,,,,,,,,,
,,2022 - 2023,209.0,161.0,0.77,,,,,,,,,
,Dibrugarh,2000 - 2001,172.0,81.0,0.47,,,,,,,,,
,,2001 - 2002,170.0,80.0,0.47,,,,,,,,,
