state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2021 - 2022,23.0,96.0,4.17,,,,,,,,,
,,2022 - 2023,27.0,113.0,4.19,,,,,,,,,
,Lohit,2000 - 2001,85.0,221.0,2.6,,,,,,,,,
,,2001 - 2002,90.0,225.0,2.5,,,,,,,,,
,,2002 - 2003,89.0,223.0,2.51,,,,,,,,,
,,2003 - 2004,94.0,235.0,2.5,,,,,,,,,
,,2004 - 2005,60.0,420.0,7.0,,,,,,,,,
,,2005 - 2006,42.0,165.0,3.93,,,,,,,,,
,,2006 - 2007,110.0,330.0,3.0,,,,,,,,,
,,2007 - 2008,110.0,387.0,3.52,,,,,,,,,
,,2008 - 2009,116.0,394.0,3.4,,,,,,,,,
,,2009 - 2010,118.0,389.0,3.3,,,,,,,,,
,,2010 - 2011,120.0,600.0,5.0,,,,,,,,,
,,2011 - 2012,123.0,618.0,5.02,,,,,,,,,
,,2012 - 2013,125.0,694.0,5.55,,,,,,,,,
,,2013 - 2014,120.0,688.0,5.73,,,,,,,,,
,,2014 - 2015,129.0,742.0,5.75,,,,,,,,,
,,2015 - 2016,59.0,327.0,5.54,,,,,,,,,
,,2016 - 2017,59.0,300.0,5.08,,,,,,,,,
,,2017 - 2018,60.0,302.0,5.03,,,,,,,,,
,,2018 - 2019,60.0,302.0,5.03,,,,,,,,,
,,2019 - 2020,61.0,304.0,4.98,,,,,,,,,
,,2020 - 2021,61.0,306.0,5.02,,,,,,,,,
,,2021 - 2022,72.0,359.0,4.99,,,,,,,,,
,,2022 - 2023,78.0,389.0,4.99,,,,,,,,,
,Lower dibang valley,2002 - 2003,57.0,357.0,6.26,,,,,,,,,
,,2003 - 2004,58.0,360.0,6.21,,,,,,,,,
,,2004 - 2005,75.0,389.0,5.19,,,,,,,,,
,,2005 - 2006,65.0,445.0,6.85,,,,,,,,,
,,2006 - 2007,80.0,560.0,7.0,,,,,,,,,
,,2007 - 2008,88.0,616.0,7.0,,,,,,,,,
