state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2012 - 2013,,,2.0,,,,,,,,,,,,
,,2013 - 2014,280.0,489.0,1.75,,,,,,,,,,,,
,,2014 - 2015,125.0,186.0,1.49,5.0,23.0,4.6,,,,,,,,,
,,2015 - 2016,46.0,51.0,1.11,1.0,4.0,4.0,,,,,,,,,
,,2016 - 2017,50.0,72.0,1.44,,,,,,,,,,,,
,,2017 - 2018,54.0,55.0,1.02,7.0,30.0,4.29,,,,,,,,,
,,2018 - 2019,6.0,1.0,0.17,,,,,,,,,,,,
,,2020 - 2021,15.0,21.0,1.4,23.0,121.0,5.26,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,,,,,,,
,West godavari,2000 - 2001,327.0,121.0,0.37,21.0,18.0,0.86,,,,,,,,,
,,2001 - 2002,324.0,185.0,0.57,,840.0,0.74,,,,,,,,,
,,2002 - 2003,479.0,160.0,0.33,,,0.8,,,,,,,,,
,,2003 - 2004,430.0,,2.96,,,1.88,,,,,,,,,
,,2004 - 2005,380.0,203.0,0.53,66.0,124.0,1.88,,,,,,,,,
,,2005 - 2006,342.0,190.0,0.56,156.0,455.0,2.92,,,,,,,,,
,,2006 - 2007,174.0,129.0,0.74,212.0,457.0,2.16,,,,,,,,,
,,2008 - 2009,,,,75.0,354.0,4.72,,,,,,,,,
,,2009 - 2010,30.0,35.0,1.17,542.0,,3.49,,,,,,,,,
,,2010 - 2011,50.0,72.0,1.44,,,,,,,,,,,,
,,2011 - 2012,66.0,142.0,2.15,78.0,363.0,4.65,,,,,,,,,
,,2013 - 2014,13.0,23.0,1.77,239.0,,4.61,,,,,,,,,
,,2014 - 2015,56.0,83.0,1.48,123.0,556.0,4.52,,,,,,,,,
,,2015 - 2016,55.0,61.0,1.11,8.0,13.0,1.63,,,,,,,,,
,,2016 - 2017,35.0,50.0,1.43,4.0,14.0,3.5,,,,,,,,,
,,2017 - 2018,16.0,16.0,1.0,60.0,255.0,4.25,,,,,,,,,
,,2018 - 2019,,,,2.0,5.0,2.5,,,,,,,,,
,,2020 - 2021,13.0,18.0,1.38,101.0,531.0,5.26,,,,,,,,,
,,2021 - 2022,17.0,18.0,1.06,25.0,126.0,5.04,,,,,,,,,
Bihar,Araria,2001 - 2002,,,0.74,,,,,,,,,,,,
,,2002 - 2003,,,1.01,,,,,,,,,,,,
,,2003 - 2004,23.0,23.0,1.0,,,,,,,,,,,,
,,2004 - 2005,,,1.01,,,,,,,,,,,,
