state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2006 - 2007,1.57
,,2007 - 2008,1.51
,,2008 - 2009,1.51
,,2009 - 2010,1.51
,,2010 - 2011,1.51
,,2011 - 2012,2.0
,,2012 - 2013,2.39
,,2013 - 2014,1.71
,,2014 - 2015,1.64
,,2015 - 2016,1.87
,,2016 - 2017,1.95
,,2017 - 2018,1.99
,,2018 - 2019,1.81
,,2019 - 2020,1.78
,,2020 - 2021,4.46
,,2021 - 2022,5.0
,,2022 - 2023,5.0
,Dungarpur,2004 - 2005,1.0
,Ganganagar,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,7.0
,,2005 - 2006,10.0
,,2006 - 2007,8.0
,,2007 - 2008,8.0
,,2008 - 2009,8.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2013 - 2014,3.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,3.86
,,2017 - 2018,0.44
,,2018 - 2019,1.02
,,2019 - 2020,0.69
,,2020 - 2021,3.97
,,2021 - 2022,1.61
,,2022 - 2023,2.51
,Hanumangarh,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2005 - 2006,1.0
,,2006 - 2007,0.93
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2013 - 2014,11.38
,,2014 - 2015,11.23
,,2015 - 2016,1.51
,,2016 - 2017,11.36
,,2017 - 2018,11.42
,,2018 - 2019,13.79
,,2019 - 2020,14.0
,,2020 - 2021,10.64
,,2021 - 2022,13.19
,,2022 - 2023,15.61
,Jaipur,2000 - 2001,2.43
,,2001 - 2002,2.35
,,2002 - 2003,2.48
,,2003 - 2004,2.14
,,2005 - 2006,2.09
,,2006 - 2007,2.22
,,2013 - 2014,1.33
,,2014 - 2015,2.14
,,2015 - 2016,1.78
,,2016 - 2017,2.12
,,2017 - 2018,1.83
,,2018 - 2019,1.39
,,2019 - 2020,1.82
,,2020 - 2021,1.85
,,2021 - 2022,1.49
,,2022 - 2023,1.19
,Jaisalmer,2007 - 2008,0.33
,,2009 - 2010,0.56
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,2.0
,,2020 - 2021,2.0
,Jalore,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2013 - 2014,3.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,2.0
,,2019 - 2020,0.0
,,2020 - 2021,2.5
,,2021 - 2022,1.29
,,2022 - 2023,1.31
,Jhalawar,2000 - 2001,1.74
,,2001 - 2002,2.26
,,2002 - 2003,1.47
,,2003 - 2004,2.45
,,2004 - 2005,0.99
,,2005 - 2006,1.53
,,2006 - 2007,4.89
,,2007 - 2008,0.29
,,2008 - 2009,0.42
,,2009 - 2010,2.0
,,2010 - 2011,0.67
,,2011 - 2012,1.5
,,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,2.07
,,2015 - 2016,3.54
,,2016 - 2017,3.0
,,2017 - 2018,1.35
,,2018 - 2019,1.67
,,2019 - 2020,0.47
,,2020 - 2021,3.24
,,2021 - 2022,2.39
,,2022 - 2023,2.93
,Jhunjhunu,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,0.0
,,2007 - 2008,1.31
,,2008 - 2009,2.0
,,2011 - 2012,1.98
,,2013 - 2014,1.99
,,2014 - 2015,1.99
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.7
,,2020 - 2021,0.58
,,2021 - 2022,0.4
,,2022 - 2023,4.74
,Jodhpur,2000 - 2001,0.8
,,2001 - 2002,1.87
,,2002 - 2003,1.74
,,2003 - 2004,0.8
,,2006 - 2007,12.0
,,2015 - 2016,1.0
,,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,0.0
,,2020 - 2021,4.0
,,2021 - 2022,6.25
,Karauli,2000 - 2001,1.2
,,2001 - 2002,1.31
,,2002 - 2003,1.67
,,2003 - 2004,1.08
,,2005 - 2006,1.2
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,1.5
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,3.2
,,2016 - 2017,3.11
,,2017 - 2018,2.86
,,2018 - 2019,2.78
,,2019 - 2020,1.92
,,2020 - 2021,1.45
,,2021 - 2022,1.33
,,2022 - 2023,6.67
,Kota,2000 - 2001,1.92
,,2001 - 2002,2.54
,,2002 - 2003,2.09
,,2003 - 2004,2.32
,,2005 - 2006,1.5
,,2006 - 2007,1.49
,,2007 - 2008,1.51
,,2008 - 2009,1.61
,,2009 - 2010,1.61
,,2010 - 2011,1.6
,,2011 - 2012,1.4
,,2012 - 2013,1.5
,,2013 - 2014,1.5
,,2014 - 2015,2.43
,,2015 - 2016,4.0
,,2016 - 2017,2.51
,,2017 - 2018,1.15
,,2018 - 2019,2.0
,,2019 - 2020,2.47
,,2020 - 2021,2.92
,,2021 - 2022,2.84
,,2022 - 2023,2.96
,Nagaur,2000 - 2001,1.12
,,2001 - 2002,1.03
,,2002 - 2003,1.06
,,2003 - 2004,1.73
,,2005 - 2006,1.68
,,2006 - 2007,1.84
,,2007 - 2008,1.26
,,2008 - 2009,1.87
,,2009 - 2010,1.86
,,2010 - 2011,1.25
,,2011 - 2012,1.86
,,2012 - 2013,2.0
,,2013 - 2014,1.54
,,2014 - 2015,2.34
,,2015 - 2016,2.32
,,2016 - 2017,5.79
,,2017 - 2018,5.7
,,2018 - 2019,1.9
,,2019 - 2020,1.79
,,2020 - 2021,4.41
,,2021 - 2022,4.11
,,2022 - 2023,3.98
,Pali,2000 - 2001,1.26
,,2001 - 2002,1.11
,,2002 - 2003,0.96
,,2003 - 2004,1.0
,,2005 - 2006,0.86
,,2006 - 2007,1.21
,,2013 - 2014,1.86
,,2014 - 2015,1.0
,,2017 - 2018,1.91
,,2018 - 2019,1.33
,,2019 - 2020,1.93
,,2020 - 2021,1.3
,,2021 - 2022,1.13
,,2022 - 2023,1.38
,Pratapgarh,2009 - 2010,1.52
,,2010 - 2011,5.13
,,2012 - 2013,1.0
,,2013 - 2014,1.83
,,2014 - 2015,2.51
,,2015 - 2016,1.0
,,2016 - 2017,1.27
,,2017 - 2018,2.0
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.21
,,2021 - 2022,1.38
,,2022 - 2023,1.2
,Rajsamand,2000 - 2001,1.0
,,2001 - 2002,1.3
,,2002 - 2003,2.0
,,2003 - 2004,0.0
,,2005 - 2006,2.0
,,2006 - 2007,0.5
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Sawai madhopur,2000 - 2001,0.91
,,2001 - 2002,1.02
,,2002 - 2003,1.11
,,2003 - 2004,1.43
,,2005 - 2006,1.0
,,2006 - 2007,1.75
,,2007 - 2008,0.51
,,2008 - 2009,1.0
,,2009 - 2010,0.72
,,2010 - 2011,0.96
,,2011 - 2012,1.0
,,2012 - 2013,0.95
,,2013 - 2014,0.5
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,2.05
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,7.52
,,2022 - 2023,1.34
,Sikar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.5
,,2013 - 2014,8.43
,,2014 - 2015,8.31
,,2015 - 2016,8.0
,,2016 - 2017,8.07
,,2017 - 2018,8.24
,,2018 - 2019,8.03
,,2019 - 2020,8.05
,,2020 - 2021,8.06
,,2021 - 2022,12.54
,,2022 - 2023,1.38
,Sirohi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.51
,,2006 - 2007,1.0
,,2013 - 2014,9.4
,,2014 - 2015,2.65
,,2015 - 2016,10.0
,,2016 - 2017,10.0
,,2017 - 2018,10.0
,,2018 - 2019,7.6
,,2019 - 2020,10.0
,,2020 - 2021,9.37
,,2021 - 2022,10.0
,,2022 - 2023,10.0
,Tonk,2000 - 2001,3.87
,,2001 - 2002,3.27
,,2002 - 2003,3.52
,,2003 - 2004,3.73
,,2004 - 2005,0.97
,,2005 - 2006,3.77
,,2006 - 2007,1.0
,,2007 - 2008,0.79
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,2.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.94
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Udaipur,2000 - 2001,2.0
,,2001 - 2002,2.96
,,2002 - 2003,2.5
,,2003 - 2004,1.7
,,2004 - 2005,1.56
,,2005 - 2006,3.54
,,2007 - 2008,1.0
,,2008 - 2009,4.0
,,2012 - 2013,1.0
,,2013 - 2014,1.75
,,2014 - 2015,2.09
,,2015 - 2016,2.87
,,2016 - 2017,2.04
,,2017 - 2018,2.74
,,2018 - 2019,1.66
,,2019 - 2020,2.28
,,2020 - 2021,2.33
,,2021 - 2022,2.94
,,2022 - 2023,2.11
Tripura,Dhalai,2004 - 2005,0.61
,,2005 - 2006,0.32
,,2006 - 2007,0.82
,,2007 - 2008,0.73
,,2008 - 2009,1.31
,,2009 - 2010,0.81
,,2010 - 2011,0.84
,,2011 - 2012,0.82
,,2012 - 2013,0.81
,,2013 - 2014,1.03
,,2014 - 2015,0.99
,,2015 - 2016,0.95
,,2016 - 2017,0.97
,,2017 - 2018,0.98
,,2018 - 2019,0.99
,,2019 - 2020,1.02
,,2020 - 2021,0.96
,,2021 - 2022,0.99
,,2022 - 2023,1.05
,Gomati,2012 - 2013,0.92
,,2013 - 2014,0.88
,,2014 - 2015,0.93
,,2015 - 2016,0.91
,,2016 - 2017,0.94
,,2017 - 2018,1.04
,,2018 - 2019,0.89
,,2019 - 2020,0.91
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.92
,Khowai,2012 - 2013,0.67
,,2013 - 2014,0.86
,,2014 - 2015,0.8
,,2015 - 2016,0.83
,,2016 - 2017,0.83
,,2017 - 2018,0.84
,,2018 - 2019,0.88
,,2019 - 2020,0.95
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,1.03
,North tripura,2004 - 2005,0.69
,,2005 - 2006,0.61
,,2006 - 2007,0.67
,,2007 - 2008,0.58
,,2008 - 2009,0.68
,,2009 - 2010,0.7
,,2010 - 2011,0.72
,,2011 - 2012,0.74
,,2012 - 2013,0.75
,,2013 - 2014,0.84
,,2014 - 2015,0.81
,,2015 - 2016,0.83
,,2016 - 2017,0.86
,,2017 - 2018,0.85
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.8
,,2021 - 2022,0.78
,,2022 - 2023,0.84
,Sepahijala,2012 - 2013,0.73
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,0.81
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.88
,,2021 - 2022,0.84
,,2022 - 2023,0.97
,South tripura,2004 - 2005,0.81
,,2005 - 2006,0.96
,,2006 - 2007,0.89
,,2007 - 2008,0.82
,,2008 - 2009,0.84
,,2009 - 2010,0.79
,,2010 - 2011,0.8
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2013 - 2014,0.89
,,2014 - 2015,0.86
,,2015 - 2016,0.89
,,2016 - 2017,0.92
,,2017 - 2018,0.91
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,0.91
,,2021 - 2022,0.9
,,2022 - 2023,0.97
,Unakoti,2012 - 2013,0.68
,,2013 - 2014,0.77
,,2014 - 2015,0.77
,,2015 - 2016,0.81
,,2016 - 2017,0.79
,,2017 - 2018,0.78
,,2018 - 2019,0.65
,,2019 - 2020,0.64
,,2020 - 2021,0.68
,,2021 - 2022,0.67
,,2022 - 2023,0.78
,West tripura,2004 - 2005,0.64
,,2005 - 2006,0.49
,,2006 - 2007,0.58
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.66
,,2010 - 2011,0.7
,,2011 - 2012,0.75
,,2012 - 2013,0.68
,,2013 - 2014,0.76
,,2014 - 2015,0.75
,,2015 - 2016,0.82
,,2016 - 2017,0.79
,,2017 - 2018,0.77
,,2018 - 2019,0.8
,,2019 - 2020,0.81
,,2020 - 2021,0.83
,,2021 - 2022,0.81
,,2022 - 2023,0.94
Uttar Pradesh,Agra,2000 - 2001,1.91
,,2001 - 2002,1.78
,,2002 - 2003,1.67
,,2003 - 2004,2.03
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,2.38
,,2011 - 2012,1.66
,,2012 - 2013,2.07
,,2013 - 2014,2.19
,,2014 - 2015,0.45
,,2015 - 2016,0.99
,,2016 - 2017,2.81
,,2017 - 2018,2.33
,,2018 - 2019,1.63
,,2019 - 2020,2.77
,,2020 - 2021,3.23
,,2021 - 2022,3.24
,,2022 - 2023,1.55
,Aligarh,2000 - 2001,1.91
,,2001 - 2002,1.78
,,2002 - 2003,1.67
,,2003 - 2004,2.03
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.17
,,2011 - 2012,1.43
,,2012 - 2013,1.5
,,2013 - 2014,0.99
,,2014 - 2015,1.3
,,2015 - 2016,0.99
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.65
,,2020 - 2021,1.55
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Allahabad,2000 - 2001,1.1
,,2001 - 2002,1.04
,,2003 - 2004,0.86
,,2008 - 2009,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.9
,,2011 - 2012,1.13
,,2012 - 2013,1.16
,,2013 - 2014,1.06
,,2014 - 2015,0.66
,,2015 - 2016,0.48
,,2016 - 2017,1.56
,,2017 - 2018,0.71
,,2018 - 2019,1.44
,,2019 - 2020,1.13
,,2020 - 2021,1.23
,,2021 - 2022,1.43
,,2022 - 2023,1.52
,Ambedkar nagar,2000 - 2001,1.01
,,2001 - 2002,0.73
,,2002 - 2003,0.64
,,2003 - 2004,1.12
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.19
,,2011 - 2012,1.08
,,2012 - 2013,0.87
,,2013 - 2014,0.25
,,2014 - 2015,0.65
,,2015 - 2016,0.99
,,2016 - 2017,0.61
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.65
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Amethi,2010 - 2011,1.19
,,2011 - 2012,1.08
,,2012 - 2013,0.87
,,2013 - 2014,0.25
,,2014 - 2015,0.65
,,2015 - 2016,1.0
,,2016 - 2017,0.61
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.64
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Amroha,2000 - 2001,1.03
,,2001 - 2002,1.21
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.16
,,2011 - 2012,1.65
,,2012 - 2013,1.29
,,2013 - 2014,1.0
,,2014 - 2015,0.96
,,2015 - 2016,0.89
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,1.02
,,2019 - 2020,1.22
,,2020 - 2021,1.1
,,2021 - 2022,4.62
,,2022 - 2023,1.55
,Auraiya,2000 - 2001,1.77
,,2001 - 2002,1.81
,,2002 - 2003,1.55
,,2003 - 2004,1.85
,,2008 - 2009,1.69
,,2009 - 2010,1.39
,,2010 - 2011,1.46
,,2011 - 2012,1.54
,,2012 - 2013,1.61
,,2013 - 2014,1.75
,,2014 - 2015,0.56
,,2015 - 2016,1.33
,,2016 - 2017,1.58
,,2017 - 2018,1.65
,,2018 - 2019,1.5
,,2019 - 2020,0.96
,,2020 - 2021,1.29
,,2021 - 2022,1.62
,,2022 - 2023,1.55
,Azamgarh,2000 - 2001,1.39
,,2001 - 2002,1.07
,,2002 - 2003,0.99
,,2003 - 2004,1.2
,,2008 - 2009,1.26
,,2009 - 2010,1.21
,,2010 - 2011,1.27
,,2011 - 2012,1.36
,,2012 - 2013,1.48
,,2013 - 2014,0.57
,,2014 - 2015,1.43
,,2015 - 2016,0.91
,,2016 - 2017,1.46
,,2017 - 2018,1.02
,,2018 - 2019,1.29
,,2019 - 2020,1.4
,,2020 - 2021,1.17
,,2021 - 2022,1.82
,,2022 - 2023,1.51
,Baghpat,2000 - 2001,1.03
,,2001 - 2002,1.21
,,2002 - 2003,1.24
,,2003 - 2004,1.38
,,2010 - 2011,1.17
,,2011 - 2012,1.43
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2014 - 2015,0.79
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.6
,,2019 - 2020,1.6
,,2020 - 2021,1.54
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Bahraich,2000 - 2001,0.99
,,2001 - 2002,1.07
,,2002 - 2003,0.74
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.16
,,2011 - 2012,1.43
,,2012 - 2013,1.49
,,2013 - 2014,0.99
,,2014 - 2015,0.76
,,2015 - 2016,0.99
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.65
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Ballia,2000 - 2001,1.39
,,2001 - 2002,0.98
,,2002 - 2003,0.99
,,2003 - 2004,1.2
,,2008 - 2009,1.26
,,2009 - 2010,1.21
,,2010 - 2011,1.27
,,2011 - 2012,1.36
,,2012 - 2013,1.48
,,2013 - 2014,0.57
,,2014 - 2015,0.72
,,2015 - 2016,0.91
,,2016 - 2017,1.46
,,2017 - 2018,1.7
,,2018 - 2019,2.14
,,2019 - 2020,2.02
,,2020 - 2021,2.2
,,2021 - 2022,1.42
,,2022 - 2023,1.48
,Balrampur,2000 - 2001,0.99
,,2001 - 2002,1.07
,,2002 - 2003,0.74
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.17
,,2011 - 2012,1.43
,,2012 - 2013,1.49
,,2013 - 2014,0.99
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.64
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Banda,2000 - 2001,0.6
,,2001 - 2002,1.06
,,2002 - 2003,0.89
,,2003 - 2004,1.05
,,2008 - 2009,1.4
,,2009 - 2010,0.9
,,2010 - 2011,0.61
,,2011 - 2012,0.98
,,2012 - 2013,1.01
,,2013 - 2014,0.55
,,2014 - 2015,0.66
,,2015 - 2016,0.52
,,2016 - 2017,1.11
,,2017 - 2018,0.96
,,2018 - 2019,1.27
,,2019 - 2020,1.43
,,2020 - 2021,1.42
,,2021 - 2022,1.08
,,2022 - 2023,1.39
,Barabanki,2000 - 2001,1.01
,,2001 - 2002,0.85
,,2002 - 2003,0.79
,,2003 - 2004,0.97
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.19
,,2011 - 2012,1.08
,,2012 - 2013,0.87
,,2013 - 2014,0.25
,,2014 - 2015,0.65
,,2015 - 2016,0.99
,,2016 - 2017,0.61
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.64
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.45
,Bareilly,2000 - 2001,1.85
,,2001 - 2002,1.61
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,2.16
,,2011 - 2012,1.74
,,2012 - 2013,2.12
,,2013 - 2014,2.16
,,2014 - 2015,0.98
,,2015 - 2016,0.99
,,2016 - 2017,1.38
,,2017 - 2018,2.36
,,2018 - 2019,2.75
,,2019 - 2020,1.77
,,2020 - 2021,3.02
,,2021 - 2022,1.64
,,2022 - 2023,0.96
,Basti,2000 - 2001,1.12
,,2001 - 2002,0.8
,,2002 - 2003,0.88
,,2003 - 2004,0.71
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.17
,,2011 - 2012,1.43
,,2012 - 2013,1.49
,,2013 - 2014,0.99
,,2014 - 2015,0.75
,,2015 - 2016,0.99
,,2016 - 2017,1.11
,,2017 - 2018,1.37
,,2018 - 2019,0.79
,,2019 - 2020,0.89
,,2020 - 2021,1.02
,,2021 - 2022,1.01
,,2022 - 2023,1.12
,Bijnor,2000 - 2001,1.03
,,2001 - 2002,1.21
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.16
,,2011 - 2012,1.65
,,2012 - 2013,1.28
,,2013 - 2014,1.0
,,2014 - 2015,0.96
,,2015 - 2016,0.88
,,2016 - 2017,0.96
,,2017 - 2018,0.95
,,2018 - 2019,1.03
,,2019 - 2020,1.22
,,2020 - 2021,1.1
,,2021 - 2022,4.61
,,2022 - 2023,1.54
,Budaun,2000 - 2001,1.85
,,2001 - 2002,1.61
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,2.17
,,2011 - 2012,1.74
,,2012 - 2013,2.12
,,2013 - 2014,2.16
,,2014 - 2015,0.98
,,2015 - 2016,0.99
,,2016 - 2017,1.38
,,2017 - 2018,2.36
,,2018 - 2019,2.75
,,2019 - 2020,1.77
,,2020 - 2021,3.02
,,2021 - 2022,1.64
,,2022 - 2023,0.96
,Bulandshahr,2000 - 2001,1.03
,,2001 - 2002,1.21
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.17
,,2011 - 2012,1.43
,,2012 - 2013,1.49
,,2013 - 2014,0.99
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.65
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Chandauli,2000 - 2001,1.19
,,2001 - 2002,0.81
,,2002 - 2003,1.23
,,2003 - 2004,1.25
,,2008 - 2009,1.14
,,2009 - 2010,0.94
,,2010 - 2011,1.65
,,2011 - 2012,1.42
,,2012 - 2013,1.17
,,2013 - 2014,0.85
,,2014 - 2015,0.96
,,2015 - 2016,0.85
,,2016 - 2017,0.93
,,2017 - 2018,1.55
,,2018 - 2019,1.45
,,2019 - 2020,1.39
,,2020 - 2021,1.31
,,2021 - 2022,1.38
,,2022 - 2023,0.92
,Chitrakoot,2000 - 2001,0.61
,,2001 - 2002,1.06
,,2002 - 2003,0.9
,,2003 - 2004,1.05
,,2008 - 2009,1.4
,,2009 - 2010,0.9
,,2010 - 2011,0.15
,,2011 - 2012,1.09
,,2012 - 2013,1.11
,,2013 - 2014,0.7
,,2014 - 2015,0.18
,,2015 - 2016,0.56
,,2016 - 2017,0.69
,,2017 - 2018,0.85
,,2018 - 2019,1.04
,,2019 - 2020,0.51
,,2020 - 2021,0.99
,,2021 - 2022,0.97
,,2022 - 2023,1.21
,Deoria,2000 - 2001,1.39
,,2001 - 2002,1.21
,,2002 - 2003,1.23
,,2003 - 2004,1.37
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.16
,,2011 - 2012,1.08
,,2012 - 2013,1.04
,,2013 - 2014,0.58
,,2014 - 2015,0.48
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.64
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Etah,2000 - 2001,1.92
,,2001 - 2002,1.77
,,2002 - 2003,1.67
,,2003 - 2004,2.03
,,2008 - 2009,1.21
,,2013 - 2014,0.99
,,2014 - 2015,1.3
,,2015 - 2016,1.0
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.64
,,2020 - 2021,1.56
,,2022 - 2023,1.54
,Etawah,2000 - 2001,1.77
,,2001 - 2002,1.82
,,2002 - 2003,1.78
,,2003 - 2004,1.82
,,2008 - 2009,1.69
,,2009 - 2010,1.39
,,2010 - 2011,1.46
,,2011 - 2012,1.53
,,2012 - 2013,1.61
,,2013 - 2014,1.75
,,2014 - 2015,0.55
,,2015 - 2016,1.33
,,2016 - 2017,1.57
,,2017 - 2018,1.65
,,2018 - 2019,1.5
,,2019 - 2020,0.97
,,2020 - 2021,1.29
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Faizabad,2000 - 2001,1.01
,,2001 - 2002,0.85
,,2002 - 2003,0.79
,,2003 - 2004,1.1
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,1.19
,,2011 - 2012,1.08
,,2012 - 2013,0.87
,,2013 - 2014,0.25
,,2014 - 2015,0.65
,,2015 - 2016,1.0
,,2016 - 2017,0.61
,,2017 - 2018,1.47
,,2018 - 2019,1.62
,,2019 - 2020,1.65
,,2020 - 2021,1.56
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Farrukhabad,2000 - 2001,1.77
,,2001 - 2002,1.66
,,2002 - 2003,1.67
,,2003 - 2004,1.85
,,2008 - 2009,1.69
,,2009 - 2010,1.39
,,2010 - 2011,1.46
,,2011 - 2012,1.53
,,2012 - 2013,1.61
,,2013 - 2014,1.75
,,2014 - 2015,0.55
,,2015 - 2016,1.32
,,2016 - 2017,1.57
,,2017 - 2018,1.65
,,2018 - 2019,1.5
,,2019 - 2020,0.97
,,2020 - 2021,1.29
,,2021 - 2022,1.63
,,2022 - 2023,1.55
,Fatehpur,2000 - 2001,1.1
,,2001 - 2002,1.04
,,2002 - 2003,0.97
,,2003 - 2004,1.08
,,2008 - 2009,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.9
,,2011 - 2012,1.18
,,2012 - 2013,1.07
,,2013 - 2014,1.06
,,2014 - 2015,0.73
,,2015 - 2016,0.95
,,2016 - 2017,1.44
,,2017 - 2018,1.3
,,2018 - 2019,0.98
,,2019 - 2020,1.33
,,2020 - 2021,1.23
,,2021 - 2022,1.18
,,2022 - 2023,1.3
,Firozabad,2000 - 2001,1.91
,,2001 - 2002,1.42
,,2002 - 2003,1.67
,,2003 - 2004,2.09
,,2008 - 2009,1.21
,,2009 - 2010,1.28
,,2010 - 2011,2.39
,,2011 - 2012,1.65
,,2012 - 2013,2.07
,,2013 - 2014,2.19
,,2014 - 2015,0.45
,,2015 - 2016,1.0
,,2016 - 2017,2.82
,,2017 - 2018,2.32
,,2018 - 2019,1.62
,,2019 - 2020,2.76
