state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Buxar,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.87
,,2003 - 2004,0.94
,,2004 - 2005,0.86
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.25
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.1
,,2017 - 2018,1.03
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Darbhanga,2000 - 2001,0.96
,,2002 - 2003,0.9
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Gaya,2000 - 2001,0.97
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,1.0
,,2016 - 2017,0.92
,,2017 - 2018,0.82
,Gopalganj,2000 - 2001,0.99
,,2001 - 2002,0.99
,,2002 - 2003,0.99
