state,district,year,mesta_kharif_yield_tonne_per_hectare
,Darbhanga,2000 - 2001,4.33
,,2001 - 2002,6.5
,,2005 - 2006,5.02
,Gaya,2003 - 2004,6.92
,,2004 - 2005,8.0
,,2005 - 2006,9.89
,,2007 - 2008,9.29
,,2008 - 2009,8.67
,,2009 - 2010,7.33
,,2011 - 2012,12.0
,,2012 - 2013,2.0
,Gopalganj,2000 - 2001,7.72
,,2001 - 2002,6.48
,,2002 - 2003,6.01
,,2003 - 2004,6.89
,,2004 - 2005,8.0
,,2005 - 2006,9.83
,,2006 - 2007,8.54
,,2007 - 2008,9.27
,,2008 - 2009,8.73
,,2009 - 2010,7.17
,,2010 - 2011,8.42
,Jamui,2002 - 2003,6.0
,,2003 - 2004,6.93
,,2004 - 2005,7.99
,Jehanabad,2006 - 2007,8.5
,,2007 - 2008,9.5
,,2010 - 2011,8.0
,,2014 - 2015,13.5
,,2015 - 2016,19.53
,Katihar,2000 - 2001,5.39
,,2001 - 2002,6.79
,,2002 - 2003,4.19
,,2003 - 2004,6.05
,,2004 - 2005,7.2
,,2006 - 2007,9.38
,,2007 - 2008,7.68
,,2008 - 2009,8.79
,,2009 - 2010,9.19
,,2010 - 2011,8.5
,,2011 - 2012,17.04
,,2012 - 2013,2.71
,,2013 - 2014,15.0
,,2014 - 2015,11.56
,,2015 - 2016,16.38
,,2016 - 2017,2.01
,,2017 - 2018,1.13
,,2018 - 2019,2.46
,,2019 - 2020,4.38
,,2020 - 2021,20.12
,,2021 - 2022,13.04
,,2022 - 2023,11.23
,Khagaria,2000 - 2001,7.71
,,2005 - 2006,9.86
,,2010 - 2011,8.44
,,2012 - 2013,2.33
,,2013 - 2014,15.33
,,2014 - 2015,13.33
,,2015 - 2016,19.5
,,2019 - 2020,2.0
,,2020 - 2021,13.33
,,2021 - 2022,11.11
,,2022 - 2023,12.04
,Kishanganj,2000 - 2001,7.15
,,2001 - 2002,6.12
,,2002 - 2003,5.72
,,2003 - 2004,6.15
,,2004 - 2005,6.78
,,2005 - 2006,7.77
,,2006 - 2007,6.66
,,2007 - 2008,6.52
,,2008 - 2009,6.49
,,2009 - 2010,5.97
,,2010 - 2011,5.01
,,2011 - 2012,8.66
,,2012 - 2013,1.97
,,2013 - 2014,15.88
,,2014 - 2015,9.78
,,2015 - 2016,14.69
,,2016 - 2017,2.58
,,2017 - 2018,2.13
,,2018 - 2019,2.15
,,2019 - 2020,2.93
,,2020 - 2021,11.21
,,2021 - 2022,10.73
,,2022 - 2023,11.08
,Lakhisarai,2005 - 2006,9.85
,Madhepura,2000 - 2001,9.22
,,2001 - 2002,6.5
,,2002 - 2003,8.17
,,2003 - 2004,10.47
,,2004 - 2005,7.98
,,2005 - 2006,6.65
,,2006 - 2007,9.26
,,2007 - 2008,13.72
,,2008 - 2009,11.39
,,2009 - 2010,5.04
,,2010 - 2011,5.04
,,2011 - 2012,7.22
,,2012 - 2013,1.45
,,2013 - 2014,14.84
,,2014 - 2015,13.78
,,2015 - 2016,22.76
,,2016 - 2017,2.25
,,2017 - 2018,2.35
,,2018 - 2019,3.74
,,2019 - 2020,2.1
,,2020 - 2021,16.5
,,2021 - 2022,11.14
,,2022 - 2023,11.17
,Madhubani,2000 - 2001,4.32
,,2001 - 2002,6.5
,,2002 - 2003,6.58
,,2003 - 2004,5.33
,,2004 - 2005,7.98
,,2005 - 2006,5.03
,,2006 - 2007,4.27
,,2007 - 2008,2.74
,,2008 - 2009,5.8
,,2009 - 2010,7.82
,,2010 - 2011,8.45
,,2011 - 2012,12.4
,,2014 - 2015,13.34
,,2016 - 2017,2.4
,,2017 - 2018,1.5
,,2018 - 2019,1.9
,,2019 - 2020,3.33
,,2021 - 2022,11.11
,Muzaffarpur,2000 - 2001,5.3
,,2001 - 2002,3.26
,,2002 - 2003,4.69
,,2003 - 2004,4.46
,,2004 - 2005,7.98
,,2005 - 2006,5.9
,,2006 - 2007,6.25
,,2007 - 2008,6.42
,,2008 - 2009,6.62
,,2009 - 2010,7.07
,,2010 - 2011,17.19
,,2011 - 2012,12.36
,,2012 - 2013,3.38
,,2013 - 2014,6.59
,,2014 - 2015,12.94
,,2015 - 2016,13.99
,Nalanda,2007 - 2008,9.0
,Nawada,2003 - 2004,7.0
,,2013 - 2014,15.5
,,2014 - 2015,13.29
,,2015 - 2016,14.0
,,2016 - 2017,2.33
,,2017 - 2018,1.5
,,2018 - 2019,2.0
,Pashchim champaran,2002 - 2003,4.68
,,2009 - 2010,7.14
,,2010 - 2011,17.14
,,2013 - 2014,6.57
,,2014 - 2015,12.92
,,2015 - 2016,19.53
,,2016 - 2017,2.33
,Patna,2019 - 2020,2.05
,Purbi champaran,2001 - 2002,3.33
,,2002 - 2003,4.67
,,2003 - 2004,4.5
,,2004 - 2005,8.0
,,2005 - 2006,5.89
,,2006 - 2007,6.22
,,2007 - 2008,6.44
,,2008 - 2009,6.67
,,2009 - 2010,7.0
,,2010 - 2011,17.14
,,2011 - 2012,12.5
,,2012 - 2013,3.0
,Purnia,2000 - 2001,6.64
,,2001 - 2002,6.84
,,2002 - 2003,5.96
,,2003 - 2004,6.86
,,2004 - 2005,9.18
,,2005 - 2006,6.76
,,2006 - 2007,6.6
,,2007 - 2008,7.39
,,2008 - 2009,7.68
,,2009 - 2010,7.34
,,2010 - 2011,7.04
,,2011 - 2012,15.0
,,2012 - 2013,2.8
,,2013 - 2014,16.51
,,2014 - 2015,18.14
,,2015 - 2016,14.78
,,2016 - 2017,3.67
,,2017 - 2018,1.6
,,2018 - 2019,2.27
,,2019 - 2020,3.0
,Rohtas,2001 - 2002,6.5
,,2002 - 2003,6.0
,,2003 - 2004,7.0
,,2010 - 2011,8.5
,,2012 - 2013,2.33
,Saharsa,2000 - 2001,8.31
,,2001 - 2002,6.5
,,2002 - 2003,7.39
,,2003 - 2004,8.37
,,2004 - 2005,7.98
,,2005 - 2006,17.51
,,2006 - 2007,11.5
,,2007 - 2008,11.43
,,2008 - 2009,10.67
,,2009 - 2010,7.81
,,2010 - 2011,10.78
,,2011 - 2012,13.16
,,2014 - 2015,13.82
,,2015 - 2016,22.76
,,2016 - 2017,2.23
,,2017 - 2018,1.44
,,2018 - 2019,1.82
,,2019 - 2020,1.69
,,2020 - 2021,13.19
,,2021 - 2022,11.11
,,2022 - 2023,11.99
,Samastipur,2000 - 2001,4.31
