Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
89,Karnataka,Mandya,,,6.25,6.2,6.29,6.25,6.26,6.26,10.13,6.58,8.24,14.57,15.51,14.68,13.42,15.73,,13,14.54,19.33,19.92,17.8,14.5
90,Karnataka,Uttar kannad,6.34,,6.33,6.33,6.36,6.33,6.35,6.35,10.11,6.56,8.24,14.56,15.5,14.7,16.95,15.88,12,13,14.5,19,19.92,17.5,15
91,Tamil Nadu,Kallakurichi,,,,,,,,,,,,,,,,,,,,,18.51,10,19.64
92,Karnataka,Kolar,,,,,,,,,,,,,,,,,,,14.53,19.28,19.5,18.14,12.06
93,Karnataka,Haveri,,,,,,,,,,,,,,14.67,17,16,,13,14.5,19.33,,17.75,
94,Karnataka,Yadgir,,,,,,,,,,,8.26,,,,,,,,14.5,19.2,,,
95,Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,19
96,Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,19
97,Andhra Pradesh,Sri sathya sai,,,,,,,,,,,,,,,,,,,,,,,19
98,Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,19
99,Karnataka,Bellary,,,,,,,,,,,,,,,,,,,14.5,19,,,
100,Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,18.8
101,Andhra Pradesh,Alluri sitharama raju,,,,,,,,,,,,,,,,,,,,,,,18.78
102,Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,18.78
103,Andhra Pradesh,Visakhapatanam,4.44,4.83,1.99,7.23,2.48,2.57,2.61,,2.59,2.46,12.8,12.86,9.63,8.77,11.02,8.18,15.36,8.31,12.4,12.48,13.97,13.04,18.75
104,Madhya Pradesh,Seoni,,6.36,5.86,6.33,6.31,5.87,6.32,6.31,6.4,6.25,5.33,5.33,6.33,10.82,,17.92,18.67,18.63,18.68,18.72,,,
105,Madhya Pradesh,Dhar,,5.74,5.75,6.51,7.05,6.5,7.58,7.58,7.69,7.69,6.35,6.24,7.59,7.05,,,16,14.57,15.45,18.62,,,
106,Madhya Pradesh,Ujjain,,4.15,4.44,7.25,7.34,7.35,7.58,7.46,6.88,7,5.42,6.14,,7,,18.24,18.24,18.6,18.2,18.3,,,
107,Telangana,Warangal,,,,7.22,7.04,8.42,8.98,,1,2.02,10.05,11.43,,6.4,7.76,18.52,,7.71,6.38,,,,
108,Bihar,Kishanganj,18.45,11.21,12.33,14.62,12.03,15.14,,13.31,13.74,,,,,,,,,,,,,,
109,Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,18.44
110,Madhya Pradesh,Khandwa,,4.44,6.07,5.19,4.91,5.36,5.34,4.81,4.81,4.9,3.05,3.05,3.35,3.95,,18,18,18,18,18.24,,,
111,Haryana,Faridabad,11.11,,,,,18.18,,,,,,,,,,,,,,,,,
112,Madhya Pradesh,Mandsaur,,6.26,5.67,6.95,6.7,6.47,7.53,6.94,7.53,8.08,6.11,8.9,9.42,9.69,,18,18,18,16.42,16.42,,,
