Crop: Moong(Green Gram),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
91,Madhya Pradesh,Dewas,,,,,,0.36,0.37,,,0.45,0.43,0.18,0.42,0.4,0.5,0.2,,1.02,0.4,0.9,1.28,0.37,1.28
92,Madhya Pradesh,Balaghat,,,,,,0.36,0.37,,,0.4,0.34,0.31,0.34,0.34,,,,1.27,0.32,1.05,1.05,,1.05
93,Jharkhand,Giridih,,,,,,,,,,,,,,,,,,0.87,0.87,1.27,0.96,0.97,0.99
94,Maharashtra,Nashik,0.47,0.66,1.27,0.72,1.03,0.68,0.71,0.74,0.76,0.54,0.92,0.8,0.82,1.01,0.69,0.39,0.53,0.68,0.49,0.63,0.71,0.73,0.71
95,Gujarat,Vadodara,0.29,0.43,0.31,0.57,0.42,0.6,0.35,0.58,0.44,0.4,0.53,0.48,0.48,0.54,0.61,0.64,0.5,0.56,1.08,1.03,1.05,1.27,1.11
96,Uttar Pradesh,Auraiya,0.53,0.5,0.56,0.48,,,,0.6,0.76,0.82,0.99,0.65,0.8,0.73,0.81,0.8,0.75,0.8,1.11,0.73,0.98,1.18,1.27
97,Manipur,Ukhrul,,,,,,,,,1.17,0.64,1.13,1.14,1,1.03,0.97,1.15,1.15,1.26,1.03,,,,
98,Gujarat,Surat,0.27,0.47,0.3,0.6,0.43,0.57,0.36,0.54,0.45,0.38,0.49,0.48,0.4,0.51,0.5,0.51,0.56,0.6,0.81,0.97,1.04,1.26,1.08
99,Gujarat,Narmada,,,,0.6,0.4,0.6,0.33,0.5,0.33,0.43,0.54,0.4,0.57,0.51,0.48,0.51,0.46,0.53,0.93,1.04,0.88,1.25,1.04
100,Punjab,Barnala,,,,,,,,1.13,1,1,1.2,1.25,1,1,1,0.73,0.5,0.75,0.71,0.73,1,,1
101,Uttar Pradesh,Chandauli,0.41,0.39,0.63,0.38,,,,0.38,0.65,0.88,0.72,0.67,0.88,0.71,0.54,0.63,0.76,0.65,0.8,1.12,1.25,0.83,0.38
102,Manipur,Bishnupur,,,,,,,,,1.25,0.93,1.02,1.02,0.93,0.98,1.01,1.16,1.17,1.14,1.13,,,,
103,Madhya Pradesh,Burhanpur,,,,0.24,,0.31,0.3,,,0.31,0.22,0.3,0.39,0.28,,0.18,,0.93,0.4,0.82,1.06,0.39,1.24
104,Bihar,Jamui,0.6,1.24,0.45,0.52,0.5,0.59,0.57,0.75,0.56,0.87,0.84,0.86,0.65,1,0.61,0.84,0.94,0.74,0.81,0.75,0.55,0.55,0.56
105,Manipur,Imphal east,,,,,,,,,1.23,0.91,1.23,1.01,0.9,0.9,1,1,0.98,1,1,,,,
106,Bihar,Darbhanga,0.43,,0.55,0.43,0.39,0.72,0.58,0.52,0.1,0.58,0.57,1.09,0.32,0.84,1.23,0.75,0.74,0.73,0.77,0.74,0.33,0.67,0.57
107,Tamil Nadu,Thiruvallur,0.57,0.53,0.54,0.61,0.44,0.49,0.67,0.56,0.56,0.42,0.4,0.48,0.71,1.23,1.09,0.89,0.69,0.7,0.9,0.85,0.71,0.78,0.8
108,Arunachal Pradesh,Dibang valley,,,,,,,,,,,,,,,,,0.94,1.21,1.21,1.21,1.21,0.93,0.93
109,Gujarat,Junagadh,0.63,0.48,0.3,0.59,0.42,0.6,0.34,0.56,0.43,0.38,0.52,0.47,0.43,0.52,0.49,0.5,0.79,0.88,1.19,0.91,1.21,1.18,1.09
110,Bihar,Katihar,0.5,0.49,0.75,0.66,0.5,0.48,0.52,0.55,0.47,0.56,0.82,0.58,1.21,1.01,1.12,1.2,1.02,0.94,0.75,0.85,0.73,0.84,0.78
111,West Bengal,Jalpaiguri,0.29,0.28,0.41,0.56,0.45,0.54,0.62,0.69,0.63,0.66,0.68,0.65,0.66,0.85,1.21,0.72,0.9,0.58,0.86,0.61,0.7,0.64,0.61
112,Assam,Kamrup metro,,,,,,0.33,0.36,0.35,0.36,0.35,0.36,0.42,0.47,0.45,0.53,0.45,0.45,0.45,0.58,0.58,0.58,0.63,1.2
113,Jammu and Kashmir,Kathua,,,0.55,,0.6,0.57,0.58,0.58,,,0.5,,1.2,1.2,,0.3,0.5,,,,,,
114,Jammu and Kashmir,Badgam,,0.57,0.57,0.57,0.58,0.57,0.57,0.57,,0.57,0.65,0.57,0.63,1.2,0.01,0.58,0.58,0.58,0.57,0.57,0.57,,
115,Nagaland,Peren,,,,,,,,,0.57,0.83,1,,,1,1,1,1,1.2,1,1,1,0.94,1.11
116,Assam,Marigaon,,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.3,0.34,0.35,0.38,0.58,0.58,0.59,0.59,0.72,0.72,0.72,1.2
117,Gujarat,Sabar kantha,0.38,0.29,0.39,0.51,0.41,0.45,0.2,0.32,0.33,0.37,0.57,0.51,0.62,0.54,0.58,0.57,0.88,0.98,0.96,1.08,1.2,1.18,1.04
118,Nagaland,Chumoukedima,,,,,,,,,,,,,,,,,,,,,,,1.19
119,Haryana,Gurgaon,,,1.19,,,,,,,,,,0.5,,,,,,0.67,0.5,0.5,0.5,0.4
120,Nagaland,Noklak,,,,,,,,,,,,,,,,,,,,,,1,1.19
121,Uttar Pradesh,Ghazipur,0.48,0.27,0.61,0.54,,,,0.49,0.75,0.83,0.94,0.69,0.87,0.75,0.57,0.7,0.76,0.67,0.9,1.18,0.86,0.76,0.86
122,Uttar Pradesh,Kanpur dehat,,,,0.49,,,,0.52,0.71,0.72,0.9,0.62,0.75,0.62,0.65,0.71,0.72,0.67,0.79,0.63,1.07,0.85,1.18
123,Bihar,Sheikhpura,,,0.5,0.5,0.33,0.5,,,,1.06,,1.14,0.65,1.18,0.63,0.84,0.98,0.74,0.91,0.77,0.56,0.55,0.56
124,West Bengal,Coochbehar,0.38,0.27,0.39,0.74,0.36,0.44,0.72,0.73,0.68,0.75,0.76,0.7,0.74,0.77,0.82,0.8,0.87,0.66,1.18,0.82,1.02,1.01,0.98
125,Nagaland,Longleng,,,,,,,,,,0.75,,,,,,,,,,,,1.05,1.17
