State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Rajasthan,Hanumangarh,,,,1.11,,,,0.19,0.18,0.09,0.41,0.41,0.29,0.17,0.41,0.43,0.4,0.63,0.5,0.37,0.24,0.19,0.33
Rajasthan,Jaipur,,,,0.91,,,,0.2,0.51,0.51,0.43,0.36,0.41,0.58,0.46,0.48,0.61,0.6,0.64,0.64,0.66,0.66,0.5
Rajasthan,Jaisalmer,,,,1.06,,,,0.19,0.11,0.3,0.43,0.21,0.08,0.59,0.41,0.43,0.42,0.63,0.71,0.6,0.64,0.39,0.52
Rajasthan,Jalore,,,,1.18,,,,0.35,0.15,0.95,0.41,0.44,0.26,0.5,0.3,0.18,0.58,0.81,0.62,0.51,0.66,0.8,0.93
Rajasthan,Jhalawar,,,,1.01,,,,0.27,0.34,0.35,0.41,0.43,0.5,0.59,0.24,0.44,0.01,0.63,0.71,0.6,0.17,0.31,0.55
Rajasthan,Jhunjhunu,,,,0.94,,,,0.25,0.34,0.41,0.35,,0.29,0.49,0.25,0.44,0.37,0.63,0.71,0.58,0.61,0.54,0.52
Rajasthan,Jodhpur,,,,0.87,,,,0.15,0.55,0.2,0.41,0.63,1.15,0.93,0.28,0.67,0.5,0.87,0.64,0.7,0.67,0.84,0.88
Rajasthan,Karauli,,,,0.88,,,,0.27,0.34,0.37,0.41,0.43,0.5,0.59,0.41,0.43,0.41,0.63,0.71,0.6,0.64,0.57,0.52
Rajasthan,Kota,,,,1.72,,,,0.26,0.37,0.34,0.4,0.41,0.5,0.6,0.29,0.45,0.43,0.64,0.71,0.61,0.63,0.6,0.53
Rajasthan,Nagaur,,,,0.98,,,,0.66,0.52,0.78,0.43,0.65,0.47,0.57,0.37,0.63,0.43,0.53,0.77,0.64,0.68,0.59,0.52
Rajasthan,Pali,,,,0.97,,,,0.64,0.22,0.38,0.26,0.44,0.46,0.45,0.38,0.24,0.3,0.54,0.52,0.61,0.68,0.6,0.53
Rajasthan,Pratapgarh,,,,,,,,,0.09,0.37,0.41,0.43,0.49,0.59,0.41,0.44,0.42,0.63,0.71,0.57,0.65,0.56,0.53
Rajasthan,Rajsamand,,,,0.77,,,,0.27,0.37,0.37,0.41,0.25,0.27,0.49,0.38,0.23,0.42,0.63,0.71,0.6,0.64,0.57,0.52
Rajasthan,Sawai Madhopur,,,,0.59,,,,0.27,0.37,0.37,0.41,0.43,0.5,0.59,0.41,0.43,0.41,0.63,0.71,0.6,0.65,0.57,0.51
Rajasthan,Sikar,,,,1.04,,,,0.19,0.36,0.49,0.41,0.25,0.71,0.52,0.48,0.54,0.74,0.62,0.71,0.6,0.75,0.62,0.41
Rajasthan,Sirohi,,,,1.02,,,,0.27,0.37,0.36,0.41,0.43,0.43,0.51,0.44,0.67,0.41,0.63,0.75,0.59,0.65,0.56,0.53
Rajasthan,Tonk,,,,0.8,,,,0.28,0.44,0.34,0.41,0.47,0.61,0.51,0.51,0.65,0.41,0.63,0.92,0.85,0.91,0.84,0.72
Rajasthan,Udaipur,,,,0.23,,,,0.27,0.35,0.38,0.41,0.71,0.72,0.73,0.47,0.44,0.42,0.63,0.71,0.58,0.62,0.57,0.52
Sikkim,Gangtok,0.5,,,,,,,,,,,,,,,,,,,,,,
Sikkim,Gyalshing,0.5,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,
Sikkim,Namchi,0.35,,0.5,0.5,0.5,0.75,,,,,,,,,,,,,,,,,
Telangana,Adilabad,,,1.25,,,,,,,,,,,,,,,,,,,,
Telangana,Khammam,,,1.24,,,,,,,,,15.61,,12.6,26.86,21.38,,,,,,,
Telangana,Medak,,,1.0,,,,,,,,,,,1.72,1.31,,,,,,,,
Telangana,Nalgonda,,,,,,,,,,,,,,12.6,26.86,21.38,,,,,,,
Telangana,Nizamabad,,,1.25,,,,,,,,,,,,,,,,,,,,
Telangana,Ranga Reddy,,,1.29,,,,,,,,,0.4,,,0.33,,,,,,,,
