Crop: Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
116,Himachal Pradesh,Chamba,0.21,0.33,0.22,,,0.22,1.13,,0.33,0.44,0.33,0.33,0.86,0.89,0.81,0.93,0.33,0.94,0.82,0.92,0.79,0.79,0.79
117,Nagaland,Tseminyu,,,,,,,,,,,,,,,,,,,,,,,1.13
118,Uttarakhand,Rudra prayag,0.57,0.52,0.53,0.63,0.74,0.55,0.65,0.71,0.71,0.91,0.79,0.68,0.74,0.95,0.97,0.99,0.77,0.66,0.76,1.07,1.13,0.95,1.06
119,Manipur,Chandel,0.57,,,0.5,0.5,,,1,0.86,0.5,0.84,0.83,1,1.06,1.05,1.06,1.02,0.99,1.12,,,0.9,0.9
120,Uttarakhand,Bageshwar,0.69,0.54,0.63,0.79,0.85,0.54,0.65,0.76,0.75,0.98,0.75,0.8,0.8,0.74,1.1,1.03,0.9,0.7,1,0.9,1.1,0.97,0.94
121,Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.74,0.97,0.97,0.88,0.85,1.09,,,,,,,,,,0.81,,0.85,,,,,
122,Karnataka,Dharwad,0.27,0.27,0.28,0.27,0.28,0.28,0.24,0.3,0.71,0.44,0.88,1.08,0.74,0.72,0.7,0.91,0.36,0.59,0.86,0.84,0.81,0.56,0.61
123,Karnataka,Hassan,0.28,0.27,0.27,0.28,0.29,0.28,0.59,0.43,0.37,0.5,0.69,0.64,0.47,0.96,0.94,0.62,0.17,1.08,0.62,0.55,0.52,0.16,0.51
124,Madhya Pradesh,Shahdol,0.32,0.37,0.31,0.28,,,0.35,,,,,1.06,0.58,0.6,,,,,,,,,
125,Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,0.85,0.95,0.95,0.94,0.98,0.97,1.05
126,West Bengal,Medinipur west,,1,1.05,1.05,0.93,0.93,0.85,0.85,0.88,,0.85,0.41,0.41,0.78,0.79,0.79,0.78,,,,,,
127,Jharkhand,Khunti,,,,,,,,,,,,,,,,,,,0.41,,,0.8,1.05
128,Himachal Pradesh,Sirmaur,0.34,0.47,0.21,,,0.33,0.36,0.4,0.4,0.45,0.37,0.38,0.97,0.75,0.77,0.72,0.36,0.85,1.05,1.05,0.87,0.83,0.8
129,Arunachal Pradesh,East siang,,,,,,,,,,,,,,,,,0.76,0.74,0.39,0.4,0.43,0.45,1.04
130,Jammu and Kashmir,Reasi,,,,,,,,0.52,,0.53,0.53,0.53,0.51,,,,,0.5,1.03,,,,
131,Karnataka,Mandya,0.37,0.34,0.38,0.38,0.41,0.37,0.48,0.91,0.68,0.37,0.5,0.77,0.58,0.6,0.67,0.6,0.38,0.38,0.62,1.03,0.49,0.51,0.61
132,Arunachal Pradesh,Lower subansiri,,,,,,,,,,,,,,,,,0.86,0.79,1,1.01,1.02,1.02,1.02
133,Gujarat,Mahisagar,,,,,,,,,,,,,,,0.51,0.53,1,1.01,0.93,0.62,1.02,,0.9
134,Tripura,Gomati,,,,,,,,,,,,,0.61,0.63,0.6,1,1,0.93,1.01,0.99,,,
135,Tripura,Dhalai,,,0.62,,0.71,0.72,0.77,0.68,0.7,0.73,0.74,0.58,0.68,0.77,0.63,1,,1,,1.01,,,
136,Tripura,South tripura,,,0.6,,0.58,0.54,0.56,0.57,0.57,0.64,0.68,0.63,0.58,0.56,0.51,,1,,,1.01,,,
137,Himachal Pradesh,Una,1,,0.42,,,,,,,,,,,,,,,,,,0.67,,
138,Bihar,Madhepura,,0.55,,,,,,,,,,,,1,0.83,1,1,1,1,1,1,1,1
139,Bihar,Bhojpur,0.45,0.54,,0.58,,0.48,,0.59,0.57,0.8,0.75,0.9,1,1,1,1,1,0.94,1,1,,,
140,Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,1
141,Bihar,Buxar,0.5,0.5,,,0.55,0.43,,,,,0.67,,,,1,,,1,1,1,,1,1
