state,district,year,moong_kharif_yield_tonne_per_hectare
,,2005 - 2006,0.26
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.63
,,2011 - 2012,
,,2012 - 2013,0.26
,,2013 - 2014,0.56
,,2014 - 2015,0.78
,,2015 - 2016,0.77
,,2016 - 2017,0.54
,,2017 - 2018,0.7
,,2018 - 2019,0.59
,,2019 - 2020,0.6
,,2020 - 2021,0.31
,,2021 - 2022,0.68
,,2022 - 2023,0.59
,Villupuram,2000 - 2001,0.47
,,2001 - 2002,0.38
,,2002 - 2003,0.43
,,2003 - 2004,0.42
,,2004 - 2005,0.4
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,
,,2012 - 2013,0.28
,,2013 - 2014,0.56
,,2014 - 2015,0.63
,,2015 - 2016,0.79
,,2016 - 2017,0.73
,,2017 - 2018,0.61
,,2018 - 2019,0.68
,,2019 - 2020,0.58
,,2020 - 2021,0.88
,,2021 - 2022,0.77
,,2022 - 2023,0.86
,Virudhunagar,2000 - 2001,0.69
,,2001 - 2002,0.6
,,2002 - 2003,0.66
,,2003 - 2004,0.49
,,2004 - 2005,0.61
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,
,,2012 - 2013,0.16
,,2013 - 2014,0.55
,,2014 - 2015,0.52
,,2015 - 2016,0.79
,,2016 - 2017,0.81
,,2017 - 2018,0.61
,,2018 - 2019,0.67
,,2019 - 2020,0.88
,,2020 - 2021,0.71
,,2021 - 2022,0.87
,,2022 - 2023,0.27
Telangana,Adilabad,2000 - 2001,0.33
,,2001 - 2002,0.18
,,2002 - 2003,0.3
,,2003 - 2004,0.16
,,2004 - 2005,0.27
,,2005 - 2006,0.31
,,2006 - 2007,0.44
,,2007 - 2008,0.45
,,2008 - 2009,0.53
,,2009 - 2010,0.15
,,2010 - 2011,0.4
,,2011 - 2012,0.49
,,2012 - 2013,0.57
,,2013 - 2014,0.49
,,2014 - 2015,0.58
,,2015 - 2016,0.59
,,2016 - 2017,0.65
,,2017 - 2018,0.7
,,2018 - 2019,0.82
,,2019 - 2020,0.65
,,2020 - 2021,0.47
,,2021 - 2022,0.4
,,2022 - 2023,0.57
,Bhadradri,2016 - 2017,0.44
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.1
,,2022 - 2023,0.31
,Jagitial,2016 - 2017,0.61
,,2017 - 2018,0.97
,,2018 - 2019,0.55
,,2019 - 2020,0.62
,,2020 - 2021,0.86
,,2021 - 2022,0.54
,,2022 - 2023,0.4
,Jangoan,2016 - 2017,0.78
,,2017 - 2018,0.56
,,2018 - 2019,0.52
,,2019 - 2020,0.9
,,2020 - 2021,0.03
,,2021 - 2022,0.55
,,2022 - 2023,0.49
,Jayashankar,2016 - 2017,0.78
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.77
,,2022 - 2023,0.87
,Jogulamba,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.43
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Kamareddy,2016 - 2017,0.86
,,2017 - 2018,0.92
,,2018 - 2019,1.1
,,2019 - 2020,1.01
,,2020 - 2021,0.89
,,2021 - 2022,0.57
,,2022 - 2023,0.79
,Karimnagar,2000 - 2001,0.39
,,2001 - 2002,0.29
,,2002 - 2003,0.21
,,2003 - 2004,0.37
,,2004 - 2005,0.19
,,2005 - 2006,0.31
,,2006 - 2007,0.22
,,2007 - 2008,0.42
,,2008 - 2009,0.41
,,2009 - 2010,0.2
,,2010 - 2011,0.38
,,2011 - 2012,0.42
,,2012 - 2013,0.6
,,2013 - 2014,0.53
,,2014 - 2015,0.37
,,2015 - 2016,0.7
,,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.42
,,2022 - 2023,0.5
,Khammam,2000 - 2001,0.62
,,2001 - 2002,0.47
,,2002 - 2003,0.41
,,2003 - 2004,0.48
,,2004 - 2005,0.53
,,2005 - 2006,0.57
,,2006 - 2007,0.42
,,2007 - 2008,0.5
,,2008 - 2009,0.39
,,2009 - 2010,0.16
,,2010 - 2011,0.55
,,2011 - 2012,0.61
,,2012 - 2013,0.63
,,2013 - 2014,0.65
,,2014 - 2015,0.5
,,2015 - 2016,0.67
,,2016 - 2017,0.44
,,2017 - 2018,0.47
,,2018 - 2019,0.35
,,2019 - 2020,0.73
,,2020 - 2021,0.07
,,2021 - 2022,0.35
,,2022 - 2023,0.65
,Komaram bheem asifabad,2016 - 2017,0.65
,,2017 - 2018,0.77
,,2018 - 2019,0.71
,,2019 - 2020,0.8
,,2020 - 2021,0.24
,,2021 - 2022,0.5
,,2022 - 2023,0.53
,Mahabubabad,2016 - 2017,0.78
,,2017 - 2018,0.66
,,2018 - 2019,0.51
,,2019 - 2020,0.91
,,2020 - 2021,0.08
,,2021 - 2022,0.45
,,2022 - 2023,0.48
,Mahbubnagar,2000 - 2001,0.05
,,2001 - 2002,0.01
,,2002 - 2003,0.02
,,2003 - 2004,0.1
,,2004 - 2005,0.08
,,2005 - 2006,0.61
,,2006 - 2007,0.13
,,2007 - 2008,0.18
,,2008 - 2009,0.27
,,2009 - 2010,0.02
,,2010 - 2011,0.21
,,2011 - 2012,0.34
,,2012 - 2013,0.43
,,2013 - 2014,0.51
,,2014 - 2015,0.37
,,2015 - 2016,0.07
,,2016 - 2017,0.64
,,2017 - 2018,0.57
,,2018 - 2019,0.54
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.61
,,2022 - 2023,0.67
,Mancherial,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.41
,,2022 - 2023,0.45
,Medak,2000 - 2001,0.36
,,2001 - 2002,0.45
,,2002 - 2003,0.31
,,2003 - 2004,0.74
,,2004 - 2005,0.16
,,2005 - 2006,0.27
,,2006 - 2007,0.37
,,2007 - 2008,0.87
,,2008 - 2009,0.38
,,2009 - 2010,0.02
,,2010 - 2011,0.7
,,2011 - 2012,0.73
,,2012 - 2013,1.0
,,2013 - 2014,0.67
,,2014 - 2015,0.55
,,2015 - 2016,0.4
,,2016 - 2017,0.68
,,2017 - 2018,0.66
,,2018 - 2019,0.43
,,2019 - 2020,0.46
,,2020 - 2021,0.24
,,2021 - 2022,0.43
,,2022 - 2023,0.53
,Medchal,2016 - 2017,0.7
,,2017 - 2018,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.4
,,2021 - 2022,0.67
,Mulugu,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Nagarkurnool,2016 - 2017,0.64
,,2017 - 2018,0.64
,,2018 - 2019,0.62
,,2019 - 2020,0.8
,,2020 - 2021,0.41
,,2021 - 2022,0.62
,,2022 - 2023,0.67
,Nalgonda,2000 - 2001,0.35
,,2001 - 2002,0.36
,,2002 - 2003,0.35
,,2003 - 2004,0.58
,,2004 - 2005,0.53
,,2005 - 2006,0.53
,,2006 - 2007,0.31
,,2007 - 2008,0.41
,,2008 - 2009,0.46
,,2009 - 2010,0.0
,,2010 - 2011,0.63
,,2011 - 2012,0.42
,,2012 - 2013,0.78
,,2013 - 2014,0.55
,,2014 - 2015,0.29
,,2015 - 2016,0.52
,,2016 - 2017,0.41
,,2017 - 2018,0.51
,,2018 - 2019,0.24
,,2019 - 2020,0.29
,,2020 - 2021,0.41
,,2021 - 2022,0.29
,,2022 - 2023,0.89
,Narayanapet,2018 - 2019,0.54
,,2019 - 2020,0.4
,,2020 - 2021,0.59
,,2021 - 2022,0.38
,,2022 - 2023,0.6
,Nirmal,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.74
,,2019 - 2020,0.81
,,2020 - 2021,0.21
,,2021 - 2022,0.53
,,2022 - 2023,0.43
,Nizamabad,2000 - 2001,0.29
,,2001 - 2002,0.22
,,2002 - 2003,0.67
,,2003 - 2004,0.49
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.19
,,2007 - 2008,0.29
,,2008 - 2009,0.8
,,2009 - 2010,0.08
,,2010 - 2011,0.66
,,2011 - 2012,0.7
,,2012 - 2013,0.91
,,2013 - 2014,0.77
,,2014 - 2015,0.33
,,2015 - 2016,0.31
,,2016 - 2017,0.86
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.34
,,2022 - 2023,0.44
,Peddapalli,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.62
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.4
,,2022 - 2023,0.64
,Rajanna,2016 - 2017,0.61
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.74
,,2022 - 2023,0.69
,Rangareddi,2000 - 2001,0.37
,,2001 - 2002,0.39
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.31
,,2007 - 2008,0.38
,,2008 - 2009,0.42
,,2009 - 2010,0.03
,,2010 - 2011,0.19
,,2011 - 2012,0.42
,,2012 - 2013,0.67
,,2013 - 2014,0.87
,,2014 - 2015,0.65
,,2015 - 2016,0.5
,,2016 - 2017,0.69
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.45
,,2022 - 2023,0.68
,Sangareddy,2016 - 2017,0.68
,,2017 - 2018,0.8
,,2018 - 2019,0.74
,,2019 - 2020,0.84
,,2020 - 2021,0.55
,,2021 - 2022,0.86
,,2022 - 2023,0.91
,Siddipet,2016 - 2017,0.68
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,0.86
,,2022 - 2023,0.59
,Suryapet,2016 - 2017,0.41
,,2017 - 2018,0.51
,,2018 - 2019,0.45
,,2019 - 2020,0.6
,,2020 - 2021,0.2
,,2021 - 2022,0.58
,,2022 - 2023,0.49
,Vikarabad,2016 - 2017,0.69
,,2017 - 2018,0.55
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.53
,,2021 - 2022,0.69
,,2022 - 2023,0.55
,Wanaparthy,2016 - 2017,0.64
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.78
,,2020 - 2021,0.41
,,2021 - 2022,0.49
,,2022 - 2023,0.66
,Warangal,2000 - 2001,0.33
,,2001 - 2002,0.52
,,2002 - 2003,0.2
,,2003 - 2004,0.55
,,2004 - 2005,0.6
,,2005 - 2006,0.62
,,2006 - 2007,0.55
,,2007 - 2008,0.5
,,2008 - 2009,0.54
,,2009 - 2010,0.33
,,2010 - 2011,0.52
,,2011 - 2012,0.48
,,2012 - 2013,0.62
,,2013 - 2014,0.87
,,2014 - 2015,0.59
,,2015 - 2016,0.65
,,2016 - 2017,0.78
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.41
,,2021 - 2022,1.09
,,2022 - 2023,0.3
,Warangal urban,2016 - 2017,0.78
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.43
,,2021 - 2022,0.09
,,2022 - 2023,0.65
,Yadadri,2016 - 2017,0.41
,,2017 - 2018,0.64
,,2018 - 2019,0.63
,,2019 - 2020,0.79
,,2020 - 2021,0.42
,,2021 - 2022,0.8
,,2022 - 2023,0.61
Tripura,Dhalai,2004 - 2005,0.52
,,2005 - 2006,0.57
,,2006 - 2007,0.56
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2010 - 2011,0.55
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.54
,,2014 - 2015,0.55
,,2015 - 2016,0.51
,,2016 - 2017,0.56
,,2017 - 2018,0.56
,,2018 - 2019,0.65
,,2019 - 2020,0.8
,,2020 - 2021,0.82
,,2021 - 2022,0.74
,,2022 - 2023,0.82
,Gomati,2012 - 2013,0.58
,,2013 - 2014,0.56
,,2014 - 2015,0.55
,,2015 - 2016,0.51
,,2016 - 2017,0.58
,,2017 - 2018,0.56
,,2018 - 2019,0.56
,,2019 - 2020,0.56
,,2020 - 2021,0.57
,,2021 - 2022,0.59
,,2022 - 2023,0.66
,Khowai,2012 - 2013,0.52
,,2013 - 2014,0.48
,,2014 - 2015,0.51
,,2015 - 2016,0.5
,,2016 - 2017,0.53
,,2017 - 2018,0.53
,,2018 - 2019,0.6
,,2019 - 2020,0.62
,,2020 - 2021,0.64
,,2021 - 2022,0.62
,,2022 - 2023,0.67
,North tripura,2004 - 2005,0.55
,,2005 - 2006,0.5
,,2006 - 2007,0.53
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,0.55
,,2010 - 2011,0.54
,,2011 - 2012,0.52
,,2012 - 2013,0.55
,,2013 - 2014,0.59
,,2014 - 2015,0.58
,,2015 - 2016,0.52
,,2016 - 2017,0.58
,,2017 - 2018,0.58
,,2018 - 2019,0.6
,,2019 - 2020,0.62
,,2020 - 2021,0.65
,,2021 - 2022,0.6
,,2022 - 2023,0.63
,Sepahijala,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.54
,,2015 - 2016,0.51
,,2016 - 2017,0.53
,,2017 - 2018,0.53
,,2018 - 2019,0.61
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.62
,,2022 - 2023,0.73
,South tripura,2004 - 2005,0.56
,,2005 - 2006,0.59
,,2006 - 2007,0.49
,,2007 - 2008,0.47
,,2008 - 2009,0.51
,,2009 - 2010,0.57
,,2010 - 2011,0.53
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.52
,,2014 - 2015,0.56
,,2015 - 2016,0.52
,,2016 - 2017,0.57
,,2017 - 2018,0.57
,,2018 - 2019,0.62
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.63
,,2022 - 2023,0.66
,Unakoti,2012 - 2013,0.48
,,2013 - 2014,0.5
,,2014 - 2015,0.53
,,2015 - 2016,0.49
,,2016 - 2017,0.52
,,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.63
,,2020 - 2021,0.64
,,2021 - 2022,
,,2022 - 2023,0.66
,West tripura,2004 - 2005,0.52
,,2005 - 2006,0.5
,,2006 - 2007,0.48
,,2007 - 2008,0.51
,,2008 - 2009,0.46
,,2009 - 2010,0.53
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.53
,,2014 - 2015,0.5
,,2015 - 2016,0.49
,,2016 - 2017,0.53
,,2017 - 2018,0.53
,,2018 - 2019,0.57
,,2019 - 2020,0.6
,,2020 - 2021,0.63
,,2021 - 2022,0.6
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.29
,,2003 - 2004,0.24
,,2007 - 2008,0.2
,,2008 - 2009,0.36
,,2009 - 2010,0.14
,,2010 - 2011,0.47
,,2011 - 2012,0.42
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.42
,,2017 - 2018,0.39
,,2018 - 2019,0.42
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Aligarh,2000 - 2001,0.3
,,2001 - 2002,0.27
,,2002 - 2003,0.28
,,2003 - 2004,0.23
,,2007 - 2008,0.2
,,2008 - 2009,0.37
,,2009 - 2010,0.15
,,2010 - 2011,0.6
,,2011 - 2012,0.58
,,2012 - 2013,1.1
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.41
,,2017 - 2018,0.39
,,2018 - 2019,0.42
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Allahabad,2000 - 2001,0.3
,,2001 - 2002,0.26
,,2003 - 2004,0.57
,,2007 - 2008,0.18
,,2008 - 2009,0.37
,,2009 - 2010,0.14
,,2010 - 2011,0.46
,,2011 - 2012,0.43
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2014 - 2015,
,,2015 - 2016,0.22
,,2016 - 2017,
,,2017 - 2018,0.5
,,2018 - 2019,0.3
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.75
,Ambedkar nagar,2000 - 2001,0.5
,,2001 - 2002,0.1
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.53
,,2013 - 2014,0.33
,,2014 - 2015,0.2
,,2015 - 2016,
,,2016 - 2017,0.45
,,2017 - 2018,0.43
,,2018 - 2019,0.43
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,
,,2022 - 2023,0.38
,Amethi,2010 - 2011,0.46
,,2011 - 2012,0.43
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.21
,,2016 - 2017,0.41
,,2017 - 2018,0.39
,,2018 - 2019,0.42
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Amroha,2000 - 2001,0.3
,,2001 - 2002,0.27
,,2002 - 2003,0.28
,,2003 - 2004,0.24
,,2007 - 2008,0.21
,,2008 - 2009,0.38
,,2009 - 2010,0.15
,,2010 - 2011,0.46
,,2011 - 2012,0.42
,,2012 - 2013,0.52
,,2013 - 2014,0.33
,,2014 - 2015,0.32
,,2015 - 2016,0.29
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.43
,,2019 - 2020,0.29
,,2020 - 2021,0.39
,,2022 - 2023,0.38
,Auraiya,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.67
,,2003 - 2004,0.23
,,2007 - 2008,0.2
,,2008 - 2009,0.37
,,2009 - 2010,0.15
,,2010 - 2011,0.47
,,2011 - 2012,0.42
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.41
,,2017 - 2018,0.39
,,2018 - 2019,0.42
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Azamgarh,2000 - 2001,0.33
,,2001 - 2002,0.27
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.33
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.5
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.33
,,2019 - 2020,0.28
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Baghpat,2000 - 2001,0.33
,,2001 - 2002,0.33
,,2002 - 2003,0.67
,,2003 - 2004,0.6
,,2007 - 2008,
,,2008 - 2009,0.33
,,2009 - 2010,0.25
,,2010 - 2011,0.44
,,2011 - 2012,0.33
,,2012 - 2013,
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.81
,,2019 - 2020,1.33
,,2020 - 2021,1.4
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2000 - 2001,0.3
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2007 - 2008,0.2
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2018 - 2019,0.38
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.42
,Ballia,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.2
,,2003 - 2004,0.22
,,2007 - 2008,
,,2008 - 2009,0.38
,,2009 - 2010,0.0
,,2010 - 2011,
,,2011 - 2012,0.5
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.29
,,2015 - 2016,
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.25
,,2020 - 2021,0.39
,,2021 - 2022,
,,2022 - 2023,0.38
,Balrampur,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2003 - 2004,0.25
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.33
,,2018 - 2019,0.4
,,2019 - 2020,0.2
,Banda,2000 - 2001,0.34
,,2001 - 2002,0.32
,,2002 - 2003,0.24
,,2003 - 2004,0.31
,,2007 - 2008,0.16
,,2008 - 2009,0.22
,,2009 - 2010,0.09
,,2010 - 2011,0.34
,,2011 - 2012,0.27
,,2012 - 2013,0.41
,,2013 - 2014,0.5
,,2014 - 2015,0.34
,,2015 - 2016,0.17
,,2016 - 2017,0.31
,,2017 - 2018,0.39
,,2018 - 2019,0.52
,,2019 - 2020,0.54
,,2020 - 2021,0.49
,,2021 - 2022,0.6
,,2022 - 2023,0.43
,Barabanki,2000 - 2001,0.31
,,2001 - 2002,0.27
,,2002 - 2003,0.25
,,2003 - 2004,0.2
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.42
,,2012 - 2013,0.51
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.17
,,2016 - 2017,1.0
,,2017 - 2018,0.0
,,2018 - 2019,0.42
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,
,,2022 - 2023,0.38
,Bareilly,2000 - 2001,0.25
,,2001 - 2002,0.33
,,2002 - 2003,0.29
,,2003 - 2004,0.55
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.2
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.19
,,2017 - 2018,0.0
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.4
,,2021 - 2022,0.25
,,2022 - 2023,0.37
,Basti,2000 - 2001,
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.46
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.2
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.38
,Bijnor,2000 - 2001,0.25
,,2001 - 2002,0.33
,,2002 - 2003,0.25
,,2003 - 2004,0.21
,,2007 - 2008,0.14
,,2008 - 2009,0.4
,,2009 - 2010,0.17
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.17
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.42
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Budaun,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.28
,,2003 - 2004,0.57
,,2007 - 2008,0.2
,,2008 - 2009,0.37
,,2009 - 2010,0.15
,,2010 - 2011,0.47
,,2011 - 2012,0.42
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.41
,,2017 - 2018,0.39
,,2018 - 2019,0.43
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Bulandshahr,2000 - 2001,0.3
,,2001 - 2002,0.27
,,2002 - 2003,0.67
,,2003 - 2004,0.57
,,2007 - 2008,0.2
,,2008 - 2009,0.37
,,2009 - 2010,0.15
,,2010 - 2011,0.47
,,2011 - 2012,0.42
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.41
,,2017 - 2018,0.4
,,2018 - 2019,0.81
,,2019 - 2020,1.33
,,2020 - 2021,1.42
,,2021 - 2022,0.98
,,2022 - 2023,0.38
,Chandauli,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.68
,,2003 - 2004,0.23
,,2007 - 2008,0.22
,,2008 - 2009,0.38
,,2009 - 2010,0.18
,,2010 - 2011,0.45
,,2011 - 2012,0.41
,,2012 - 2013,0.53
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.21
,,2016 - 2017,0.44
,,2017 - 2018,0.4
,,2018 - 2019,0.69
,,2019 - 2020,0.31
,,2020 - 2021,1.06
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Chitrakoot,2000 - 2001,0.34
,,2001 - 2002,0.32
,,2002 - 2003,0.24
,,2003 - 2004,0.31
,,2007 - 2008,0.15
,,2008 - 2009,0.33
,,2009 - 2010,0.09
,,2010 - 2011,0.39
,,2011 - 2012,0.33
,,2012 - 2013,0.43
,,2013 - 2014,0.37
,,2014 - 2015,0.25
,,2015 - 2016,0.17
,,2016 - 2017,0.34
,,2017 - 2018,0.31
,,2018 - 2019,0.38
,,2019 - 2020,0.19
,,2020 - 2021,0.3
,,2021 - 2022,0.31
,,2022 - 2023,0.27
,Deoria,2000 - 2001,0.33
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2007 - 2008,0.33
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,0.5
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.45
,,2019 - 2020,0.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.28
,,2003 - 2004,0.23
,,2007 - 2008,0.2
,,2008 - 2009,0.37
,,2009 - 2010,0.15
,,2010 - 2011,0.6
,,2011 - 2012,0.58
,,2012 - 2013,1.09
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.41
,,2017 - 2018,0.39
,,2018 - 2019,0.42
,,2019 - 2020,0.29
,,2020 - 2021,0.4
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Etawah,2000 - 2001,0.31
,,2001 - 2002,0.28
,,2002 - 2003,0.67
,,2003 - 2004,0.24
,,2007 - 2008,0.21
,,2008 - 2009,0.35
,,2009 - 2010,0.15
,,2010 - 2011,0.47
,,2011 - 2012,0.43
,,2012 - 2013,0.51
,,2013 - 2014,0.33
