state,district,year,tobacco_rabi_yield_tonne_per_hectare
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Gujarat,Ahmadabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,2.0
,,2014 - 2015,1.56
,,2015 - 2016,1.74
,,2016 - 2017,
,,2017 - 2018,3.49
,,2018 - 2019,
,,2019 - 2020,2.58
,,2020 - 2021,2.42
,,2021 - 2022,2.47
,,2022 - 2023,2.47
,Amreli,2010 - 2011,
,,2018 - 2019,
,Anand,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.96
,,2010 - 2011,1.99
,,2011 - 2012,1.81
,,2012 - 2013,1.8
,,2013 - 2014,1.87
,,2014 - 2015,1.97
,,2015 - 2016,2.33
,,2016 - 2017,3.33
,,2017 - 2018,3.48
,,2018 - 2019,1.95
,,2019 - 2020,2.41
,,2020 - 2021,2.15
,,2021 - 2022,2.29
,,2022 - 2023,2.49
,Aravalli,2017 - 2018,3.48
,,2018 - 2019,1.2
,,2019 - 2020,2.57
,,2020 - 2021,1.68
,,2021 - 2022,1.68
,,2022 - 2023,1.72
,Banas kantha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2009 - 2010,1.5
,,2010 - 2011,1.98
,,2011 - 2012,1.79
,,2012 - 2013,1.38
,,2013 - 2014,1.86
,,2014 - 2015,1.56
,,2015 - 2016,1.74
,,2016 - 2017,3.33
,,2017 - 2018,3.48
,,2018 - 2019,1.65
,,2019 - 2020,2.77
,,2020 - 2021,3.01
,,2021 - 2022,2.97
,,2022 - 2023,2.96
,Bharuch,2000 - 2001,
,,2002 - 2003,
,Bhavnagar,2005 - 2006,
,,2021 - 2022,2.0
,Dohad,2019 - 2020,
,Gandhinagar,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,1.88
,,2011 - 2012,1.65
,,2012 - 2013,2.29
,,2013 - 2014,1.83
,,2014 - 2015,1.56
,,2015 - 2016,1.74
,,2016 - 2017,3.33
,,2017 - 2018,3.48
,,2018 - 2019,2.68
,,2019 - 2020,2.5
,,2020 - 2021,2.31
,,2021 - 2022,2.57
,,2022 - 2023,2.5
,Jamnagar,2015 - 2016,1.74
,,2021 - 2022,2.0
,Junagadh,2015 - 2016,
,Kachchh,2014 - 2015,
,Kheda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.52
,,2010 - 2011,2.07
,,2011 - 2012,1.74
,,2012 - 2013,1.41
,,2013 - 2014,1.77
,,2014 - 2015,1.87
,,2015 - 2016,1.69
