state,district,year,bajra_kharif_yield_tonne_per_hectare
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Faridkot,2008 - 2009,1.0
,Fatehgarh sahib,2008 - 2009,1.0
,,2009 - 2010,1.0
,Fazilka,2012 - 2013,1.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,Firozepur,2010 - 2011,1.0
,Gurdaspur,2005 - 2006,1.0
,Kapurthala,2011 - 2012,1.0
,,2021 - 2022,0.63
,Ludhiana,2013 - 2014,1.0
,Mansa,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.5
,,2019 - 2020,0.67
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Moga,2000 - 2001,0.5
,,2019 - 2020,0.5
,Muktsar,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2013 - 2014,1.0
,Rupnagar,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2018 - 2019,0.5
,S.a.s nagar,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2012 - 2013,1.0
,,2021 - 2022,0.7
,Sangrur,2000 - 2001,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,Tarn taran,2006 - 2007,1.0
Rajasthan,Ajmer,2000 - 2001,0.15
,,2001 - 2002,1.07
,,2002 - 2003,0.01
,,2003 - 2004,1.39
,,2004 - 2005,0.51
,,2005 - 2006,0.07
,,2006 - 2007,0.81
,,2007 - 2008,0.98
,,2008 - 2009,0.98
,,2009 - 2010,0.08
,,2010 - 2011,1.36
,,2011 - 2012,1.28
,,2012 - 2013,1.08
,,2013 - 2014,1.23
,,2014 - 2015,1.34
,,2015 - 2016,0.77
,,2016 - 2017,0.98
,,2017 - 2018,1.19
,,2018 - 2019,1.67
,,2019 - 2020,1.52
,,2020 - 2021,1.91
,,2021 - 2022,1.51
,,2022 - 2023,1.39
,Alwar,2000 - 2001,1.29
,,2001 - 2002,1.85
,,2002 - 2003,0.74
,,2003 - 2004,1.73
,,2004 - 2005,1.57
,,2005 - 2006,1.25
,,2006 - 2007,1.8
,,2007 - 2008,1.74
,,2008 - 2009,1.68
,,2009 - 2010,1.13
,,2010 - 2011,1.86
,,2011 - 2012,2.06
,,2012 - 2013,1.98
,,2013 - 2014,1.87
,,2014 - 2015,2.02
,,2015 - 2016,1.78
,,2016 - 2017,2.15
,,2017 - 2018,1.96
,,2018 - 2019,2.08
,,2019 - 2020,2.1
,,2020 - 2021,2.52
,,2021 - 2022,2.42
,,2022 - 2023,2.08
,Banswara,2000 - 2001,0.45
,,2001 - 2002,0.75
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.64
,,2005 - 2006,0.44
,,2006 - 2007,0.7
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.4
,,2010 - 2011,1.11
,,2011 - 2012,1.26
,,2012 - 2013,0.97
,,2013 - 2014,0.94
,,2014 - 2015,1.08
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,0.88
,,2018 - 2019,0.89
,,2019 - 2020,1.18
,,2020 - 2021,1.34
,,2021 - 2022,1.0
,,2022 - 2023,1.33
,Baran,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,0.8
,,2007 - 2008,1.33
,,2008 - 2009,1.23
,,2009 - 2010,0.82
,,2010 - 2011,1.11
,,2011 - 2012,1.31
,,2012 - 2013,1.13
,,2013 - 2014,0.5
,,2014 - 2015,0.66
,,2015 - 2016,0.79
,,2016 - 2017,1.19
,,2017 - 2018,0.88
,,2018 - 2019,0.89
,,2019 - 2020,1.19
,,2020 - 2021,2.3
,,2021 - 2022,1.97
,,2022 - 2023,1.54
,Barmer,2000 - 2001,0.2
,,2001 - 2002,0.26
,,2002 - 2003,0.01
,,2003 - 2004,0.55
,,2004 - 2005,0.23
,,2005 - 2006,0.07
,,2006 - 2007,0.15
,,2007 - 2008,0.17
,,2008 - 2009,0.13
,,2009 - 2010,0.02
,,2010 - 2011,0.56
,,2011 - 2012,0.66
,,2012 - 2013,0.42
,,2013 - 2014,0.43
,,2014 - 2015,0.28
,,2015 - 2016,0.14
,,2016 - 2017,0.15
,,2017 - 2018,0.23
,,2018 - 2019,0.14
,,2019 - 2020,0.62
,,2020 - 2021,0.74
,,2021 - 2022,0.16
,,2022 - 2023,1.22
,Bharatpur,2000 - 2001,1.34
,,2001 - 2002,1.37
,,2002 - 2003,0.36
,,2003 - 2004,1.67
,,2004 - 2005,1.28
,,2005 - 2006,1.21
,,2006 - 2007,1.55
,,2007 - 2008,1.55
,,2008 - 2009,1.57
,,2009 - 2010,1.6
,,2010 - 2011,1.93
,,2011 - 2012,1.96
,,2012 - 2013,1.65
,,2013 - 2014,1.89
,,2014 - 2015,1.78
,,2015 - 2016,1.63
,,2016 - 2017,1.87
,,2017 - 2018,1.47
,,2018 - 2019,1.75
,,2019 - 2020,2.16
,,2020 - 2021,2.29
,,2021 - 2022,2.1
,,2022 - 2023,1.91
,Bhilwara,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,1.72
,,2007 - 2008,0.98
,,2008 - 2009,1.08
,,2009 - 2010,0.19
,,2010 - 2011,1.11
,,2011 - 2012,0.83
,,2012 - 2013,1.86
,,2013 - 2014,1.23
,,2014 - 2015,1.25
,,2015 - 2016,0.79
,,2016 - 2017,1.39
,,2017 - 2018,1.08
,,2018 - 2019,1.58
,,2019 - 2020,0.4
,,2020 - 2021,1.91
,,2021 - 2022,1.51
,,2022 - 2023,1.45
,Bikaner,2000 - 2001,0.19
,,2001 - 2002,0.39
,,2002 - 2003,0.15
,,2003 - 2004,0.99
,,2004 - 2005,0.24
,,2005 - 2006,0.18
,,2006 - 2007,0.15
,,2007 - 2008,0.48
,,2008 - 2009,0.61
,,2009 - 2010,0.08
,,2010 - 2011,0.55
,,2011 - 2012,0.97
,,2012 - 2013,0.21
,,2013 - 2014,0.51
,,2014 - 2015,0.56
,,2015 - 2016,0.32
,,2016 - 2017,0.68
,,2017 - 2018,0.48
,,2018 - 2019,0.35
,,2019 - 2020,0.3
,,2020 - 2021,0.36
,,2021 - 2022,0.34
,,2022 - 2023,0.57
,Bundi,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,0.93
,,2007 - 2008,1.33
,,2008 - 2009,1.23
,,2009 - 2010,0.82
,,2010 - 2011,1.11
,,2011 - 2012,1.31
,,2012 - 2013,1.52
,,2013 - 2014,0.9
,,2014 - 2015,0.92
,,2015 - 2016,1.09
,,2016 - 2017,1.2
,,2017 - 2018,1.71
,,2018 - 2019,0.89
,,2019 - 2020,1.19
,,2020 - 2021,1.42
,,2021 - 2022,1.97
,,2022 - 2023,1.54
,Chittorgarh,2000 - 2001,0.44
,,2001 - 2002,0.75
,,2002 - 2003,0.23
,,2003 - 2004,1.15
,,2004 - 2005,0.65
,,2005 - 2006,0.45
,,2006 - 2007,0.73
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,,2009 - 2010,0.42
,,2010 - 2011,1.13
,,2011 - 2012,1.26
,,2012 - 2013,0.95
,,2013 - 2014,0.9
,,2014 - 2015,1.08
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,0.87
,,2018 - 2019,0.89
,,2019 - 2020,1.19
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,,2022 - 2023,1.29
,Churu,2000 - 2001,0.12
,,2001 - 2002,0.73
,,2002 - 2003,0.02
,,2003 - 2004,0.87
,,2004 - 2005,0.19
,,2005 - 2006,0.13
,,2006 - 2007,0.36
,,2007 - 2008,0.6
,,2008 - 2009,0.78
,,2009 - 2010,0.02
,,2010 - 2011,0.62
,,2011 - 2012,0.73
,,2012 - 2013,0.54
,,2013 - 2014,0.57
,,2014 - 2015,0.65
,,2015 - 2016,0.49
,,2016 - 2017,0.49
,,2017 - 2018,0.4
,,2018 - 2019,0.44
,,2019 - 2020,0.55
,,2020 - 2021,0.72
,,2021 - 2022,0.67
,,2022 - 2023,0.74
,Dausa,2000 - 2001,1.15
,,2001 - 2002,1.56
,,2002 - 2003,0.49
,,2003 - 2004,1.86
,,2004 - 2005,1.14
,,2005 - 2006,0.83
,,2006 - 2007,1.84
,,2007 - 2008,1.76
,,2008 - 2009,1.77
,,2009 - 2010,1.33
,,2010 - 2011,1.43
,,2011 - 2012,1.64
,,2012 - 2013,1.86
,,2013 - 2014,1.73
,,2014 - 2015,1.82
,,2015 - 2016,1.15
,,2016 - 2017,1.62
,,2017 - 2018,1.38
,,2018 - 2019,1.74
,,2019 - 2020,1.97
,,2020 - 2021,1.99
,,2021 - 2022,2.1
,,2022 - 2023,1.99
,Dholpur,2000 - 2001,1.43
,,2001 - 2002,1.51
,,2002 - 2003,1.65
,,2003 - 2004,1.78
,,2004 - 2005,2.45
,,2005 - 2006,1.65
,,2006 - 2007,1.69
,,2007 - 2008,1.86
,,2008 - 2009,1.73
,,2009 - 2010,1.94
,,2010 - 2011,1.8
,,2011 - 2012,2.23
,,2012 - 2013,2.0
,,2013 - 2014,1.95
,,2014 - 2015,2.13
,,2015 - 2016,2.09
,,2016 - 2017,2.01
,,2017 - 2018,2.36
,,2018 - 2019,2.24
,,2019 - 2020,2.23
,,2020 - 2021,2.26
,,2021 - 2022,2.32
,,2022 - 2023,2.29
,Dungarpur,2000 - 2001,0.44
,,2001 - 2002,0.75
,,2002 - 2003,0.23
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,0.7
,,2007 - 2008,0.83
,,2008 - 2009,0.82
,,2009 - 2010,0.39
,,2010 - 2011,1.11
,,2011 - 2012,1.25
,,2012 - 2013,0.97
,,2013 - 2014,0.93
,,2014 - 2015,1.09
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,1.19
,,2020 - 2021,1.38
,,2021 - 2022,1.0
,,2022 - 2023,1.31
,Ganganagar,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,1.49
,,2007 - 2008,1.85
,,2008 - 2009,1.72
,,2009 - 2010,1.03
,,2010 - 2011,1.11
,,2011 - 2012,1.83
,,2012 - 2013,1.62
,,2013 - 2014,1.42
,,2014 - 2015,1.25
,,2015 - 2016,1.18
,,2016 - 2017,1.19
,,2017 - 2018,1.45
,,2018 - 2019,1.53
,,2019 - 2020,1.41
,,2020 - 2021,1.86
,,2021 - 2022,1.27
,,2022 - 2023,1.34
,Hanumangarh,2000 - 2001,0.16
,,2001 - 2002,0.78
,,2002 - 2003,0.08
,,2003 - 2004,0.95
,,2004 - 2005,0.48
,,2005 - 2006,0.94
,,2006 - 2007,0.91
,,2007 - 2008,1.57
,,2008 - 2009,1.61
,,2009 - 2010,0.45
,,2010 - 2011,0.87
,,2011 - 2012,1.38
,,2012 - 2013,1.63
,,2013 - 2014,1.03
,,2014 - 2015,1.31
,,2015 - 2016,0.79
,,2016 - 2017,0.44
,,2017 - 2018,0.51
,,2018 - 2019,0.65
,,2019 - 2020,0.52
,,2020 - 2021,0.74
,,2021 - 2022,1.14
,,2022 - 2023,0.93
,Jaipur,2000 - 2001,0.61
,,2001 - 2002,1.13
,,2002 - 2003,0.4
,,2003 - 2004,1.67
,,2004 - 2005,1.41
,,2005 - 2006,0.78
,,2006 - 2007,1.17
,,2007 - 2008,1.51
,,2008 - 2009,1.54
,,2009 - 2010,0.75
,,2010 - 2011,1.35
,,2011 - 2012,1.56
,,2012 - 2013,1.41
,,2013 - 2014,1.51
,,2014 - 2015,1.64
,,2015 - 2016,1.19
,,2016 - 2017,1.63
,,2017 - 2018,1.49
,,2018 - 2019,1.54
,,2019 - 2020,1.89
,,2020 - 2021,2.15
,,2021 - 2022,1.91
,,2022 - 2023,1.78
,Jaisalmer,2000 - 2001,0.06
,,2001 - 2002,0.18
,,2002 - 2003,0.13
,,2003 - 2004,0.58
,,2004 - 2005,0.0
,,2005 - 2006,0.19
,,2006 - 2007,0.02
,,2007 - 2008,0.21
,,2008 - 2009,0.02
,,2009 - 2010,0.01
,,2010 - 2011,0.47
,,2011 - 2012,0.51
,,2012 - 2013,0.23
,,2013 - 2014,0.1
,,2014 - 2015,0.07
,,2015 - 2016,0.28
,,2016 - 2017,0.09
,,2017 - 2018,0.13
,,2018 - 2019,0.13
,,2019 - 2020,0.21
,,2020 - 2021,0.25
,,2021 - 2022,0.2
,,2022 - 2023,0.31
,Jalore,2000 - 2001,0.31
,,2001 - 2002,0.56
,,2002 - 2003,0.16
,,2003 - 2004,1.26
,,2004 - 2005,0.41
,,2005 - 2006,0.43
,,2006 - 2007,0.83
,,2007 - 2008,0.73
,,2008 - 2009,0.42
,,2009 - 2010,0.05
,,2010 - 2011,0.99
,,2011 - 2012,1.53
,,2012 - 2013,1.23
,,2013 - 2014,0.47
,,2014 - 2015,0.83
,,2015 - 2016,0.35
,,2016 - 2017,0.41
,,2017 - 2018,0.29
,,2018 - 2019,0.15
,,2019 - 2020,1.04
,,2020 - 2021,1.06
,,2021 - 2022,0.32
,,2022 - 2023,0.9
,Jhalawar,2000 - 2001,0.45
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.13
,,2004 - 2005,0.65
,,2005 - 2006,0.44
,,2006 - 2007,0.71
,,2007 - 2008,0.75
,,2008 - 2009,0.83
,,2009 - 2010,0.5
,,2010 - 2011,1.1
,,2011 - 2012,1.2
,,2012 - 2013,1.0
,,2013 - 2014,0.9
,,2014 - 2015,1.08
,,2015 - 2016,0.77
,,2016 - 2017,1.0
,,2017 - 2018,0.91
,,2018 - 2019,0.89
,,2019 - 2020,1.33
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.29
,Jhunjhunu,2000 - 2001,0.53
,,2001 - 2002,1.04
,,2002 - 2003,0.12
,,2003 - 2004,1.4
,,2004 - 2005,0.78
,,2005 - 2006,0.49
,,2006 - 2007,0.81
,,2007 - 2008,0.85
,,2008 - 2009,1.18
,,2009 - 2010,0.41
,,2010 - 2011,1.74
,,2011 - 2012,1.77
,,2012 - 2013,1.08
,,2013 - 2014,1.22
,,2014 - 2015,1.35
,,2015 - 2016,1.0
,,2016 - 2017,1.47
,,2017 - 2018,1.04
,,2018 - 2019,1.46
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.16
,,2022 - 2023,1.27
,Jodhpur,2000 - 2001,0.12
,,2001 - 2002,0.68
,,2002 - 2003,0.7
,,2003 - 2004,1.17
,,2004 - 2005,0.29
,,2005 - 2006,0.16
,,2006 - 2007,0.23
,,2007 - 2008,0.64
,,2008 - 2009,0.41
,,2009 - 2010,0.04
,,2010 - 2011,0.98
,,2011 - 2012,1.15
,,2012 - 2013,0.54
,,2013 - 2014,0.5
,,2014 - 2015,1.12
,,2015 - 2016,0.64
,,2016 - 2017,0.79
,,2017 - 2018,1.0
,,2018 - 2019,0.63
,,2019 - 2020,1.0
,,2020 - 2021,0.97
,,2021 - 2022,0.6
,,2022 - 2023,0.8
,Karauli,2000 - 2001,1.2
,,2001 - 2002,1.03
,,2002 - 2003,0.38
,,2003 - 2004,2.26
,,2004 - 2005,1.65
,,2005 - 2006,1.27
,,2006 - 2007,1.58
,,2007 - 2008,1.76
,,2008 - 2009,1.74
,,2009 - 2010,1.85
,,2010 - 2011,1.9
,,2011 - 2012,1.97
,,2012 - 2013,1.85
,,2013 - 2014,2.03
,,2014 - 2015,2.07
,,2015 - 2016,1.81
,,2016 - 2017,1.94
,,2017 - 2018,2.08
,,2018 - 2019,1.93
,,2019 - 2020,2.22
,,2020 - 2021,2.18
,,2021 - 2022,2.17
,,2022 - 2023,2.31
,Kota,2000 - 2001,0.44
,,2001 - 2002,0.75
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.63
,,2005 - 2006,0.42
,,2006 - 2007,0.68
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.4
,,2010 - 2011,1.11
,,2011 - 2012,1.25
,,2012 - 2013,0.97
,,2013 - 2014,0.93
,,2014 - 2015,1.09
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,1.18
,,2020 - 2021,1.34
,,2021 - 2022,1.0
,,2022 - 2023,1.3
,Nagaur,2000 - 2001,0.56
,,2001 - 2002,0.83
,,2002 - 2003,0.2
,,2003 - 2004,1.22
,,2004 - 2005,0.87
,,2005 - 2006,0.51
,,2006 - 2007,0.75
,,2007 - 2008,0.88
,,2008 - 2009,0.99
,,2009 - 2010,0.35
,,2010 - 2011,1.44
,,2011 - 2012,1.27
,,2012 - 2013,0.29
,,2013 - 2014,0.86
,,2014 - 2015,0.91
,,2015 - 2016,0.7
,,2016 - 2017,1.06
,,2017 - 2018,0.92
,,2018 - 2019,1.02
,,2019 - 2020,0.99
,,2020 - 2021,1.13
,,2021 - 2022,0.95
,,2022 - 2023,1.05
,Pali,2000 - 2001,0.21
,,2001 - 2002,0.55
,,2002 - 2003,0.0
,,2003 - 2004,0.75
,,2004 - 2005,0.67
,,2005 - 2006,0.36
,,2006 - 2007,0.69
,,2007 - 2008,0.77
,,2008 - 2009,0.59
,,2009 - 2010,0.01
,,2010 - 2011,1.05
,,2011 - 2012,0.84
,,2012 - 2013,0.66
,,2013 - 2014,0.56
,,2014 - 2015,0.61
,,2015 - 2016,0.74
,,2016 - 2017,0.75
,,2017 - 2018,0.45
,,2018 - 2019,1.16
,,2019 - 2020,0.89
,,2020 - 2021,1.17
,,2021 - 2022,0.77
,,2022 - 2023,0.95
,Pratapgarh,2008 - 2009,0.83
,,2009 - 2010,0.4
,,2010 - 2011,1.0
,,2011 - 2012,1.29
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.86
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.3
,,2021 - 2022,1.0
,,2022 - 2023,1.29
,Rajsamand,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,0.7
,,2007 - 2008,0.83
,,2008 - 2009,0.82
,,2009 - 2010,0.39
,,2010 - 2011,1.11
,,2011 - 2012,1.25
,,2012 - 2013,0.97
,,2013 - 2014,0.93
,,2014 - 2015,1.09
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,0.88
,,2018 - 2019,0.89
,,2019 - 2020,1.19
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,,2022 - 2023,1.3
,Sawai madhopur,2000 - 2001,0.85
,,2001 - 2002,0.94
,,2002 - 2003,0.36
,,2003 - 2004,1.78
,,2004 - 2005,1.89
,,2005 - 2006,1.47
,,2006 - 2007,1.67
,,2007 - 2008,1.47
,,2008 - 2009,1.57
,,2009 - 2010,1.25
,,2010 - 2011,1.87
,,2011 - 2012,1.71
,,2012 - 2013,1.7
,,2013 - 2014,1.63
,,2014 - 2015,1.75
,,2015 - 2016,1.58
,,2016 - 2017,1.72
,,2017 - 2018,1.55
,,2018 - 2019,1.54
,,2019 - 2020,1.92
,,2020 - 2021,2.31
,,2021 - 2022,1.99
,,2022 - 2023,1.67
,Sikar,2000 - 2001,0.71
,,2001 - 2002,1.07
,,2002 - 2003,0.29
,,2003 - 2004,1.05
,,2004 - 2005,0.9
,,2005 - 2006,0.51
,,2006 - 2007,0.97
,,2007 - 2008,0.89
,,2008 - 2009,1.45
,,2009 - 2010,0.48
,,2010 - 2011,1.31
,,2011 - 2012,1.54
,,2012 - 2013,1.24
,,2013 - 2014,1.33
,,2014 - 2015,1.45
,,2015 - 2016,0.91
,,2016 - 2017,1.47
,,2017 - 2018,0.77
,,2018 - 2019,0.92
,,2019 - 2020,1.32
,,2020 - 2021,1.38
,,2021 - 2022,1.26
,,2022 - 2023,1.12
,Sirohi,2000 - 2001,0.44
,,2001 - 2002,0.74
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.66
,,2005 - 2006,0.43
,,2006 - 2007,0.51
,,2007 - 2008,0.55
,,2008 - 2009,0.54
,,2009 - 2010,0.18
,,2010 - 2011,1.11
,,2011 - 2012,0.7
,,2012 - 2013,1.21
,,2013 - 2014,0.47
,,2014 - 2015,0.85
,,2015 - 2016,0.77
,,2016 - 2017,0.52
,,2017 - 2018,0.0
,,2018 - 2019,0.66
,,2019 - 2020,1.21
,,2020 - 2021,1.16
,,2021 - 2022,0.8
,,2022 - 2023,1.11
,Tonk,2000 - 2001,0.58
,,2001 - 2002,0.69
,,2002 - 2003,0.38
,,2003 - 2004,1.45
,,2004 - 2005,1.19
,,2005 - 2006,0.59
,,2006 - 2007,0.86
,,2007 - 2008,1.23
,,2008 - 2009,1.39
,,2009 - 2010,0.53
,,2010 - 2011,1.54
,,2011 - 2012,1.28
,,2012 - 2013,1.26
,,2013 - 2014,1.31
,,2014 - 2015,1.46
,,2015 - 2016,1.11
,,2016 - 2017,1.46
,,2017 - 2018,1.53
,,2018 - 2019,1.44
,,2019 - 2020,1.31
,,2020 - 2021,1.68
,,2021 - 2022,1.64
,,2022 - 2023,1.49
,Udaipur,2000 - 2001,0.43
,,2001 - 2002,0.76
,,2002 - 2003,0.22
,,2003 - 2004,1.14
,,2004 - 2005,0.65
,,2005 - 2006,0.44
,,2006 - 2007,0.7
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,0.4
,,2010 - 2011,1.09
,,2011 - 2012,1.27
,,2012 - 2013,1.0
,,2013 - 2014,0.93
,,2014 - 2015,1.13
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,1.18
,,2020 - 2021,1.34
,,2021 - 2022,1.0
,,2022 - 2023,1.3
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.54
,,2013 - 2014,3.72
,,2014 - 2015,3.28
,,2015 - 2016,3.55
,,2016 - 2017,4.36
,,2017 - 2018,2.36
,,2018 - 2019,2.33
,,2019 - 2020,3.29
,,2020 - 2021,3.13
,,2021 - 2022,3.24
,,2022 - 2023,3.18
,Chengalpattu,2020 - 2021,2.67
,,2021 - 2022,2.47
,,2022 - 2023,2.75
,Coimbatore,2000 - 2001,1.56
,,2001 - 2002,1.91
,,2002 - 2003,1.1
,,2003 - 2004,1.15
,,2004 - 2005,1.88
,,2005 - 2006,1.81
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.21
,,2013 - 2014,2.29
,,2014 - 2015,3.02
,,2015 - 2016,2.7
,,2016 - 2017,2.95
,,2017 - 2018,2.35
,,2018 - 2019,2.85
,,2019 - 2020,2.8
,,2020 - 2021,2.62
,,2021 - 2022,2.5
,,2022 - 2023,2.72
,Cuddalore,2000 - 2001,1.89
,,2001 - 2002,2.46
,,2002 - 2003,1.78
,,2003 - 2004,1.49
,,2004 - 2005,1.46
,,2005 - 2006,1.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.95
,,2013 - 2014,2.36
,,2014 - 2015,3.3
,,2015 - 2016,2.98
,,2016 - 2017,4.35
,,2017 - 2018,3.82
,,2018 - 2019,3.33
,,2019 - 2020,3.51
,,2020 - 2021,3.26
,,2021 - 2022,3.64
,,2022 - 2023,3.47
,Dharmapuri,2000 - 2001,2.31
,,2001 - 2002,1.51
,,2002 - 2003,1.16
,,2003 - 2004,1.16
,,2004 - 2005,1.13
,,2005 - 2006,1.29
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.21
,,2013 - 2014,2.23
,,2014 - 2015,4.35
,,2015 - 2016,4.45
,,2016 - 2017,2.95
,,2017 - 2018,1.1
,,2018 - 2019,2.85
,,2019 - 2020,2.78
,,2020 - 2021,2.64
,,2021 - 2022,2.51
,,2022 - 2023,2.72
,Dindigul,2000 - 2001,2.11
,,2001 - 2002,1.2
,,2002 - 2003,1.01
,,2003 - 2004,1.22
,,2004 - 2005,1.34
,,2005 - 2006,1.01
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.68
,,2013 - 2014,2.21
,,2014 - 2015,4.87
,,2015 - 2016,3.88
,,2016 - 2017,2.96
,,2017 - 2018,2.36
,,2018 - 2019,2.84
,,2019 - 2020,2.76
,,2020 - 2021,2.63
,,2021 - 2022,2.48
,,2022 - 2023,2.75
,Erode,2000 - 2001,1.84
,,2001 - 2002,1.09
,,2002 - 2003,0.85
,,2003 - 2004,1.09
,,2004 - 2005,1.26
,,2005 - 2006,1.21
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.22
,,2013 - 2014,2.29
,,2014 - 2015,3.02
,,2015 - 2016,2.69
,,2016 - 2017,2.94
,,2017 - 2018,2.35
,,2018 - 2019,2.85
,,2019 - 2020,2.73
,,2020 - 2021,2.63
,,2021 - 2022,2.51
,,2022 - 2023,2.72
,Kallakurichi,2020 - 2021,2.2
,,2021 - 2022,1.64
,,2022 - 2023,1.68
,Kanchipuram,2000 - 2001,2.26
,,2001 - 2002,2.34
,,2002 - 2003,1.85
,,2003 - 2004,1.32
,,2004 - 2005,1.69
,,2005 - 2006,2.17
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.2
,,2013 - 2014,2.27
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.95
,,2017 - 2018,2.37
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,
,Karur,2000 - 2001,0.52
,,2001 - 2002,0.42
,,2002 - 2003,0.25
,,2003 - 2004,0.3
,,2004 - 2005,0.28
,,2005 - 2006,0.26
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.27
,,2013 - 2014,2.25
,,2014 - 2015,1.1
,,2015 - 2016,1.55
,,2016 - 2017,2.95
,,2017 - 2018,2.36
,,2018 - 2019,2.85
,,2019 - 2020,2.77
,,2020 - 2021,2.66
,,2021 - 2022,2.45
,,2022 - 2023,2.73
,Krishnagiri,2004 - 2005,1.4
,,2005 - 2006,0.9
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
