state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2017 - 2018,1.15
,,2018 - 2019,0.98
,,2019 - 2020,1.58
,,2020 - 2021,1.35
,,2021 - 2022,2.17
,,2022 - 2023,1.53
,Warangal,2019 - 2020,1.6
,,2022 - 2023,
,Warangal urban,2019 - 2020,1.56
,,2020 - 2021,2.0
,Yadadri,2019 - 2020,1.56
,,2020 - 2021,2.0
,,2021 - 2022,1.5
The Dadra & Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2021 - 2022,1.67
,,2022 - 2023,1.66
Uttar Pradesh,Azamgarh,2002 - 2003,
,,2003 - 2004,
,Baghpat,2002 - 2003,
,Bahraich,2002 - 2003,
,Ballia,2002 - 2003,
,,2003 - 2004,
,Banda,2003 - 2004,
,Barabanki,2003 - 2004,
,Bareilly,2003 - 2004,
,Basti,2002 - 2003,
,,2003 - 2004,
,Chandauli,2003 - 2004,
,Chitrakoot,2002 - 2003,
,Deoria,2002 - 2003,
,,2003 - 2004,
,Faizabad,2002 - 2003,
,Fatehpur,2002 - 2003,
,,2003 - 2004,
,Firozabad,2003 - 2004,
,Ghaziabad,2002 - 2003,
,Ghazipur,2002 - 2003,
,,2003 - 2004,
,Gonda,2002 - 2003,
,,2003 - 2004,
,Gorakhpur,2002 - 2003,
,,2003 - 2004,
,Jalaun,2003 - 2004,
,Jaunpur,2003 - 2004,
,Jhansi,2003 - 2004,
,Kushi nagar,2002 - 2003,
,,2003 - 2004,
,Maharajganj,2002 - 2003,
,,2003 - 2004,
,Mau,2002 - 2003,
,,2003 - 2004,
,Mirzapur,2002 - 2003,
,,2003 - 2004,
,Moradabad,2003 - 2004,
,Pilibhit,2002 - 2003,
,Pratapgarh,2002 - 2003,
,,2003 - 2004,
,Rae bareli,2002 - 2003,
,,2003 - 2004,
,Sant kabeer nagar,2002 - 2003,
,,2003 - 2004,
,Sant ravidas nagar,2002 - 2003,
,,2003 - 2004,
,Shravasti,2002 - 2003,
,Siddharth nagar,2002 - 2003,
,,2003 - 2004,
,Sitapur,2003 - 2004,
,Sonbhadra,2002 - 2003,
,,2003 - 2004,
,Sultanpur,2002 - 2003,
,,2003 - 2004,
,Unnao,2002 - 2003,
,Varanasi,2003 - 2004,
Uttarakhand,Almora,2000 - 2001,1.09
,,2001 - 2002,1.1
,,2002 - 2003,0.8
,,2003 - 2004,1.04
,,2004 - 2005,1.05
,,2005 - 2006,1.04
,,2006 - 2007,1.21
,,2007 - 2008,1.19
,,2008 - 2009,1.3
,,2009 - 2010,1.06
,,2010 - 2011,1.22
,,2011 - 2012,1.28
,,2012 - 2013,1.19
,,2013 - 2014,1.17
,,2014 - 2015,1.22
,,2015 - 2016,1.2
,,2016 - 2017,1.35
,,2017 - 2018,1.1
,,2018 - 2019,0.97
,,2019 - 2020,1.21
,,2020 - 2021,1.21
,,2021 - 2022,1.29
,,2022 - 2023,1.32
,Bageshwar,2000 - 2001,1.39
,,2001 - 2002,1.28
,,2002 - 2003,0.96
,,2003 - 2004,1.7
,,2004 - 2005,1.24
,,2005 - 2006,1.23
,,2006 - 2007,1.12
,,2007 - 2008,1.42
,,2008 - 2009,1.61
,,2009 - 2010,1.47
,,2010 - 2011,1.15
,,2011 - 2012,1.43
,,2012 - 2013,1.54
,,2013 - 2014,1.48
,,2014 - 2015,1.33
,,2015 - 2016,1.35
,,2016 - 2017,1.61
,,2017 - 2018,1.07
,,2018 - 2019,1.09
,,2019 - 2020,1.56
,,2020 - 2021,1.34
,,2021 - 2022,1.56
,,2022 - 2023,1.46
,Chamoli,2000 - 2001,1.69
,,2001 - 2002,1.26
,,2002 - 2003,1.26
,,2003 - 2004,1.46
,,2004 - 2005,1.61
,,2005 - 2006,1.38
,,2006 - 2007,1.44
,,2007 - 2008,1.52
,,2008 - 2009,1.51
,,2009 - 2010,1.44
,,2010 - 2011,1.49
,,2011 - 2012,1.46
,,2012 - 2013,1.54
,,2013 - 2014,1.53
,,2014 - 2015,1.44
,,2015 - 2016,1.48
,,2016 - 2017,1.52
,,2017 - 2018,1.54
,,2018 - 2019,1.37
,,2019 - 2020,1.46
,,2020 - 2021,1.64
,,2021 - 2022,1.49
,,2022 - 2023,1.6
,Champawat,2000 - 2001,0.9
,,2001 - 2002,1.6
,,2002 - 2003,1.42
,,2003 - 2004,1.53
,,2004 - 2005,1.4
,,2005 - 2006,1.83
,,2006 - 2007,1.1
,,2007 - 2008,1.73
,,2008 - 2009,1.57
,,2009 - 2010,1.17
,,2010 - 2011,1.37
,,2011 - 2012,1.31
,,2012 - 2013,1.4
,,2013 - 2014,1.51
,,2014 - 2015,1.48
,,2015 - 2016,1.6
,,2016 - 2017,1.57
,,2017 - 2018,1.8
,,2018 - 2019,1.58
,,2019 - 2020,1.59
,,2020 - 2021,1.93
,,2021 - 2022,1.52
,,2022 - 2023,1.8
,Dehradun,2000 - 2001,1.5
,,2001 - 2002,1.45
,,2002 - 2003,1.18
,,2003 - 2004,1.47
,,2004 - 2005,1.47
,,2005 - 2006,1.33
,,2006 - 2007,1.34
,,2007 - 2008,1.71
,,2008 - 2009,1.8
,,2009 - 2010,1.39
,,2010 - 2011,1.68
,,2011 - 2012,1.54
,,2012 - 2013,1.34
,,2013 - 2014,1.59
,,2014 - 2015,1.8
,,2015 - 2016,1.42
,,2016 - 2017,1.58
,,2017 - 2018,1.66
,,2018 - 2019,2.12
,,2019 - 2020,1.68
,,2020 - 2021,1.8
,,2021 - 2022,1.93
,,2022 - 2023,1.71
,Nainital,2000 - 2001,1.58
,,2001 - 2002,1.61
,,2002 - 2003,1.29
,,2003 - 2004,1.36
,,2004 - 2005,1.35
,,2005 - 2006,1.46
,,2006 - 2007,1.55
,,2007 - 2008,1.62
,,2008 - 2009,1.26
,,2009 - 2010,1.41
,,2010 - 2011,1.28
,,2011 - 2012,1.48
,,2012 - 2013,1.34
,,2013 - 2014,1.39
,,2014 - 2015,1.5
,,2015 - 2016,1.53
,,2016 - 2017,1.45
,,2017 - 2018,1.63
,,2018 - 2019,1.17
,,2019 - 2020,1.69
,,2020 - 2021,1.57
,,2021 - 2022,1.75
,,2022 - 2023,1.67
,Pauri garhwal,2000 - 2001,1.25
,,2001 - 2002,1.23
,,2002 - 2003,0.8
,,2003 - 2004,1.16
,,2004 - 2005,1.13
,,2005 - 2006,1.14
,,2006 - 2007,1.44
,,2007 - 2008,1.25
,,2008 - 2009,1.3
,,2009 - 2010,1.11
,,2010 - 2011,1.18
,,2011 - 2012,1.31
,,2012 - 2013,1.38
,,2013 - 2014,1.27
,,2014 - 2015,1.36
,,2015 - 2016,1.39
,,2016 - 2017,1.38
,,2017 - 2018,1.35
,,2018 - 2019,1.17
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.4
,,2022 - 2023,1.4
,Pithoragarh,2000 - 2001,1.33
,,2001 - 2002,1.27
,,2002 - 2003,1.28
,,2003 - 2004,1.47
,,2004 - 2005,1.43
,,2005 - 2006,1.43
,,2006 - 2007,1.52
,,2007 - 2008,1.55
,,2008 - 2009,1.45
,,2009 - 2010,1.52
,,2010 - 2011,1.41
,,2011 - 2012,1.48
,,2012 - 2013,1.47
,,2013 - 2014,1.55
,,2014 - 2015,1.42
,,2015 - 2016,1.6
,,2016 - 2017,1.54
,,2017 - 2018,1.55
,,2018 - 2019,1.53
,,2019 - 2020,1.81
,,2020 - 2021,1.6
,,2021 - 2022,1.71
,,2022 - 2023,1.63
,Rudra prayag,2000 - 2001,1.31
,,2001 - 2002,1.13
,,2002 - 2003,1.47
,,2003 - 2004,1.46
,,2004 - 2005,1.23
,,2005 - 2006,1.39
,,2006 - 2007,1.53
,,2007 - 2008,1.74
,,2008 - 2009,1.68
,,2009 - 2010,1.41
,,2010 - 2011,1.7
,,2011 - 2012,1.49
,,2012 - 2013,1.5
,,2013 - 2014,1.64
,,2014 - 2015,1.51
,,2015 - 2016,1.52
,,2016 - 2017,1.59
,,2017 - 2018,1.38
,,2018 - 2019,1.32
,,2019 - 2020,1.31
,,2020 - 2021,1.45
,,2021 - 2022,1.48
,,2022 - 2023,1.58
,Tehri garhwal,2000 - 2001,1.33
,,2001 - 2002,1.05
,,2002 - 2003,1.09
,,2003 - 2004,1.56
,,2004 - 2005,1.36
,,2005 - 2006,1.36
,,2006 - 2007,1.48
,,2007 - 2008,1.6
,,2008 - 2009,1.51
,,2009 - 2010,1.14
,,2010 - 2011,1.4
,,2011 - 2012,1.51
,,2012 - 2013,1.49
,,2013 - 2014,1.46
,,2014 - 2015,1.51
,,2015 - 2016,1.59
,,2016 - 2017,1.73
,,2017 - 2018,1.58
,,2018 - 2019,1.39
,,2019 - 2020,1.54
,,2020 - 2021,1.82
,,2021 - 2022,1.73
,,2022 - 2023,1.65
,Udam singh nagar,2003 - 2004,1.0
,,2005 - 2006,1.46
,,2021 - 2022,1.5
,Uttar kashi,2000 - 2001,1.32
,,2001 - 2002,1.59
,,2002 - 2003,1.3
,,2003 - 2004,1.59
,,2004 - 2005,1.59
,,2005 - 2006,1.51
,,2006 - 2007,1.57
,,2007 - 2008,1.66
,,2008 - 2009,1.79
,,2009 - 2010,1.55
,,2010 - 2011,1.83
,,2011 - 2012,1.85
,,2012 - 2013,1.84
,,2013 - 2014,1.7
,,2014 - 2015,1.75
,,2015 - 2016,1.84
,,2016 - 2017,1.65
,,2017 - 2018,1.76
,,2018 - 2019,1.3
,,2019 - 2020,1.55
,,2020 - 2021,1.74
,,2021 - 2022,1.65
,,2022 - 2023,1.73
West Bengal,Alipurduar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Bankura,2003 - 2004,0.47
,,2004 - 2005,0.35
,Coochbehar,2000 - 2001,0.3
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.37
,,2007 - 2008,0.31
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Darjeeling,2000 - 2001,1.2
,,2001 - 2002,1.15
,,2002 - 2003,1.15
,,2003 - 2004,1.15
,,2004 - 2005,1.2
,,2005 - 2006,1.2
,,2006 - 2007,1.2
,,2007 - 2008,1.2
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dinajpur uttar,2000 - 2001,1.75
,,2001 - 2002,1.37
,,2002 - 2003,1.44
,,2003 - 2004,1.44
,,2004 - 2005,2.0
,,2005 - 2006,1.66
,,2006 - 2007,0.82
,,2007 - 2008,0.82
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Jalpaiguri,2000 - 2001,1.12
,,2001 - 2002,1.11
,,2002 - 2003,0.96
,,2003 - 2004,0.91
,,2004 - 2005,0.88
,,2005 - 2006,0.89
,,2006 - 2007,0.89
,,2007 - 2008,0.89
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kalimpong,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purulia,2000 - 2001,0.26
,,2001 - 2002,0.35
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.29
,,2006 - 2007,0.25
,,2007 - 2008,0.39
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
