state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2005 - 2006,15.32
,,2007 - 2008,13.09
,Kaimur (bhabua),2000 - 2001,21.0
,Katihar,2000 - 2001,46.96
,,2001 - 2002,48.59
,,2002 - 2003,26.45
,,2003 - 2004,19.68
,,2004 - 2005,6.83
,,2005 - 2006,13.54
,,2007 - 2008,9.72
,Khagaria,2000 - 2001,24.41
,,2001 - 2002,15.14
,,2002 - 2003,80.25
,,2003 - 2004,77.52
,,2004 - 2005,12.82
,,2005 - 2006,36.71
,,2007 - 2008,13.07
,Kishanganj,2000 - 2001,31.97
,,2001 - 2002,28.43
,,2002 - 2003,19.19
,,2003 - 2004,8.16
,,2004 - 2005,8.16
,,2005 - 2006,17.81
,,2007 - 2008,12.3
,Madhepura,2000 - 2001,42.37
,,2001 - 2002,13.23
,,2002 - 2003,6.45
,,2003 - 2004,15.74
,,2004 - 2005,37.12
,,2005 - 2006,34.74
,,2007 - 2008,35.93
,Madhubani,2000 - 2001,9.59
,,2001 - 2002,8.15
,,2002 - 2003,9.81
,,2003 - 2004,8.36
,,2004 - 2005,8.02
,,2005 - 2006,9.59
,,2007 - 2008,8.02
,Muzaffarpur,2000 - 2001,4.67
,,2002 - 2003,9.87
,,2003 - 2004,5.96
,,2004 - 2005,9.07
,,2005 - 2006,6.41
