state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2014 - 2015,3.96
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2017 - 2018,1.9
,,2018 - 2019,1.95
,,2019 - 2020,1.75
,,2020 - 2021,1.0
,,2021 - 2022,2.33
,,2022 - 2023,2.33
,Jhunjhunu,2000 - 2001,1.0
,,2001 - 2002,4.0
,,2002 - 2003,2.0
,,2004 - 2005,3.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,1.5
,,2015 - 2016,1.4
,,2016 - 2017,1.0
,,2018 - 2019,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Jodhpur,2000 - 2001,0.6
,,2001 - 2002,1.2
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.3
,,2013 - 2014,0.31
,,2014 - 2015,2.4
,,2015 - 2016,0.24
,,2016 - 2017,2.97
,,2017 - 2018,0.24
,,2018 - 2019,10.0
,,2019 - 2020,15.0
,,2020 - 2021,5.21
,,2021 - 2022,2.09
,,2022 - 2023,15.0
,Karauli,2000 - 2001,2.84
,,2001 - 2002,2.28
,,2002 - 2003,0.1
,,2003 - 2004,5.0
,,2004 - 2005,4.81
,,2005 - 2006,2.87
,,2006 - 2007,3.53
,,2007 - 2008,3.77
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,3.67
,,2011 - 2012,2.35
,,2012 - 2013,3.05
,,2013 - 2014,3.75
,,2014 - 2015,4.0
,,2015 - 2016,2.67
,,2016 - 2017,3.29
,,2017 - 2018,4.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,3.25
,,2021 - 2022,2.5
,,2022 - 2023,2.0
,Kota,2000 - 2001,1.0
,,2001 - 2002,1.0
,Nagaur,2000 - 2001,4.56
,,2001 - 2002,4.16
,,2002 - 2003,2.21
,,2003 - 2004,0.84
,,2004 - 2005,2.11
,,2005 - 2006,1.07
,,2006 - 2007,0.89
,,2007 - 2008,1.09
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,1.34
,,2013 - 2014,2.1
,,2014 - 2015,2.0
,,2015 - 2016,2.22
,,2016 - 2017,4.16
,,2017 - 2018,4.36
,,2018 - 2019,2.24
,,2019 - 2020,2.01
,,2020 - 2021,2.68
,,2021 - 2022,3.39
,,2022 - 2023,1.67
,Pali,2000 - 2001,0.42
,,2001 - 2002,1.03
,,2002 - 2003,0.55
,,2003 - 2004,1.3
,,2004 - 2005,0.86
,,2005 - 2006,0.67
,,2006 - 2007,0.91
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.6
,,2011 - 2012,1.08
,,2012 - 2013,1.07
,,2014 - 2015,3.64
,,2015 - 2016,2.45
,,2016 - 2017,1.8
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2019 - 2020,1.0
,,2020 - 2021,1.67
,Pratapgarh,2013 - 2014,1.0
,,2014 - 2015,0.0
,Rajsamand,2006 - 2007,3.0
,,2007 - 2008,2.0
,,2008 - 2009,0.0
,,2017 - 2018,3.0
,Sawai madhopur,2000 - 2001,1.9
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,3.0
,,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,3.0
,,2011 - 2012,3.0
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.85
,,2017 - 2018,2.5
,,2018 - 2019,1.0
,,2019 - 2020,2.86
,,2020 - 2021,2.83
,,2021 - 2022,1.0
,Sikar,2000 - 2001,3.04
,,2001 - 2002,0.5
,,2002 - 2003,0.06
,,2003 - 2004,1.0
,,2004 - 2005,2.0
,,2005 - 2006,1.37
,,2006 - 2007,12.0
,,2007 - 2008,10.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,5.0
,,2011 - 2012,5.01
,,2012 - 2013,5.0
,,2013 - 2014,12.38
,,2014 - 2015,30.0
,,2015 - 2016,30.0
,,2016 - 2017,29.48
,,2017 - 2018,30.04
,,2018 - 2019,29.91
,,2019 - 2020,30.0
,,2020 - 2021,29.03
,,2021 - 2022,30.0
,,2022 - 2023,29.97
,Sirohi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.82
,,2003 - 2004,1.0
,,2004 - 2005,0.67
,,2005 - 2006,1.0
,,2006 - 2007,0.61
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2011 - 2012,15.0
,,2012 - 2013,15.0
,,2015 - 2016,12.0
,,2018 - 2019,12.0
,,2019 - 2020,15.0
,,2020 - 2021,15.0
,,2021 - 2022,14.55
,,2022 - 2023,15.0
,Tonk,2002 - 2003,4.0
,,2003 - 2004,4.0
,,2004 - 2005,4.0
,,2005 - 2006,4.0
,,2006 - 2007,3.63
,,2007 - 2008,3.42
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,4.0
,,2011 - 2012,3.93
,,2012 - 2013,3.45
,,2013 - 2014,4.0
,,2016 - 2017,3.3
,,2017 - 2018,3.0
,,2018 - 2019,4.0
,,2019 - 2020,3.0
,,2021 - 2022,4.0
,Udaipur,2000 - 2001,1.0
,,2001 - 2002,0.0
,,2003 - 2004,1.17
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2008 - 2009,0.0
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,14.5
,,2014 - 2015,18.0
,,2018 - 2019,25.0
,,2020 - 2021,20.33
,,2022 - 2023,20.33
,Chengalpattu,2020 - 2021,15.0
,Coimbatore,2003 - 2004,14.0
,,2004 - 2005,15.0
,,2006 - 2007,17.0
,,2008 - 2009,13.5
,,2009 - 2010,15.0
,,2013 - 2014,21.0
,,2018 - 2019,20.5
,,2019 - 2020,17.0
,,2020 - 2021,19.0
,,2022 - 2023,19.0
,Cuddalore,2002 - 2003,7.83
,,2003 - 2004,9.0
,,2004 - 2005,11.1
,,2005 - 2006,11.39
,,2006 - 2007,14.59
,,2007 - 2008,10.58
,,2008 - 2009,12.86
,,2009 - 2010,14.57
,,2011 - 2012,20.5
,,2013 - 2014,21.1
,,2014 - 2015,10.68
,,2015 - 2016,10.04
,,2016 - 2017,10.15
,,2017 - 2018,26.3
,,2018 - 2019,27.13
,,2019 - 2020,24.58
,,2020 - 2021,10.48
,,2021 - 2022,15.92
,,2022 - 2023,7.39
,Dharmapuri,2000 - 2001,12.13
,,2002 - 2003,13.67
,,2003 - 2004,14.0
,,2004 - 2005,15.2
,,2005 - 2006,20.86
,,2006 - 2007,16.75
,,2007 - 2008,13.65
,,2008 - 2009,13.3
,,2009 - 2010,14.23
,,2011 - 2012,22.77
,,2013 - 2014,21.11
,,2014 - 2015,17.58
,,2015 - 2016,36.44
,,2016 - 2017,13.91
,,2017 - 2018,14.5
,,2018 - 2019,29.6
,,2019 - 2020,15.18
,,2020 - 2021,18.69
,,2021 - 2022,16.12
,,2022 - 2023,25.08
,Dindigul,2000 - 2001,12.12
,,2002 - 2003,13.66
,,2003 - 2004,14.87
,,2004 - 2005,15.12
,,2005 - 2006,20.85
,,2006 - 2007,16.8
,,2007 - 2008,13.58
,,2008 - 2009,13.29
,,2009 - 2010,16.11
,,2011 - 2012,20.5
,,2013 - 2014,26.81
,,2014 - 2015,23.45
,,2015 - 2016,19.66
,,2016 - 2017,21.75
,,2017 - 2018,44.55
,,2018 - 2019,26.31
,,2019 - 2020,25.2
,,2020 - 2021,19.38
,,2021 - 2022,15.71
,,2022 - 2023,84.0
,Erode,2002 - 2003,13.67
,,2003 - 2004,14.43
,,2004 - 2005,15.11
,,2005 - 2006,20.86
,,2006 - 2007,17.0
,,2007 - 2008,13.67
,,2008 - 2009,13.29
,,2009 - 2010,14.75
,,2014 - 2015,17.5
,,2018 - 2019,22.33
,,2019 - 2020,27.25
,,2020 - 2021,18.14
,,2021 - 2022,21.0
,,2022 - 2023,127.0
,Kallakurichi,2020 - 2021,18.51
,,2021 - 2022,10.0
,,2022 - 2023,19.64
,Kanchipuram,2000 - 2001,7.57
,,2002 - 2003,13.66
,,2003 - 2004,14.48
,,2004 - 2005,15.11
,,2005 - 2006,20.87
,,2006 - 2007,17.0
,,2007 - 2008,13.5
,,2008 - 2009,13.27
,,2011 - 2012,20.5
,,2013 - 2014,21.2
,,2014 - 2015,17.57
,,2015 - 2016,16.5
,,2016 - 2017,7.67
,,2017 - 2018,26.0
,,2018 - 2019,18.0
,Kanniyakumari,2008 - 2009,13.0
,Karur,2000 - 2001,15.45
,,2002 - 2003,14.35
,,2003 - 2004,15.58
,,2004 - 2005,20.92
,,2005 - 2006,25.3
,,2006 - 2007,24.47
,,2007 - 2008,18.96
,,2008 - 2009,25.83
,,2009 - 2010,20.07
,,2011 - 2012,20.82
,,2013 - 2014,27.36
,,2014 - 2015,23.58
,,2015 - 2016,18.62
,,2016 - 2017,9.37
,,2017 - 2018,34.51
,,2018 - 2019,21.5
,,2019 - 2020,22.3
,,2020 - 2021,19.43
,,2021 - 2022,20.35
,,2022 - 2023,26.59
,Krishnagiri,2003 - 2004,14.46
,,2004 - 2005,15.0
,,2005 - 2006,20.89
,,2006 - 2007,16.67
,,2007 - 2008,13.6
,,2008 - 2009,13.33
,,2009 - 2010,14.75
,,2011 - 2012,20.5
,,2016 - 2017,8.75
,,2017 - 2018,26.25
,,2022 - 2023,0.0
,Madurai,2000 - 2001,12.13
,,2002 - 2003,13.67
,,2003 - 2004,14.5
,,2004 - 2005,15.11
,,2005 - 2006,38.13
,,2006 - 2007,38.11
,,2007 - 2008,15.73
,,2008 - 2009,13.3
,,2009 - 2010,12.1
,,2011 - 2012,20.48
,,2013 - 2014,33.53
,,2014 - 2015,17.6
,,2015 - 2016,16.26
,,2016 - 2017,9.23
,,2017 - 2018,26.3
,,2018 - 2019,35.3
,,2019 - 2020,25.79
,,2020 - 2021,10.11
,,2021 - 2022,19.62
,,2022 - 2023,7.68
,Nagapattinam,2002 - 2003,13.67
,,2006 - 2007,17.0
,,2009 - 2010,14.67
,Namakkal,2000 - 2001,12.14
,,2002 - 2003,13.7
,,2004 - 2005,15.0
,,2005 - 2006,20.86
,,2006 - 2007,16.8
,,2007 - 2008,13.49
,,2008 - 2009,18.43
,,2011 - 2012,20.48
,,2013 - 2014,21.12
,,2014 - 2015,17.58
,,2015 - 2016,16.33
,,2017 - 2018,26.5
,,2018 - 2019,27.33
,,2019 - 2020,21.0
,,2020 - 2021,18.6
,,2021 - 2022,18.0
,,2022 - 2023,93.0
,Perambalur,2000 - 2001,12.11
,,2002 - 2003,13.67
,,2003 - 2004,14.48
,,2004 - 2005,15.12
,,2005 - 2006,20.86
,,2006 - 2007,16.82
,,2007 - 2008,13.6
,,2008 - 2009,22.0
,,2009 - 2010,14.75
,,2011 - 2012,20.33
,,2013 - 2014,21.0
,,2015 - 2016,16.2
,,2016 - 2017,9.56
,,2018 - 2019,19.0
,,2019 - 2020,29.0
,,2022 - 2023,0.0
,Pudukkottai,2002 - 2003,13.67
,,2003 - 2004,14.0
,,2005 - 2006,21.0
,,2006 - 2007,17.0
,,2007 - 2008,13.67
,,2009 - 2010,15.0
,,2011 - 2012,20.0
,,2013 - 2014,21.0
,,2014 - 2015,17.67
,,2015 - 2016,16.5
,,2017 - 2018,26.0
,,2019 - 2020,24.25
,,2020 - 2021,18.68
,,2021 - 2022,16.38
,,2022 - 2023,18.68
,Ranipet,2020 - 2021,17.25
,,2021 - 2022,13.0
,,2022 - 2023,32.0
,Salem,2000 - 2001,12.11
,,2002 - 2003,14.0
,,2003 - 2004,14.5
,,2004 - 2005,15.09
,,2005 - 2006,20.86
,,2006 - 2007,16.8
,,2007 - 2008,13.59
,,2008 - 2009,12.21
,,2009 - 2010,14.6
,,2011 - 2012,20.0
,,2013 - 2014,21.0
,,2014 - 2015,17.5
,,2016 - 2017,11.5
,,2017 - 2018,26.33
,,2018 - 2019,27.0
,,2019 - 2020,25.38
,,2020 - 2021,18.75
,,2021 - 2022,16.0
,,2022 - 2023,25.0
,Sivaganga,2002 - 2003,13.6
,,2003 - 2004,14.44
,,2004 - 2005,15.2
,,2005 - 2006,21.0
,,2006 - 2007,17.0
,,2009 - 2010,14.75
,,2011 - 2012,20.67
,,2013 - 2014,21.0
,,2014 - 2015,17.5
,,2015 - 2016,16.5
,,2016 - 2017,13.0
,,2017 - 2018,26.33
,,2019 - 2020,18.0
,,2020 - 2021,16.5
,,2022 - 2023,33.0
,Thanjavur,2000 - 2001,12.2
,,2002 - 2003,13.5
,,2003 - 2004,14.0
,,2004 - 2005,15.13
,,2005 - 2006,20.86
,,2006 - 2007,17.0
,,2008 - 2009,13.0
,,2011 - 2012,20.0
,,2018 - 2019,30.5
,The nilgiris,2000 - 2001,12.0
,,2002 - 2003,13.67
,,2003 - 2004,14.5
,,2004 - 2005,15.33
,,2005 - 2006,21.0
,,2006 - 2007,17.0
,,2009 - 2010,14.5
,Theni,2002 - 2003,13.5
,,2004 - 2005,15.0
,,2005 - 2006,20.8
,,2006 - 2007,17.0
,,2009 - 2010,15.0
,,2015 - 2016,16.0
,,2016 - 2017,8.6
,,2020 - 2021,19.0
,,2022 - 2023,9.5
,Thenkasi,2020 - 2021,21.0
,Thiruvallur,2000 - 2001,12.1
,,2002 - 2003,13.67
,,2003 - 2004,14.49
,,2004 - 2005,15.1
,,2005 - 2006,20.88
,,2006 - 2007,16.78
,,2007 - 2008,13.5
,,2008 - 2009,13.27
,,2009 - 2010,14.6
,,2011 - 2012,20.47
,,2013 - 2014,21.0
,,2014 - 2015,17.5
,,2015 - 2016,16.27
,,2016 - 2017,10.0
,,2017 - 2018,26.32
,,2018 - 2019,27.21
,,2019 - 2020,24.69
,,2020 - 2021,25.03
,,2021 - 2022,21.77
,,2022 - 2023,122.55
,Thiruvarur,2002 - 2003,13.5
,,2003 - 2004,14.5
,,2004 - 2005,15.0
,,2005 - 2006,20.8
,,2006 - 2007,16.67
,,2018 - 2019,27.0
,,2019 - 2020,25.0
,,2020 - 2021,18.68
,,2021 - 2022,16.0
,,2022 - 2023,71.0
,Thoothukudi,2000 - 2001,12.13
,,2002 - 2003,13.67
,,2003 - 2004,14.5
,,2004 - 2005,15.11
,,2005 - 2006,20.85
,,2006 - 2007,16.8
,,2007 - 2008,13.45
,,2008 - 2009,13.33
,,2009 - 2010,14.75
,,2011 - 2012,20.57
,,2013 - 2014,21.0
,,2014 - 2015,17.59
,,2015 - 2016,16.27
,,2016 - 2017,8.67
,,2017 - 2018,26.31
,,2018 - 2019,28.33
,,2019 - 2020,16.0
,,2020 - 2021,18.71
,,2021 - 2022,15.95
,,2022 - 2023,262.0
,Tiruchirappalli,2000 - 2001,12.12
,,2002 - 2003,13.67
,,2003 - 2004,14.48
,,2004 - 2005,15.12
,,2005 - 2006,20.85
,,2006 - 2007,16.79
,,2007 - 2008,13.6
,,2008 - 2009,13.25
,,2009 - 2010,14.6
,,2011 - 2012,20.44
,,2013 - 2014,21.0
,,2014 - 2015,17.67
,,2015 - 2016,16.0
,,2016 - 2017,9.17
,,2017 - 2018,26.33
,,2018 - 2019,24.4
,,2019 - 2020,22.8
,,2020 - 2021,18.8
,,2021 - 2022,21.0
,,2022 - 2023,94.0
,Tirunelveli,2000 - 2001,12.0
,,2002 - 2003,13.65
,,2003 - 2004,14.5
,,2004 - 2005,15.11
,,2005 - 2006,20.86
,,2006 - 2007,16.79
,,2007 - 2008,13.58
,,2008 - 2009,13.29
,,2009 - 2010,14.64
,,2011 - 2012,20.49
,,2013 - 2014,17.56
,,2014 - 2015,14.13
,,2015 - 2016,16.78
,,2016 - 2017,0.0
,,2017 - 2018,30.81
,,2018 - 2019,33.06
,,2019 - 2020,35.85
,,2020 - 2021,30.48
,,2021 - 2022,15.0
,,2022 - 2023,23.09
,Tirupathur,2020 - 2021,21.33
,,2021 - 2022,16.13
,,2022 - 2023,6.27
,Tiruppur,2009 - 2010,14.5
,Tiruvannamalai,2000 - 2001,12.12
,,2002 - 2003,21.5
,,2003 - 2004,22.5
,,2004 - 2005,15.13
,,2005 - 2006,20.85
,,2006 - 2007,16.81
,,2007 - 2008,13.58
,,2008 - 2009,13.27
,,2009 - 2010,14.64
,,2011 - 2012,20.5
,,2013 - 2014,21.13
,,2014 - 2015,16.03
,,2015 - 2016,16.28
,,2016 - 2017,9.32
,,2017 - 2018,26.32
,,2018 - 2019,25.5
,,2019 - 2020,26.55
,,2020 - 2021,12.06
,,2021 - 2022,9.62
,,2022 - 2023,31.93
,Vellore,2002 - 2003,13.75
,,2003 - 2004,14.44
,,2004 - 2005,15.13
,,2005 - 2006,20.86
,,2006 - 2007,16.8
,,2007 - 2008,13.6
,,2008 - 2009,13.27
,,2009 - 2010,14.65
,,2011 - 2012,20.43
,,2013 - 2014,21.0
,,2015 - 2016,16.29
,,2016 - 2017,9.4
,,2019 - 2020,24.6
,,2021 - 2022,16.0
,,2022 - 2023,0.0
,Villupuram,2000 - 2001,10.18
,,2002 - 2003,15.17
,,2003 - 2004,14.07
,,2004 - 2005,10.61
,,2005 - 2006,8.97
,,2006 - 2007,14.12
,,2007 - 2008,11.6
,,2008 - 2009,7.52
,,2009 - 2010,11.12
,,2011 - 2012,12.57
,,2013 - 2014,21.12
,,2014 - 2015,16.23
,,2015 - 2016,13.83
,,2016 - 2017,9.52
,,2017 - 2018,8.16
,,2018 - 2019,9.63
,,2019 - 2020,16.52
,,2020 - 2021,19.5
,,2021 - 2022,14.6
,,2022 - 2023,58.5
,Virudhunagar,2000 - 2001,12.14
,,2002 - 2003,13.66
,,2003 - 2004,14.48
,,2004 - 2005,15.13
,,2005 - 2006,20.86
,,2006 - 2007,16.81
,,2007 - 2008,13.58
,,2008 - 2009,13.28
,,2009 - 2010,14.63
,,2011 - 2012,29.0
,,2013 - 2014,21.0
,,2014 - 2015,17.5
,,2015 - 2016,16.31
,,2016 - 2017,9.5
,,2017 - 2018,26.29
,,2018 - 2019,26.93
,,2019 - 2020,24.38
,,2020 - 2021,22.52
,,2021 - 2022,23.92
,,2022 - 2023,86.33
Telangana,Adilabad,2000 - 2001,13.5
,,2001 - 2002,13.33
,,2002 - 2003,10.8
,,2003 - 2004,7.17
,,2004 - 2005,7.0
,,2005 - 2006,8.38
,,2006 - 2007,9.0
,,2014 - 2015,
,,2015 - 2016,
,Bhadradri,2021 - 2022,
,,2022 - 2023,
,Jagitial,2021 - 2022,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,13.51
,,2001 - 2002,13.28
,,2002 - 2003,10.79
,,2004 - 2005,7.0
,,2005 - 2006,8.5
,,2006 - 2007,9.0
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,13.56
,,2001 - 2002,13.33
,,2002 - 2003,10.67
,,2003 - 2004,7.22
,,2004 - 2005,7.04
,,2005 - 2006,8.4
,,2006 - 2007,8.96
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2011 - 2012,12.83
,,2014 - 2015,
,,2015 - 2016,
,,2022 - 2023,
,Komaram bheem asifabad,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,13.5
,,2004 - 2005,7.06
,,2005 - 2006,8.4
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2021 - 2022,
,,2022 - 2023,
,Medchal,2020 - 2021,
,Nagarkurnool,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Nalgonda,2021 - 2022,
,Nizamabad,2020 - 2021,
,,2021 - 2022,
,Rangareddi,2000 - 2001,13.52
,,2001 - 2002,13.27
,,2002 - 2003,10.81
,,2003 - 2004,7.24
,,2004 - 2005,7.03
,,2005 - 2006,8.41
,,2006 - 2007,9.0
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2010 - 2011,12.83
,,2011 - 2012,12.86
,,2013 - 2014,8.74
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2017 - 2018,
,,2019 - 2020,
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2003 - 2004,7.22
,,2004 - 2005,7.04
,,2005 - 2006,8.42
,,2006 - 2007,8.98
,,2008 - 2009,1.0
,,2009 - 2010,2.02
,,2010 - 2011,10.05
,,2011 - 2012,11.43
,,2013 - 2014,6.4
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,Yadadri,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Uttar Pradesh,Agra,2004 - 2005,11.63
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2004 - 2005,11.62
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2004 - 2005,11.63
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2004 - 2005,11.64
,,2005 - 2006,13.1
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2004 - 2005,11.62
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2004 - 2005,11.62
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2004 - 2005,11.62
,,2005 - 2006,13.07
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2004 - 2005,11.67
,,2005 - 2006,13.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,Bahraich,2004 - 2005,11.63
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2004 - 2005,11.63
,,2005 - 2006,13.05
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2004 - 2005,11.61
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2016 - 2017,
,Banda,2004 - 2005,11.63
,,2005 - 2006,13.1
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2004 - 2005,11.62
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2004 - 2005,11.62
,,2005 - 2006,13.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
