state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2011 - 2012,3.79
,,2012 - 2013,3.98
,,2013 - 2014,3.97
,,2014 - 2015,3.98
,,2015 - 2016,3.98
,,2016 - 2017,4.04
,,2017 - 2018,4.06
,,2018 - 2019,4.47
,,2019 - 2020,4.56
,,2020 - 2021,5.38
,,2021 - 2022,5.38
,,2022 - 2023,5.43
,Lakhimpur,2000 - 2001,3.1
,,2001 - 2002,3.1
,,2002 - 2003,3.1
,,2003 - 2004,3.1
,,2004 - 2005,3.1
,,2005 - 2006,3.11
,,2006 - 2007,3.1
,,2007 - 2008,3.1
,,2008 - 2009,3.1
,,2009 - 2010,3.11
,,2010 - 2011,3.1
,,2011 - 2012,3.26
,,2012 - 2013,3.62
,,2013 - 2014,3.62
,,2014 - 2015,3.63
,,2015 - 2016,3.64
,,2016 - 2017,3.83
,,2017 - 2018,3.85
,,2018 - 2019,4.49
,,2019 - 2020,4.61
,,2020 - 2021,4.61
,,2021 - 2022,4.61
,,2022 - 2023,4.67
,Majuli,2020 - 2021,5.4
,,2021 - 2022,6.4
,,2022 - 2023,5.64
,Marigaon,2000 - 2001,3.2
,,2001 - 2002,3.2
,,2002 - 2003,3.2
,,2003 - 2004,3.25
,,2004 - 2005,3.22
,,2005 - 2006,3.22
,,2006 - 2007,3.23
,,2007 - 2008,3.23
,,2008 - 2009,3.22
,,2009 - 2010,3.21
,,2010 - 2011,3.22
,,2011 - 2012,3.25
,,2012 - 2013,3.35
,,2013 - 2014,3.35
,,2014 - 2015,3.37
,,2015 - 2016,3.39
,,2016 - 2017,3.51
,,2017 - 2018,3.53
,,2018 - 2019,4.32
,,2019 - 2020,4.43
,,2020 - 2021,4.43
,,2021 - 2022,4.43
,,2022 - 2023,4.48
,Nagaon,2000 - 2001,3.2
,,2001 - 2002,3.2
,,2002 - 2003,3.19
,,2003 - 2004,3.19
,,2004 - 2005,3.19
,,2005 - 2006,3.14
,,2006 - 2007,3.16
,,2007 - 2008,3.19
,,2008 - 2009,3.19
,,2009 - 2010,3.16
,,2010 - 2011,3.19
,,2011 - 2012,3.16
,,2012 - 2013,3.27
,,2013 - 2014,11.51
,,2014 - 2015,11.52
,,2015 - 2016,11.53
,,2016 - 2017,11.59
,,2017 - 2018,11.72
,,2018 - 2019,9.65
,,2019 - 2020,9.69
,,2020 - 2021,9.69
,,2021 - 2022,9.69
,,2022 - 2023,9.75
,Nalbari,2000 - 2001,5.63
,,2001 - 2002,5.63
,,2002 - 2003,5.63
,,2003 - 2004,5.63
,,2004 - 2005,5.63
,,2005 - 2006,5.63
,,2006 - 2007,5.63
,,2007 - 2008,5.63
,,2008 - 2009,5.64
,,2009 - 2010,5.63
,,2010 - 2011,5.63
,,2011 - 2012,5.77
,,2012 - 2013,6.76
,,2013 - 2014,6.77
,,2014 - 2015,6.77
,,2015 - 2016,12.47
,,2016 - 2017,12.65
,,2017 - 2018,12.68
,,2018 - 2019,7.22
,,2019 - 2020,7.33
,,2020 - 2021,7.34
,,2021 - 2022,7.33
,,2022 - 2023,7.4
,Sivasagar,2000 - 2001,3.76
,,2001 - 2002,3.76
,,2002 - 2003,3.74
,,2003 - 2004,3.74
,,2004 - 2005,3.74
,,2005 - 2006,3.75
,,2006 - 2007,3.81
,,2007 - 2008,3.53
,,2008 - 2009,3.7
,,2009 - 2010,3.74
,,2010 - 2011,3.66
,,2011 - 2012,3.85
,,2012 - 2013,4.86
,,2013 - 2014,4.85
,,2014 - 2015,4.86
,,2015 - 2016,4.87
,,2016 - 2017,5.09
,,2017 - 2018,3.43
,,2018 - 2019,4.47
,,2019 - 2020,4.58
,,2020 - 2021,4.6
,,2021 - 2022,4.6
,,2022 - 2023,4.79
,Sonitpur,2000 - 2001,3.4
,,2001 - 2002,3.39
,,2002 - 2003,3.39
,,2003 - 2004,3.39
,,2004 - 2005,3.38
,,2005 - 2006,3.39
,,2006 - 2007,3.39
,,2007 - 2008,3.41
,,2008 - 2009,3.42
,,2009 - 2010,3.42
,,2010 - 2011,3.42
,,2011 - 2012,5.15
,,2012 - 2013,5.36
,,2013 - 2014,12.0
,,2014 - 2015,12.02
,,2015 - 2016,12.03
,,2016 - 2017,12.08
,,2017 - 2018,11.46
,,2018 - 2019,9.2
,,2019 - 2020,9.24
,,2020 - 2021,5.93
,,2021 - 2022,5.93
,,2022 - 2023,5.96
,South salmara mancachar,2020 - 2021,5.01
,,2021 - 2022,5.01
,,2022 - 2023,5.02
,Tinsukia,2000 - 2001,3.3
,,2001 - 2002,3.3
,,2002 - 2003,3.3
,,2003 - 2004,3.3
,,2004 - 2005,3.3
,,2005 - 2006,3.31
,,2006 - 2007,3.31
,,2007 - 2008,3.31
,,2008 - 2009,3.39
,,2009 - 2010,3.37
,,2010 - 2011,3.43
,,2011 - 2012,2.38
,,2012 - 2013,3.39
,,2013 - 2014,3.38
,,2014 - 2015,3.39
,,2015 - 2016,3.38
,,2016 - 2017,3.55
,,2017 - 2018,3.57
,,2018 - 2019,4.47
,,2019 - 2020,4.72
,,2020 - 2021,4.6
,,2021 - 2022,4.6
,,2022 - 2023,4.67
,Udalguri,2005 - 2006,2.51
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,8.29
,,2012 - 2013,8.39
,,2013 - 2014,8.4
,,2014 - 2015,8.48
,,2015 - 2016,8.49
,,2016 - 2017,8.64
,,2017 - 2018,8.65
,,2018 - 2019,4.44
,,2019 - 2020,6.72
,,2020 - 2021,6.73
,,2021 - 2022,6.73
,,2022 - 2023,6.76
,West karbi anglong,2020 - 2021,5.54
,,2021 - 2022,5.55
,,2022 - 2023,5.65
Bihar,Araria,2000 - 2001,11.36
,,2001 - 2002,11.26
,,2002 - 2003,12.36
,,2003 - 2004,14.51
,,2004 - 2005,12.04
,,2005 - 2006,15.66
,,2007 - 2008,12.74
,,2008 - 2009,
,Arwal,2003 - 2004,8.1
,,2004 - 2005,8.2
,,2005 - 2006,15.0
,,2007 - 2008,13.0
,,2008 - 2009,
,Aurangabad,2000 - 2001,12.0
,,2001 - 2002,11.73
,,2002 - 2003,11.59
,,2003 - 2004,8.0
,,2004 - 2005,9.5
,,2005 - 2006,15.0
,,2007 - 2008,13.0
,,2008 - 2009,
,Banka,2002 - 2003,14.7
,,2004 - 2005,15.9
,Begusarai,2000 - 2001,12.08
,,2001 - 2002,12.04
,,2002 - 2003,14.71
,,2003 - 2004,13.94
,,2004 - 2005,15.48
,,2005 - 2006,15.7
,,2007 - 2008,13.32
,Bhagalpur,2000 - 2001,12.07
,,2001 - 2002,11.22
,,2002 - 2003,14.73
,,2003 - 2004,13.82
,,2004 - 2005,15.84
,,2005 - 2006,14.94
,,2007 - 2008,13.31
,,2008 - 2009,
,Bhojpur,2005 - 2006,15.0
,,2007 - 2008,14.8
,,2008 - 2009,
,Buxar,2000 - 2001,12.14
,,2001 - 2002,10.33
,Darbhanga,2000 - 2001,12.61
