state,district,year,sunflower_kharif_yield_tonne_per_hectare
,,2017 - 2018,
,Chhindwara,2000 - 2001,0.38
,,2001 - 2002,0.44
,,2002 - 2003,0.3
,,2003 - 2004,0.48
,,2004 - 2005,0.55
,,2005 - 2006,0.55
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.53
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,Damoh,2000 - 2001,0.39
,,2002 - 2003,0.01
,,2004 - 2005,0.33
,,2006 - 2007,0.0
,,2016 - 2017,
,Datia,2004 - 2005,0.0
,,2007 - 2008,
,Dewas,2000 - 2001,0.29
,,2001 - 2002,0.21
,,2002 - 2003,0.28
,,2003 - 2004,0.31
,,2004 - 2005,0.22
,,2005 - 2006,0.38
,,2006 - 2007,0.0
,,2007 - 2008,
,,2008 - 2009,0.0
,Dhar,2004 - 2005,0.22
,,2007 - 2008,
,Guna,2003 - 2004,0.6
,,2012 - 2013,
,Harda,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2016 - 2017,
,Hoshangabad,2003 - 2004,0.47
,,2006 - 2007,0.55
,,2007 - 2008,
,,2015 - 2016,
,,2016 - 2017,
,Indore,2000 - 2001,0.33
,,2001 - 2002,0.31
,Jabalpur,2000 - 2001,0.27
,,2001 - 2002,0.32
,,2002 - 2003,0.14
,,2003 - 2004,0.35
,,2004 - 2005,0.38
,,2005 - 2006,0.4
,,2006 - 2007,0.28
,,2007 - 2008,
,,2008 - 2009,0.28
,Jhabua,2001 - 2002,0.01
,,2002 - 2003,0.33
,,2003 - 2004,0.2
,,2004 - 2005,0.5
,,2007 - 2008,
,Katni,2010 - 2011,0.25
,,2016 - 2017,
,Khandwa,2000 - 2001,0.24
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.36
,,2007 - 2008,
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Khargone,2000 - 2001,0.35
,,2001 - 2002,0.31
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2008 - 2009,0.5
,,2009 - 2010,
,Mandla,2016 - 2017,
,Mandsaur,2000 - 2001,0.26
,,2001 - 2002,0.3
,,2002 - 2003,0.24
,,2003 - 2004,0.29
,,2005 - 2006,0.33
,,2006 - 2007,0.37
,,2007 - 2008,
,,2009 - 2010,
,Narsinghpur,2000 - 2001,0.68
,,2001 - 2002,0.78
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.68
,,2005 - 2006,0.71
,,2006 - 2007,0.7
,,2007 - 2008,
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.65
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,Neemuch,2000 - 2001,0.1
,,2002 - 2003,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,Raisen,2002 - 2003,0.01
,Rajgarh,2000 - 2001,0.13
,,2001 - 2002,0.17
,,2002 - 2003,0.09
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.27
,,2006 - 2007,0.33
,Ratlam,2001 - 2002,0.25
,,2003 - 2004,0.4
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,Rewa,2003 - 2004,0.3
,,2004 - 2005,0.5
,,2005 - 2006,0.0
,,2017 - 2018,0.4
,Sagar,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.44
,,2003 - 2004,0.4
,,2004 - 2005,0.49
,,2005 - 2006,0.5
,,2016 - 2017,
,,2017 - 2018,0.83
,Satna,2009 - 2010,
,Seoni,2000 - 2001,0.2
,,2001 - 2002,0.38
,,2003 - 2004,0.2
,,2005 - 2006,0.25
,,2006 - 2007,0.0
,,2007 - 2008,
,,2013 - 2014,
,,2016 - 2017,
,Shahdol,2000 - 2001,0.25
,,2001 - 2002,0.45
,,2002 - 2003,0.24
,,2003 - 2004,0.27
,Shajapur,2000 - 2001,0.34
,,2001 - 2002,0.3
,,2002 - 2003,0.3
,,2003 - 2004,0.53
,,2004 - 2005,0.33
,,2005 - 2006,0.44
,,2006 - 2007,0.33
,,2007 - 2008,
,,2008 - 2009,0.5
,,2009 - 2010,
,Shivpuri,2000 - 2001,0.2
,,2001 - 2002,0.29
,,2002 - 2003,0.01
,,2004 - 2005,0.0
,,2016 - 2017,
,Sidhi,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2004 - 2005,0.0
,,2016 - 2017,
,Tikamgarh,2016 - 2017,
,Ujjain,2000 - 2001,0.13
,,2001 - 2002,0.12
,,2002 - 2003,0.13
,,2003 - 2004,0.25
,,2004 - 2005,0.17
,,2005 - 2006,0.15
,,2006 - 2007,0.25
,,2007 - 2008,
,,2008 - 2009,0.23
,,2009 - 2010,
,Umaria,2005 - 2006,0.29
,,2008 - 2009,0.43
,,2010 - 2011,0.37
,Vidisha,2000 - 2001,0.25
,,2002 - 2003,0.01
Maharashtra,Ahilyanagar,2000 - 2001,0.5
,,2001 - 2002,0.34
,,2002 - 2003,0.38
,,2003 - 2004,0.27
,,2004 - 2005,0.53
,,2005 - 2006,0.58
,,2006 - 2007,0.51
,,2007 - 2008,0.73
,,2008 - 2009,0.54
,,2009 - 2010,0.33
,,2010 - 2011,0.41
,,2011 - 2012,0.47
,,2012 - 2013,0.36
,,2013 - 2014,0.62
,,2014 - 2015,0.5
,,2015 - 2016,0.2
,,2016 - 2017,0.83
,,2017 - 2018,0.57
,,2018 - 2019,0.18
,,2019 - 2020,1.26
,,2020 - 2021,1.26
,,2021 - 2022,0.67
,,2022 - 2023,0.6
,Akola,2000 - 2001,0.5
,,2001 - 2002,0.35
,,2002 - 2003,0.53
,,2003 - 2004,0.36
,,2004 - 2005,0.4
,,2005 - 2006,0.56
,,2006 - 2007,0.53
,,2007 - 2008,0.56
,,2008 - 2009,0.53
,,2009 - 2010,0.42
,,2010 - 2011,0.54
,,2011 - 2012,0.56
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.41
,Amravati,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.53
,,2008 - 2009,0.53
,,2009 - 2010,0.42
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.12
,,2016 - 2017,0.24
,,2017 - 2018,0.43
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,Beed,2000 - 2001,0.48
,,2001 - 2002,0.34
,,2002 - 2003,0.47
,,2003 - 2004,0.37
,,2004 - 2005,0.51
,,2005 - 2006,0.59
,,2006 - 2007,0.54
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.53
,,2010 - 2011,0.59
,,2011 - 2012,0.58
,,2012 - 2013,0.42
,,2013 - 2014,0.5
,,2014 - 2015,0.35
,,2015 - 2016,0.06
,,2016 - 2017,0.06
,,2017 - 2018,0.9
,,2019 - 2020,0.38
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.39
,Bhandara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,
,,2019 - 2020,0.0
,Buldhana,2000 - 2001,0.47
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.4
,,2005 - 2006,0.05
,,2006 - 2007,0.56
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.0
,,2015 - 2016,0.14
,,2016 - 2017,0.23
,,2017 - 2018,
,,2018 - 2019,0.13
,,2019 - 2020,0.47
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,
,Chandrapur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,Chhatrapati Sambhajinagar,2000 - 2001,0.48
,,2001 - 2002,0.33
,,2002 - 2003,0.47
,,2003 - 2004,0.37
,,2004 - 2005,0.52
,,2005 - 2006,0.37
,,2006 - 2007,0.54
,,2007 - 2008,0.51
,,2008 - 2009,0.47
,,2009 - 2010,0.53
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.03
,,2016 - 2017,0.06
,,2017 - 2018,0.9
,,2019 - 2020,0.35
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.5
,Dharashiv,2000 - 2001,0.47
,,2001 - 2002,0.25
,,2002 - 2003,0.53
,,2003 - 2004,0.27
,,2004 - 2005,0.42
,,2005 - 2006,0.54
,,2006 - 2007,0.57
,,2007 - 2008,0.48
,,2008 - 2009,0.53
,,2009 - 2010,0.46
,,2010 - 2011,0.49
,,2011 - 2012,0.55
,,2012 - 2013,0.34
,,2013 - 2014,0.63
,,2014 - 2015,0.24
,,2015 - 2016,0.14
,,2016 - 2017,0.24
,,2017 - 2018,0.42
,,2018 - 2019,0.17
,,2019 - 2020,0.29
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.37
,Dhule,2000 - 2001,0.67
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.42
,,2013 - 2014,1.0
,,2015 - 2016,
,,2016 - 2017,0.34
,,2017 - 2018,
,,2019 - 2020,0.33
,,2021 - 2022,
,,2022 - 2023,
,Gadchiroli,2000 - 2001,
,,2001 - 2002,
,,2017 - 2018,
,,2022 - 2023,
,Gondia,2020 - 2021,
,,2022 - 2023,
,Hingoli,2000 - 2001,0.5
,,2001 - 2002,0.59
,,2002 - 2003,0.71
,,2003 - 2004,0.75
,,2004 - 2005,0.2
,,2005 - 2006,0.6
,,2006 - 2007,0.4
,,2007 - 2008,0.8
,,2008 - 2009,0.36
,,2009 - 2010,0.57
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.4
,,2016 - 2017,
,,2019 - 2020,0.5
,,2021 - 2022,
,,2022 - 2023,
,Jalgaon,2000 - 2001,0.54
,,2001 - 2002,0.33
,,2002 - 2003,0.4
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,0.71
,,2008 - 2009,0.55
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.44
,,2012 - 2013,0.25
,,2013 - 2014,0.5
,,2015 - 2016,
,,2016 - 2017,0.33
,,2017 - 2018,0.56
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalna,2000 - 2001,0.47
,,2001 - 2002,0.33
,,2002 - 2003,0.48
,,2003 - 2004,0.36
,,2004 - 2005,0.52
,,2005 - 2006,0.37
,,2006 - 2007,0.54
,,2007 - 2008,0.5
,,2008 - 2009,0.47
,,2009 - 2010,0.54
,,2010 - 2011,0.59
,,2011 - 2012,0.63
,,2012 - 2013,0.5
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.03
,,2016 - 2017,0.06
,,2018 - 2019,0.0
,,2019 - 2020,0.27
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,
,Kolhapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.42
,,2010 - 2011,0.0
,,2011 - 2012,0.5
,,2012 - 2013,0.3
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.1
,,2016 - 2017,0.35
,,2017 - 2018,0.57
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latur,2000 - 2001,0.53
,,2001 - 2002,0.41
,,2002 - 2003,0.51
,,2003 - 2004,0.49
,,2004 - 2005,0.45
,,2005 - 2006,0.54
,,2006 - 2007,0.41
,,2007 - 2008,0.63
,,2008 - 2009,0.53
,,2009 - 2010,0.3
,,2010 - 2011,0.72
,,2011 - 2012,0.66
,,2012 - 2013,0.64
,,2013 - 2014,0.69
,,2014 - 2015,0.21
,,2015 - 2016,0.14
,,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.12
,,2019 - 2020,0.41
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.37
,Nagpur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.24
,,2017 - 2018,0.42
,,2018 - 2019,0.0
,Nanded,2000 - 2001,0.48
,,2001 - 2002,0.36
,,2002 - 2003,0.53
,,2003 - 2004,0.39
,,2004 - 2005,0.43
,,2005 - 2006,0.55
,,2006 - 2007,0.54
,,2007 - 2008,0.55
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.55
,,2011 - 2012,0.6
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.23
,,2015 - 2016,0.17
,,2016 - 2017,0.25
,,2017 - 2018,
,,2018 - 2019,0.13
,,2019 - 2020,0.29
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Nandurbar,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2004 - 2005,0.56
,,2005 - 2006,0.63
,,2006 - 2007,0.5
,,2007 - 2008,0.8
,,2008 - 2009,0.57
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.08
,,2016 - 2017,0.36
,,2017 - 2018,0.54
,,2018 - 2019,0.17
,,2019 - 2020,0.79
,,2020 - 2021,0.68
,,2021 - 2022,0.57
,,2022 - 2023,0.47
,Nashik,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.09
,,2016 - 2017,0.34
,,2017 - 2018,0.56
,,2019 - 2020,0.15
,,2020 - 2021,0.68
,,2021 - 2022,
,,2022 - 2023,
,Palghar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.17
,,2020 - 2021,
,,2021 - 2022,
,Parbhani,2000 - 2001,0.42
,,2001 - 2002,0.74
,,2002 - 2003,0.56
,,2003 - 2004,0.66
,,2004 - 2005,0.4
,,2005 - 2006,0.57
,,2006 - 2007,0.56
,,2007 - 2008,0.67
,,2008 - 2009,0.55
,,2009 - 2010,0.39
,,2010 - 2011,0.71
,,2011 - 2012,0.57
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.17
,,2015 - 2016,0.08
,,2016 - 2017,0.26
,,2017 - 2018,0.33
,,2018 - 2019,0.1
,,2019 - 2020,0.11
,,2020 - 2021,0.41
,,2022 - 2023,
,Pune,2000 - 2001,0.53
,,2001 - 2002,0.31
,,2002 - 2003,0.36
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.53
,,2007 - 2008,0.73
,,2008 - 2009,0.6
,,2009 - 2010,0.33
,,2010 - 2011,0.38
,,2011 - 2012,0.43
,,2012 - 2013,0.38
,,2013 - 2014,0.67
,,2014 - 2015,0.5
,,2015 - 2016,0.13
,,2016 - 2017,0.36
,,2017 - 2018,0.58
,,2019 - 2020,0.25
,,2020 - 2021,0.68
,,2021 - 2022,0.57
,,2022 - 2023,0.47
,Ratnagiri,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,Sangli,2000 - 2001,0.5
,,2001 - 2002,0.32
,,2002 - 2003,0.39
,,2003 - 2004,0.27
,,2004 - 2005,0.51
,,2005 - 2006,0.59
,,2006 - 2007,0.51
,,2007 - 2008,0.72
,,2008 - 2009,0.54
,,2009 - 2010,0.44
,,2010 - 2011,0.4
,,2011 - 2012,0.5
,,2012 - 2013,0.31
,,2013 - 2014,0.57
,,2014 - 2015,0.48
,,2015 - 2016,0.1
,,2016 - 2017,0.35
,,2017 - 2018,0.57
,,2018 - 2019,0.0
,,2019 - 2020,0.2
,,2020 - 2021,0.68
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Satara,2000 - 2001,0.53
,,2001 - 2002,0.35
,,2002 - 2003,0.39
,,2003 - 2004,0.23
,,2004 - 2005,0.52
,,2005 - 2006,0.59
,,2006 - 2007,0.5
,,2007 - 2008,0.71
,,2008 - 2009,0.57
,,2009 - 2010,0.33
,,2010 - 2011,0.43
,,2011 - 2012,0.4
,,2012 - 2013,0.25
,,2013 - 2014,0.6
,,2014 - 2015,0.45
,,2015 - 2016,0.1
,,2016 - 2017,0.35
,,2017 - 2018,0.57
,,2018 - 2019,0.25
,,2019 - 2020,0.48
,,2020 - 2021,0.68
,,2021 - 2022,0.57
,,2022 - 2023,0.58
,Sindhudurg,2015 - 2016,
,,2016 - 2017,
,Solapur,2000 - 2001,0.51
,,2001 - 2002,0.33
,,2002 - 2003,0.38
,,2003 - 2004,0.28
,,2004 - 2005,0.53
,,2005 - 2006,0.59
,,2006 - 2007,0.51
,,2007 - 2008,0.73
,,2008 - 2009,0.54
,,2009 - 2010,0.33
,,2010 - 2011,0.41
,,2011 - 2012,0.46
,,2012 - 2013,0.33
,,2013 - 2014,0.61
,,2014 - 2015,0.47
,,2015 - 2016,0.13
,,2016 - 2017,0.33
,,2017 - 2018,0.56
,,2018 - 2019,0.17
,,2019 - 2020,0.35
,,2020 - 2021,0.6
,,2021 - 2022,0.56
,,2022 - 2023,0.47
,Thane,2015 - 2016,
,,2016 - 2017,
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2016 - 2017,
,Washim,2000 - 2001,0.5
,,2001 - 2002,0.25
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2016 - 2017,
,,2019 - 2020,0.0
,Yavatmal,2000 - 2001,0.5
,,2001 - 2002,0.4
,,2002 - 2003,0.67
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2017 - 2018,
Mizoram,Lawngtlai,2004 - 2005,0.45
,Saiha,2004 - 2005,0.59
Nagaland,Chumoukedima,2022 - 2023,0.91
,Dimapur,2000 - 2001,0.74
,,2001 - 2002,1.13
,,2002 - 2003,2.28
,,2003 - 2004,1.05
,,2004 - 2005,0.67
,,2005 - 2006,0.63
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,0.75
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kiphire,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.75
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,1.0
,,2022 - 2023,0.83
,Kohima,2000 - 2001,0.77
,,2001 - 2002,1.67
,,2002 - 2003,1.79
,,2003 - 2004,2.5
,,2007 - 2008,0.95
,,2008 - 2009,0.75
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.83
,,2014 - 2015,0.86
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,Longleng,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Mokokchung,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,1.67
,,2003 - 2004,2.14
,,2004 - 2005,0.87
,,2005 - 2006,0.83
,,2006 - 2007,0.67
,,2007 - 2008,1.1
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.8
,,2022 - 2023,0.9
,Mon,2000 - 2001,0.75
,,2001 - 2002,1.09
,,2002 - 2003,2.09
,,2003 - 2004,2.27
,,2008 - 2009,1.0
,,2009 - 2010,0.33
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Nuiland,2022 - 2023,0.88
,Peren,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,0.8
,Phek,2000 - 2001,0.74
,,2001 - 2002,1.25
,,2002 - 2003,1.92
,,2003 - 2004,1.89
,,2006 - 2007,
,,2007 - 2008,1.05
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.75
,,2022 - 2023,0.83
,Shamator,2022 - 2023,0.92
,Tuensang,2000 - 2001,0.75
,,2001 - 2002,1.1
,,2002 - 2003,1.64
,,2003 - 2004,1.58
,,2008 - 2009,0.67
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.83
,,2014 - 2015,0.86
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,1.29
,,2022 - 2023,0.94
,Wokha,2000 - 2001,0.77
,,2001 - 2002,1.0
,,2002 - 2003,1.61
,,2003 - 2004,2.56
,,2004 - 2005,
,,2007 - 2008,0.65
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Zunheboto,2000 - 2001,0.73
,,2001 - 2002,1.17
,,2002 - 2003,1.53
,,2003 - 2004,2.44
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,0.67
,,2013 - 2014,0.83
,,2014 - 2015,0.86
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,1.0
,,2022 - 2023,0.91
Odisha,Anugul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,0.43
,,2004 - 2005,
,,2019 - 2020,
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Bargarh,2000 - 2001,0.4
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.44
,,2004 - 2005,
,,2019 - 2020,
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.67
,,2004 - 2005,
,,2019 - 2020,
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Dhenkanal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,0.47
,,2004 - 2005,
,,2019 - 2020,
,Gajapati,2000 - 2001,0.4
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,
,,2019 - 2020,
,Ganjam,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.5
,,2004 - 2005,
,,2019 - 2020,
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.5
,,2004 - 2005,
,,2019 - 2020,
,Kandhamal,2000 - 2001,
,,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2003 - 2004,0.57
,,2004 - 2005,
,,2019 - 2020,0.71
,Kendrapara,2000 - 2001,
,,2001 - 2002,
