state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2015 - 2016,0.51
,,2016 - 2017,0.0
,,2017 - 2018,0.55
,,2018 - 2019,0.53
,,2019 - 2020,0.64
,,2020 - 2021,0.46
,,2021 - 2022,0.2
,,2022 - 2023,0.59
,Davangere,2000 - 2001,0.77
,,2001 - 2002,0.78
,,2002 - 2003,0.65
,,2003 - 2004,0.42
,,2004 - 2005,0.24
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.84
,,2008 - 2009,0.8
,,2009 - 2010,1.0
,,2010 - 2011,0.9
,,2011 - 2012,0.61
,,2014 - 2015,1.0
,,2015 - 2016,0.4
,,2018 - 2019,0.61
,,2019 - 2020,0.92
,,2020 - 2021,0.69
,,2021 - 2022,0.81
,,2022 - 2023,0.89
,Dharwad,2000 - 2001,0.94
,,2001 - 2002,0.55
,,2002 - 2003,0.49
,,2003 - 2004,0.15
,,2004 - 2005,0.66
,,2005 - 2006,1.06
,,2006 - 2007,1.15
,,2007 - 2008,1.14
,,2008 - 2009,1.55
,,2009 - 2010,0.96
,,2010 - 2011,1.18
,,2011 - 2012,0.48
,,2012 - 2013,0.34
,,2013 - 2014,0.56
,,2014 - 2015,0.65
,,2015 - 2016,0.27
,,2016 - 2017,0.13
,,2017 - 2018,0.62
,,2018 - 2019,0.4
,,2019 - 2020,0.99
,,2020 - 2021,0.55
,,2021 - 2022,0.73
,,2022 - 2023,0.79
,Gadag,2000 - 2001,0.81
,,2001 - 2002,0.78
,,2002 - 2003,0.32
,,2003 - 2004,0.36
,,2004 - 2005,0.57
,,2005 - 2006,0.75
,,2006 - 2007,0.46
,,2007 - 2008,1.06
,,2008 - 2009,0.98
,,2009 - 2010,0.94
,,2010 - 2011,0.78
,,2011 - 2012,0.54
,,2012 - 2013,0.75
,,2013 - 2014,0.64
,,2014 - 2015,0.96
,,2015 - 2016,0.37
,,2016 - 2017,0.13
,,2017 - 2018,0.49
,,2018 - 2019,0.26
,,2019 - 2020,0.6
,,2020 - 2021,0.54
,,2021 - 2022,0.58
,,2022 - 2023,0.54
,Gulbarga,2000 - 2001,0.76
,,2001 - 2002,0.78
,,2002 - 2003,0.72
,,2003 - 2004,0.47
,,2004 - 2005,0.43
,,2005 - 2006,0.7
,,2006 - 2007,0.66
,,2007 - 2008,0.68
,,2008 - 2009,0.63
,,2009 - 2010,0.75
,,2010 - 2011,0.56
,,2011 - 2012,0.67
,,2012 - 2013,0.93
,,2013 - 2014,1.15
,,2014 - 2015,0.75
,,2015 - 2016,0.42
,,2016 - 2017,0.96
,,2017 - 2018,0.9
,,2018 - 2019,0.94
