state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2018 - 2019,2.45
,,2019 - 2020,2.23
,,2020 - 2021,1.81
,,2021 - 2022,2.3
,,2022 - 2023,1.21
,Pulwama,2000 - 2001,1.66
,,2001 - 2002,0.7
,,2002 - 2003,1.38
,,2003 - 2004,2.06
,,2004 - 2005,1.36
,,2006 - 2007,1.82
,,2007 - 2008,1.82
,,2008 - 2009,1.03
,,2009 - 2010,2.07
,,2010 - 2011,1.6
,,2011 - 2012,1.67
,,2012 - 2013,1.58
,,2013 - 2014,1.58
,,2015 - 2016,0.73
,,2016 - 2017,0.8
,,2017 - 2018,1.67
,,2018 - 2019,1.07
,,2019 - 2020,1.06
,,2020 - 2021,2.19
,,2021 - 2022,4.63
,,2022 - 2023,2.38
,Rajauri,2000 - 2001,0.05
,,2001 - 2002,1.03
,,2002 - 2003,1.56
,,2003 - 2004,1.93
,,2004 - 2005,1.92
,,2006 - 2007,1.93
,,2007 - 2008,1.93
,,2008 - 2009,1.84
,,2009 - 2010,1.07
,,2010 - 2011,1.57
,,2011 - 2012,1.56
,,2012 - 2013,1.71
,,2013 - 2014,1.71
,,2015 - 2016,1.54
,,2016 - 2017,1.32
,,2017 - 2018,1.75
,,2018 - 2019,2.3
,,2019 - 2020,1.56
,,2020 - 2021,1.89
,,2021 - 2022,1.79
,,2022 - 2023,1.84
,Ramban,2007 - 2008,1.41
,,2008 - 2009,0.59
,,2009 - 2010,0.93
,,2010 - 2011,1.2
,,2011 - 2012,1.12
,,2012 - 2013,0.64
,,2013 - 2014,0.64
,,2015 - 2016,0.94
,,2016 - 2017,0.87
,,2017 - 2018,0.83
,,2018 - 2019,1.44
,,2019 - 2020,1.34
,,2020 - 2021,1.58
,,2021 - 2022,0.89
,,2022 - 2023,1.1
,Reasi,2007 - 2008,1.46
,,2008 - 2009,1.04
,,2009 - 2010,0.6
,,2010 - 2011,1.34
,,2011 - 2012,1.02
,,2012 - 2013,1.21
,,2013 - 2014,1.21
,,2015 - 2016,1.05
,,2016 - 2017,1.67
,,2017 - 2018,1.34
,,2018 - 2019,1.78
,,2019 - 2020,1.91
,,2020 - 2021,1.47
,,2021 - 2022,1.56
,,2022 - 2023,1.58
,Samba,2007 - 2008,2.12
,,2008 - 2009,2.77
,,2009 - 2010,0.73
,,2010 - 2011,1.62
,,2011 - 2012,1.74
,,2012 - 2013,1.39
,,2013 - 2014,1.39
,,2015 - 2016,2.69
,,2016 - 2017,1.87
,,2017 - 2018,2.16
,,2018 - 2019,2.12
,,2019 - 2020,2.12
,,2020 - 2021,1.96
,,2021 - 2022,2.13
,,2022 - 2023,2.15
,Srinagar,2000 - 2001,2.0
,,2001 - 2002,1.67
,,2002 - 2003,2.0
,,2003 - 2004,1.11
,,2004 - 2005,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,3.33
,,2009 - 2010,3.33
,,2010 - 2011,3.33
,Udhampur,2000 - 2001,0.15
,,2001 - 2002,1.17
,,2002 - 2003,1.26
,,2003 - 2004,1.44
,,2004 - 2005,1.45
,,2006 - 2007,1.46
,,2007 - 2008,1.46
,,2008 - 2009,1.26
,,2009 - 2010,0.68
,,2010 - 2011,1.37
,,2011 - 2012,1.47
,,2012 - 2013,1.61
,,2013 - 2014,1.61
,,2015 - 2016,1.65
,,2016 - 2017,1.56
,,2017 - 2018,1.7
,,2018 - 2019,1.86
,,2019 - 2020,1.47
,,2020 - 2021,1.83
,,2021 - 2022,1.58
,,2022 - 2023,1.66
Jharkhand,Bokaro,2002 - 2003,1.11
,,2003 - 2004,0.69
,,2004 - 2005,1.17
,,2005 - 2006,0.47
,,2006 - 2007,0.85
,,2007 - 2008,1.05
,,2008 - 2009,1.18
,,2009 - 2010,1.32
,,2010 - 2011,1.21
,,2011 - 2012,1.75
,,2012 - 2013,2.05
,,2013 - 2014,1.95
,,2014 - 2015,1.45
,,2015 - 2016,1.21
,,2016 - 2017,2.23
,,2017 - 2018,3.75
,,2018 - 2019,1.47
,,2019 - 2020,2.17
,,2020 - 2021,3.5
,,2021 - 2022,2.7
,,2022 - 2023,2.4
,Chatra,2002 - 2003,1.37
,,2003 - 2004,1.06
,,2004 - 2005,0.91
,,2005 - 2006,0.98
,,2006 - 2007,1.22
,,2007 - 2008,1.4
,,2008 - 2009,1.21
,,2009 - 2010,1.43
,,2010 - 2011,0.84
,,2011 - 2012,1.28
,,2012 - 2013,2.18
,,2013 - 2014,2.45
,,2014 - 2015,2.7
,,2015 - 2016,2.06
,,2016 - 2017,2.61
,,2017 - 2018,1.99
,,2018 - 2019,2.38
,,2019 - 2020,1.52
,,2020 - 2021,1.92
,,2021 - 2022,1.88
,,2022 - 2023,1.95
,Deoghar,2002 - 2003,1.28
,,2003 - 2004,1.82
,,2004 - 2005,1.63
,,2005 - 2006,1.05
,,2006 - 2007,1.52
,,2007 - 2008,1.78
,,2008 - 2009,1.99
,,2009 - 2010,1.73
,,2010 - 2011,1.68
,,2011 - 2012,1.82
,,2012 - 2013,1.78
,,2013 - 2014,1.4
,,2014 - 2015,1.39
,,2015 - 2016,1.49
,,2016 - 2017,1.98
,,2017 - 2018,2.1
,,2018 - 2019,2.5
,,2019 - 2020,2.6
,,2020 - 2021,2.6
,,2021 - 2022,2.6
,,2022 - 2023,2.5
,Dhanbad,2002 - 2003,1.66
,,2003 - 2004,1.63
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,1.29
,,2007 - 2008,1.55
,,2008 - 2009,1.6
,,2009 - 2010,1.4
,,2010 - 2011,1.4
,,2011 - 2012,1.86
,,2012 - 2013,1.7
,,2013 - 2014,2.06
,,2014 - 2015,1.8
,,2015 - 2016,1.75
,,2016 - 2017,1.53
,,2017 - 2018,2.15
,,2018 - 2019,2.5
,,2019 - 2020,2.13
,,2020 - 2021,2.12
,,2021 - 2022,2.5
,,2022 - 2023,2.1
,Dumka,2002 - 2003,1.8
,,2003 - 2004,1.47
,,2004 - 2005,1.74
,,2005 - 2006,1.37
,,2006 - 2007,1.56
,,2007 - 2008,1.68
,,2008 - 2009,1.64
,,2009 - 2010,1.43
,,2010 - 2011,1.32
,,2011 - 2012,1.6
,,2012 - 2013,2.35
,,2013 - 2014,1.64
,,2014 - 2015,1.45
,,2015 - 2016,2.06
,,2016 - 2017,2.35
,,2017 - 2018,1.58
,,2018 - 2019,2.25
,,2019 - 2020,2.25
,,2020 - 2021,2.27
,,2021 - 2022,2.29
,,2022 - 2023,2.1
,East singhbum,2003 - 2004,1.36
,,2004 - 2005,1.21
,,2005 - 2006,0.82
,,2006 - 2007,1.31
,,2007 - 2008,1.33
,,2008 - 2009,1.19
,,2009 - 2010,1.05
,,2010 - 2011,0.64
,,2011 - 2012,1.33
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.3
,,2015 - 2016,0.89
,,2016 - 2017,1.46
,,2017 - 2018,2.18
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.6
,,2021 - 2022,1.9
,,2022 - 2023,2.1
,Garhwa,2002 - 2003,1.04
,,2003 - 2004,1.24
,,2004 - 2005,0.76
,,2005 - 2006,0.62
,,2006 - 2007,0.73
,,2007 - 2008,1.13
,,2008 - 2009,0.78
,,2009 - 2010,0.83
,,2010 - 2011,0.89
,,2011 - 2012,1.49
,,2012 - 2013,1.78
,,2013 - 2014,0.16
,,2014 - 2015,1.62
,,2015 - 2016,1.76
,,2016 - 2017,1.75
,,2017 - 2018,2.1
,,2018 - 2019,1.06
,,2019 - 2020,1.05
,,2020 - 2021,2.8
,,2021 - 2022,2.42
,,2022 - 2023,2.7
,Giridih,2002 - 2003,1.41
,,2003 - 2004,1.37
,,2004 - 2005,1.35
,,2005 - 2006,1.17
,,2006 - 2007,1.26
,,2007 - 2008,1.37
,,2008 - 2009,1.49
,,2009 - 2010,1.02
,,2010 - 2011,0.54
,,2011 - 2012,1.49
,,2012 - 2013,2.02
,,2013 - 2014,2.19
,,2014 - 2015,1.21
,,2015 - 2016,2.28
,,2016 - 2017,2.62
,,2017 - 2018,2.31
,,2018 - 2019,2.21
,,2019 - 2020,2.6
,,2020 - 2021,2.72
,,2021 - 2022,2.66
,,2022 - 2023,2.59
,Godda,2002 - 2003,1.29
,,2003 - 2004,1.55
,,2004 - 2005,1.98
,,2005 - 2006,1.35
,,2006 - 2007,1.69
,,2007 - 2008,1.58
,,2008 - 2009,1.69
,,2009 - 2010,1.17
,,2010 - 2011,1.36
,,2011 - 2012,2.0
,,2012 - 2013,2.02
,,2013 - 2014,1.37
,,2014 - 2015,1.14
,,2015 - 2016,1.29
,,2016 - 2017,1.67
,,2017 - 2018,2.32
,,2018 - 2019,2.39
,,2019 - 2020,2.41
,,2020 - 2021,2.5
,,2021 - 2022,2.44
,,2022 - 2023,2.5
,Gumla,2002 - 2003,0.96
,,2003 - 2004,1.16
,,2004 - 2005,0.98
,,2005 - 2006,1.21
,,2006 - 2007,1.36
,,2007 - 2008,1.17
,,2008 - 2009,1.32
,,2009 - 2010,1.32
,,2010 - 2011,1.25
,,2011 - 2012,1.5
,,2012 - 2013,1.4
,,2013 - 2014,1.42
,,2014 - 2015,1.32
,,2015 - 2016,1.43
,,2016 - 2017,1.82
,,2017 - 2018,2.22
,,2018 - 2019,2.35
,,2019 - 2020,2.34
,,2020 - 2021,2.34
,,2021 - 2022,1.4
,,2022 - 2023,1.21
,Hazaribagh,2002 - 2003,1.78
,,2003 - 2004,1.64
,,2004 - 2005,1.38
,,2005 - 2006,1.23
,,2006 - 2007,1.39
,,2007 - 2008,1.63
,,2008 - 2009,1.65
,,2009 - 2010,0.95
,,2010 - 2011,1.85
,,2011 - 2012,1.83
,,2012 - 2013,1.75
,,2013 - 2014,2.05
,,2014 - 2015,1.94
,,2015 - 2016,1.76
,,2016 - 2017,2.02
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,2.01
,,2021 - 2022,2.02
,,2022 - 2023,2.02
,Jamtara,2003 - 2004,1.53
,,2004 - 2005,1.68
,,2005 - 2006,1.48
,,2006 - 2007,1.61
,,2007 - 2008,2.18
,,2008 - 2009,2.14
,,2009 - 2010,1.53
,,2010 - 2011,1.37
,,2011 - 2012,1.56
,,2012 - 2013,1.62
,,2013 - 2014,1.27
,,2014 - 2015,1.31
,,2015 - 2016,1.31
,,2016 - 2017,1.97
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.67
,,2020 - 2021,2.3
,,2021 - 2022,2.45
,,2022 - 2023,2.25
,Khunti,2008 - 2009,1.3
,,2009 - 2010,1.06
,,2010 - 2011,0.97
,,2011 - 2012,1.08
,,2012 - 2013,1.31
,,2013 - 2014,1.21
,,2014 - 2015,1.19
,,2015 - 2016,0.93
,,2016 - 2017,2.52
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.75
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,1.44
,Koderma,2002 - 2003,1.77
,,2003 - 2004,1.57
,,2004 - 2005,1.4
,,2005 - 2006,1.19
,,2006 - 2007,1.55
,,2007 - 2008,1.69
,,2008 - 2009,1.66
,,2009 - 2010,1.72
,,2010 - 2011,1.08
,,2011 - 2012,1.4
,,2012 - 2013,1.57
,,2013 - 2014,1.61
,,2014 - 2015,1.29
,,2015 - 2016,1.81
,,2016 - 2017,1.96
,,2017 - 2018,2.4
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,2.5
,,2021 - 2022,2.5
,,2022 - 2023,2.5
,Latehar,2003 - 2004,1.06
,,2004 - 2005,1.16
,,2005 - 2006,0.95
,,2006 - 2007,0.84
,,2007 - 2008,1.04
,,2008 - 2009,1.08
,,2009 - 2010,1.6
,,2010 - 2011,0.55
,,2011 - 2012,1.06
,,2012 - 2013,1.11
,,2013 - 2014,1.02
,,2014 - 2015,0.94
,,2015 - 2016,0.64
,,2016 - 2017,2.52
,,2017 - 2018,1.33
,,2018 - 2019,1.35
,,2019 - 2020,1.33
,,2020 - 2021,1.32
,,2021 - 2022,1.35
,,2022 - 2023,1.32
,Lohardaga,2002 - 2003,1.27
,,2003 - 2004,1.66
,,2004 - 2005,1.33
,,2005 - 2006,1.34
,,2006 - 2007,1.86
,,2007 - 2008,1.92
,,2008 - 2009,2.03
,,2009 - 2010,1.75
,,2010 - 2011,1.02
,,2011 - 2012,1.74
,,2012 - 2013,1.96
,,2013 - 2014,1.93
,,2014 - 2015,1.84
,,2015 - 2016,1.79
,,2016 - 2017,2.27
,,2017 - 2018,2.68
,,2018 - 2019,2.68
,,2019 - 2020,2.7
,,2020 - 2021,2.3
,,2021 - 2022,2.7
,,2022 - 2023,2.7
,Pakur,2002 - 2003,1.63
,,2003 - 2004,1.3
,,2004 - 2005,1.37
,,2005 - 2006,0.94
,,2006 - 2007,1.37
,,2007 - 2008,1.51
,,2008 - 2009,1.54
,,2009 - 2010,1.51
,,2010 - 2011,1.25
,,2011 - 2012,1.33
,,2012 - 2013,1.49
,,2013 - 2014,1.63
,,2014 - 2015,1.43
,,2015 - 2016,1.69
,,2016 - 2017,2.28
,,2017 - 2018,2.15
,,2018 - 2019,1.45
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.8
,,2022 - 2023,1.5
,Palamu,2002 - 2003,1.19
,,2003 - 2004,0.96
,,2004 - 2005,0.76
,,2005 - 2006,0.66
,,2006 - 2007,1.34
,,2007 - 2008,0.13
,,2008 - 2009,0.87
,,2009 - 2010,0.72
,,2010 - 2011,0.85
,,2011 - 2012,1.4
,,2012 - 2013,1.9
,,2013 - 2014,1.58
,,2014 - 2015,1.33
,,2015 - 2016,1.4
,,2016 - 2017,1.8
,,2017 - 2018,2.2
,,2018 - 2019,1.58
,,2019 - 2020,1.91
,,2020 - 2021,1.96
,,2021 - 2022,1.96
,,2022 - 2023,1.96
,Ramgarh,2008 - 2009,1.35
,,2009 - 2010,1.64
,,2010 - 2011,1.29
,,2011 - 2012,1.48
,,2012 - 2013,1.64
,,2013 - 2014,1.27
,,2014 - 2015,1.78
,,2015 - 2016,1.56
,,2016 - 2017,1.79
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,1.99
,,2021 - 2022,2.01
,,2022 - 2023,2.01
,Ranchi,2002 - 2003,1.63
,,2003 - 2004,1.68
,,2004 - 2005,1.47
,,2005 - 2006,1.11
,,2006 - 2007,0.39
,,2007 - 2008,1.69
,,2008 - 2009,1.88
,,2009 - 2010,1.49
,,2010 - 2011,1.48
,,2011 - 2012,2.04
,,2012 - 2013,2.06
,,2013 - 2014,2.31
,,2014 - 2015,2.09
,,2015 - 2016,1.74
,,2016 - 2017,2.24
,,2017 - 2018,2.0
,,2018 - 2019,0.42
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.8
,,2022 - 2023,2.0
,Sahebganj,2002 - 2003,1.55
,,2003 - 2004,1.2
,,2004 - 2005,1.18
,,2005 - 2006,0.87
,,2006 - 2007,1.03
,,2007 - 2008,1.3
,,2008 - 2009,1.04
,,2009 - 2010,1.15
,,2010 - 2011,1.34
,,2011 - 2012,1.33
,,2012 - 2013,1.47
,,2013 - 2014,1.65
,,2014 - 2015,1.22
,,2015 - 2016,1.25
,,2016 - 2017,1.94
,,2017 - 2018,1.71
,,2018 - 2019,1.59
,,2019 - 2020,1.85
,,2020 - 2021,3.41
,,2021 - 2022,2.75
,,2022 - 2023,2.48
,Saraikela kharsawan,2003 - 2004,1.36
,,2004 - 2005,1.29
,,2005 - 2006,0.97
,,2006 - 2007,1.19
,,2007 - 2008,1.5
,,2008 - 2009,1.18
,,2009 - 2010,1.21
,,2010 - 2011,0.77
,,2011 - 2012,1.05
,,2012 - 2013,1.33
,,2013 - 2014,1.39
,,2014 - 2015,1.36
,,2015 - 2016,0.91
,,2016 - 2017,2.85
,,2017 - 2018,3.1
,,2018 - 2019,1.85
,,2019 - 2020,3.1
,,2020 - 2021,3.1
,,2021 - 2022,3.1
,,2022 - 2023,3.1
,Simdega,2003 - 2004,1.27
,,2004 - 2005,0.9
,,2005 - 2006,0.83
,,2006 - 2007,1.67
,,2007 - 2008,1.75
,,2008 - 2009,1.56
,,2009 - 2010,1.4
,,2010 - 2011,0.75
,,2011 - 2012,1.17
,,2012 - 2013,1.05
,,2013 - 2014,1.36
,,2014 - 2015,0.91
,,2015 - 2016,1.02
,,2016 - 2017,3.63
,,2017 - 2018,2.25
,,2018 - 2019,2.25
,,2019 - 2020,2.2
,,2020 - 2021,2.25
,,2021 - 2022,2.2
,,2022 - 2023,2.2
,West singhbhum,2003 - 2004,1.36
,,2004 - 2005,1.09
,,2005 - 2006,0.91
,,2006 - 2007,1.14
,,2007 - 2008,1.14
,,2008 - 2009,1.1
,,2009 - 2010,1.11
,,2010 - 2011,0.5
,,2011 - 2012,1.09
,,2012 - 2013,1.24
,,2013 - 2014,1.15
,,2014 - 2015,1.18
,,2015 - 2016,0.93
,,2016 - 2017,1.68
,,2017 - 2018,1.18
,,2018 - 2019,1.59
,,2019 - 2020,1.24
,,2020 - 2021,1.66
,,2021 - 2022,1.17
,,2022 - 2023,1.85
Karnataka,Bagalkot,2000 - 2001,1.55
,,2001 - 2002,1.35
,,2002 - 2003,1.39
,,2003 - 2004,1.2
,,2004 - 2005,1.55
,,2005 - 2006,1.6
,,2006 - 2007,1.3
,,2007 - 2008,1.65
,,2008 - 2009,1.46
,,2009 - 2010,1.37
,,2010 - 2011,1.63
,,2011 - 2012,1.62
,,2012 - 2013,0.89
,,2013 - 2014,1.16
,,2014 - 2015,1.55
,,2015 - 2016,1.38
,,2016 - 2017,1.28
,,2017 - 2018,1.49
,,2018 - 2019,1.61
,,2019 - 2020,1.6
,,2020 - 2021,2.0
,,2021 - 2022,1.87
,,2022 - 2023,1.94
,Bangalore rural,2010 - 2011,1.56
,,2011 - 2012,1.17
,,2018 - 2019,1.0
,,2020 - 2021,1.33
,,2022 - 2023,1.0
,Belgaum,2000 - 2001,1.28
,,2001 - 2002,1.09
,,2002 - 2003,0.73
,,2003 - 2004,0.62
,,2004 - 2005,1.04
,,2005 - 2006,1.04
,,2006 - 2007,1.24
,,2007 - 2008,1.24
,,2008 - 2009,1.08
,,2009 - 2010,1.03
,,2010 - 2011,1.41
,,2011 - 2012,1.01
,,2012 - 2013,0.9
,,2013 - 2014,0.95
,,2014 - 2015,1.58
,,2015 - 2016,0.9
,,2016 - 2017,1.37
,,2017 - 2018,1.51
,,2018 - 2019,1.63
,,2019 - 2020,1.39
,,2020 - 2021,1.55
,,2021 - 2022,1.55
,,2022 - 2023,1.58
,Bellary,2000 - 2001,1.0
,,2001 - 2002,1.03
,,2002 - 2003,0.78
,,2003 - 2004,0.71
,,2004 - 2005,0.91
,,2005 - 2006,1.09
,,2006 - 2007,0.9
,,2007 - 2008,1.06
,,2008 - 2009,1.14
,,2009 - 2010,0.9
,,2010 - 2011,1.63
,,2011 - 2012,1.44
,,2012 - 2013,0.7
,,2013 - 2014,1.05
,,2014 - 2015,1.31
,,2015 - 2016,1.88
,,2016 - 2017,0.13
,,2017 - 2018,1.32
,,2018 - 2019,0.83
,,2019 - 2020,1.19
,,2020 - 2021,1.03
,,2021 - 2022,3.02
,,2022 - 2023,1.38
,Bengaluru urban,2018 - 2019,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.33
,Bidar,2000 - 2001,0.99
,,2001 - 2002,0.81
,,2002 - 2003,0.68
,,2003 - 2004,0.59
,,2004 - 2005,0.62
,,2005 - 2006,0.61
,,2006 - 2007,0.74
,,2007 - 2008,1.21
,,2008 - 2009,1.2
,,2009 - 2010,1.33
,,2010 - 2011,1.3
,,2011 - 2012,1.13
,,2012 - 2013,1.37
,,2013 - 2014,1.28
,,2014 - 2015,1.24
,,2015 - 2016,1.11
,,2016 - 2017,1.34
,,2017 - 2018,1.34
,,2018 - 2019,0.94
,,2019 - 2020,1.03
,,2020 - 2021,1.13
,,2021 - 2022,1.04
,,2022 - 2023,1.15
,Bijapur,2000 - 2001,0.94
,,2001 - 2002,0.93
,,2002 - 2003,0.76
,,2003 - 2004,0.52
,,2004 - 2005,0.91
,,2005 - 2006,0.82
,,2006 - 2007,0.61
,,2007 - 2008,1.0
,,2008 - 2009,0.81
,,2009 - 2010,0.95
,,2010 - 2011,1.07
,,2011 - 2012,0.73
,,2012 - 2013,0.85
,,2013 - 2014,0.96
,,2014 - 2015,1.03
,,2015 - 2016,0.53
,,2016 - 2017,0.93
,,2017 - 2018,0.98
,,2018 - 2019,0.69
,,2019 - 2020,0.75
,,2020 - 2021,0.91
,,2021 - 2022,0.85
,,2022 - 2023,1.13
,Chamarajanagar,2000 - 2001,1.5
,,2007 - 2008,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.13
,,2020 - 2021,1.29
,,2021 - 2022,1.3
,,2022 - 2023,1.36
,Chikballapur,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.2
,,2022 - 2023,1.5
,Chikmagalur,2000 - 2001,0.5
,,2001 - 2002,0.76
,,2002 - 2003,0.17
,,2003 - 2004,1.0
,,2004 - 2005,1.5
,,2005 - 2006,1.14
,,2006 - 2007,1.2
,,2007 - 2008,1.5
,,2008 - 2009,1.11
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.25
,,2020 - 2021,1.27
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Chitradurga,2000 - 2001,1.08
,,2001 - 2002,1.2
,,2002 - 2003,1.12
,,2003 - 2004,0.79
,,2004 - 2005,1.42
,,2005 - 2006,1.4
,,2006 - 2007,1.05
,,2007 - 2008,1.26
,,2008 - 2009,2.27
,,2009 - 2010,1.38
,,2010 - 2011,1.56
,,2011 - 2012,1.47
,,2012 - 2013,0.88
,,2013 - 2014,1.55
,,2014 - 2015,1.45
,,2015 - 2016,1.33
,,2016 - 2017,1.2
,,2017 - 2018,1.3
,,2018 - 2019,0.76
,,2019 - 2020,1.12
,,2020 - 2021,1.53
,,2021 - 2022,1.0
,,2022 - 2023,1.19
,Dakshin kannad,2018 - 2019,1.0
,,2019 - 2020,1.0
,Davangere,2000 - 2001,0.88
,,2001 - 2002,0.83
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,1.21
,,2005 - 2006,0.91
,,2006 - 2007,0.91
,,2007 - 2008,1.0
,,2008 - 2009,0.94
,,2009 - 2010,0.85
,,2010 - 2011,1.08
,,2011 - 2012,0.81
,,2012 - 2013,1.55
,,2013 - 2014,1.01
,,2014 - 2015,1.93
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,1.13
,,2018 - 2019,1.03
,,2019 - 2020,1.14
,,2020 - 2021,1.29
,,2021 - 2022,1.28
,,2022 - 2023,1.38
,Dharwad,2000 - 2001,0.76
,,2001 - 2002,0.36
,,2002 - 2003,0.28
,,2003 - 2004,0.07
,,2004 - 2005,0.54
,,2005 - 2006,0.63
,,2006 - 2007,0.6
,,2007 - 2008,0.66
,,2008 - 2009,0.92
,,2009 - 2010,0.8
,,2010 - 2011,1.05
,,2011 - 2012,0.72
,,2012 - 2013,0.49
,,2013 - 2014,0.89
,,2014 - 2015,1.23
,,2015 - 2016,0.48
,,2016 - 2017,0.4
,,2017 - 2018,0.71
,,2018 - 2019,0.47
,,2019 - 2020,0.94
,,2020 - 2021,0.56
,,2021 - 2022,0.88
,,2022 - 2023,0.99
,Gadag,2000 - 2001,0.51
,,2001 - 2002,0.32
,,2002 - 2003,0.21
,,2003 - 2004,0.22
,,2004 - 2005,0.67
,,2005 - 2006,0.87
,,2006 - 2007,0.56
,,2007 - 2008,0.82
,,2008 - 2009,0.66
,,2009 - 2010,0.49
,,2010 - 2011,0.74
,,2011 - 2012,0.33
,,2012 - 2013,0.65
,,2013 - 2014,0.86
,,2014 - 2015,1.08
,,2015 - 2016,0.67
,,2016 - 2017,0.28
,,2017 - 2018,0.54
,,2018 - 2019,0.39
,,2019 - 2020,0.57
,,2020 - 2021,0.67
,,2021 - 2022,0.74
,,2022 - 2023,0.85
,Gulbarga,2000 - 2001,0.74
,,2001 - 2002,0.59
,,2002 - 2003,0.48
,,2003 - 2004,0.44
,,2004 - 2005,0.7
,,2005 - 2006,0.75
,,2006 - 2007,0.7
,,2007 - 2008,0.96
,,2008 - 2009,1.09
,,2009 - 2010,1.07
,,2010 - 2011,1.5
,,2011 - 2012,1.51
,,2012 - 2013,1.31
,,2013 - 2014,1.75
,,2014 - 2015,1.68
,,2015 - 2016,1.02
,,2016 - 2017,2.01
,,2017 - 2018,2.09
,,2018 - 2019,1.51
,,2019 - 2020,2.04
,,2020 - 2021,1.87
,,2021 - 2022,1.21
,,2022 - 2023,1.54
,Hassan,2018 - 2019,1.0
,,2019 - 2020,1.17
,,2020 - 2021,1.33
,,2021 - 2022,1.29
,,2022 - 2023,1.33
,Haveri,2000 - 2001,0.65
,,2001 - 2002,0.71
,,2002 - 2003,0.38
,,2003 - 2004,0.16
,,2004 - 2005,0.55
,,2005 - 2006,0.65
,,2006 - 2007,0.83
,,2007 - 2008,0.79
,,2008 - 2009,0.59
,,2009 - 2010,0.71
,,2010 - 2011,0.93
,,2011 - 2012,1.18
,,2012 - 2013,0.36
,,2013 - 2014,0.72
,,2014 - 2015,0.74
,,2015 - 2016,0.42
,,2016 - 2017,1.02
,,2017 - 2018,0.29
,,2018 - 2019,0.29
,,2019 - 2020,0.37
,,2020 - 2021,0.51
,,2021 - 2022,0.76
,,2022 - 2023,0.51
,Kodagu,2018 - 2019,1.0
,,2020 - 2021,1.0
,Kolar,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,,2022 - 2023,1.5
,Koppal,2000 - 2001,0.49
,,2001 - 2002,0.28
,,2002 - 2003,0.15
,,2003 - 2004,0.11
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.16
,,2007 - 2008,0.52
,,2008 - 2009,0.46
,,2009 - 2010,0.47
,,2010 - 2011,0.65
,,2011 - 2012,0.37
,,2012 - 2013,0.6
,,2013 - 2014,0.85
,,2014 - 2015,1.28
,,2015 - 2016,0.37
,,2016 - 2017,0.26
,,2017 - 2018,0.54
,,2018 - 2019,0.68
,,2019 - 2020,0.49
,,2020 - 2021,0.5
,,2021 - 2022,0.59
,,2022 - 2023,0.55
,Mandya,2004 - 2005,0.33
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,Mysore,2018 - 2019,1.0
,,2019 - 2020,1.14
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Raichur,2000 - 2001,0.57
,,2001 - 2002,0.4
,,2002 - 2003,0.31
,,2003 - 2004,0.23
,,2004 - 2005,0.28
,,2005 - 2006,0.37
,,2006 - 2007,0.55
,,2007 - 2008,0.6
,,2008 - 2009,0.45
,,2009 - 2010,0.52
,,2010 - 2011,0.83
,,2011 - 2012,0.56
,,2012 - 2013,0.5
,,2013 - 2014,0.99
,,2014 - 2015,0.9
,,2015 - 2016,0.4
,,2016 - 2017,0.94
,,2017 - 2018,0.81
,,2018 - 2019,0.96
,,2019 - 2020,0.95
,,2020 - 2021,0.63
,,2021 - 2022,1.3
,,2022 - 2023,0.72
,Ramanagara,2018 - 2019,1.0
,,2019 - 2020,1.25
,,2020 - 2021,1.29
,,2021 - 2022,1.26
,Shimoga,2000 - 2001,1.5
,,2010 - 2011,1.5
,,2020 - 2021,1.0
,Tumkur,2001 - 2002,1.0
