state,district,year,wheat_rabi_yield_tonne_per_hectare
,Sonitpur,2000 - 2001,1.11
,,2001 - 2002,1.35
,,2002 - 2003,1.31
,,2003 - 2004,1.06
,,2004 - 2005,0.85
,,2005 - 2006,0.95
,,2006 - 2007,0.91
,,2007 - 2008,1.4
,,2008 - 2009,1.31
,,2009 - 2010,1.13
,,2010 - 2011,0.99
,,2011 - 2012,1.03
,,2012 - 2013,1.18
,,2013 - 2014,1.4
,,2014 - 2015,1.16
,,2015 - 2016,1.35
,,2016 - 2017,1.25
,,2017 - 2018,1.2
,,2018 - 2019,1.1
,,2019 - 2020,1.51
,,2020 - 2021,0.98
,,2021 - 2022,1.07
,,2022 - 2023,1.11
,South salmara mancachar,2020 - 2021,1.38
,,2021 - 2022,1.38
,,2022 - 2023,1.48
,Tinsukia,2000 - 2001,1.22
,,2001 - 2002,1.18
,,2002 - 2003,1.13
,,2003 - 2004,1.04
,,2004 - 2005,1.07
,,2005 - 2006,1.08
,,2006 - 2007,1.13
,,2007 - 2008,1.26
,,2008 - 2009,1.08
,,2009 - 2010,1.09
,,2010 - 2011,1.25
,,2011 - 2012,1.21
,,2012 - 2013,1.29
,,2013 - 2014,1.3
,,2014 - 2015,1.2
,,2015 - 2016,1.29
,,2016 - 2017,1.33
,,2017 - 2018,1.42
,,2018 - 2019,1.4
,,2019 - 2020,1.27
,,2020 - 2021,1.43
,,2021 - 2022,1.25
,,2022 - 2023,1.31
,Udalguri,2005 - 2006,0.92
,,2006 - 2007,0.6
,,2007 - 2008,1.0
,,2008 - 2009,0.79
,,2009 - 2010,1.09
,,2010 - 2011,0.82
,,2011 - 2012,0.98
,,2012 - 2013,0.89
,,2013 - 2014,1.43
,,2014 - 2015,1.49
,,2015 - 2016,1.35
,,2016 - 2017,1.15
,,2017 - 2018,0.98
,,2018 - 2019,1.43
,,2019 - 2020,1.27
,,2020 - 2021,1.29
,,2021 - 2022,1.37
,,2022 - 2023,1.27
,West karbi anglong,2020 - 2021,1.38
,,2021 - 2022,0.69
,,2022 - 2023,0.84
Bihar,Araria,2000 - 2001,2.09
,,2001 - 2002,1.8
,,2002 - 2003,1.55
,,2003 - 2004,0.97
,,2004 - 2005,0.62
,,2005 - 2006,0.63
,,2006 - 2007,0.7
,,2007 - 2008,1.81
,,2008 - 2009,1.12
,,2009 - 2010,1.72
,,2010 - 2011,2.44
,,2011 - 2012,2.48
,,2012 - 2013,3.73
,,2013 - 2014,2.79
,,2014 - 2015,1.17
,,2015 - 2016,2.58
,,2016 - 2017,2.45
,,2017 - 2018,2.29
,,2018 - 2019,2.64
,,2019 - 2020,2.7
,,2020 - 2021,2.83
,,2021 - 2022,2.99
,,2022 - 2023,2.73
,Arwal,2003 - 2004,2.74
,,2004 - 2005,1.83
,,2005 - 2006,1.99
,,2007 - 2008,2.36
