state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,,2001 - 2002,2.27
,,2002 - 2003,2.27
,,2003 - 2004,2.27
,,2004 - 2005,2.26
,,2019 - 2020,
,Bhadrak,2000 - 2001,2.31
,,2001 - 2002,2.3
,,2002 - 2003,2.2
,,2003 - 2004,2.27
,,2004 - 2005,2.2
,,2019 - 2020,
,Boudh,2001 - 2002,2.29
,,2002 - 2003,2.24
,,2003 - 2004,2.29
,,2004 - 2005,2.25
,,2019 - 2020,
,Cuttack,2000 - 2001,2.35
,,2001 - 2002,2.25
,,2002 - 2003,2.25
,,2003 - 2004,2.26
,,2004 - 2005,2.25
,,2019 - 2020,
,Deogarh,2000 - 2001,2.32
,,2001 - 2002,2.31
,,2002 - 2003,2.28
,,2003 - 2004,2.31
,,2004 - 2005,2.29
,,2019 - 2020,
,Dhenkanal,2000 - 2001,2.34
,,2001 - 2002,2.33
,,2002 - 2003,2.33
,,2003 - 2004,2.34
,,2004 - 2005,2.33
,,2019 - 2020,
,Gajapati,2000 - 2001,2.41
,,2001 - 2002,2.4
,,2002 - 2003,2.36
,,2003 - 2004,2.33
,,2004 - 2005,2.35
,,2019 - 2020,
,Ganjam,2000 - 2001,2.4
,,2001 - 2002,2.4
,,2002 - 2003,2.38
,,2003 - 2004,2.38
,,2004 - 2005,2.4
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,2.26
,,2001 - 2002,2.26
,,2002 - 2003,2.24
,,2003 - 2004,2.26
,,2004 - 2005,2.24
,,2019 - 2020,
,Jajapur,2000 - 2001,2.3
,,2001 - 2002,2.29
,,2002 - 2003,2.24
,,2003 - 2004,2.29
,,2004 - 2005,2.24
,Jharsuguda,2000 - 2001,2.22
,,2001 - 2002,2.25
,,2002 - 2003,2.36
,,2003 - 2004,2.36
,,2004 - 2005,2.35
,,2019 - 2020,
,Kalahandi,2000 - 2001,2.27
,,2001 - 2002,2.32
,,2002 - 2003,2.28
,,2003 - 2004,2.29
,,2004 - 2005,2.28
,,2019 - 2020,
,Kandhamal,2000 - 2001,2.41
,,2001 - 2002,2.5
,,2002 - 2003,0.25
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2019 - 2020,
,Kendrapara,2001 - 2002,2.14
,,2002 - 2003,2.27
,,2003 - 2004,2.25
,,2004 - 2005,2.25
,,2019 - 2020,
,Kendujhar,2000 - 2001,2.43
,,2001 - 2002,2.38
,,2002 - 2003,2.41
,,2003 - 2004,2.4
,,2004 - 2005,2.41
,,2019 - 2020,
,Khordha,2000 - 2001,2.4
,,2001 - 2002,2.14
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.99
,,2019 - 2020,
,Koraput,2000 - 2001,2.44
,,2001 - 2002,0.24
,,2002 - 2003,2.4
,,2003 - 2004,2.4
,,2004 - 2005,2.4
,,2019 - 2020,
,Malkangiri,2000 - 2001,2.29
,,2001 - 2002,2.33
,,2002 - 2003,2.13
,,2003 - 2004,2.13
,,2004 - 2005,2.1
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,2.46
,,2001 - 2002,2.45
,,2002 - 2003,2.2
,,2003 - 2004,2.21
,,2004 - 2005,2.34
,,2019 - 2020,
,Nabarangpur,2000 - 2001,2.27
,,2001 - 2002,2.43
,,2002 - 2003,2.08
,,2003 - 2004,2.18
,,2004 - 2005,2.12
,,2019 - 2020,
,Nayagarh,2000 - 2001,2.48
,,2001 - 2002,2.48
,,2002 - 2003,2.12
,,2003 - 2004,2.12
,,2004 - 2005,2.12
,,2019 - 2020,
,Nuapada,2000 - 2001,2.21
,,2001 - 2002,2.25
,,2002 - 2003,2.0
,,2003 - 2004,1.96
,,2004 - 2005,2.01
,,2019 - 2020,
,Puri,2000 - 2001,2.2
,,2001 - 2002,2.17
,,2002 - 2003,1.83
,,2003 - 2004,1.83
,,2004 - 2005,2.0
,,2019 - 2020,
,Rayagada,2000 - 2001,2.32
,,2001 - 2002,0.24
,,2002 - 2003,2.14
,,2003 - 2004,2.1
,,2004 - 2005,2.11
,,2019 - 2020,
,Sambalpur,2000 - 2001,2.44
,,2001 - 2002,2.43
,,2002 - 2003,2.44
,,2003 - 2004,2.43
,,2004 - 2005,2.44
,,2019 - 2020,
,Sonepur,2001 - 2002,2.14
,,2003 - 2004,1.5
,,2004 - 2005,2.0
,,2019 - 2020,
,Sundargarh,2000 - 2001,2.33
,,2001 - 2002,0.24
,,2002 - 2003,2.36
,,2003 - 2004,2.35
,,2004 - 2005,2.36
,,2019 - 2020,
Puducherry,Pondicherry,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Rajasthan,Alwar,2020 - 2021,1.0
,,2021 - 2022,1.0
,Baran,2005 - 2006,4.0
,,2006 - 2007,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2019 - 2020,0.41
,,2020 - 2021,2.0
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Bharatpur,2018 - 2019,2.5
,Bhilwara,2000 - 2001,3.84
,,2001 - 2002,3.0
,,2002 - 2003,0.74
,,2003 - 2004,1.61
,,2004 - 2005,1.93
,,2006 - 2007,1.85
,,2007 - 2008,10.0
,,2011 - 2012,2.21
,,2013 - 2014,1.8
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,5.63
,,2017 - 2018,2.9
,,2019 - 2020,1.47
,,2020 - 2021,0.7
,,2021 - 2022,1.0
,,2022 - 2023,7.25
,Bikaner,2021 - 2022,20.0
,,2022 - 2023,8.59
,Bundi,2000 - 2001,1.09
,,2001 - 2002,2.69
,,2002 - 2003,0.21
,,2003 - 2004,2.9
,,2004 - 2005,3.76
,,2005 - 2006,4.11
,,2006 - 2007,8.89
,,2007 - 2008,6.77
,,2008 - 2009,3.77
,,2009 - 2010,2.24
,,2010 - 2011,3.77
,,2011 - 2012,2.21
,,2012 - 2013,3.96
,,2013 - 2014,3.59
,,2014 - 2015,2.65
,,2015 - 2016,3.22
,,2016 - 2017,3.62
,,2017 - 2018,3.04
,,2018 - 2019,2.73
,,2019 - 2020,0.73
,,2020 - 2021,3.91
,,2021 - 2022,4.54
,,2022 - 2023,5.0
,Chittorgarh,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2002 - 2003,0.3
,,2003 - 2004,0.8
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,3.89
,,2007 - 2008,2.6
,,2008 - 2009,3.0
,,2010 - 2011,3.43
,,2011 - 2012,3.59
,,2012 - 2013,2.33
,,2013 - 2014,7.8
,,2014 - 2015,2.0
,,2015 - 2016,6.0
,,2016 - 2017,3.73
,,2017 - 2018,0.1
,,2020 - 2021,6.0
,,2021 - 2022,5.5
,,2022 - 2023,8.25
,Dholpur,2012 - 2013,1.0
,Dungarpur,2014 - 2015,5.0
,,2015 - 2016,6.0
,,2017 - 2018,6.0
,,2019 - 2020,2.0
,,2021 - 2022,6.0
,,2022 - 2023,1.0
,Ganganagar,2002 - 2003,1.0
,,2022 - 2023,23.38
,Jhalawar,2012 - 2013,1.0
,,2021 - 2022,1.0
,Karauli,2001 - 2002,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,Kota,2000 - 2001,1.0
,,2001 - 2002,0.8
,,2002 - 2003,0.38
,,2003 - 2004,20.0
,,2006 - 2007,25.0
,,2007 - 2008,3.0
,,2011 - 2012,1.43
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,Nagaur,2021 - 2022,1.0
,Pratapgarh,2014 - 2015,0.0
,Rajsamand,2000 - 2001,0.0
,,2007 - 2008,2.5
,,2009 - 2010,0.0
,Sawai madhopur,2007 - 2008,2.0
,,2009 - 2010,0.0
,,2019 - 2020,0.67
,Sirohi,2016 - 2017,6.55
,Tonk,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2004 - 2005,2.0
,,2005 - 2006,0.0
,,2009 - 2010,1.0
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,,2022 - 2023,0.0
,Udaipur,2000 - 2001,4.23
,,2001 - 2002,4.67
,,2002 - 2003,3.64
,,2003 - 2004,4.62
,,2004 - 2005,1.93
,,2005 - 2006,1.95
,,2006 - 2007,1.87
,,2007 - 2008,1.92
,,2008 - 2009,1.84
,,2009 - 2010,1.86
,,2010 - 2011,1.9
,,2011 - 2012,1.95
,,2012 - 2013,1.98
,,2013 - 2014,1.8
,,2014 - 2015,1.43
,,2015 - 2016,1.52
,,2016 - 2017,1.76
,,2017 - 2018,2.0
,,2018 - 2019,1.68
,,2019 - 2020,2.37
,,2020 - 2021,2.33
,,2021 - 2022,2.39
,,2022 - 2023,1.0
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,5.05
,,2011 - 2012,5.48
,,2013 - 2014,3.67
,,2014 - 2015,4.03
,,2015 - 2016,3.85
,,2016 - 2017,3.6
,,2017 - 2018,4.06
,,2018 - 2019,3.92
,,2019 - 2020,5.6
,,2020 - 2021,4.83
,,2021 - 2022,5.44
,,2022 - 2023,5.5
,Chengalpattu,2020 - 2021,7.0
,,2022 - 2023,5.5
,Coimbatore,2000 - 2001,6.24
,,2002 - 2003,5.24
,,2003 - 2004,4.45
,,2004 - 2005,5.32
,,2005 - 2006,7.64
,,2006 - 2007,7.56
,,2007 - 2008,6.39
,,2008 - 2009,10.2
,,2009 - 2010,5.84
,,2011 - 2012,11.38
,,2013 - 2014,5.38
,,2014 - 2015,6.92
,,2015 - 2016,7.2
,,2016 - 2017,1.99
,,2017 - 2018,4.72
,,2018 - 2019,6.83
,,2019 - 2020,6.74
,,2020 - 2021,4.72
,,2021 - 2022,5.4
,,2022 - 2023,5.51
,Cuddalore,2000 - 2001,5.44
,,2002 - 2003,3.73
,,2003 - 2004,4.16
,,2004 - 2005,5.49
,,2005 - 2006,5.52
,,2006 - 2007,5.75
,,2007 - 2008,5.35
,,2008 - 2009,5.77
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,3.67
,,2014 - 2015,4.03
,,2015 - 2016,1.91
,,2016 - 2017,2.35
,,2017 - 2018,2.26
,,2018 - 2019,2.25
,,2019 - 2020,2.35
,,2020 - 2021,4.71
,,2021 - 2022,5.18
,,2022 - 2023,5.51
,Dharmapuri,2000 - 2001,4.11
,,2002 - 2003,2.21
,,2003 - 2004,2.48
,,2004 - 2005,3.14
,,2005 - 2006,2.42
,,2006 - 2007,4.0
,,2007 - 2008,3.05
,,2008 - 2009,3.79
,,2009 - 2010,4.19
,,2011 - 2012,5.74
,,2013 - 2014,1.85
,,2014 - 2015,2.56
,,2015 - 2016,3.04
,,2016 - 2017,4.77
,,2017 - 2018,2.81
,,2018 - 2019,2.99
,,2019 - 2020,4.56
,,2020 - 2021,4.21
,,2021 - 2022,5.09
,,2022 - 2023,5.26
,Dindigul,2000 - 2001,5.44
,,2002 - 2003,3.74
,,2003 - 2004,4.18
,,2004 - 2005,5.47
,,2005 - 2006,5.53
,,2006 - 2007,5.75
,,2007 - 2008,5.35
,,2008 - 2009,5.79
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,3.69
,,2014 - 2015,4.0
,,2015 - 2016,4.0
,,2016 - 2017,3.7
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,5.0
,,2020 - 2021,4.4
,,2021 - 2022,5.13
,,2022 - 2023,5.55
,Erode,2000 - 2001,6.16
,,2002 - 2003,4.69
,,2003 - 2004,5.56
,,2004 - 2005,7.54
,,2005 - 2006,7.2
,,2006 - 2007,7.47
,,2007 - 2008,6.96
,,2008 - 2009,6.32
,,2009 - 2010,5.75
,,2011 - 2012,5.06
,,2013 - 2014,4.97
,,2014 - 2015,5.57
,,2015 - 2016,5.17
,,2016 - 2017,4.9
,,2017 - 2018,4.89
,,2018 - 2019,5.9
,,2019 - 2020,6.75
,,2020 - 2021,5.66
,,2021 - 2022,5.92
,,2022 - 2023,5.93
,Kallakurichi,2020 - 2021,4.2
,,2021 - 2022,2.99
,,2022 - 2023,3.43
,Kanchipuram,2000 - 2001,5.0
,,2002 - 2003,3.8
,,2003 - 2004,4.15
,,2004 - 2005,5.48
,,2005 - 2006,5.6
,,2006 - 2007,5.5
,,2007 - 2008,5.5
,,2008 - 2009,5.67
,,2009 - 2010,5.0
,,2011 - 2012,5.5
,,2018 - 2019,4.0
,,2019 - 2020,5.67
,,2020 - 2021,4.0
,,2021 - 2022,4.33
,,2022 - 2023,6.0
,Kanniyakumari,2008 - 2009,5.75
,,2009 - 2010,5.0
,Karur,2000 - 2001,6.12
,,2002 - 2003,2.61
,,2003 - 2004,1.35
,,2004 - 2005,1.84
,,2005 - 2006,5.52
,,2006 - 2007,5.74
,,2007 - 2008,5.35
,,2008 - 2009,5.77
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,4.9
,,2014 - 2015,12.11
,,2015 - 2016,6.72
,,2016 - 2017,0.09
,,2017 - 2018,2.62
,,2018 - 2019,3.96
,,2019 - 2020,5.24
,,2020 - 2021,4.72
,,2021 - 2022,5.16
,,2022 - 2023,5.51
,Krishnagiri,2003 - 2004,2.48
,,2004 - 2005,3.14
,,2005 - 2006,5.46
,,2006 - 2007,4.45
,,2007 - 2008,4.84
,,2008 - 2009,4.38
,,2009 - 2010,7.01
,,2011 - 2012,4.46
,,2013 - 2014,3.28
,,2014 - 2015,3.15
,,2015 - 2016,2.91
,,2016 - 2017,3.3
,,2017 - 2018,2.36
,,2018 - 2019,2.18
,,2019 - 2020,3.35
,,2020 - 2021,2.36
,,2021 - 2022,2.33
,,2022 - 2023,6.73
,Madurai,2000 - 2001,5.43
,,2002 - 2003,3.72
,,2003 - 2004,4.14
,,2004 - 2005,5.5
,,2005 - 2006,5.52
,,2006 - 2007,5.77
,,2007 - 2008,5.35
,,2008 - 2009,5.8
,,2009 - 2010,5.08
,,2011 - 2012,5.48
,,2013 - 2014,3.69
,,2014 - 2015,4.0
,,2015 - 2016,3.8
,,2016 - 2017,3.36
,,2017 - 2018,4.0
,,2018 - 2019,4.5
,,2019 - 2020,6.0
,,2020 - 2021,4.2
,,2021 - 2022,4.83
,,2022 - 2023,5.5
,Mayiladuthurai,2021 - 2022,3.0
,,2022 - 2023,6.0
,Nagapattinam,2000 - 2001,5.33
,,2002 - 2003,3.8
,,2003 - 2004,4.25
,,2004 - 2005,5.5
,,2005 - 2006,5.67
,,2006 - 2007,5.67
,,2007 - 2008,5.5
,,2014 - 2015,4.0
,,2015 - 2016,3.75
,Namakkal,2000 - 2001,5.24
,,2002 - 2003,3.55
,,2003 - 2004,4.4
,,2004 - 2005,5.05
,,2005 - 2006,6.12
,,2006 - 2007,4.44
,,2007 - 2008,5.82
,,2008 - 2009,7.54
,,2009 - 2010,6.22
,,2011 - 2012,8.66
,,2013 - 2014,5.74
,,2014 - 2015,4.38
,,2015 - 2016,4.24
,,2016 - 2017,3.25
,,2017 - 2018,5.99
,,2018 - 2019,3.6
,,2019 - 2020,5.35
,,2020 - 2021,6.61
,,2021 - 2022,7.66
,,2022 - 2023,7.61
,Perambalur,2000 - 2001,6.12
,,2002 - 2003,3.73
,,2003 - 2004,4.16
,,2004 - 2005,5.48
,,2005 - 2006,5.52
,,2006 - 2007,5.75
,,2007 - 2008,5.35
,,2008 - 2009,5.86
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,2.87
,,2014 - 2015,3.74
,,2015 - 2016,2.96
,,2016 - 2017,2.82
,,2017 - 2018,6.07
,,2018 - 2019,3.54
,,2019 - 2020,4.7
,,2020 - 2021,6.33
,,2021 - 2022,7.11
,,2022 - 2023,6.36
,Pudukkottai,2000 - 2001,5.45
,,2002 - 2003,3.75
,,2003 - 2004,4.25
,,2004 - 2005,5.5
,,2005 - 2006,5.5
,,2006 - 2007,5.67
,,2007 - 2008,5.5
,,2008 - 2009,5.67
,,2009 - 2010,5.1
,,2011 - 2012,5.5
,,2013 - 2014,3.63
,,2014 - 2015,4.0
,,2015 - 2016,3.88
,,2016 - 2017,3.4
,,2017 - 2018,4.04
,,2018 - 2019,3.92
,,2019 - 2020,4.94
,,2020 - 2021,4.64
,,2021 - 2022,5.38
,,2022 - 2023,5.54
,Ramanathapuram,2002 - 2003,4.0
,,2003 - 2004,4.0
,,2004 - 2005,5.0
,,2005 - 2006,6.0
,,2006 - 2007,5.5
,,2007 - 2008,5.5
,,2011 - 2012,5.0
,,2013 - 2014,4.0
,,2021 - 2022,5.33
,,2022 - 2023,5.67
,Ranipet,2020 - 2021,4.72
,,2021 - 2022,5.16
,,2022 - 2023,5.51
,Salem,2000 - 2001,3.09
,,2002 - 2003,2.78
,,2003 - 2004,2.62
,,2004 - 2005,3.66
,,2005 - 2006,3.78
,,2006 - 2007,4.54
,,2007 - 2008,4.72
,,2008 - 2009,7.78
,,2009 - 2010,4.5
,,2011 - 2012,4.21
,,2013 - 2014,3.19
,,2014 - 2015,3.43
,,2015 - 2016,3.0
,,2016 - 2017,1.61
,,2017 - 2018,2.82
,,2018 - 2019,2.75
,,2019 - 2020,4.1
,,2020 - 2021,4.24
,,2021 - 2022,5.01
,,2022 - 2023,5.48
,Sivaganga,2002 - 2003,4.0
,,2004 - 2005,5.46
,,2005 - 2006,5.5
,,2006 - 2007,5.5
,,2007 - 2008,5.0
,,2011 - 2012,5.5
,,2013 - 2014,3.67
,,2014 - 2015,4.0
,,2015 - 2016,3.75
,,2016 - 2017,3.8
,,2017 - 2018,4.0
,,2018 - 2019,3.8
,,2019 - 2020,4.67
,,2020 - 2021,5.0
,,2021 - 2022,5.33
,,2022 - 2023,5.5
,Thanjavur,2000 - 2001,5.5
,,2002 - 2003,3.8
,,2003 - 2004,4.14
,,2004 - 2005,5.5
,,2005 - 2006,5.53
,,2006 - 2007,5.75
,,2007 - 2008,5.29
,,2008 - 2009,5.8
,,2009 - 2010,5.0
,,2011 - 2012,5.49
,,2013 - 2014,3.69
,,2014 - 2015,4.0
,,2015 - 2016,3.88
,,2016 - 2017,3.57
,,2017 - 2018,4.06
,,2018 - 2019,4.0
,,2019 - 2020,5.29
,,2020 - 2021,4.9
,,2021 - 2022,5.16
,,2022 - 2023,5.53
,The nilgiris,2000 - 2001,5.45
,,2002 - 2003,3.71
,,2003 - 2004,4.0
,,2004 - 2005,5.5
,,2005 - 2006,5.5
,,2006 - 2007,5.78
,,2007 - 2008,5.38
,,2008 - 2009,5.78
,,2009 - 2010,5.0
,,2011 - 2012,5.5
,,2013 - 2014,3.67
,,2014 - 2015,4.0
,,2015 - 2016,3.88
,,2016 - 2017,3.62
,,2017 - 2018,4.06
,,2018 - 2019,4.09
,,2019 - 2020,6.0
,,2020 - 2021,4.63
,,2021 - 2022,4.83
,,2022 - 2023,6.6
,Theni,2000 - 2001,5.0
,,2002 - 2003,3.75
,,2003 - 2004,4.17
,,2004 - 2005,5.0
,,2005 - 2006,6.0
,,2008 - 2009,5.67
,,2009 - 2010,5.08
,,2011 - 2012,5.49
,,2013 - 2014,3.67
,,2014 - 2015,4.03
,,2015 - 2016,3.85
,,2016 - 2017,3.6
,,2017 - 2018,4.0
,,2018 - 2019,3.0
,,2020 - 2021,8.0
,,2022 - 2023,5.5
,Thenkasi,2021 - 2022,5.33
,Thiruvallur,2000 - 2001,5.0
,,2002 - 2003,3.74
,,2003 - 2004,4.13
,,2004 - 2005,5.5
,,2005 - 2006,5.6
,,2006 - 2007,5.8
,,2008 - 2009,6.0
,,2011 - 2012,5.5
,,2013 - 2014,3.67
,,2015 - 2016,3.75
,,2016 - 2017,3.22
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,5.11
,,2020 - 2021,4.69
,,2021 - 2022,5.19
,,2022 - 2023,5.53
,Thiruvarur,2002 - 2003,3.67
,,2003 - 2004,4.17
,,2004 - 2005,5.5
,,2005 - 2006,5.6
,,2006 - 2007,5.75
,,2007 - 2008,5.25
,,2008 - 2009,3.0
,,2009 - 2010,5.0
,,2011 - 2012,5.5
,,2016 - 2017,3.5
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,5.33
,,2020 - 2021,4.6
,,2021 - 2022,5.14
,,2022 - 2023,5.5
,Thoothukudi,2000 - 2001,5.43
,,2002 - 2003,3.67
,,2003 - 2004,4.25
,,2004 - 2005,5.4
,,2005 - 2006,5.6
,,2006 - 2007,5.67
,,2007 - 2008,5.25
,,2008 - 2009,6.0
,,2009 - 2010,5.0
,,2011 - 2012,5.5
,,2013 - 2014,3.75
,,2014 - 2015,4.0
,,2015 - 2016,3.8
,,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2018 - 2019,3.6
,,2019 - 2020,4.75
,,2020 - 2021,5.0
,,2021 - 2022,4.75
,,2022 - 2023,5.67
,Tiruchirappalli,2000 - 2001,6.12
,,2002 - 2003,3.73
,,2003 - 2004,4.16
,,2004 - 2005,5.48
,,2005 - 2006,5.52
,,2006 - 2007,5.74
,,2007 - 2008,5.35
,,2008 - 2009,5.77
,,2009 - 2010,5.3
,,2011 - 2012,3.95
,,2013 - 2014,3.24
,,2014 - 2015,3.74
,,2015 - 2016,3.97
,,2016 - 2017,1.34
,,2017 - 2018,9.76
,,2018 - 2019,1.9
,,2019 - 2020,5.25
,,2020 - 2021,4.72
,,2021 - 2022,5.18
,,2022 - 2023,5.51
,Tirunelveli,2000 - 2001,5.43
,,2002 - 2003,3.67
,,2003 - 2004,4.17
,,2004 - 2005,5.5
,,2005 - 2006,5.5
,,2006 - 2007,5.71
,,2007 - 2008,5.4
,,2008 - 2009,5.8
,,2009 - 2010,5.0
,,2011 - 2012,5.44
,,2013 - 2014,3.6
,,2014 - 2015,4.0
,,2015 - 2016,3.83
,,2016 - 2017,3.83
,,2017 - 2018,4.0
,,2018 - 2019,4.33
,,2019 - 2020,5.25
,,2020 - 2021,4.25
,,2021 - 2022,5.0
,,2022 - 2023,5.6
,Tirupathur,2020 - 2021,4.69
,,2021 - 2022,5.17
,,2022 - 2023,5.51
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,4.86
,,2011 - 2012,6.5
,,2013 - 2014,2.67
,,2014 - 2015,3.71
,,2015 - 2016,2.91
,,2016 - 2017,1.77
,,2017 - 2018,4.65
,,2018 - 2019,3.95
,,2019 - 2020,5.21
,,2020 - 2021,4.88
,,2021 - 2022,5.18
,,2022 - 2023,5.51
,Tiruvannamalai,2000 - 2001,5.64
,,2002 - 2003,3.73
,,2003 - 2004,4.16
,,2004 - 2005,5.48
,,2005 - 2006,7.74
,,2006 - 2007,10.92
,,2007 - 2008,5.35
,,2008 - 2009,5.77
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,4.01
,,2014 - 2015,4.45
,,2015 - 2016,2.03
,,2016 - 2017,6.86
,,2017 - 2018,6.57
,,2018 - 2019,5.22
,,2019 - 2020,7.76
,,2020 - 2021,4.71
,,2021 - 2022,3.42
,,2022 - 2023,5.51
,Vellore,2000 - 2001,5.64
,,2002 - 2003,3.73
,,2003 - 2004,4.15
,,2004 - 2005,5.48
,,2005 - 2006,5.52
,,2006 - 2007,5.75
,,2007 - 2008,5.35
,,2008 - 2009,5.77
,,2009 - 2010,5.07
,,2011 - 2012,5.48
,,2013 - 2014,6.38
,,2014 - 2015,4.73
,,2015 - 2016,6.81
,,2016 - 2017,5.64
,,2017 - 2018,5.14
,,2018 - 2019,6.92
,,2019 - 2020,7.99
,,2020 - 2021,4.7
,,2021 - 2022,5.18
,,2022 - 2023,5.51
,Villupuram,2000 - 2001,3.66
,,2002 - 2003,2.54
,,2003 - 2004,3.52
,,2004 - 2005,4.28
,,2005 - 2006,3.16
,,2006 - 2007,3.49
,,2007 - 2008,3.45
,,2008 - 2009,2.36
,,2009 - 2010,3.28
,,2011 - 2012,2.63
,,2013 - 2014,2.24
,,2014 - 2015,2.15
,,2015 - 2016,2.35
,,2016 - 2017,2.84
,,2017 - 2018,4.27
,,2018 - 2019,3.85
,,2019 - 2020,4.09
,,2020 - 2021,2.75
,,2021 - 2022,5.6
,,2022 - 2023,5.6
,Virudhunagar,2002 - 2003,4.0
,,2004 - 2005,5.5
,,2006 - 2007,5.78
,,2007 - 2008,5.0
,,2011 - 2012,5.0
,,2013 - 2014,3.75
,,2015 - 2016,4.0
,,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2018 - 2019,2.0
,,2019 - 2020,6.0
,,2020 - 2021,5.5
,,2021 - 2022,7.0
Telangana,Adilabad,2000 - 2001,3.78
,,2001 - 2002,2.96
,,2002 - 2003,4.25
,,2003 - 2004,3.88
,,2004 - 2005,4.48
,,2005 - 2006,5.16
,,2006 - 2007,4.56
,,2008 - 2009,3.77
,,2009 - 2010,3.65
,,2010 - 2011,6.93
,,2011 - 2012,4.48
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,5.42
,,2001 - 2002,4.25
,,2002 - 2003,5.94
,,2003 - 2004,7.54
,,2004 - 2005,6.83
,,2005 - 2006,9.05
,,2006 - 2007,8.02
,,2008 - 2009,6.94
,,2009 - 2010,5.69
,,2010 - 2011,6.94
,,2011 - 2012,5.94
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,5.03
,,2001 - 2002,3.93
,,2002 - 2003,5.08
,,2003 - 2004,5.25
,,2004 - 2005,6.37
,,2005 - 2006,7.62
,,2006 - 2007,6.14
,,2008 - 2009,6.24
,,2009 - 2010,5.57
,,2010 - 2011,6.73
,,2011 - 2012,5.48
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,5.03
,,2001 - 2002,3.93
,,2002 - 2003,5.07
,,2003 - 2004,5.25
,,2004 - 2005,6.37
,,2005 - 2006,7.61
,,2006 - 2007,6.14
