state,district,year,cotton_kharif_yield_tonne_per_hectare
,,2022 - 2023,1.48
,North tripura,2000 - 2001,1.47
,,2001 - 2002,1.48
,,2002 - 2003,0.85
,,2003 - 2004,0.26
,,2004 - 2005,1.45
,,2005 - 2006,1.45
,,2006 - 2007,1.38
,,2007 - 2008,1.37
,,2008 - 2009,1.42
,,2009 - 2010,1.43
,,2010 - 2011,1.47
,,2011 - 2012,1.36
,,2012 - 2013,1.29
,,2013 - 2014,1.27
,,2014 - 2015,1.3
,,2015 - 2016,1.43
,,2016 - 2017,1.43
,,2017 - 2018,1.47
,,2018 - 2019,1.36
,,2019 - 2020,1.33
,,2020 - 2021,1.4
,,2021 - 2022,1.36
,,2022 - 2023,1.38
,Sepahijala,2012 - 2013,1.25
,,2013 - 2014,1.54
,,2014 - 2015,1.5
,,2015 - 2016,1.54
,,2016 - 2017,1.64
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.07
,,2020 - 2021,1.55
,,2021 - 2022,1.16
,,2022 - 2023,1.33
,South tripura,2000 - 2001,1.47
,,2001 - 2002,1.41
,,2002 - 2003,1.16
,,2003 - 2004,0.23
,,2004 - 2005,1.42
,,2005 - 2006,1.27
,,2006 - 2007,1.3
,,2007 - 2008,1.25
,,2008 - 2009,1.33
,,2009 - 2010,1.36
,,2010 - 2011,1.47
,,2011 - 2012,1.4
,,2012 - 2013,1.23
,,2013 - 2014,1.37
,,2014 - 2015,1.44
,,2015 - 2016,1.39
,,2016 - 2017,1.5
,,2017 - 2018,1.36
,,2018 - 2019,1.33
,,2019 - 2020,1.51
,,2020 - 2021,1.58
,,2021 - 2022,1.41
,,2022 - 2023,1.41
,Unakoti,2012 - 2013,1.41
,,2013 - 2014,1.48
,,2014 - 2015,1.52
,,2015 - 2016,1.56
,,2016 - 2017,1.53
,,2017 - 2018,1.54
,,2018 - 2019,1.49
,,2019 - 2020,1.47
,,2020 - 2021,1.6
,,2021 - 2022,1.6
,,2022 - 2023,1.63
,West tripura,2000 - 2001,1.33
,,2001 - 2002,1.47
,,2002 - 2003,0.86
,,2003 - 2004,0.24
,,2004 - 2005,1.54
,,2005 - 2006,1.41
,,2006 - 2007,1.39
,,2007 - 2008,1.34
,,2008 - 2009,1.44
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.43
,,2012 - 2013,1.29
,,2013 - 2014,1.45
,,2014 - 2015,1.38
,,2015 - 2016,1.42
,,2016 - 2017,1.5
,,2017 - 2018,1.4
,,2018 - 2019,1.47
,,2019 - 2020,1.54
,,2020 - 2021,1.4
,,2021 - 2022,1.47
Uttar Pradesh,Agra,2000 - 2001,0.77
,,2001 - 2002,0.85
,,2002 - 2003,0.81
,,2004 - 2005,0.15
,,2005 - 2006,0.2
,,2006 - 2007,0.22
,,2007 - 2008,0.27
,,2008 - 2009,0.21
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.27
,,2014 - 2015,0.29
,,2015 - 2016,0.36
,,2016 - 2017,0.35
,,2017 - 2018,0.25
,,2018 - 2019,0.39
,,2019 - 2020,2.44
,,2020 - 2021,2.13
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Aligarh,2000 - 2001,0.78
,,2001 - 2002,1.03
,,2002 - 2003,0.9
,,2004 - 2005,0.24
,,2005 - 2006,0.2
,,2006 - 2007,0.23
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.19
,,2014 - 2015,0.32
,,2015 - 2016,0.29
,,2016 - 2017,0.41
,,2017 - 2018,0.3
,,2018 - 2019,0.32
,,2019 - 2020,1.44
,,2020 - 2021,1.73
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Amroha,2000 - 2001,3.0
,Azamgarh,2011 - 2012,0.33
,Baghpat,2000 - 2001,1.32
,,2001 - 2002,1.27
,,2002 - 2003,1.08
,,2004 - 2005,0.17
,,2005 - 2006,0.2
,,2006 - 2007,0.22
,,2007 - 2008,0.27
,,2009 - 2010,0.15
,,2010 - 2011,0.21
,,2011 - 2012,0.24
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2014 - 2015,0.25
,,2015 - 2016,0.33
,,2016 - 2017,0.34
,,2017 - 2018,0.38
,,2018 - 2019,0.33
,,2019 - 2020,2.4
,,2020 - 2021,1.96
,,2021 - 2022,0.37
,,2022 - 2023,0.37
,Banda,2000 - 2001,1.5
,Barabanki,2001 - 2002,1.0
,Bareilly,2000 - 2001,1.5
,,2011 - 2012,0.0
,Bijnor,2001 - 2002,3.0
,,2004 - 2005,0.2
,,2007 - 2008,0.33
,Budaun,2001 - 2002,3.0
,,2002 - 2003,1.5
,,2004 - 2005,0.14
,,2005 - 2006,0.0
,,2006 - 2007,0.17
,,2013 - 2014,0.5
,,2015 - 2016,0.0
,,2021 - 2022,0.5
,Bulandshahr,2000 - 2001,1.29
,,2001 - 2002,1.3
,,2002 - 2003,1.07
,,2004 - 2005,0.17
,,2005 - 2006,0.21
,,2006 - 2007,0.21
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.24
,,2012 - 2013,0.23
,,2013 - 2014,0.23
,,2014 - 2015,0.3
,,2015 - 2016,0.35
,,2016 - 2017,0.36
,,2017 - 2018,0.37
,,2018 - 2019,0.34
,,2019 - 2020,2.32
,,2020 - 2021,2.14
,,2021 - 2022,0.39
,,2022 - 2023,0.38
,Chandauli,2011 - 2012,0.25
,Etah,2000 - 2001,0.77
,,2001 - 2002,0.87
,,2002 - 2003,0.85
,,2004 - 2005,0.16
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2009 - 2010,0.22
,,2010 - 2011,0.17
,,2013 - 2014,0.15
,,2015 - 2016,0.33
,,2016 - 2017,0.4
,,2017 - 2018,0.5
,,2018 - 2019,0.4
,,2019 - 2020,2.51
,,2021 - 2022,0.42
,,2022 - 2023,0.5
,Etawah,2001 - 2002,1.0
,Firozabad,2000 - 2001,1.5
,,2001 - 2002,2.0
,,2002 - 2003,0.67
,,2004 - 2005,0.1
,,2006 - 2007,0.2
,,2007 - 2008,0.3
,,2009 - 2010,0.33
,,2010 - 2011,0.17
,,2011 - 2012,0.33
,,2012 - 2013,0.21
,,2013 - 2014,0.29
,,2014 - 2015,0.29
,,2015 - 2016,0.36
,,2016 - 2017,0.36
,,2017 - 2018,0.2
,,2018 - 2019,0.44
,,2019 - 2020,2.45
,,2020 - 2021,1.96
,,2021 - 2022,0.38
,Gautam buddha nagar,2000 - 2001,1.33
,,2001 - 2002,1.29
,,2002 - 2003,1.14
,,2004 - 2005,0.14
,,2005 - 2006,0.2
,,2018 - 2019,0.38
,Ghaziabad,2000 - 2001,1.33
,,2001 - 2002,1.09
,,2002 - 2003,1.2
,,2004 - 2005,0.33
,,2010 - 2011,0.0
,Hamirpur,2004 - 2005,0.0
,,2006 - 2007,0.0
,Hardoi,2013 - 2014,0.17
,,2019 - 2020,2.1
,,2020 - 2021,2.1
,,2021 - 2022,0.38
,Hathras,2000 - 2001,0.78
,,2001 - 2002,0.87
,,2002 - 2003,0.14
,,2004 - 2005,0.14
,,2005 - 2006,0.2
,,2006 - 2007,0.19
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.16
,,2014 - 2015,0.28
,,2015 - 2016,0.37
,,2016 - 2017,0.34
,,2017 - 2018,0.58
,,2018 - 2019,0.31
,,2019 - 2020,2.65
,,2020 - 2021,2.6
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Jalaun,2001 - 2002,3.0
,Jaunpur,2011 - 2012,0.24
,,2013 - 2014,0.23
,Jhansi,2014 - 2015,0.3
,Kannauj,2001 - 2002,1.5
,,2004 - 2005,0.0
,Kanpur dehat,2007 - 2008,0.0
,Kanpur nagar,2000 - 2001,1.2
,,2001 - 2002,0.86
,,2020 - 2021,2.94
,,2021 - 2022,0.5
,Kasganj,2012 - 2013,0.0
,Kushi nagar,2010 - 2011,0.2
,,2013 - 2014,0.2
,Lucknow,2011 - 2012,0.24
,Mathura,2000 - 2001,0.78
,,2001 - 2002,0.87
,,2002 - 2003,0.81
,,2004 - 2005,0.14
,,2005 - 2006,0.2
,,2006 - 2007,0.23
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.27
,,2014 - 2015,0.29
,,2015 - 2016,0.36
,,2016 - 2017,0.35
,,2017 - 2018,0.25
,,2018 - 2019,0.39
,,2019 - 2020,2.44
,,2020 - 2021,2.13
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Meerut,2000 - 2001,1.27
,,2001 - 2002,1.31
,,2002 - 2003,1.09
,,2004 - 2005,0.18
,,2005 - 2006,0.2
,,2006 - 2007,0.23
,,2007 - 2008,0.2
,,2008 - 2009,0.25
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.23
,,2012 - 2013,0.29
,,2013 - 2014,0.18
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.33
,,2018 - 2019,0.25
,,2020 - 2021,2.1
,,2021 - 2022,0.38
,,2022 - 2023,0.36
,Muzaffarnagar,2000 - 2001,0.99
,,2001 - 2002,1.34
,,2002 - 2003,1.14
,,2004 - 2005,0.17
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.17
,,2010 - 2011,0.18
,,2011 - 2012,0.24
,,2012 - 2013,0.22
,,2013 - 2014,0.24
,,2015 - 2016,0.34
,,2016 - 2017,0.36
,,2017 - 2018,0.37
,,2018 - 2019,0.34
,,2020 - 2021,2.21
,,2021 - 2022,0.39
,,2022 - 2023,0.38
,Pilibhit,2001 - 2002,0.5
,Rampur,2001 - 2002,1.0
,Saharanpur,2000 - 2001,1.45
,,2001 - 2002,1.32
,,2002 - 2003,1.15
,,2004 - 2005,0.17
,,2005 - 2006,0.2
,,2006 - 2007,0.21
,,2008 - 2009,0.23
,,2009 - 2010,0.19
,,2010 - 2011,0.18
,,2011 - 2012,0.26
,,2012 - 2013,0.25
,,2013 - 2014,0.0
,,2014 - 2015,0.29
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2018 - 2019,0.33
,,2022 - 2023,0.43
,Sant kabeer nagar,2018 - 2019,1.0
,Sant ravidas nagar,2018 - 2019,0.33
,,2020 - 2021,2.18
,Shahjahanpur,2001 - 2002,0.5
,Shamli,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2015 - 2016,0.33
,,2020 - 2021,2.1
,Sitapur,2001 - 2002,1.09
,,2004 - 2005,0.33
,,2006 - 2007,0.2
,,2008 - 2009,0.29
,,2009 - 2010,0.17
,,2018 - 2019,0.35
West Bengal,paraganas north,2001 - 2002,2.48
,,2002 - 2003,4.0
,,2003 - 2004,3.3
,,2004 - 2005,6.08
,,2005 - 2006,3.25
,,2006 - 2007,3.25
,,2007 - 2008,0.28
,,2008 - 2009,0.9
,,2009 - 2010,1.15
,,2010 - 2011,1.97
,,2012 - 2013,2.7
,,2013 - 2014,3.1
,paraganas south,2000 - 2001,2.3
,,2001 - 2002,2.5
,,2002 - 2003,1.75
,,2003 - 2004,1.8
,,2004 - 2005,4.51
,,2005 - 2006,2.54
,,2006 - 2007,2.14
,,2007 - 2008,1.67
,,2008 - 2009,1.65
,,2009 - 2010,1.82
,,2010 - 2011,1.72
,,2011 - 2012,4.6
,,2012 - 2013,4.5
,,2013 - 2014,3.76
,,2014 - 2015,2.56
,,2015 - 2016,2.94
,,2016 - 2017,3.17
,,2017 - 2018,4.92
,,2018 - 2019,4.87
,,2019 - 2020,1.96
,,2020 - 2021,2.95
,,2021 - 2022,3.18
,,2022 - 2023,5.05
,Bankura,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,1.46
,,2008 - 2009,0.73
,Birbhum,2001 - 2002,1.0
,,2007 - 2008,1.8
,Howrah,2007 - 2008,1.25
,,2008 - 2009,1.25
,,2009 - 2010,1.25
,,2010 - 2011,1.6
,,2011 - 2012,1.26
,,2012 - 2013,1.26
,Medinipur east,2006 - 2007,7.0
,,2007 - 2008,6.0
,,2008 - 2009,6.0
,,2019 - 2020,0.4
,Medinipur west,2005 - 2006,1.03
,,2006 - 2007,8.0
,,2007 - 2008,5.0
,,2008 - 2009,3.5
,Purba bardhaman,2005 - 2006,2.6
,,2006 - 2007,3.0
,,2007 - 2008,1.17
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,Purulia,2005 - 2006,3.5
,,2006 - 2007,3.5
,,2007 - 2008,3.6
,,2008 - 2009,3.6
,,2009 - 2010,3.6
