state,district,year,gram_rabi_yield_tonne_per_hectare
,,2017 - 2018,0.64
,,2018 - 2019,0.89
,,2019 - 2020,0.69
,,2020 - 2021,1.03
,,2021 - 2022,0.85
,,2022 - 2023,0.81
,Bhojpur,2000 - 2001,0.92
,,2001 - 2002,1.35
,,2002 - 2003,0.97
,,2003 - 2004,1.19
,,2004 - 2005,0.9
,,2005 - 2006,1.16
,,2006 - 2007,0.87
,,2007 - 2008,1.2
,,2008 - 2009,1.09
,,2009 - 2010,1.69
,,2010 - 2011,1.35
,,2011 - 2012,1.83
,,2012 - 2013,1.52
,,2013 - 2014,1.31
,,2014 - 2015,0.83
,,2015 - 2016,0.9
,,2016 - 2017,1.24
,,2017 - 2018,1.14
,,2018 - 2019,1.3
,,2019 - 2020,0.91
,,2020 - 2021,1.17
,,2021 - 2022,1.53
,,2022 - 2023,1.35
,Buxar,2000 - 2001,1.23
,,2001 - 2002,0.98
,,2002 - 2003,1.17
,,2003 - 2004,1.23
,,2004 - 2005,1.11
,,2005 - 2006,0.99
,,2006 - 2007,0.65
,,2007 - 2008,1.05
,,2008 - 2009,1.12
,,2009 - 2010,0.91
,,2010 - 2011,1.28
,,2011 - 2012,1.72
,,2012 - 2013,1.12
,,2013 - 2014,1.21
,,2014 - 2015,0.72
,,2015 - 2016,0.92
,,2016 - 2017,1.2
,,2017 - 2018,1.19
,,2018 - 2019,1.43
,,2019 - 2020,0.74
,,2020 - 2021,1.4
,,2021 - 2022,1.27
,,2022 - 2023,1.38
,Darbhanga,2000 - 2001,0.58
,,2001 - 2002,0.55
,,2002 - 2003,0.52
,,2003 - 2004,0.81
,,2004 - 2005,0.91
,,2005 - 2006,1.55
,,2006 - 2007,0.84
,,2007 - 2008,0.99
,,2008 - 2009,0.93
,,2009 - 2010,1.09
,,2010 - 2011,1.05
,,2011 - 2012,1.29
,,2012 - 2013,1.4
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,0.98
,,2016 - 2017,1.13
,,2017 - 2018,1.16
,,2018 - 2019,1.2
,,2019 - 2020,0.73
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,Gaya,2000 - 2001,0.65
,,2001 - 2002,0.83
,,2002 - 2003,1.09
,,2003 - 2004,1.21
,,2004 - 2005,0.52
,,2005 - 2006,0.64
,,2006 - 2007,0.79
,,2007 - 2008,0.98
,,2008 - 2009,1.18
,,2009 - 2010,1.52
,,2010 - 2011,1.03
,,2011 - 2012,1.0
,,2012 - 2013,2.26
,,2013 - 2014,0.95
,,2014 - 2015,1.01
,,2015 - 2016,1.2
,,2016 - 2017,1.21
,,2017 - 2018,1.44
,,2018 - 2019,1.2
,,2019 - 2020,0.69
,,2020 - 2021,0.97
,,2021 - 2022,0.94
,,2022 - 2023,1.18
,Gopalganj,2000 - 2001,1.2
,,2001 - 2002,1.3
,,2002 - 2003,1.0
,,2003 - 2004,0.98
,,2004 - 2005,0.84
,,2005 - 2006,1.0
,,2007 - 2008,2.26
,,2008 - 2009,1.75
,,2009 - 2010,1.25
,,2022 - 2023,1.08
,Jamui,2000 - 2001,0.98
,,2001 - 2002,0.8
,,2002 - 2003,0.88
,,2003 - 2004,0.8
,,2004 - 2005,0.62
,,2005 - 2006,0.73
,,2006 - 2007,0.13
,,2007 - 2008,0.48
,,2008 - 2009,0.55
,,2009 - 2010,1.1
,,2010 - 2011,1.07
,,2011 - 2012,1.26
,,2012 - 2013,0.93
,,2013 - 2014,0.85
,,2014 - 2015,0.44
,,2015 - 2016,0.96
,,2016 - 2017,0.88
,,2017 - 2018,1.2
,,2018 - 2019,1.13
,,2019 - 2020,0.66
,,2020 - 2021,0.98
,,2021 - 2022,0.72
,,2022 - 2023,0.8
,Jehanabad,2000 - 2001,0.78
,,2001 - 2002,0.94
,,2002 - 2003,1.44
,,2003 - 2004,1.14
,,2004 - 2005,0.71
,,2005 - 2006,0.79
,,2006 - 2007,1.14
,,2007 - 2008,1.0
,,2008 - 2009,0.85
,,2009 - 2010,1.17
,,2010 - 2011,0.95
,,2011 - 2012,1.03
,,2012 - 2013,1.48
,,2013 - 2014,1.14
,,2014 - 2015,1.38
,,2015 - 2016,0.96
,,2016 - 2017,1.29
,,2017 - 2018,1.24
,,2018 - 2019,1.77
,,2019 - 2020,0.69
,,2020 - 2021,1.12
,,2021 - 2022,1.22
,,2022 - 2023,1.0
,Kaimur (bhabua),2000 - 2001,1.02
,,2001 - 2002,1.01
,,2002 - 2003,1.2
,,2003 - 2004,1.25
,,2004 - 2005,0.81
,,2005 - 2006,1.02
,,2006 - 2007,0.72
,,2007 - 2008,0.68
,,2008 - 2009,0.7
,,2009 - 2010,0.66
,,2010 - 2011,0.85
,,2011 - 2012,0.93
,,2012 - 2013,1.08
,,2013 - 2014,0.8
,,2014 - 2015,0.68
,,2015 - 2016,0.81
,,2016 - 2017,0.88
,,2017 - 2018,1.02
,,2018 - 2019,0.78
,,2019 - 2020,0.75
,,2020 - 2021,0.84
,,2021 - 2022,0.99
,,2022 - 2023,0.99
,Katihar,2000 - 2001,0.99
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.5
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.95
,,2007 - 2008,0.96
,,2008 - 2009,0.55
,,2009 - 2010,0.56
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,3.65
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,0.99
,,2016 - 2017,1.12
,,2017 - 2018,1.13
,,2018 - 2019,1.33
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Khagaria,2000 - 2001,0.81
,,2001 - 2002,0.71
,,2002 - 2003,0.96
,,2003 - 2004,0.97
,,2004 - 2005,0.61
,,2005 - 2006,0.88
,,2006 - 2007,0.75
,,2007 - 2008,1.1
,,2008 - 2009,0.89
,,2009 - 2010,1.24
,,2010 - 2011,0.93
,,2011 - 2012,1.06
,,2012 - 2013,0.64
,,2013 - 2014,1.5
,,2014 - 2015,0.89
,,2015 - 2016,1.09
,,2016 - 2017,0.69
,,2017 - 2018,1.0
,,2018 - 2019,1.24
,,2019 - 2020,0.76
,,2020 - 2021,1.17
,,2021 - 2022,0.87
,,2022 - 2023,1.0
,Kishanganj,2000 - 2001,0.91
,,2001 - 2002,0.62
,,2002 - 2003,0.57
,,2003 - 2004,0.22
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.95
,,2007 - 2008,0.96
,,2008 - 2009,0.56
,,2009 - 2010,0.56
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,3.65
,,2013 - 2014,1.14
,,2014 - 2015,0.96
,,2015 - 2016,0.99
,,2016 - 2017,1.12
,,2017 - 2018,1.16
,,2018 - 2019,1.2
,,2019 - 2020,0.73
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.08
,Lakhisarai,2000 - 2001,1.18
,,2001 - 2002,0.71
,,2002 - 2003,1.07
,,2003 - 2004,0.97
,,2004 - 2005,0.47
,,2005 - 2006,0.86
,,2006 - 2007,1.37
,,2007 - 2008,0.9
,,2008 - 2009,0.77
,,2009 - 2010,1.13
,,2010 - 2011,0.88
,,2011 - 2012,1.0
,,2012 - 2013,1.09
,,2013 - 2014,1.77
,,2014 - 2015,1.08
,,2015 - 2016,1.07
,,2016 - 2017,1.3
,,2017 - 2018,1.28
,,2018 - 2019,1.37
,,2019 - 2020,0.79
,,2020 - 2021,1.38
,,2021 - 2022,0.87
,,2022 - 2023,1.12
,Madhepura,2000 - 2001,1.05
,,2001 - 2002,0.95
,,2004 - 2005,0.83
,,2007 - 2008,1.0
,,2017 - 2018,1.0
,,2021 - 2022,1.08
,,2022 - 2023,1.0
,Madhubani,2000 - 2001,0.71
,,2001 - 2002,0.55
,,2002 - 2003,0.52
,,2003 - 2004,0.81
,,2004 - 2005,0.91
,,2005 - 2006,1.54
,,2006 - 2007,0.84
,,2007 - 2008,1.0
,,2008 - 2009,0.93
,,2009 - 2010,1.09
,,2010 - 2011,1.0
,,2011 - 2012,1.33
,,2012 - 2013,1.4
,,2013 - 2014,1.16
,,2014 - 2015,0.97
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.18
,,2018 - 2019,1.25
,,2019 - 2020,0.75
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Munger,2000 - 2001,0.7
,,2001 - 2002,0.69
,,2002 - 2003,0.59
,,2003 - 2004,0.84
,,2004 - 2005,0.84
,,2005 - 2006,0.95
,,2006 - 2007,0.83
,,2007 - 2008,1.19
,,2008 - 2009,0.83
,,2009 - 2010,1.38
,,2010 - 2011,1.0
,,2011 - 2012,1.02
,,2012 - 2013,1.24
,,2013 - 2014,1.1
,,2014 - 2015,0.86
,,2015 - 2016,1.3
,,2016 - 2017,1.16
,,2017 - 2018,1.06
,,2018 - 2019,1.0
,,2019 - 2020,0.9
,,2020 - 2021,1.1
,,2021 - 2022,1.24
,,2022 - 2023,0.73
,Muzaffarpur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.98
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.84
,,2008 - 2009,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.3
,,2012 - 2013,1.5
,,2014 - 2015,0.96
,,2015 - 2016,1.0
,,2016 - 2017,1.12
,,2017 - 2018,1.16
,,2018 - 2019,1.2
,,2019 - 2020,0.73
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.08
,Nalanda,2000 - 2001,0.97
,,2001 - 2002,0.54
,,2002 - 2003,0.84
,,2003 - 2004,0.73
,,2004 - 2005,0.98
,,2005 - 2006,0.84
,,2006 - 2007,0.95
,,2007 - 2008,0.92
,,2008 - 2009,0.85
,,2009 - 2010,1.11
,,2010 - 2011,1.15
,,2011 - 2012,0.95
,,2012 - 2013,1.57
,,2013 - 2014,0.93
,,2014 - 2015,1.06
,,2015 - 2016,1.21
,,2016 - 2017,1.24
,,2017 - 2018,1.21
,,2018 - 2019,1.19
,,2019 - 2020,0.63
,,2020 - 2021,1.13
,,2021 - 2022,1.14
,,2022 - 2023,1.17
,Nawada,2000 - 2001,0.82
,,2001 - 2002,0.9
,,2002 - 2003,0.74
,,2003 - 2004,0.89
,,2004 - 2005,0.81
,,2005 - 2006,0.7
,,2006 - 2007,0.78
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2010 - 2011,1.06
,,2011 - 2012,1.46
,,2012 - 2013,1.18
,,2013 - 2014,0.7
,,2014 - 2015,0.6
,,2015 - 2016,1.35
,,2016 - 2017,1.07
,,2017 - 2018,1.38
,,2018 - 2019,0.98
,,2019 - 2020,1.04
,,2020 - 2021,0.89
,,2021 - 2022,1.11
,,2022 - 2023,1.04
,Pashchim champaran,2000 - 2001,1.04
,,2001 - 2002,0.94
,,2002 - 2003,1.0
,,2003 - 2004,1.17
,,2005 - 2006,0.94
,,2006 - 2007,0.84
,,2007 - 2008,0.99
,,2008 - 2009,0.93
,,2010 - 2011,1.04
,,2011 - 2012,1.31
,,2012 - 2013,1.39
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,1.0
,,2016 - 2017,1.08
,,2017 - 2018,1.18
,,2018 - 2019,1.22
,,2019 - 2020,0.67
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Patna,2000 - 2001,1.63
,,2001 - 2002,1.24
,,2002 - 2003,1.33
,,2003 - 2004,1.16
,,2004 - 2005,1.08
,,2005 - 2006,1.22
,,2006 - 2007,0.78
,,2007 - 2008,1.09
,,2008 - 2009,1.12
,,2009 - 2010,1.05
,,2010 - 2011,1.22
,,2011 - 2012,1.89
,,2012 - 2013,1.83
,,2013 - 2014,1.44
,,2014 - 2015,1.58
,,2015 - 2016,0.88
,,2016 - 2017,1.3
,,2017 - 2018,1.19
,,2018 - 2019,1.48
,,2019 - 2020,0.75
,,2020 - 2021,1.32
,,2021 - 2022,1.31
,,2022 - 2023,1.15
,Purbi champaran,2003 - 2004,0.98
,,2004 - 2005,0.84
,,2005 - 2006,0.96
,,2006 - 2007,0.86
,,2007 - 2008,0.99
,,2008 - 2009,0.93
,,2009 - 2010,1.11
,,2010 - 2011,1.03
,,2011 - 2012,1.2
,Purnia,2000 - 2001,0.91
,,2001 - 2002,0.62
,,2002 - 2003,0.57
,,2003 - 2004,0.5
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.95
,,2007 - 2008,0.97
,,2008 - 2009,0.56
,,2009 - 2010,0.57
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,3.65
,,2013 - 2014,1.14
,,2014 - 2015,0.96
,,2016 - 2017,1.12
,Rohtas,2000 - 2001,0.86
,,2001 - 2002,0.9
,,2002 - 2003,1.17
,,2003 - 2004,0.92
,,2004 - 2005,1.02
,,2005 - 2006,1.09
,,2006 - 2007,0.96
,,2007 - 2008,1.13
,,2008 - 2009,0.99
,,2009 - 2010,0.78
,,2010 - 2011,1.34
,,2011 - 2012,1.63
,,2012 - 2013,1.94
,,2013 - 2014,1.31
,,2014 - 2015,0.93
,,2015 - 2016,1.1
,,2016 - 2017,1.04
,,2017 - 2018,1.21
,,2018 - 2019,1.32
,,2019 - 2020,0.78
,,2020 - 2021,1.63
,,2021 - 2022,1.05
,,2022 - 2023,1.16
,Saharsa,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.83
,,2005 - 2006,1.0
,Samastipur,2000 - 2001,0.63
,,2001 - 2002,0.54
,,2002 - 2003,0.52
,,2003 - 2004,0.81
,,2004 - 2005,0.91
,,2005 - 2006,1.55
,,2006 - 2007,0.89
,,2007 - 2008,0.99
,,2008 - 2009,0.94
,,2009 - 2010,1.08
,,2010 - 2011,1.04
,,2011 - 2012,1.32
,,2012 - 2013,1.42
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,0.99
,,2016 - 2017,1.13
,,2017 - 2018,1.17
,,2018 - 2019,1.21
,,2019 - 2020,0.71
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.07
,Saran,2000 - 2001,1.43
,,2001 - 2002,0.94
,,2002 - 2003,1.01
,,2003 - 2004,0.98
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.84
,,2007 - 2008,2.25
,,2008 - 2009,1.71
,,2009 - 2010,1.36
,,2010 - 2011,0.81
,,2011 - 2012,1.29
,,2012 - 2013,1.38
,,2013 - 2014,1.14
,,2014 - 2015,0.95
,,2015 - 2016,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.21
,,2019 - 2020,0.74
,,2021 - 2022,1.0
,,2022 - 2023,1.13
,Sheikhpura,2000 - 2001,1.05
,,2001 - 2002,0.55
,,2002 - 2003,0.8
,,2003 - 2004,1.12
,,2004 - 2005,0.91
,,2005 - 2006,0.99
,,2006 - 2007,0.73
,,2007 - 2008,1.31
,,2008 - 2009,1.46
,,2009 - 2010,1.56
,,2010 - 2011,0.99
,,2011 - 2012,1.4
,,2012 - 2013,1.2
,,2013 - 2014,1.29
,,2014 - 2015,1.15
,,2015 - 2016,1.65
,,2016 - 2017,0.87
,,2017 - 2018,1.19
,,2018 - 2019,1.42
,,2019 - 2020,0.83
,,2020 - 2021,0.9
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Sheohar,2011 - 2012,1.3
,,2012 - 2013,1.4
,Sitamarhi,2000 - 2001,1.0
,,2003 - 2004,0.98
,,2004 - 2005,0.83
,,2005 - 2006,0.95
,,2011 - 2012,1.29
,Siwan,2000 - 2001,0.9
,,2001 - 2002,1.65
,,2002 - 2003,1.01
,,2003 - 2004,0.98
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.85
,,2007 - 2008,2.25
,,2008 - 2009,1.71
,,2009 - 2010,1.36
,,2010 - 2011,0.82
,,2011 - 2012,1.29
,,2012 - 2013,1.4
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,0.99
,,2016 - 2017,1.12
,,2017 - 2018,1.16
,,2018 - 2019,1.2
,,2019 - 2020,0.73
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.08
,Supaul,2002 - 2003,1.0
,,2003 - 2004,0.96
,,2004 - 2005,0.82
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,Vaishali,2000 - 2001,1.03
,,2001 - 2002,0.95
,,2002 - 2003,1.01
,,2003 - 2004,0.98
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2007 - 2008,0.99
,,2008 - 2009,0.93
,,2009 - 2010,1.08
,,2010 - 2011,1.05
,,2011 - 2012,1.25
,,2012 - 2013,1.4
,,2013 - 2014,1.13
,,2015 - 2016,1.0
,,2016 - 2017,1.1
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
Chandigarh,Chandigarh,2000 - 2001,1.0
Chhattisgarh,Balod,2011 - 2012,1.08
,,2012 - 2013,1.22
,,2013 - 2014,0.82
,,2014 - 2015,1.33
,,2015 - 2016,0.7
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.18
,,2019 - 2020,0.39
,,2020 - 2021,0.82
,,2021 - 2022,0.82
,,2022 - 2023,0.96
,Baloda bazar,2011 - 2012,1.03
,,2012 - 2013,1.33
,,2013 - 2014,1.0
,,2014 - 2015,1.52
,,2015 - 2016,0.82
,,2016 - 2017,1.43
,,2017 - 2018,0.95
,,2018 - 2019,1.01
,,2019 - 2020,0.51
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.84
,Balrampur,2011 - 2012,0.88
,,2012 - 2013,1.08
,,2013 - 2014,0.72
,,2014 - 2015,1.11
,,2015 - 2016,0.7
,,2016 - 2017,1.06
,,2017 - 2018,0.99
,,2018 - 2019,0.92
,,2019 - 2020,0.47
,,2020 - 2021,0.72
,,2021 - 2022,0.65
,,2022 - 2023,0.59
,Bastar,2000 - 2001,0.59
,,2001 - 2002,0.74
,,2002 - 2003,0.66
,,2003 - 2004,0.9
,,2004 - 2005,0.6
,,2005 - 2006,0.73
,,2006 - 2007,0.91
,,2007 - 2008,0.9
,,2008 - 2009,0.74
,,2009 - 2010,1.06
,,2010 - 2011,1.01
,,2011 - 2012,0.91
,,2012 - 2013,1.3
,,2013 - 2014,0.91
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,1.18
,,2017 - 2018,1.01
,,2018 - 2019,1.07
,,2019 - 2020,0.47
,,2020 - 2021,0.8
,,2021 - 2022,0.76
,,2022 - 2023,0.73
,Bemetara,2011 - 2012,1.08
,,2012 - 2013,1.22
,,2013 - 2014,0.84
,,2014 - 2015,1.08
,,2015 - 2016,0.76
,,2016 - 2017,1.28
,,2017 - 2018,1.11
,,2018 - 2019,1.22
,,2019 - 2020,0.11
,,2020 - 2021,0.87
,,2021 - 2022,0.75
,,2022 - 2023,0.92
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,Bilaspur,2000 - 2001,0.59
,,2001 - 2002,0.73
,,2002 - 2003,0.67
,,2003 - 2004,0.92
,,2004 - 2005,0.57
,,2005 - 2006,0.68
,,2006 - 2007,0.86
,,2007 - 2008,0.88
,,2008 - 2009,0.81
,,2009 - 2010,0.99
,,2010 - 2011,1.03
,,2011 - 2012,1.01
,,2012 - 2013,1.19
,,2013 - 2014,0.84
,,2014 - 2015,1.11
,,2015 - 2016,0.81
,,2016 - 2017,1.14
,,2017 - 2018,0.98
,,2018 - 2019,1.05
,,2019 - 2020,0.46
,,2020 - 2021,0.61
,,2021 - 2022,0.72
,,2022 - 2023,0.78
,Dantewada,2000 - 2001,0.53
,,2001 - 2002,0.57
,,2002 - 2003,0.5
,,2003 - 2004,0.79
,,2004 - 2005,0.45
,,2005 - 2006,0.5
,,2006 - 2007,0.9
,,2007 - 2008,0.86
,,2008 - 2009,0.71
,,2009 - 2010,0.0
,,2010 - 2011,0.4
,,2011 - 2012,0.71
,,2012 - 2013,0.67
,,2013 - 2014,0.75
,,2014 - 2015,1.6
,,2015 - 2016,0.53
,,2016 - 2017,0.79
,,2017 - 2018,0.32
,,2018 - 2019,0.67
,,2019 - 2020,0.33
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Dhamtari,2000 - 2001,0.71
,,2001 - 2002,0.88
,,2002 - 2003,0.78
,,2003 - 2004,1.04
,,2004 - 2005,0.58
,,2005 - 2006,0.8
,,2006 - 2007,0.97
,,2007 - 2008,0.97
,,2008 - 2009,0.93
,,2009 - 2010,1.1
,,2010 - 2011,1.14
,,2011 - 2012,1.11
,,2012 - 2013,1.33
,,2013 - 2014,0.92
,,2014 - 2015,1.36
,,2015 - 2016,0.9
,,2016 - 2017,1.27
,,2017 - 2018,1.1
,,2018 - 2019,1.27
,,2019 - 2020,0.53
,,2020 - 2021,1.02
,,2021 - 2022,0.98
,,2022 - 2023,1.1
,Durg,2000 - 2001,0.57
,,2001 - 2002,0.8
,,2002 - 2003,0.68
,,2003 - 2004,1.09
,,2004 - 2005,0.51
,,2005 - 2006,0.82
,,2006 - 2007,0.94
,,2007 - 2008,1.02
,,2008 - 2009,0.97
,,2009 - 2010,0.97
,,2010 - 2011,0.95
,,2011 - 2012,1.08
,,2012 - 2013,1.26
,,2013 - 2014,0.83
,,2014 - 2015,1.1
,,2015 - 2016,0.74
,,2016 - 2017,1.2
,,2017 - 2018,0.76
,,2018 - 2019,0.89
,,2019 - 2020,0.13
,,2020 - 2021,1.02
,,2021 - 2022,0.86
,,2022 - 2023,0.95
,Gariyaband,2011 - 2012,1.03
,,2012 - 2013,1.13
,,2013 - 2014,0.71
,,2014 - 2015,1.59
,,2015 - 2016,0.92
,,2016 - 2017,1.3
,,2017 - 2018,0.9
,,2018 - 2019,1.11
,,2019 - 2020,0.49
,,2020 - 2021,0.77
,,2021 - 2022,0.69
,,2022 - 2023,0.75
,Gaurella-pendra-marwahi,2019 - 2020,0.46
,,2020 - 2021,0.81
,,2021 - 2022,0.73
,,2022 - 2023,0.79
,Janjgir-champa,2000 - 2001,0.63
,,2001 - 2002,0.66
,,2002 - 2003,0.67
,,2003 - 2004,0.93
,,2004 - 2005,0.52
,,2005 - 2006,0.69
,,2006 - 2007,0.9
,,2007 - 2008,0.88
,,2008 - 2009,0.86
,,2009 - 2010,0.99
,,2010 - 2011,1.03
,,2011 - 2012,1.01
,,2012 - 2013,1.2
,,2013 - 2014,0.94
,,2014 - 2015,0.73
,,2015 - 2016,0.95
,,2016 - 2017,1.34
,,2017 - 2018,1.16
,,2018 - 2019,1.24
,,2019 - 2020,0.54
,,2020 - 2021,0.94
,,2021 - 2022,0.78
,,2022 - 2023,0.9
,Jashpur,2000 - 2001,0.66
,,2001 - 2002,0.77
,,2002 - 2003,0.64
,,2003 - 2004,1.03
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,0.9
,,2007 - 2008,0.83
,,2008 - 2009,0.82
,,2009 - 2010,0.97
,,2010 - 2011,0.99
,,2011 - 2012,1.01
,,2012 - 2013,1.22
,,2013 - 2014,0.84
,,2014 - 2015,1.23
,,2015 - 2016,0.6
,,2016 - 2017,1.18
,,2017 - 2018,1.0
,,2018 - 2019,1.05
,,2019 - 2020,0.41
,,2020 - 2021,0.73
,,2021 - 2022,0.68
,,2022 - 2023,0.74
,Kabirdham,2000 - 2001,0.34
,,2001 - 2002,0.65
,,2002 - 2003,0.6
,,2003 - 2004,0.84
,,2004 - 2005,0.48
,,2005 - 2006,0.55
,,2006 - 2007,0.67
,,2007 - 2008,0.66
,,2008 - 2009,0.64
,,2009 - 2010,0.69
,,2010 - 2011,0.91
,,2011 - 2012,0.89
,,2012 - 2013,0.98
,,2013 - 2014,0.63
,,2014 - 2015,1.06
,,2015 - 2016,0.82
,,2016 - 2017,0.94
,,2017 - 2018,0.77
,,2018 - 2019,0.76
,,2019 - 2020,0.35
,,2020 - 2021,0.56
,,2021 - 2022,0.66
,,2022 - 2023,0.92
,Kanker,2000 - 2001,0.52
,,2001 - 2002,0.85
,,2002 - 2003,0.65
,,2003 - 2004,0.94
,,2004 - 2005,0.77
,,2005 - 2006,0.73
,,2006 - 2007,0.95
,,2007 - 2008,0.94
,,2008 - 2009,0.71
,,2009 - 2010,1.13
,,2010 - 2011,1.17
,,2011 - 2012,0.97
,,2012 - 2013,1.27
,,2013 - 2014,0.8
,,2014 - 2015,1.13
,,2015 - 2016,0.87
,,2016 - 2017,1.2
,,2017 - 2018,0.89
,,2018 - 2019,1.1
,,2019 - 2020,0.46
,,2020 - 2021,0.7
,,2021 - 2022,0.67
,,2022 - 2023,0.69
,Khairgarh chhuikhadan gandai,2022 - 2023,0.87
,Kondagaon,2011 - 2012,0.91
,,2012 - 2013,1.38
,,2013 - 2014,0.82
,,2014 - 2015,1.54
,,2015 - 2016,0.9
,,2016 - 2017,1.28
,,2017 - 2018,1.04
,,2018 - 2019,1.17
,,2019 - 2020,0.55
,,2020 - 2021,0.8
,,2021 - 2022,0.73
,,2022 - 2023,0.33
,Korba,2000 - 2001,0.53
,,2001 - 2002,0.73
,,2002 - 2003,0.55
,,2003 - 2004,0.78
,,2004 - 2005,0.41
,,2005 - 2006,0.65
,,2006 - 2007,0.65
,,2007 - 2008,0.71
,,2008 - 2009,0.86
,,2009 - 2010,0.7
,,2010 - 2011,0.89
,,2011 - 2012,0.88
,,2012 - 2013,0.85
,,2013 - 2014,0.58
,,2014 - 2015,0.98
,,2015 - 2016,0.5
,,2016 - 2017,0.95
,,2017 - 2018,0.81
,,2018 - 2019,0.8
,,2019 - 2020,0.35
,,2020 - 2021,0.62
,,2021 - 2022,0.63
,,2022 - 2023,0.71
,Korea,2000 - 2001,0.49
,,2001 - 2002,0.69
,,2002 - 2003,0.51
,,2003 - 2004,0.78
,,2004 - 2005,0.43
,,2005 - 2006,0.52
,,2006 - 2007,0.66
,,2007 - 2008,0.57
,,2008 - 2009,0.75
,,2009 - 2010,0.62
,,2010 - 2011,0.84
,,2011 - 2012,0.72
,,2012 - 2013,0.85
,,2013 - 2014,0.62
,,2014 - 2015,0.99
,,2015 - 2016,0.46
,,2016 - 2017,0.76
,,2017 - 2018,0.66
,,2018 - 2019,0.63
,,2019 - 2020,0.38
,,2020 - 2021,0.53
,,2021 - 2022,0.46
,,2022 - 2023,0.55
,Mahasamund,2000 - 2001,0.77
,,2001 - 2002,0.82
,,2002 - 2003,0.52
,,2003 - 2004,0.87
,,2004 - 2005,0.51
,,2005 - 2006,0.67
,,2006 - 2007,0.88
,,2007 - 2008,0.89
,,2008 - 2009,0.78
,,2009 - 2010,1.02
,,2010 - 2011,1.06
,,2011 - 2012,1.02
,,2012 - 2013,1.33
,,2013 - 2014,0.91
,,2014 - 2015,0.74
,,2015 - 2016,0.84
,,2016 - 2017,1.18
,,2017 - 2018,1.02
,,2018 - 2019,1.09
,,2019 - 2020,0.39
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Manendragarh chirimiri bharatpur,2022 - 2023,0.55
,Mohla manpur ambagarh chouki,2022 - 2023,0.87
,Mungeli,2011 - 2012,1.01
,,2012 - 2013,1.26
,,2013 - 2014,0.88
,,2014 - 2015,0.89
,,2015 - 2016,0.98
,,2016 - 2017,1.38
,,2017 - 2018,0.88
,,2018 - 2019,1.08
