state,district,year,cowpea_rabi_yield_tonne_per_hectare
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Meghalaya,East garo hills,2013 - 2014,0.79
,,2014 - 2015,0.87
,,2015 - 2016,0.95
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2022 - 2023,0.87
,East jaintia hills,2013 - 2014,0.95
,,2014 - 2015,1.0
,,2015 - 2016,1.05
,,2016 - 2017,1.05
,,2017 - 2018,1.05
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2022 - 2023,1.13
,East khasi hills,2013 - 2014,3.2
,,2014 - 2015,3.25
,,2015 - 2016,3.47
,,2016 - 2017,3.16
,,2017 - 2018,3.16
,,2018 - 2019,3.16
,,2019 - 2020,3.16
,,2020 - 2021,3.16
,,2022 - 2023,3.2
,North garo hills,2013 - 2014,0.76
,,2014 - 2015,0.82
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2022 - 2023,0.9
,Ri bhoi,2013 - 2014,1.4
,,2014 - 2015,1.45
,,2015 - 2016,1.58
,,2016 - 2017,1.46
,,2017 - 2018,1.46
,,2018 - 2019,1.46
,,2019 - 2020,1.46
,,2020 - 2021,1.46
,,2022 - 2023,1.5
,South garo hills,2013 - 2014,0.85
,,2014 - 2015,0.92
,,2015 - 2016,0.96
,,2016 - 2017,0.98
,,2017 - 2018,0.98
,,2018 - 2019,0.98
,,2019 - 2020,0.99
,,2020 - 2021,0.99
,,2022 - 2023,0.99
,South west garo hills,2013 - 2014,1.51
,,2014 - 2015,1.52
,,2015 - 2016,1.68
,,2016 - 2017,1.69
,,2017 - 2018,1.69
,,2018 - 2019,1.7
,,2019 - 2020,1.7
,,2020 - 2021,1.7
,,2022 - 2023,1.7
,South west khasi hills,2013 - 2014,2.33
,,2014 - 2015,2.67
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2022 - 2023,3.0
,West garo hills,2013 - 2014,1.81
,,2014 - 2015,1.82
,,2015 - 2016,1.86
,,2016 - 2017,1.86
,,2017 - 2018,1.86
,,2018 - 2019,1.86
,,2019 - 2020,1.87
,,2020 - 2021,1.87
,,2022 - 2023,1.87
,West jaintia hills,2013 - 2014,1.06
,,2014 - 2015,1.15
,,2015 - 2016,1.26
,,2016 - 2017,1.26
,,2017 - 2018,1.26
,,2018 - 2019,1.26
,,2019 - 2020,1.26
,,2020 - 2021,1.26
,,2022 - 2023,1.3
,West khasi hills,2013 - 2014,1.54
,,2014 - 2015,1.57
,,2015 - 2016,1.73
,,2016 - 2017,1.73
,,2017 - 2018,1.73
,,2018 - 2019,1.73
,,2019 - 2020,1.73
,,2020 - 2021,1.73
,,2022 - 2023,1.75
Mizoram,Aizawl,2010 - 2011,1.41
,,2011 - 2012,1.67
,,2012 - 2013,0.85
,,2013 - 2014,0.57
,,2014 - 2015,0.43
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,4.29
,,2018 - 2019,3.93
,,2019 - 2020,1.8
,,2020 - 2021,1.3
,,2021 - 2022,1.43
,,2022 - 2023,1.19
,Champhai,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hnahthial,2020 - 2021,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolasib,2010 - 2011,1.28
,,2011 - 2012,1.38
,,2012 - 2013,1.91
,,2013 - 2014,1.91
,,2014 - 2015,1.38
,,2015 - 2016,1.4
,,2016 - 2017,1.4
,,2017 - 2018,1.39
,,2018 - 2019,1.41
,,2019 - 2020,1.6
,,2020 - 2021,1.6
,,2021 - 2022,1.6
,,2022 - 2023,1.54
,Lawngtlai,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,0.38
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lunglei,2010 - 2011,1.52
,,2011 - 2012,0.63
,,2012 - 2013,0.8
,,2013 - 2014,0.57
,,2014 - 2015,0.5
,,2015 - 2016,0.67
,,2016 - 2017,1.38
,,2017 - 2018,1.5
,,2018 - 2019,1.63
,,2019 - 2020,1.44
,,2020 - 2021,1.5
,,2021 - 2022,1.38
,,2022 - 2023,1.33
,Mamit,2010 - 2011,
,,2011 - 2012,0.84
,,2012 - 2013,0.88
,,2013 - 2014,1.02
,,2014 - 2015,1.65
,,2015 - 2016,0.92
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,1.44
,,2019 - 2020,0.82
,,2020 - 2021,0.81
,,2021 - 2022,1.53
,,2022 - 2023,1.0
,Saiha,2010 - 2011,1.67
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saitual,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Serchhip,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2021 - 2022,
,,2022 - 2023,
,Kohima,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2021 - 2022,
,,2022 - 2023,
,Mon,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2021 - 2022,
,,2022 - 2023,
,Phek,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tseminyu,2022 - 2023,
,Wokha,2021 - 2022,
,,2022 - 2023,
Odisha,Balangir,2019 - 2020,0.73
,Baleshwar,2019 - 2020,0.76
,Bargarh,2019 - 2020,0.78
,Bhadrak,2019 - 2020,0.79
,Cuttack,2019 - 2020,0.79
,Deogarh,2019 - 2020,0.88
,Gajapati,2019 - 2020,0.8
,Ganjam,2019 - 2020,0.8
,Jagatsinghapur,2019 - 2020,0.74
